micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
Et cil le resgarde et voit  que joster le covient; 	Et il le regarde et uoit  quil le fault iouster 	Et cil le regarde et voit  que iouster li conuient. 	Et celui le regarde  et uoit  que iouster le conuient	Et cil le regarde  et uoit  qua iouster le couuient 	et ciz se resgarde  et uoit que retorner le couient. 	que yazia durmiendo so el mançano y quenta de estor de mares Agora dexa el quento de fablar dellos y de don Lançarote 	E quelli il riguarda  e vide  ch’a giostrare il conviene:
si met jus la damoisele  et sache l’espee  et met l’escu devant soi 	si mect ius la damoisele et tire lespee  et mect lescu deuant luy 	Si met ius la damoisele et trait lespee  et met lescu deuant soi 	si met ius la damoiselle  et met lescu deuant son pis 	si met ius la damoisele.  Et sache lespee  et met lescu auant 	Si met ius la damoisele et met lescu deuant lui. 	y torna a estor de mares  Agora quenta la historia 	si mette giuso la damigella  e tra' la spada,  e mette lo scudo davanti sé 
et ganchist le cheval au chevalier. Et cil li vient acourant 	et guenchist le cheual au cheualier.  et il uient courant 	et guenchist le cheual vers le cheualier.  et lyoniaus li vient acorant 	puis tire son espee  et lyonnel uient a lui courant 	Et guenchist le cheual au cheualier  et cil li uient acorant 	et guenchit Le cheual a lionnel et il li uient acourant 	que quando estor se partio de tegidel 	e schencisse il cavallo del cavaliere.  eE Lyon il viene al corso 
et le fiert  si que par mi l’escu  et par mi l’auberc li met le glaive sanz plus de mal faire.  Et cil l’ataint sor le hiaume  et li donne tel cop de l’espee  qu’il le fant a destre partie: 	et le fiert  si que parmy lespaule et par le haubert luy mect le glayue  sans luy faire autre mal.  Et il lactaint sur le heaume  et luy donne tel cop quil le fent a destre partie 	et le fiert  si que parmi lescu  et parmi le hauberc li met la glaiue.  sans plus de mal faire.  Et cil li doune tel cop de lespee sour son heaume  quil li fent a destre partie. 	et le fiert si durement parmi lescu et le haubert  qu il lui met le glaiue  sans plus mal faire.  Et celui lactaint sur le heaume  si lui denne tel coup  quil lui fent tout a destre partie. 	et le fiert  si que parmi lescu et parmi lauberc li met le glaiue sanz plus de malfere  Et cil lataint sor le hiaume  et li done tel cop de lespee  qu il li fent a destre partie. 	si le fiert  Si que parmi lescu et le haubert li fist le glaiue passer  sans plus mal faire.  et li grans cheualiers le fiert sor le hiaume  tel cop de lespee quil abati del hiaume  quanqu il en pot ataindre a destre partie	do mato a motigran el grande  y libro ala dueña  que estaua enla Cueba 	e l fiede si che per me' lo scudo e per me l’asbergo li mette la lancia sanza più mal fare, ma de li arcioni nol mosse.  E quel l’agiugne in su l’elmo e li dona tal colpo de la spada  ch’egli il fende a destra e a sinestra partita, 
si l’eust occis sanz falile,  mes l’espee li torna en la main 	si l eust occis sans faille mes lespee luy tourna en la main. 	Si leust l ocis sanz faille.  mais lespee li tourna en la main. 	Si leust occis sans faulte/  mais lespee lui tourna en la main: 	si leust ocis sanz faille.  Mes lespee li torna en la main 	si leust ocis sans failme ce lespee neust tornet en la main.	do la guardauan dos leones 	si l’avesse morto sanza fallo,  ma la spada gli si volse nella mano. 
et li cox fu granz et de force feruz;  si fu Lions si estordiz  qu’il chiet a la terre touz pasmez.  Et li chevalier remet l’espee el fuerre  et fait la damoisele monter el cheval Lion,  ou ele volsist ou non. 	Et le cop fu grant et de force feru  et lion fu si estourdy  quil cheit a terre comme pasme.  Et le cheualier mist incontinant lespee ou feurre et fait monter la damoisele a cheual. 	Et li cops fu grans et de force ferus.  Si en fu lyoniaus  si estordis quil chai a terre tous pasmes  Et li cheualiers remist lespee el fuerre.  et fait la damoisele remonter sour le cheual lvonel  ou elle uolsist ou non. 	et le coup fut si grant  que lyonnel cheut a terre tout estendu et se pasma de langoisse  quil sentist.  Et le cheualier remist lespee au fourreau  et fist monter la damoiselle sur le cheual de lyonnel: uoulsist ou non: 	et li colx fu granz et de force feruz. si fu lyons touz estordiz et chiet a la terre touz pasmez. Et li cheualiers remet sespee el fuerre.  et fet la damoisele monter. el cheual lyon  ou ele uolsist ou non. 	SI cox fu grans et de force ferus.  Si fu lionnias si estordis  quil chiet a la terre tous estordis et li cheualiers remest lespee el fuerre.  et fait la damoisele monter el cheual lionnel ou uuelle ou non 	que andubo tanto  por sus auenturas que vn dia llego aquella floresta  do fuera lleuado lionel 	eE 'l colpo fu grande e di forza fedito,  si fu Lion si stordito  ch’elli cadde alla terra tutto ispasimato:  e l cavaliere rimette la spada nel fodero  e ffa la damigella montare nel cavallo di Lion,  o ella volesse o no. 
Si le contredist ele assez,  mais toutes voies li couvint il a fere  et il s’abaisse vers terre  et prant Lion par les espaules, tout ainsi com il estoit armez 	Et il sabaisse tout incontinant uers terre,  et prent lion par les espaules tout ainsi arme  comme il estoit 	Si le contredist elle asses.  mais toutes voies li conuient il faire a force.  Lors sabaisse uers terre  et prent lyonel par lez espaulles tout ensi armes  comme il estoit. 	puis se abessa uers terre et print lyonnel  ainsi arme  comment il estoit 	si le contredit ele asez. mes touteuoies li couuint il a faire.  Et cil sabesse a terre  et prent lyon par les espaulles tout einssi  comme il estoit.	et si le contredit ele assez.  Mais toutesuoies li couuient il a faire.  et cil sabaisse uers terre et prant lyonnel par les espaules 	que hauia nombre la floresta carrian 	Esi si contradisse ella assai,  ma tuttavia lel conviene elli fare; e que' s’abassa inverso terra epprende Lion per le spalle,  tutto insi com'egli era armato, 
et le trousse devant lui  et l’amporte,  et anmoinne la damoisele en tel manniere. 	et le trousse deuant luy  et lemporte.  et emmaine la damoisele en telle maniere. 	et le torse par deuant lui sour larchon de sa sele.  Et lenporte en tel maniere. 	et le trousse deuant lui  et lemporte et emmaine la damoiselle en telle maniere. 	et le trousse deuant lui sus son cheual  et len porte et en mainne la damoisele en tel maniere  comme ie uous ai deuant dit. 	et le trousse deuant lui.  et lenporte en tel maniere  et en mainne la damoisele. 	y fallo vna donzella 	e l torsa davanti lui  e ne el porta, e ne l mena la damigella in tal maniera. 
Si se test ore atant li contes de lui 		Si se taist ore li contes a parler de lui et de lyonel 	Si se taist atant le compte de lui 	Si se test ore atant li contes a parler de lui.	Ci ce tait ore atant li contes del cheualier et de lyonel et de lanc̃. 		Si si tace ora atanto il conto di lui 
et retorne a Hestor des Mares. 		et retorne a parler de hector des mares 	et retourne a hector des mares 	et retorne a hestor des mares. se combati a teriquans de la forest desuoiable.  Et comment teriquans le prist par force. 	et retorne a parler de hector des mares le frere lancelot  Car grant piece sen est teus li contes 		e ritorna ad Astor di Mare. 
				et len porta en son chastel auec les autres cheualiers 			
				dont il auoit tant conquis comme uus orres. 			
			Comme hector des mares se partist du chasteau de radigel 				
			quant il eust marigart occis et uint deuant le chasteau de terriquen: 				
			et fut par terriquant conquis et mis en prison auecques plusieurs autres. 				
Or dit li contes 	Or dit le comte 	OR dist li contes 	OR dit le compte 	Or dit li contes. 	OR dit li contes 		Or dice il conto 
que quant Hestor  se fu partiz de Ragidel le chastel 	que quant hector  se fu party de ragidac le chastel 	que quant hectors se fu partis de radigel le castel il ot marigart: le rous ocis. 	que quant hector fut parti de radigel le chasteau 	que quant hestor  se fu partiz de ragidel le chastel. 	que quant hector ce fu partis de ragendel chastel. 	que fazia muy gran duelo 	che quando Astor si fu partito da Ragiel, il castello 
et il ot la damoisele » delivree des lion, qui cousine germaine Lancelot estoit,  que il chevaucha touz seus einsi  comme aventure le portoit 	et il eut deliure la damoisele  qui estoit cousine germaine de lancelot  quil cheuaucha tout seul  ainsi comme auenture le menoit 	Et il ot la damoisele deliuree dez. ij, lyons  qui estoit cousine germaine a lancelot.  quil cheualcha tous seuls ensi  comme auenture le menoit. 	ou il auoit conquis marigart le roux et la damoiselle deliuree des lyons  qui cousine germaine estoit a lancelot  qu il cheuaucha tout seul  ainsi que auanture le portoit	ou il ot conquis marigart le roux. et il ot la damoisele deliuree des lyons.  qui cousine germaine lanc̃. estoit.  que il cheuaucha tout seul einssi.  comme auenture le menoit. 	ou il ot conquis margares le rous et ou il ot deliuree la damoisele des lions.  qui cousine estoit germainne lanc̃ del lac. il cheuauchoit tous seus ainsi  comme auanture le portoit. 	y preguntola porque lloraua  señor dixo ella porvno delos mejores caualleros del mundo 	ov'egli ebbe conquiso Marigart il Rosso  e elli ebbe la damigella diliverata da' lion',  ch’eli cavalca tutto solo,  insi com’aventura il portava, 
et tant que il vint en la forest  que l’en apeloit Terique,  et ce fu endroit none.  Lors encontra I. damoisele montee sor I. palefroi  qui faisoit mervilleux duel. Il la salue 	tant qua heure de nonne il uint en la fourest quon apelloit teciane.  Lors encontra une damoisele montee sur ung palefroy  qui faisoit merueilleux deul. Il la salue 	tant que il vint en la forest  que on apeloit terique.  Et ce fu endroit nonne.  Et lors encontra vne damoisele montee sor. j. palefroy  qui faisoit merueillous duel. Il le salue 	tant qu il uint en la forest  que len appelloit terriquen  et se fut uers nonne:  lors encontra une damoiselle montee sur ung pallefroy laquelle faisoit trop merueilleux deul. Il la salue: 	Et tant que il uint en la forest  que len apeloit terique.  Et ce fu enz endroit nonne.  Lors encontra une damoisele montee seur .i. palefroi.  qui fesoit merueilleus duel. il la salue 	et tant quil uint en la forest  que on apeloit terique. En droit none encontra une damoisele.  si la salue 	que vi llebar agora avno delos mas desleales Caualleros del mundo  que vi lleuar agora  y quien es dixo estor 	tanto che venne nella foresta  che l’uomo apellava Terique, ercciò fu in diritto nona.  Allora incontra una damigella montata sopr’un palafreno: la damigella faceva maraviglioso duolo. 
et ele lui ausi. « Damoisele, fait il,  car me dites  por quoi vos plourez. — Sire, fait ele,  por I. des bons chevaliers del monde — 	et elle luy. Damoisele fait il dictes moy  pour quoy uous plourez. Sire fait elle  pour ung des bons cheualiers du monde. 	et elle lui ausslsi. Damoisele fet ill  quar me dites pourcoi vous plores : Sire fait elle iou pleur  por vn dez meillors cheualiers del monde. 	et elle lui aussi. Damoiselle fist il or me dictes  pour quoy uous plourez Sire fist elle  pour ung des meilleurs cheualiers du mende 	et ele lui aussi . Damoisele fet il.  car me dites  por quoi uous plorez. sire fet ele por .i. des bons cheualiers. del monde. 	et ele lui ausi. si la uit  qu ele ploroit. Damoisele fait il dites moi por qoi uos plores. Sire fait ele por .i. des bons cheualiers del monde  que iai orandroit ueu mener trop uilainnement A .i. des plus desleaux cheualiers del monde. 	señor dixo ella alos quarringuan el señor de aquella torre  e mostrosela 	E la saluta  e ella lui altresi.  iDamigella, diss’elli, ché mi dite  perché vo' piagnete?  - Sire, diss’ella,  per un de buon cavalieri del mondo 
							ch’i ho oraindiritto veduto menare troppo villanamente a un de' più disleali cavalieri del mondo. 
Et qui est cil bons chevaliers ? fait il. — Ce est, fait ele, Lion, le cousin Lancelot,  que uns des plus desleaux chevalier del monde l’anmainne. —  Et qui est, fait il, cil desleaux chevaliers ? —  Ce est, fait ele, Tericam li sires de cel tertre  qui l’aporta orandroit sor son cheval,  ne sai dont, 	Qui est ce bon cheualier.  cest fait elle lion le cousin lancelot  que ung cheualier emmanie.  Et qui est fait il ce desloyal cheualier  qui lemmaine.  Cest fait elle terican le sire de ceste terre  qui la aporte maintenant sur son cheual ne scay dont. 	que iai orendroit ueu mener trop laidement al plus desloial cheualier  qui soit en cest siecle. Damoisele fet hector  qui est cils bons cheualiers Sire fet elle ce est lyoniaus li cousins germains lancelot.  Et qui est cils desloiaus cheualiers fet il  qui lenmaine. Che est fait elle tericans li sires de cel tertre  qui le porte sor le col de son cheual. ne sai  dont il laporte.	que iay maintenant ueu mener trop uillainement a ung des plus desloiaulx cheualiers du mende.  Cest fist elle le pire de tous. Damoiselle par la foy  que uous me deuez  qui est ce bon cheualier. Sire fist elle cest lyennel le cousin de monseigneur lancelot du lac.  Qui est fist il ce desloial cheualier.  Cest fist elle terriquen le seigneur de ce tertre lassus qui le apporta orendroit dessus son cheual  mais ie ne scay dont:	que ge ai orendroit ueu mener trop uilainemet a .i. des plus desloiaux cheualiers del monde.  et qui est cil bon cheualier fet il.  Ce est fet ele lyon le cousia monseignor lanc̃. del lac.  Et qui sont fet il cil desloiax cheualiers.  Ce est fist ele teriquan le sires de cel tertre lasus.  qui laporta orendroit sor son cheual ne sai dont.	et qui estoit fait il ciz bons cheualiers.  Cest fait ele lyonnes li couzins monsignor lanc̃. del lac. et qui estoit fait il ciz desloiaus cheualiers.  Cest fait ele teriquans li sires de cel tertre Laisus.  quil aporta orandroit  deuant moi ie ne sai 	que hera çerca dende y lleuolo  dixo ella  atrauesado enel Cuello de su Cauallo  y a nombre lionel 	— E chi est questo buon cavaliere?, diss’elli.  — Ciò è Lyon, diss’ella, cugino di monsignor Lancelotto de Lac  -E chi è. diss'elli,  quel disleal cavaliere?  —?Ciò è, diss’ella, Trinquano, il su cavallo non so io  donde: 
et le fist despoillier devant moi tout nu en braies  et le fist tant batre a ses sergenz de poingnans espines 	et la fait despoiller tout nu en brayes deuant moy. et la fait tant batre a ses sergens 	Et le fist despoillier deuant moi tout en braies  et puis le fist tant batre a sez sergans de poignans espines 	et le fist despouillier en sa chemise deuant moy  et le fist tant batre par ses sergans despines poingnans 	et le fist despoillier deuant moi touz nulz emberies  et le fist tant batre a ses serianz de poignanz espines 	dont sor le col de son cheual  et le fis desarmer deuant moi et despouillier tout nu.  et le fist tant batre despines a ses serians: 	y es primo Cormano de don lançarote  y agora desque llego ala torre fizolo desarmar  e desnudar en paños menores 	e 'l fece dispogliare davanti me tutto ignudo e 'n brache,  e l fece tanto battere a suoi sergenti di pruni e di spine 
qu’il m’an souvandra a touz les jorz de ma vie;  et aprés le fist geter en sa prison, 	qu il m en souuendra tous les iours de ma uie.  et apres la fait gecter en sa prison 	que il lene souendra tous lez iours de sa vie.  et apres le fist geter en sa prison. 	quil men souuendra tous les iours de ma uie.  et apres le fist iecter en sa prison	qu il men souuendra a touz les iorz de ma uie.  Et apres le fist giter en sa prison. 	quil men pezera a tous Iors mais.  et apres le fist ieter en prison 	estando yo ay delante  y fizolo ferir muy mal convnas baras 	che me ne racorderà a tutti i giorni di mia vita.Apresso il fece gittare in sua prigione, 
si com j’ai veu:  si en ai si grant pitié	comme iay ueu.  si en ay si grant pitie 	si comme iai ueu  si en ai si grant pitie 	comme iay ueu.  Si en ay si grant pttie 	si con iai ueu.  si en ai si grant pitie 	si en fui si dolente 	y porque lo vi yo asi estar fago yo este duelo 	si com'io ho veduto,  si n’ò gran piatà 
que je ne m’en puis tenir de plourer. —  Or me dites, damoisele, fait Hestor,  et se je cele part aloie, a quelz enseingnes connoistroie je le chevalier 	qui ie ne men puis tenir de plourer.  Or me dictes damoisele et si ialoye celle part a quelz enseignes cognoistroye ie le cheualier 	que iou ne men puis tenir de plorer  Or me dites damoisele fait hector.  et se iou cele part aloie.  a quels enseignes connistroie iou le cheualier 	que ie ne men puis tenir de plourer  OR me dictes damoiselle  se ie alloie celle part  a quelles enseignes cengnoistroie ie le cheualier 	que ie ne men puis tenir de plorer.  OR me dites damoisele fait hestor.  et se ge cele part aloie. a quiex ensaignes connoistroie ge le cheualier. 	que Ie ne men puis tenir de plorer.  OR me dites damoisele fait il ce ie cele part aloie 	donzella dixo estor  si yo fuese  y como lo podria conoçer 	ch’i non mi posso tenere di piagnere.  — Or mi dite, damigella,  disse Astor,  s’io in quelle parti andassi,  a quale insegne conoscere io il cavaliere 
que vos dites ? —  De l’aler. fait ele,  ne vos entremetez vos ja par mon lox,  car il vos occirroit, 	que uous me dictes. Ie ne uous loue pas fait elle  dy aller car il uous octiroit 	que vous me dites.  De la aler fait cele ne vous entremetes vous ia par mon los.  quar il vous ocirroit 	que uous dictes. De y aller  dit elle  ne uous entremectez ia  par mon conseil car il uous occiroit 	que uous dites. de laler fet ele: ne uous entremetrez uous ia par mon los.  Car il uous ocirroit 	comment porroie ie quenoistre le cheualier. DaIer la ne feres uos riens fait ele par mon los.  Car il uos ocirroit fait 	por dios amigo  dixo ella  dios vos guarde de yr alla ca creed  que si alla ydes  que el vos matara 	che vo' dite? -?De l’andar, diss’ella, non voi intramettete vo' già per mi' lodo,  ch’elli voi ucciderebbe 
s’il vos pooit tenir. 	sil uous pouoit tenir. 	sil vous pooit tenir. 	sil uous pouoit tenir. 	se il uous pooit tenir. 	ele ce il uos pooit tenir. 	que el es mas fuerte 	s’elli vi potesse tenere. 
Et neporquant l’an le puet bien connoistre a ce  qu’il est li greingnors chevaliers dou monde 	Et toutefoiz on le puet bien congnoistre a ce  quil est le plus grant cheualier du monde 	Et neporquant on le puet bien connoistre a ce quiest li graindres cheualiers del monde. 	et a ce le peut on bien cengnoistre  car il est le greigneur cheualier du monde:	Et neporquant len le puet bien connoistre a ce  que il est li graindres cheualiers del monde. 	et non por quant len le puet quenoistre  a ce qu il est li graindes cheualiers del monde. 	y mas gran cauallero  que yo sepa  y anda envn cauallo morçillo 	“E nonperquanto, l’uomo il puote ben conoscere  acciò  ch’egli è il miglior cavaliere del mondo 
et porte unes armes noires. — 	et porte unes armes noires. 	et porte vnes armes noires. 	et porte unes armes noires. 	et porte unes armes noires. 	et porte unes noires armes. 	y tiene vnas armas negras 	e porta un'armi nere. 
Or vos commant, fait il, a Deu,  que n’an quier plus oïr parler. » 	Or uous commant fait il a dieu  car ie ne quier plus en ouyr parler. 	Or vous commanch iou a dieu fet hector  quant iou nen puis plus sauoir. 	Or uous commande ie a dieu damoiselle car ie nen puis plus ouir 	or rous commant a dieu fet il.  Car ge nen quier plus oir. 	Or uos commant Ie a dieu damoisele  que ie ñ quier plus oir parler. 	y quando estor aquello oyo non quiso mas tardar 	—Or vo comand’io a Dio, diss’elli.  ch’i' no ne chegio più sapere». 
Et cele s’am part maintenant  et il chevauche cele part 	Et il sem part  et cheuauche la 	Elle sen part maintenant  Et hectors cheuauche cele part	Et celle sen part incontinent et hector cheuauche celle part 	Et cele sem part maintenant.  Et il cheuauche cele part 	et cele sen part  et cil cheuauche tout droit 	y partiose luego dela donzella  y fuese contra alla 	E quella si parte immantenente,  ed e' cavalca in quelle parti 
ou ele li ot enseignié;  si a tant alé	ou elle luy eut enseigne.  Si est tant alle 	ou cele li ot enseignie.  Si a tant ale 	ou elle lui auoit enseignie.  Si alla tant	ou ele li ot ensaignie  Si a tant ale 	ou ele li ot dit. Si a tant ale 	do la donzella le mostro 	ov’ella li ebbe insegnato,  si à tanto andato 
qu’il vint au tertre.  Et lors trouva une tor haute et fort qui estoit close 	quil uient au tertre  et il trouua une tour fort et haulte  qui estoit enclose de bons murs et haulx 	quil vint el tertre  et y troua vne tor 	quil uint au tertre  et lors trouua une tour haulte et forte:	quil uint cele part el tertre.  et lors trouua une tour fort et haute.	qu il est uenus ou  tertre.et trueue une tor 	y andando llego ala torre del cauallero  que la donzella le mostrara 	che venne al poggio.  PAllor truova una torre forte e alta 
put entour de bons murs et de hauz et devant la porte a mains d’unne archiee avoit une fontainne 	et deuant la porte  a moins dune archee auoit une fontaine 	qui estoit close de bons murs tot entour et de haus.  Et par dehors la porte a mains dune archie auoit vne fontaine 	et close tout entour de bons murs et haulx.  Deuant la porte a mains de une archiee auoit une fontaine 	qui estoi forte tout entour et close de bons murs et de hauls.  Et deuant la porte a mains dune archiee. Auoit une fontaine	qui estoit fors et haute et close de bons foses. et de haus murs.  Deuant la porte auoit une fontainne a mains dune archie 	y era muy fuerte  y ante el estaua vna fuente 	ch’era chiusa tutta intorno di buon muro ed alto.  E adavanti la porta, a meno d’un’arcata, avea una fontana 
qui sordoit pa tuel d’argent 	qui sourdoit par ung tuel dargent 	qui sourgoit par. i. tuiel dargent 	qui sourdoit par ung tueau dargent: 	qui sordoit par .i. tuiel dargent. 	qui sordoit deuant la porte par .i. tuel dargent. 	que salia porvn Caño de plata 	che surgea per un canone d’argento 
et chaoit en I. perron de marbre et del perron aloit en J. vaissel de plom 	et cheoit en ung perron de marbre et du perron cheoit en ung uaissel de plomb 	qui cheoit sour vn perron de marbre.  Et du perron aloit en .i. vaissel de plom. 	et cheoit en ung perron de marbre et du perron alloit en ung uaisseau de plomb: 	et cheoit en .i.perron de marbre. et del perron aloit en .i. uaissel de plonc. 	et cheoit sor .i. parron de  maubre.et del parron cheoit en .i. uassel de plonc. 	y caya el agua en vna piedra que hera como pila de marmor 	e cadea in un pretone di marmo,  e del pretone andava in un vasello di stagno 
et pooit estre ausi granz com I. tonne.  Delez la fontainne avoit III. pins l’un delez l’autre qui erent si grant et si haut 	qui pouoit estre aussi grant comme une tonne.  Dela la fontaine y auoit troys puis lun pres de lautre.  et estoient si grans et si haulx 	si pooit bien estre aussi grant comme vne tonne. Nles la fontaine auoit trois pins  et estoient li vns les lautre, et Destoient si grant et si haut 	et pouoit estre aussi grant comme ung tenneau.  Emprez la fontaine auoit trois pins lun empres lautre: et estoient si grans 	et pooit estre aussi granz. comme .i. tonel.  Et delez la fontaine auoit .iii. pins. lun apres lautre.  qui estoient si grant et si hault 	qui bien pooit estre ausi grans comme .i. tonias. Delez la fontainne auoit .iii pins luns deles lautre.  qui estoient si grant et si haut 	y el agua que dende salia caia envna tina de cobre tamaña  como vn tonel  y çerca desta pila estauan tres pinos que toda la Cubrian  y estor vido estar colgados delos pinos quarenta escudos  y otros tantos yelmos 	e potea bene essere altresi grande com'un tinello. Dalato la fontana avea tre pini, l’uno apresso l’altro,  ch’erano si grandi e si alti 
que des branches et des foilles estoit toute la fontainne couverte ; 	que toute la fontaine estoit couuerte des branches et des fueilles 	que des branches et des fuelles estoit la fontaine toute couerte. 	que des fueilles et des branches estoit la fentaine toute couuerte. 	que des branches et des fueilles estoit toute la fontaine couerte 	que des fuelles des branches estoit la fontainne tote couerte.	y otras tantas espadas 	che delle branche e delle foglie era la fontana tutta coperta: 
si pandoient par mi les guiches dusqu’a XL. escuz et LX. hiaumes et LX. espees. Il resgarde les hiaumes et les escuz et les espees  et se merveille por quoi l’an les i a mises, 	si y pendoit parmy les guiches uicqua xl. escuz et .lx. heames et lx. espees  Et il regarde ses heaumes et les escuz et les espees  et il uoit lescu a galical 	Si y pendoient par lez guiches. lx. escus et. Ix . heaumes et . lx. espees. il regartdel lez escus et lez heaumes et les espees.  et sest moult esmeruellies porcoi on les y auoit mises.  puis regarde lez escus.  Si y connoist lescu agloual 	Si y pendoient par les guiges plus de xlu. glaiues et plus de xlu. escus et bien xlu. heaumes et xlu espees. Il regarde les heaumes les escus et les espees  et se merueille pour quoy len les y a mis 	Si i pendoient par les guiges dusques a .lx. escuz. et .lx. hiaumes et .lx. espees. il regarde les hialmes et les espees.  et se merueille por quoi len les y a mis. 	si i pandoient bien par les guiches .lx. escu. et au[t]retant hiaumes et espees.  et il regarde les espees et les escus  si i uoit lescu agloual. 	y quando estor esto uio marauillose mucho  y paro mientes alos escudos y vidolos escudos de sagramor el derranchador  e de agra ual  e de don quia el mayordomo 	si vi pendevano pe lle guigge insino a quaranta scudi e quaranta elmora e pade. Elli riguarda li elmi e le spade, si si maraviglia troppo  perché l’uomo le v’à poste;  “poscia riguarda le scudora 
				puis regarde les escuz 			
				et uoit lescu agloual. 			
puis resgarde les essarz a et voit l’escu Agloval et l’escu Saigremor le Desreé et le Keu le senechal et le Gocenain d’Estranglot et le Brandeliz, 	et lescu saigremor le desree et de keu le seneshal et de gossenain destrangot et de brandelis. 	et lescu saigremor le desree  et lescu keu le senescal et le Gosenain destrangort et le brandelis. 	puis regarde les escus si uoit lescu de agloual  et lescu de sagremor le desree et celui de keux le seneschal et celui de gossentin destrangot: 	Et lescu saigremor li desraez.  Et lescu keu le seneschal. et lescu gossenam destrangot. et le brandeliz. 	et lescu sagremor le desrae.  et lescu keu le seneschal. et lescu goadain destrangot et lescu brandelis. 	e de gasconais destrangat  e de blandalis 	e vide lo scudo d’Ugloval e lo scudo di Sagramor il Desree,  e quel di Keu il Siniscalco 
							e que' di Gasoian di Strangotto 
							e que' di Brandalisi, 
			et celui de monseigneur brandelis 				
mes des autres ne puet il nus connoistre.  Et il vait derriere la fontainne  et troeve lestres escrites 	mais il ne puet congnoistre les autres  Et il uait derriere la fontaine  et y treuue lectres 	mais de tous lez autres nen puet il plus connoistre.  Lors sen uait deuers la fontaine et trueue lettres escriptes 	mais des autres ne peut il nul congnoistre.  Et il regarde derriere la fontaine  si treuue unes lettres escriptes 	mes des autres ne puet il nul connoistre.  et il uait derriere la fontaine  et trueue lectres escriptes 	Mais des autres ne pot il nus quenoistre. Il uait deuant la fontainne  et trueue de lestres escrites 	mas los otros no los conosçio e vido  mas envn padron letras escriptas 	ma de li altri non può elli mica conoscere. Elli va di dietro la fontana  e vi truova lettere iscritte 
qui dient: «  Ce sont i li non de ceaux	qui disoient.  Cy sont les noms de ceulx 	qui disoient chi sont li non de ceuls	qui dient. Cy sont les noms de ceulx 	qui dient.  Ci sont li non de cels 	qui dissoient ci sont escrit li non de ceus 	que dezian aqui yaze tal cauallero 	che dicieno:  Qui sono i nomi di quelli 
qui ceanz sont em prison 	qui sont ceans en prison 	qui laiens sont en prison. 	qui ceans sont en prison 	qui caienz sont em prison. 	qui Sont laiens en prison. 	e vedes alli su escudo  e ansi dezia de todos los otros 	che qua entro sono in pregione, 
et veez en la lor armeures. » Et il conmance a lire et troeve lestres 	et uoy la leurs armes.  Et il commence a lyre et treuue lectres 	Et uees la lor armeures.  Et il lez commence a lire.  Et trueue lettres 	et ueez en la les armes/  et lors commenca a lire  si trouua les lettres 	Et ueez en la lor armeures.  Et il commence a lire et trueue lectres 	et ues la les armes.  et il coumance a lire  si trueue les letrres 	Como el gran Cauallero lleuo preso a estor de mares  aunque no quiso asu Castillo  Despues que estor leyo las letras  e vio 	e vedete la loro armadura .Elli cominciò a leggere
qui disoient: «  El vintequatriesme an aprés le couronnement le roi Artu a conquis Teriquam de la Forest toz les chevaliers 	qui disoient. Aduint ou xlͤ. an apres le courounement du roy artus terican de la fourest conquist tous les cheualiers 	qui dient el vintetroisime: an en apres le coronement le roy artu. a conquis terican de la forest desuoiable tous lez cheualiers 	qui disoient ainsi. Au uingtquatriesme an aprez le couronnement du roy artus terriquen de la forest desuoiable a cenquis tous les cheualiers 	qui disoient.  El uintequatrisme .an. apres le coronnement le roi artur. a conquis teriquans de la forest desuoiable. touz les cheualiers. 	qui dissoient.  El xxiiii. eimme apres le coronement le roi artu a conquis teriquans de la forest desuoiable par proesce darmes tous les cheualiers 	que dezian asy enlos veinte y quatro años despues que el Rey artur Reyno conquisto totigran enla floresta denegada a todos los caualleros 	e truova lettere  che dicieno: Al ventequatresimo anno apresso il coronamento del re Artù,  à conquiso Trinquano della foresta Disviabole tutti i cavalieri 
dont li non sont ci escrit. » Et il conmance a lire les nons  et an connoit ja assez et de tex i a  qu’il ne connoist mie ainsi 	dont les noms sont cy escriptz.  et il commence a lire et en cognoist assez de telz y a.  et de telz y a  qu il ne cognoist mie ainsi 	dont li non sont chi escrit.  Et il commence a lire lez nons.  Si connut de telz en y a .  et de teuls y a  que il ne connut mie. ensi 	dent les noms sent icy escriptz. 	dont li non sont ci escrit.  Et il commence a lire les nons  et en connoist de tiex y a.  Et de tiex y a  quil ne connoist mie. einssi 	dont li non sont ci en escrit  et il commance a lire les nons  si en quenoit de tex i a et de ces Ia  quil ne quenoit pas. ainsi	que sus nombres son aqui escriptos  y estor leyo los nombres  y fallo y beinte y quatro nombres sin los çinco 	donde i nomi son qui scritti .  Ed elli comincia a leggere i nomi  e-lli conosce di tal vi à,  e di tal vi à  che non li conosce mica, 
