micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
ains que vos vos en façois ocirre. »  Et cil dient 	che vo' voi facciate uccidere». Ed e'rispondono che già tanto come sieno vivi non ne sarà 	Ains que uos uous en laisisiez ocirre. et cil dient 	lque uous vous en feissies ocirre.  Et cill dient 	que uous faire occire.  Et ilz dient 	que de uous faire occire.  Et ceulx dient 	anteque vos matasen 
que ja tant com il soient vif n’en sera portés. «  Et bien sache, font il, li chevaliers  qui venus est  por avoir le, 	portato, ee ben  sappiate, dicono  elli, il cavaliere ch’è venuto  per lui 	que ia tant comme il soient uif nen sera portes.  et bien saichent font il li cheualiers qui uenus et por lauoir 	que ia tant comme il soient vif : nen sera portes.  Et bien sache font il li cheualiers  qui uenus est pour sauoir 	que ia tant qͥlz soient uifs nen sera il porte.  Et bien sachez font ilz  que si le cheualier 	que tant quilz seront uifz ne le lesront emporter. 	porende  ya enquanto nos fueremos vibos dixeron los caualleros No sera de aqui llebado e bien sepa el cauallero  que porel es venido 
que s’il estoit encore plus preus  que Lancelos n’est, si n’en menra il point. —  Or verrons, fet ele, comment il vos en avendra. »  A ces paroles vint laiens Lancelos tos armés 	avere, se fosse ancor più  pro' che  Lancellotto, no ne menerà elli punto.— Or vedrete,  diss’ella, come voi  averra». A queste parole entrò là entro Lancellotto tutto  armato, 	que cil estoit encore plus preus  que lanc̃. nest nen manra il point.  Se uerrez uos fait ele  coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃. tous armez 	quel sil estoit plus preu encore  que la lancelot ne soit.  si ne lenmenroit il point  Or uerrois fait elle  comment il vous en lauenra. ces paroles uient laiens lancelot tous armes 	qui est uenu estoit encor plus preu  que nest lancelot  si ne lemmenera il point.  Or uerrons fait elle  comment il uous en prendra A ces paroles uient leans lancelot tout arme. 	A ces parolles uint leans lancelot tout arme. 	que aunque fuese mejor ome que lançarote  quelo no moueria de aqui vn punto agora vere dixo la donçella como vos auerna Ellos  asi fablando llego ay lançarote Armado de todas armas 
et quant li chevalier le voient venir,  si li demandent 	e quando i cavalieri il vidono 	Et quant li cheualier le uoient uenir  si li demandent 	Et quant li cheualier le uoient uenir  si li denandent 	et quant les cheualiers le uoyent uenir  si luy demandent 	Et quant les cheualiers le uoyent uenir  si luy demandent 	e los caualleros  que lo vieron preguntaron 
qu’il velt fere. « Je vueil, fet il, avoir le cors 	venire, si l domandano che vuol fare. to voglio,  diss’elli, avere il corpo 	que il wet faire. ie weil fait il auoir le cors 	que il ueullt. ie ueul fait il  auoir le cors 	quil ueult faire. Ie uueil auoir fait il le corps 	que il ueult faire ie uueil  auoir fait il le corps 	Que que queria fazer yo quiero dixo el el cuerpo 
qui laiens est. —	che là entro est 	qui saiens est. 	qui llaiens est. 	qui est leans. 	qui leans gist. 	que alla esta Pordios dixeron ellos 
Par foi, font il, vos ne l’avrois mie por nient. Nos ¡ morrons ançois tuit 	inserrato. — Per fé, dicono  elli, vo' non l’arete passo per 	Par foi font il uos ne laures pas por noiant. 	Par foi font il vous ne laures mie  pour noient nous y morrons 	Certes font ilz uous ne laurez pas pour neant nous y mourrons auant tous 	Par ma foy font il uous ne laures point  ains y mourrent tous 	vos no lo aueredes  que ante seremos aqui todos muertos 
que vos l’enportois. — A morir, fet il, en estes donc tuit,  puis que a mains  ne vos en volés soffrir !»  Si saut dedens les prones 	niente: noi ci moremo in prima tutti che voi ne l portiate! —Al morire ne siete voi  venuti, poscia che a meno non ne potete  sofferireb. i salta di dentro les 	donc i morrons ansois tuit  que uous lemportoit. Au morir fait il estes uos tuit  puis que au mains  ne uos en uolez souffrir.  Lors saut dedens les pronez. 	aincois que vous lenportes.  Au morir fait il estes vous tout uenu  puis que a mainz nen voles passer.  Cil sont dedens les prones. 	que uous lemportez Mourir uous en fault  puis  qui a moons  ne uous en pouez soufrir.  Si sault dedans les prones 	que uous lemportes. au mourrir estes uous tous uenus  puis que a moins  ne uous en uoulles passer 	que vos asi lo lleuar a morir  vos conuiene Dixo lançarote 
et il li corent sus,  kar arrieres le cuident fere sailir  por poor de morir;  si le fierent par la 	prone, ed e' gli corrono suso, ch’a terra il credono frattire  per paura di  morire,  si 'l fegono 	et cil li corrent sus  car arreres le cuident faire flatir por paour de mort  si le fierent par la 	et il lor cort sus maintenant.  Et cil a lui  quar arriere le quiderent faire flatir  pour paor de morir.  si le fierent la 	et il luy courent sus.  Car arriere le cuident faire flatir pour paour de mourir.  si le fierent par la 	Ceulx sont dedens les prosnes 	pues no vos queredes sofrir e luego salieron los Caualleros delos arcos  do estauan con miedo de ser Muertos 
ou il le pueent ataindre  et il ot el poing l’espee nue ;  si lor done grans cops et pesans  et fiert le premier  qu’il encontre si durement 	per là ov’elli il possono agiugnere.Ed elli ebbe impugnata la spada  ignuda,  si lor dona gran colpi e pesanti, e fiede el primaio  si duramente che per l’elmo né 	ou il pueent ataindre  et il ot el poing lespee nue.  si lor done grant cox et pesans et fiert le premier  quil puet encontre si durement: 	ou il le porent ataindre.  Et il auoit en la main lespee toute nue. si lor doune grans cops et pesans.  Et fiert si le premier  quil encontre 	ou ilz le peuent actaindre.  et il eut ou poing lespee nue si leur donne grans coups et pesans  Et fiert le premier quil encontre si fort. 	et il leur court sus incentinent et eulx a luy. lancelot tire son espee toute nue  et frappe sur eulx en telle maniere 	e començaronlo a ferir  por do mas mal lo podian fazer  e lançarote metio mano ala espada e firio al primero  que fallo asi duramente 
que por le hialme ne por la coife de fer ne remaint  qu’il ne li mete l’espee  jusqu’al test; et il le hurte de soi,  Si l’abat a terre.	per la cuffia del ferro non rimane  che non gli metta la spada insin  qua alla testa, ed elli il percuote di sé  medesimo, si-llo abatte a 	que por hiaume  ne por la coiffe ne remaint  que il ne li meste lespee iuscau test.  Si le hurte desor et labat a terre. 	que por coiffe ne pour heaume ne remainst  que il ne li mete lespee iusques au tesstje.  Et il le hurte si labat a terre. 	car pour le heaume ne pour la coiffe de fer ne demeure  quil ni luy mecte lespee iucquau test.  Et il le hurte de soy si labas a terre. 	que le premier  quil attaint il le met par terre. 	que porel yelmo ni Porel almofar no finco  quele no metiese la espada porla Cabeça  e dio conel en tierra e los otros lo començaron a ferir muy rreçia mente porel escudo e porel yelmo 
Et lors saillent molt irieement tuit li autre,  si depiecent son escu et son hialme et son hauberc et le blecent en pluisors lieus. 	terra. Allor salgono molto adiratamente tutti gli  altri,  si gli dispezano suo scudo  e suo 	et lors saillent tuit li autre si li deprirent son haubert et son escu et son hiaume. et le blecerent en plusors lieus. 	Et li autre as lassalent moult ireement.  et le fierent sor son heaume et sor son hauberc.  si quil li derrompent en pluisours lieus. 	Et lors lassaillent moult ireement tous les autres.  Si luy depecent son escu et son heaume et son haubert  et le blecent en plusieurs lieux. 	lors le assaillent les aultres moult uigoureusement: 	e porla loriga  asi que selo quebrantaron e Ronpieron Por muchos lugares 
	elmo, 					
	e suo asbergo gli falsano in più 					
Mais il ne li chaut de rien  qu’il li facent,  kar tant est dolens  que nus plus; 	luogora, ma e' non gli è a nulla  che gli  facciano, ch’atanto est dolente 	Mais il ne len chaut de rien.  Car tant est dolens  que nus plus ne puet estre. 	Mais il ne li chaut de chose quil li fachent.  quar tant est dolans  que nus plus.	mais il ne luy chault de riens  quil luy facent.  car tant est doulent  qui plus ne puet 	mais peu leur prouffite:  car tant est dolent  que nul plus. 	mas el no daua cosa  por aquello quele façian tanto estaua de sañudo 
si lor laisse corre par grant ire et lor done de l’espee si grans cops 	che nullo più. Si lor lascia corere  si gran colpi 	Si lor laisse corre par grant ire. et lordone de lespee si grant cox 	si lor laisse corre par grant ire lor donne de lespee grans cops 	si leur laisse courre de grant ire.  et leur donne de lespee si grans coups 	si leur laisse courir par grant ire tant	e dexo de correr aellos Con gran yra  e dauales dela espada tales Golpes 
que tos les fet guenchir avant lui.  Et lors esgarde celui des IllI.	che tutti gli fa ischencire davanti lui. Allora avisa  que' de'  quatro 	que toz les fait guenchir auant lui.  Lors esgarde de celui des qͣtre	si que tous les fait guenchir deuant lui.  lors esgarde  et voit vn dez. iiij. 	que tous les fait guenchir auant luy  Lors regarde celuy des quatre 	que tous les fait reculer de lui.  Lors regarde lun des quatre 	asi quelos façia de si arredrar e Lançarote Paro mientes en aquel 
qui plus li faisoit mal  et cil estoit molt grans et molt fors; 	che più gli faceva male a suo  aviso,  e quegli era molto grande  e molto forte; e 	que miex le faissoit a son essianc.  et cil estoit mout grans cheualiers et mout fors. 	qui plus li fait mal a son essient.  Et il estoit moult grans et moult fors. 	qui luy faisoit plus de mal a son adius.  et il estoit moult grant et moult fort. 	qui plus lui faisoit mal a son auiz	que mas mal le façia  que hera muy grande e muy fuerte 
et Lancelos  qui le vient ataignant li done par mi le hialme si grant cop 	Lancellotto, che viene 	et lanc̾  qui le uient atangnant li done parmi le hiaume si grant cop.	et lancelos  qui le vient ataignant li donne sor le heaume tel cop 	et lancelot lactaint par le heaume si grant coup 	si lui donne sur son heaume tel coup 	e diole asi vn golpe tan grande ençima del yelmo 
qu’il en fet le feu saillir,  et l’espee glace  qui de droit ne fu pas ferue. 	agiugnendo, si l fiede si gran colpo  che n diritto non fu passo  fedito, 	que il en fait le fen saillir.  et lespee glace qui droit ne fu pas ferue. 	quil en fait le fu saillir. et lespee glache  qui ne fu mie de droit ferue. 	quil en fait saillir le fer.  et lespee glace  qui de droit ne fu pas ferue 	qu il en fait le feu saillir/  et lespee glace 	que el fuego fiço salir del  e el golpe desçendio al honbro 
si descent desus la senestre espaule. Li cops fu grans et par ire ferus,  et bien i parut 	si gli discende sopra la sinistra  spalla. ll colpo fu grande  e per ira fedito 	Si li descent desous la senestre espaule.  et li cox fu grans et par ire feruset bien i parut  que lespee cola parmi lespaule au cheualier.  Si que li bras atout lespee chai seur le pauement. 	si descent sor la droite espaulle au cheualier.  si que li bras kai a tout lespee sor le pauement.  Et cil trebuche a terre 	si luy descend dessoubz la senestre espaule le coup fu grant et feru par yre.  et bien y parut. 	si descent sur la destre espaulle du cheualier: 	e Como fue dado de gran fuerça 
que l’espee cola par mi l’espaule a al chevalier, 	e bene aparve che-lla spada colò  per me' la spalla del 	et cil trebuche a terre  et se pasme: de langoisse 	qui se pasme de langoisse 	car lespee coula parmy lespaule au cheualier 		asi que porla loriga no finco 
si que li bras a tote l’espaule chiet desus le pavement. 	cavaliere, sicché la spalla con tutto il braccio cadde di sopra lo  smalto, ed e' trabocca a 	que il sent. 	quil sent. 	si qui le braz a toute lespaule chey dessus le pauement.  et il trebuche a terre	si que le bras lui cheut atout lespee sur le pauement. 	quele no derribase el braço conla espada en tierra 
				et se pasme de langoisse 		
				qu il sent. 		
Et lors sont molt esmaié li autre troi,  si font molt malvés samblant d’els deffendre  por le grant cop  qu’il ont veu  et por l’espee  que chescuns d’els a ja sentie jusqu’al sanc. 	terra, si spasima . faceva facevano della angoscia che sente. Allora sono molto ismagati tutti gli altri  tre,  si si fanno malvagio sembianti di difendere  per lo gran colpo  ch’egli ànno veduto e per la spada  ch’egli ànno sentita insin 	Et lors sont mout esmaiet li autre trois.  Si font mout mauuais sanblant daus desfandre. por le grant cop  quil ont ueu et por lespee que chascuns daus a sentie iussqua sanc. 	Et lors sont moult esmaie li autre troi.  et font moult maluais samblant daus desfendre pour le grant cop  quil ont veu. et pour lespee  que cascuns de euls a sentue iusques au sanc.	et lor sont moult esmayez les autres troys.  si font moult mauuaiz semblant de deffedre pour le grant coup  quilz ont eu. et pour lespee  que chascun a sentie icquau sanc 	Celui trebucha a terre  et se pasma de langoisse  quil sentist.  Lors sont moult esmaiez les autres .iii. 	e el cauallero conel gran dolor cayo luego en tierra amorteçido  e los otros desque aquel golpe vieron fueron muy desmayados  e fiçieron mal senblante dese defender porlos grandes golpes que façia e porla espada  que auia sentido cadavno enlas carnes 
Et Lancelos lor cort sus 	qua alle carni. E Lancellotto, ch’unque non si rimuove, lor corre suso 	et lanceloz  qui ne recroit pas lor cor sus. 	Et lancelot 	Et lancelot 	et lancelot leur court sus	e lançarote no cato 
et en fiert I. el hialme  si qu’il le fet flatir a terre d’ambesdeus les paumes.  Et quant li autre dui voient ce,  si tornent en fuies vers l’uis a garison; 	e ne fiede l’uno a monte  ne l’elmo sì gran colpo ch’elli il fa frattire a terra d’amendune le palme.ME quando gli altri due vidono  ciò, si tornarono inverso  per fuggire a 	et en fiert .i. amont el hiaume  si quil le fait flatir a teree. danbedeus les paumes  et quant li autre dui uoient ce: si corret᷑ uers luis 	qui pas ne se recroit en fiert vn amont sor le heaume.  quil le fait flatir a terre dambes. ij. lez paumes.  Et quant li autre doi voient chou.  si tornent en fuies. 	qui oncquez ne recroit leur court sus et en fiert lun amont ou heaume  si quil le fait flatir a terre des deux paumes  Et quant les autres deux uoyent ce  si tournent uers luys  pour fouir a garison.	et en fiert tellement ung ament le heaume  qu il le fait flatir a terres  Et quant les autres deux uoient ce  si tournent uers luys a garant. 	mas aquel que derribo ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra  e desque los otros esto vieron començaron a foir por guaresçer 
et Lancelos vint ataignant le deerrain,  si le fiert par entre l’escu et le bras 	guarigione,  e Lancellotto viene agiugnendo il di  dietro,  si l fiede intra lo scudo e l 	et uiennent a garison. et lanc̃ uient atangnant  et en fiert a grant uue par entre lescu et le bras 	Et lancelot ataint le daarrain si le fiert par entre se lescu et le col.	Et lancelot actaint le derrain  si le fiert entre lescu et le braz 	Et lancelot uient attaignant le derrain par entre lescu et le col	e lançarote alcanço aquel que yua de tras e firiolo asi duramente entre el onbro y el escudo 
si qu’il li trenche le poing  et li escus chiet a terre,  et cil torne en fuies 	braccio, sicché gli trinca il pugno  e lo scudo cade a terra,  e que' torna in fuga 	si quil li tranche le poing. et li escus chiet a terre.  et sil torne en fuie 	Si quil li trenche le bras  et li escus chiet a terre.  Et cil torne en fuies 	si quil luy trenche le poing. et lescu chiet a terre  a cil tourne en fuye 	si lui trenche le bras:  et lescu chiet a terre. Lancelot court a lautre 	que tenia enbraçado  que el braço conel escudo le fiço bolar en tierra 
qui maheignié se sent.  Et Lancelos vient a l’autre 	che magagnato si sente. E Lancellotto ritorna a l’altro che si 	qui afolez ce sent.  et lanc̃ uient a lautre	qui mahaignies se sent.  Et lancelot reuient a lautre 	qui se sent mehaigue  Et lancelot reuient a lautre 		e el cauallero fuese fuyendo ansi llagado como estaua e lançarote fuese enpos el otro 
qui ja se relevoit,  sel fiert de l’espee si grant cop 	rilevava, si l fiede della spada 	que ia se releuois.  si le fiert de lespee si grant cop 	qui ia se releuoit. si li donne si grant cop 	qui se releuoit.  si le fiert de lespee si grant coup	qui ia se releuoit et le fiert si grant coup 	que auia fincado  e firiolo asi enlo alcançado ençima del yelmo 
qu’il li fet le hialme voler en la place. 	si gran colpo che gli fa l’elmo volare nella piaza; 	que le hiaume li fait uoler en pieces.	que il li fait voler le heaume de la teste en le place. 	quil luy. fait uoler le heaume en la place. 	qu il lui fait uoler le heaume de la teste en la place. 	que selo fiço volar dela cabeza 
Et quant cil sent son chief nu,  si cria merci  et dist  qu’il ne l’ocie pas, kar il est pres de sa volenté fere. « 	e quando que' sente suo capo  ignudo, sì grida mercé e dice che non l’uccida  passo, ch’egli è presto di sua volontà  fare.vOr ti conviene dunque 	et quant cis sent son chief nu:  Si crie merci et dit  quil ne locie pas.  Car il est pres de sa uolente faire. sans contredit 	Et quant il sent son chief descouuert.  si li crie merci et dist  quil ne lochie mie  quar il est prest de sa volente faire. 	Et quant il sent son chief nu  si me mercy et dit  quil ne loccie pas  car il est prest de faire sa uolente. 	Quant celui sent sa teste  nue il crie mercy  et dit  qu il est prest de faire sa uoulente. Il te conuient 	e el cauallero desque vido su cabeça desarmada Con pauor de muerte  que ovo pidio le merçed  e dixole ay buen cauallero no me matedes  que yo fare toda vuestra voluntad 
Or te covient donc, fet Lancelos, fiancer  que tu le cors mon seignor Galehout conduiras a la Dolerose Garde et iluec le feras garder 	giurare, disse  Lancellotto,  che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia; nel luogo il farai guardare tanto ch’io vi 	Or te couient  dont a fiencier fait lanc̃.  que tu le cors Galeh̾. condiuras a la dolereuse garde.  et illuec le feras garder 	Lors te couuient  dont fai lancelot afiancer fait il  que tu le cors monseignor Galeholt conduiras a la ioieuse garde  Et y soies tant 	Or te conuent donc fiancer  que tu conduyras le corps de monss galehot a la douloreuse garde. Et ilecquez le feras garder 	denc promettre dit lancelot  que tu conduiras le corps de gallehaut a la douloureuse garde 	tu me juraras dixo lançarote que llebes el cuerpo demi señor galeote ala dolorosa guarda 
tant que je i viegne; 	vegna, 	tant que ie i uaigne. 	que iou y uiengne. 	tant que ie y uiegne.	tant que ie y uiengne/ et	e desque y fueres 
et se l’en te demande  qui t’i envoie,  si diras « cil	e se l’uomo ti domanda chi ve l’arà  mandato, 	et se lon te demande  qui ti enuoie:  Si diras 	Et se on te demande  qui ti envoie.  Si di que cil ti envoie 	Et se len te demande  qui te y enuoye. tu diras cil 	se len te demande  qui te y enuoie  si dis: celui 	si te preguntaren quien te ymbia  tu les diras 
qui ot les ames blanches le jor  que li chastials fu conquis. » 	e tu lor di quelli ch’ebbe l’armi bianche il giorno che l castello fu conquiso». »E elli il giura ch’elli insi el 	que cil qui ot les armes blanches. le ior  que li chastiax fu conquis 	qui ot lez blanches armes le iour  que li castiaus fu conquis 	qui eut les armes blanches le iour  que le chasteau fut conquis. 	qui eut les blanches armes le iour  que le chasteau fut cenquis 	que el cauallero delas armas blancas  que el castillo conquisto te ymbia alla 
Et il li fiance  que tot ensi le fera il. 	farà. Allor prende Lancellotto la lama 	et cil li fiance  que tout ainsi le fera il. 	Et cil li fiance  que ensi le fera il AN tel maniere 	et il luy fiance  que ainsi le fera il. 	et cefui lui promet. 	e el cauallero selo juro asi façer 
			com vous oies conquist lancelot le cors Galeholt.			
			Et lors y 			
Lors prent Lancelos la lame par le plus gros chief, 	per lo più grosso  capo, si tira 	Lors prent lanc̃. la lemme par le plus gros chief. 	quant il ot au cheualier fait fianchier a faire sa volente.  si prent le lame par le gros chief. 	Lors prent lancelot la lame par le plus gros bout 	Lors prent lancelot la lame par le gros chief 	e lançarote se fue luego parala tumba  e tomo a manos el cobertor Porel Cabo 
si tire de grant force  qu’a pou  qu’il ne se deront tos,  si que li sans li vole par mi le nes et par mi la boche  et li cors li sue d’anguoisse. 	per si gran forza  che a poco che non si dirompe  tutto, e sì che l sangue gli dirompe  per me' el naso  e per me' la bocca  e l corpo gli suda della 	si la tire de si grant force  que a pou  quil ne se desront tous.  Si que li sans li uole parmi le nes et parmi la boche  et li cors li sue dangoisse 	si le tire par si grant force. que a poi  quil ne sest tous derrompus.  Si que li sans vole parmi le nes. et parmi la bouche Et li cors li tressue de langoisse  que il en a. 	si tire de si grant force  qua pou  quil ne se derompt tout.  si que le sang luy uole par le nes et par la bouche. et le corps luy sue dangoesse. 	et la tire de si graut force  que a peu  quil ne se derompt tout et tant  que le corps lui sue dangoisse/ 	que mas hera grueso asi afuerça  porlo leuantar  quela sangre le quebro porla cabeça  e porlas narizes  quelas açerdas de todo el cuerpo se le estendieron muy fuertemente 
Mais por tote la destrece ne remaint  qu’il n’ait la tombe levee en haut à; mes nule dolors 	angoscia, ma per tutte le distrezze non rimane  che non abbia la tomba levata in alti. Ma nullo dolore ch’elli avesse unque 	mais portoie la destresce ne remaint  que il nait la tombe leuee en haut.  mais nule dolors 	Mais nulle dolors 	mais pour toute la destrece ne demeure pas  quil ne leue la tombe en hault. ne nulle douleur 	mais nulle douleur  quil eust 	asi que por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado 
qu’il eust onques ne monte rien a cele dolor  qu’il ot,  quant il vit le cors Galehout tot ensi armé  com il estoit; 	mai non fu nulla inverso  quello dolore  quand’e vide il corpo di Galeotto tutto insì armato com’egli 	que il eust onques ne monte sur rien. A cele  que il ot quant il uit le cors Galehot.  ensi arme con il estoit. 	quil ait eue ne monte riens a celi  quil ot quant il vit le cors Galeholt arme tout ensi  com il estoit. 	quil eut oncquez  mais ne fu rien a celle douleur  quil eut  quant il uu le corps galehot tout ainsi arme  comme il estoit. 	mais ne monte riens a celle douleur  qu il eust  quant il uist le corps de gallehaut tout arme ainsi  comme il estoit. 	Mas nunca el tal duelo ovo como estonçe e tal Pesar  quando el vido el cuerpo de Galeote  e estaua armado de todas armas 
si trova s’espee delés lui 	era. 	si troua lespee deles lui 	Si troua lespee deles lui 	si trouua lespee pres de luy 	Si trouua son espee empres lui 	e tenia su espada cabe 
qui molt estoit et bone et clere; et sans faille de l’espee meesmes  se fust il ocis,	eSi truova sua spada dallato a- llui  che molto era buona e  bella, 	qui mout estoit bele et bone.  et sans faille de lespee meismes ce fust il ocis 	qui tant estoit bele et boine et sans faille de lespee  se fust il ocis 	qui moult estoit bonne et bele  Et sans faille de lespee  mesmes  se fust il occis 	qui tant estoit benne et belle. et sans faulte il sen eust occiz 	si que hera muy buena e clara  e sin falta el se ouiera conella muerto  si la donçella 
se la damoisele ne li eust tolue erraument. 	e sanza fallo della spada medesima  si sarebbe elli ucciso, se-lla damigella non gliel’avesse 	se la damoisele ne li eust tolue. 	se la damoisele ne li eust desfendu  quar elle li osta lespee de sez mains. 	se la damoiscle  ne luy eust tollue erraument. 	se la damoiselle ne lui eust ostee. 	Que del lago auia venido delas manos no sela tirara 
Lors fist Lancelos une biere fere de fust  et la fist covrir des plus riches pailes de laiens,  et quant il l’ot atornee al plus richement 	tolta, perciò  rimase. Allor fece Lancellotto fare una lettiera di legno  e le facce coprire del più ricco palio di là entro. E quand’elli l’ebe aconcia al più riccamente ch’elli 	Lors fait lanc̃. faire une biere de fust et la fait courir des plus biax pailes de laiens et quant il lot atornre au plus richement 	Lors fist lancelot vne biere de fust. et le fist courir del plus riche paile de laiens  Et quant il lot atorne au plus richement 	Lors fist lancelot faire une litiere de fust.  et la fist couurir des plus riches pales de leans.  Et quant il leut atournee au plus richement 	Lors fist lancelot une biere de fust et la fist couurir du plus riche drap de leans. Quant il leust apointe le mieulz 	e luego fiço façer lançarote vnas andas  e cobrir de muy Ricos paños  e poner enellas el cuerpo de Galeote 
qu’il pot, li chevaliers prisons li dist: « Sire, fet il,  se l’en movoit tot de nuis, ce seroit sens. —  Por quoi ? fet il. —  Por ce que,  se li chevalier de cest païs savoient 	poté, il cavaliere prigione gli  disse: «Sire,  diss’elli, se l’uomo movesse di  notte, ciò sarebe gran  senno.— Perché?, disse  Lancellotto. — Per ciò,  diss’elli, che s’e cavalieri di questo paese sapessono 	que il pot. Li cheualiers prisons dit  si fait il  se len mouoit tout de nuit se seroit sens.  Por ce fait il que ce li cheualier de cest pais sauoient 	quil pot.  si li dist li cheualiers  qui le deuoit mener, Sire fait il. che seroit boin.  que nous mouissons de nuit. pourcoi fait lancelot. pour chou fait il  que se li cheualier de chest  pais le sauoient 	quil peut. le cheualier prisonnier luy dist. sire fait il  se len mouuoit  de nuyt ce seroit grant sens.  pour quoy fait il.  par ce  que si les cheualiers de ce pays sauoient 	qu il peut le cheualier prisonnier lui dist. Sire il seroit bon de emporter le corps de nuit.  Pour quoy fait lancelot  Pource fait il  que se les cheualiers de ce pais sauoient 	e el cauallero Dixo a lançarote señor yo vosloaria  si vos plugiese  que luego Mouiese de aqui conel cuerpo de galeote  Porque dixo lançarote  porque señor dixo el cauallero  porque si los caualleros desta tierra lo supieren 
que l’en len deust porter, il feroient gaitier les trespas  si qu’il seroit arestés en alcun lieu ; et por ce vos loeroie je 	che l’uomo ne l dovesse  portare, elli farebono guardare intra’  passi, sicché sarebbe arestato in alcuno luogo. E perciò vo lodere' io 	que on le deust laiens porter: il feroient garder les trespas.  si que il seroit arester en aucun lieu.  et porce loeroie ie 	que on len deust emporter. il feroient gaitier lez trespas  Si quil seroit arrestes en aucun lieu.  Et pour chou vous loeroie iou 	que len le deust la porter ilz feroient guecter les trepas  si quil seroit arreste en aucun lieu.  et pour ce uous loueroye ie	que len le deust emporter ilz feroient garder le trespas.  Et pour ce uous conseilleroie 	que de aqui lo queredes llebar faran guardar los tres pasos  asi que sera detenido en algund lugar  e poresto seria bien 
qu’il meust orendroit,  kar il seroit bien eslongiés, 	che vo' movereste oraindiritto, ché l’uomo sarebbe bene 	que il meust orendroit.  Car il seroit bien eslongiez .xx. lieues Galesches 	quil meust orendroit.  Car il seroit eslongies. X. lieues 	quil meust maintenant  car il sera bien esloigne 	que on partist  car il seroit bien eslongnie 	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote 
ains qu’il fust jors, XX. lieues englesches.  Et il s’i acorde bien; 	islungato. leghe inanzi che fosse giorno».VEd e' vi s’acorda  bene, 	ains quil fust iors.  et il si acorde bien. 	ains quil fust iors.  Et il si acorde bien. 	auant  quil soit iour de uingt lieues anglesches.  Et il si accorde bien. 	ains qu il feust iour dix lieues anglesches. Et il se y accorde/ 	e luego fiço poner las andas sobre dos palafrenes muy andadores 
si met la litiere sor Il. palefrois amblans  et enportent ensi Galehout fors de sa region;  si en font li frere grant duel et molt en sont corocié et dolenta de ce  que l’en l’enporte.  Et Lancelos le convoie grant piece de nuis, plorant et regretant sa proesce et sa valor et	si mette la lettiera sopra due palafreni  ambianti, sinne portano Galeotto fuori della religione, ma molto ne sono  e frati di là entro dolenti e crucciati dell’uomo  che ne l  porta. sE Lancellotto l’acompagna gran peza della notte piagnendo  e facendo duolo e rigratando sua prodeza e suo 	Si mestent la biere seur ii cheuaus anblans. et enportent ainsi Galeh̾. fors de la religion.  Si en font li frere mout grant duel  et mout en sont dolent.  et lanc̃ le conuoie gn̾t piece de nuit plorant et plangnant et regretant sa proesce. 	si fait mettre le litiere sor. ij. palefrois.  Et emportent ensi Galeholt hors de la maison  Si en ont li frere grant doel de ce  que on lemporte.  Et lancelot le conuoie grant piece de la nuit plaignant et plorant sa valour.	si mect la litierie sur deux palefroys amblans.  et emportent ainsi galehot hors de la religion  si en font les freres grant deul.  et sont moult corroucez et doulans de ce  qui len lemporte.  Et lancelot li conuoye grant piece de nuyt plourant et plaignant et regretant sa prouesce et sa ualeur. 	si met la littiere sur deux pallefrois amblans  et emportent ainsi gallehaut hors de la maison.  Si en ont les freres grant deul  et sont dolens  que on lemportoit. Lancelot le compartie uoie grant piece de la nuit plourant et plaignant et regrettant sa prouesse et sa ualeur. 	e lleuarlo asi  Mas mucho ouieron gran pesar los frailes quando asi lo vieron lleuar  e lançarote fue gran pieça  llorando conel cuerpo de Galeote  e diçiendo sus proezas e su valor 
se ne fust la damoisele 	valore,  e se non fosse la damigella 	et se ne fust la damoisele 	Et se ne fust la damoisele 	et se ne fust la damoisele 	Et se ne feust la damoiselle 	e si no fuese porla donçella 
qui avec lui estoit molt en eust plus fet  qu’il ne fist, 	che con esso lui  era, molto n’avesse più fatto che non fece. Ma e' se ne distornò  quand’e l’à gran peza insì  acompagnato, sì se ne 	qui auec lui estoit mout en eust plus fait  quil ne fist. 	qui auec lui estoit. moult en eust plus fait. 	qui auec luy estoit.  moult en eust plus fait  quelle ne fist 	qui auec lui estoit moult en eust fait plus  quil ne faisoit: 	que del lago auia venido Mucho fiziera mayor duelo 
mais ele l’en detorna,  et il deffendi al chevalier 	tornò, ma inanzi difende elli al cavaliere 	mais le le desfandi au cheualier	mais cele len destorna.  Et il commanda au cheualier 	mais elle len destourna  et il deffendy au cheualier	mais elle len destourna.  Et lancelot commande au cheualier	mas ella selo estoruaua  e anteque lançarote del cuerpo se tornase  Dixo al cauallero 
