	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
874	si entre Hestor laiens 	si entre hector dedans. 	et li y entre ens.	si entre leans 	et il entr ens	/ ome bueno yo voslas dire 	si entra dentro Astor 
875|876|877|878	et lors demande des costomes del chastel |quels eles sont. « |Nos les vos dirons, font il. Il est voirs |qu’il a caiens. I. chevalier, le plus felon et le plus cruel del monde 	Et lors demande des coustũes de leans |quelles elles sont. Nous les uous dirons font ilz. Il est uoir |que ceans a ung cheualier le plus felon et le plus cruel du monde 	Et puis demande lez coustumes del castel. Nous le vous dirons volentiers fait cil. Il est voirs |que chaiens a le plus felon cheualier et le plus cruel del monde. 	et demande des coustumes du chastel. Nous le uous direns uoullentiers fit celluy. Il est uray |quil y a ceans ung cheualier le plus fellon et le plus cruel du monde. 	et lors Demande des auantures de laiens. |ques eles Sont. Nous les uos mouterons bien font il Il est uoirs |quil a saiens le plus fel cheualier et le plus crueul del monde. 	Como estor se vio conel cauallero follon del castillo |Ansi es verdad dixo el / ome bueno |que aca dentro ay vn cauallero el mas follon |y el mas malo de todo el mundo 	e allor domanda de costumi di là entro |quale sono. |eNoi el vo diremo, disse quelli: egli è vero |ch’egli à qua entro uno cavaliere, el più crudele e l più fellon del mondo, 
879	et est sire de cest chastel, 	et est sire de ce chastel 	Et est sires de chest chastel.	et est seigneur de cest chastel: 	et est sires de cest chrs tel. 	e señor deste castillo 	ed è signore di questo castello, 
880|881	mais il est si preus as armes |que nos ne savons nul meillor de lui 	mais il est si preu es armes |que nous ne scauons nul plus preu de luy. 	Et est si preus as armes |que nous nen sauons nul si preu |Et por chou 	si est si preux aux armes |que nous ne scauens nul meilleur. 	Mais il est si preus as armes |que nous ne sauons plus preu de lui. |et por ce 	mas es muy gran cauallero de armas que no sauemos de otro mejor 	ma egli è si pro' all’armi |che noi no ne sapiàno niuno più pro' di lui. 
882	Et por ce qu’il sent en lui si grant proesce, se combat a tos les chevaliers 	Et parce quil sent si grant prouesce en luy il se combat a tous les cheualiers	quil si sent a si tres preu et plains de si grant proece. |se combat il a tous lez cheualiers	et par sa grant prouesse il se combat a tous les cheualiers 	quil sent en lui si grant proesce : |se conbat il a tous les cheualier 	que el en toda esta tierra |y porque el es de tan gran proeça 	E per ciò che sente in lui si gran prodeza, |si combatte elli a tutti 
							e cavalieri 
883|884|885	que aventure amaine ceste part. |Et|quant il en a alcun vaincu, 	que auanture ameinne ceste part. |Et quant il en a aucun uaincu	qui vienent ceste part |Et quant il en sal aucun uaincu 	que aduanture amaine celle part/ |et quant il en a ung uaincu 	cui auanture amainnent saiens. |Et quant il en a .i. uaincu	se conuate con todos los caualleros |quela ventura trae aesta parte o desque lo a vençido azelo desnudar del todo 	che aventura mena in queste parti, |e |quand’e n’à alcuno conquiso,
886	si le fet despoillier tot nu	si le fait despouiller tout nu 	si le fait despoiller tout nu 	sy le fait despoullier tout nu/ 	si le fait despoillier tout nu 	e fazelo arrastrar 	
887|888|889|890	et puis le fet trainer par totes les rues de ceste vile. Tiels est une des costumes de çaiens, |et c’est as chevaliers estranges.|Mais encore en i a une plus vilaine, |et si est a nostre oes; 	et puis le fait trayner par toutes les rues de la uille. telle est une des coustumes de ceans. |Et ce est es cheualiers estranges. |Mais encor en y a il une autre |qui est plus uilaine. 	et puis le fait trainer parmi toutes lez rues de ceste uille. |Et che fet il as cheualier estranges. |mais encore y a il vne coustume |qui est plus uilaine a nostre oes 	et le fait trainer par toutes les rues de ceste uille. |Et encore en y a une plus uillaine/	et le fait trainer par toutes les rues de ceste uile. |Tex est une des coutumes de ceste uille. |et cest as cheualiers estranges. |Mais encore en i a une autre |qui est plus uilainne. |et si est a nostre wes 	pormedio delas Ruas de aqueste castillo |y esta es vna delas costumbres de aqui |paralos caualleros estraños y otra ay peor |que esta dixo el |/ ome bueno 	si 'l fa dispogliare tutto ignudo: apresso el fa tranare per tutte le rughe di questa villa. |Tale est una delle costumi di qua entro, |e ciò è a' cavalieri strani. |Ma ancor ce n’à elli un’altra |che più est villana a nostro huopo: 
891	kar il n’est nus des mois de r'an 	Car il nest nul des moys de lan 	Car il nest nul ior de lan 	car il nest iour en lan 	car il nest nus mois de lan 	ca no ay mes de todo el año 	che non è nullo de' mesi dell’anno 
892	qu’il ne preingne une de nos files, 	quil ne preigne une de noz filles 	quil ne prengne vne de nos filles 	quil ne prengne une de nos filles pour tant 	que il ne prangne une de nos filles 	que el no tome vna denuestras fijas 	che non prenda una delle nostre figliuole, 
893|894	por qu’ele soit pucele, |et gist a force a li 	si elle est pucelle |et gist a force a loe 	par coi elle soit pucele. |et gist a li par force 	que elle soit pucelle/ |si gist a force auec elle/ 	por quele soit pucele |ci gist a li aforce. et	que sea virgen y yaze conella 	purch’ella sia pulcella; |si giace a forza a-llei 
895	et puis la livre as garçons a tenir en soignantage. 	puis la donne a ses garsons a la tenir ensoignantage. 	et puis le baille a vn uallet a tenir en soignangtage. 	et puys la baille a ses garchons a tenir en seruaige.	puis la done a ses garsons a tenir en songnantage. 	y despues dala a vn garçon |quela tenga por mançeba 	e poscia la dona a suoi garzoni a tenere in sua balia. 
896	Et ensi en a honies plus de XL. 	Et ainsi en a honny plus de xl. 	Et ensi en a il honni plus de xl.	Et ainsi en a il eues plus de .xl. 	et ainsi en i a honies plus de .xl. 	y ansi a confundido mas de sesenta moças birgenes denuestras fijas 	Esi ce n’à elli onite più di sessanta, 
897	dont nos tuit somes hontels et dolens 	dont nous sommes si honteux et si doulens 	dont nous sommes si dolant 	donc nous sommes tous henteux/ et dollens 	dont nos somes si hontex et si dolent: 	delo qual somos todos muy tristes y desonrrados ansi 	donde noi siamo ontosi e dolenti, 
898|899	si que nos voldrions miels morir |que vivre. 	que nous amerions mieulx mourir que uiure. 	que nous ameriemes miex a morir |que a viure. 	si que entre nous de ce chasiel uouldriens mieulx mourir que uiure. 	que nos uodriens miex morir. |que uiure. 	que mas querriamos ser muertos |que viuos 	sicché noi voremo meglio morire che vivere. 
900|901	Ce sont les malvaises costumes del chastel: |si covient 	Ce sont les coustumes de ceans si conuient 	Et chou sont lez coustumes de ceste uile. |Si couient 	OR aues ouyes les coustumes de ceste uile|si cenuient 	et ce sont les cotumes de cest chasbel. |Si couuient 	e tales son las costumbres de aqueste castillo |y conuiene 	eCiò sono i costumi di questo castello, |si conviene 
902|903	que vos metois paine a oster les |ou vos serrois pariures. » 	que uous mectez peine a les oster. |ou uous serez pariure.	que vous metes grant paine a abatre toutes yceles coustumes ou vous seres pariures. 	que mettes paine a les oster/ |ou uous seres pariure.	que uos i metes painne a eles oster |ou uous seres pariurs. 	que pongades y toda vuestra fuerça |por las tirar sino seredes perjuro 	che vo' ci metiate pena a trarneli |o vo sareste ispergiuro».
904	Et il dist 	et il dit 	Et il dist 	et il dist 	et il dit 	e dixo estor 	Ed e' dice 
905	qu’il en fera molt volentiers son pooir. « 	quil en fera tout son pouoir. 	quil en fera son pooir moult volentiers 	quil fera uoulentiers tout son pouoir/ 	quil en fera uolentiers tout sou pooir. 	eso fare yo muy de grado 	che-nne farà volentieri tutto suo podere, 
906|907	Mais comment porrai ie trover le chevalier ? — |Molt aaisiement, font il, 	Mais comment porͬay ie trouuer le cheualier moult bien font ilz 	Mafils comment porrons nous trouuer le cheualier. vous le trouerez moult bien |et el fait cil. 	mes comment pourrens nous trouuer le cheualier fist hector/ menlt aisiement fait celluy/ 	Mais coument fait il |quenostrai ge le cheualier. mout aise font il 	mas do fallare al cauallero nos voslo mostraremos |dixo el |/ ome bueno 	ma come, diss’elli, potrò io trovare el cavaliere? - Molto adagiamente, dicono elli, 
908|909	kar nos vos menrons la |ou il est. » 	car nous uous menerons la |ou il est 	Car nous vous menrons la |ou il est |se nous poons. 	car nous uous menerent tout droit la |ou il est. 	car nous uos manrons la lou il est. 	ca nos vos lleuaremos alla do el es 	ché no' vo manderemo |ov'egli ès. 
910	Lors le mainent en un molt bel jardin tot plain d’arbroisials, 	Lors le mainent en ung moult bel iardin.	Lors lenmainent en vn moult bel iarding plain darbres fors de tant 	Lors amainent hector en ung monlt beau iardin tout plain de arbresseaulx fors tant 	Lors le mainnent en un mout bel iardin tout plain daubrisiax. fors tant 	y luego le lleuaron a vn vergel lleno de arboles 	Allor lo menano in uno giardino pieno d’arbuscelli, forse tanto 
911	fors tant qu’il avoit en mi lieu une place 	si y auoit ou meilleu une place 	quil Lyauoit en mi lieu vne place	qu il auoit esleu une place 	quil auoit en milieu une place 	y en medio ay vna plaça 	ch’elli avea nel miluogo una piaza 
912	qui bien duroit un arpent de lonc et de lé 	qui bien duroit ung arpent de terre de long et de lie. 	qui bien duroit. j. arpent de lonc et de le. 	qui duroit bien ung arpent de long et de le/ 	qui bien auroit un arpan de terre de lonc et de le. 	quanto vna echadura de vallesta en ancho y en largo 	che bene durava una balestrata di lungo e di lato, 
913|914	et estoit close tot entor de lons piex agus et fors;|si li mostrent un cor d’ivoire 	et estoit close tout entour de bons peuz aguz et fors. Ilz luy monstrent ung cor diuoire	et estoit clos de boins pels agus |et fors tot entour |Et cil li moustre vn cor diuoire |al 	et estoit close tout entour de bens pieulx aguz et fors. il luy menstrerent ung cor de yuire 	et estoit close enuiron de bons pex agus et de fors tout enuiron. |si li mostrent .i. cor diuoire 	y estaua çercada enderredor de buenos palos agudos y fuertes |y mostraronle vn cuerno de vidrio 	ed era chiuso intorno di buon pali aguti e forti. |Allor gli mostrano uno corno di vivorio 
915	qui pendoit a un pin et li dient 	qui pendoit a ung pin |et luy dient 	qui pendoit a vn pin. |et li dist 	qui pendoit a ung pieu: |si luy dient 	qui pandoit a .i. |pin.et li dient 	que estaua colgado devn pino |e dixeronle 	che pendeva a uno pino, |ed e' gli dicono 
916|917|918	qu’il li covient soner cel cor, |s’il velt |que li chevaliers viegne avant. 	quil luy conuient sonner ce cor sil ueult |que le cheualier uiegne auant. 	quil li conuient sonner le cor |sil veult |que li cheualiers viegne auant. 	qu il luy cenuient le cor senner |sil ueult |que le cheualier uiengne auant. 	quil li couient soner le cor |sil uet |que li cheualiers uaie auant	señor aquel cuerno vos conuiene de tocar |si queredes que venga el cauallero 	che l corno gli conviene sonare, |se vuole cavaliere vegna avanti. 
							Quando Astore ode ciò, 
							si prende immantanente el corno 
919	Et il le prent tantost, 	Et il le prent tantost 	Et hectors le prent 	et hector prent le cor 	et il le prent 	y estor lo tomo 	e l mette a sua bocca, 
920	si le sone si haut 	si le somne si haut 	et le sonne si haut. 	si le senne. 	si le sone si haut 	y lo taño muy altamente 	si lsuona si altamente 
921|922|923	que bien grant chevalier tot desarmé |et fu montés sor I. grant destrier blanc; |et li chevaliers fu ros et lentilloz et ot le nes bas et rechignié : 	quon louy de bien loing.|Et lors uoit yssir dune tour ung grant cheualier desarme. |et fu monte sur ung grant destrier blanc. le cheualier fu roux et lentilleux|et eut le nes bas et rechigne |si sembla 	que moult sen uait a ies el loins lalaine. |Erranment issi vns cheualiers dune grant tour. |et fu montes sor. j. blanc destrier. |et li cheualiers fu rous et lentilleus. |et si ot le nes bas et tannus. et lez dens rekignies 	Et maintenant issit de une tour ung cheualier grant mente dessus ung grant destrier blanc. 	que bien long en ualoie. |et maintenant uoit issir .i. cheualier dune tor sor .i. grant cheual blanc tot desarme. LI cheualiers fu rous et lentilleuz. et ot le nes bas et rechignie. 	ansi que muy lexos se pudiera oyr |entonçes salio devna torre vn gran cauallero desarmado sobre vn gran cauallo blanco |y el cauallero hera Rufo y pecoso |y las narizes Romas 	che bene l’udisse l’uomo di meza lega di lungi. |mmantanente vide uscire d’una torre uno cavaliere tutto disarmato, |e fu montato sopr’un gran destrieri bianco, |e l cavaliere fu rosso e litiginoso |ed ebbe el viso corto e ricagnato, 
924	si sambla trop bien cruel home et felon. 	si semble bien homme cruel et felon 	si sambloit moult bien fellon et pautonniers.		si resanble bien home fel et crueus. 	y los dientes rromoludos |y bien semejaba malo y follon 	si risembiava bene crudele huomo e fellone e sanza mercé. 
925|926|927	Et la |ou il vit Hestor, |si le salua maintenant 	Et quant il uoit hector |si le salue	Et vait la |ou il voit hector. li dist. 	Et la |ou il uit hector |si le sallue/ 	et la |ou il uoit .h̾. |si le salue tot errantement.	y fue se ado estaua estor y saluolo |y estor le dixo dios graçias 	E là ove vide Astore, |si l saluta tutto|immantanente 
928	et li dist : « Diex vos saut, sire chevaliers !» 	et luy dist. dieu uous fault sire cheualier 	Diex vous saut sire cheualiers. 	et luy dist dieu uous sault sire cheualier. 	et li dit diex uos saus sire cheualiers. 	señor cauallero 	e gli disse: «Dio vi salvi, sire cavaliere». 
929|930|931	Et Hestor li rent son salu a grant paine. « |Bials sire, fet cil, |dont estes vos ? — 	Et hector luy rent son salu a moult grant peine beau sire fait il |dont estes uous. 	et hectors li rent son salu a moult grant paine|Et cil dist biau sire |dont estes vous 	Et hector luy rendist son sallut a menlt grant paine: Beau sire dist le cheualier |donc estes uous/ 	et hectros |si rent son salut a mout grant |painnes.bia sire fait il |dont estes uos.	y el cauallero le dixo a estor |señor de donde sodes vos 	WEd Astore gli rende suo saluto a gran pelna. |«Bel sire, disse quelli, |donde venite voi |e di qual paese siete? 
932|933|934	Que vos en chaut, fet Hestors, |dont je soie ? |Ja par moi nel savrois ore,	Que uous chault fait hector |dont ie soye ia par moy ne le saurez 	Que vous caille ce dist hector. |dont iou soie. la par moi ne le saures.	que uous chault fist hector ia par moy ne le scaires 	que uos chaust fait .ħ. |dont ie soie. Ia par moi nel saurois 	e dixo estor |que vos da que ya pormi no lo sabredes vos agora 	— E che vo ne cale, disse Astore, |dond’io sono? Già per me no-llo saprete ora, 
935|936|937|938	se vos ne me creantés a fere tot mon plaisir. — Vostre plaisir, fet cil, ne feroie je pas, |se je ne veoie mon preu et m’onor. |Et dites moi |quels vostre plaisirs seroit. — 	si uous ne me creancez a faire tout mon plesir. |uostre plaisir fait il. |ce ne feray ie pas |si ie ne uoy mon preu. Dictes moy |qu il seroit uostre plesir. 	se vous ne me creantes a faire mon plaisir. vostre plaisir fait cil ne ferai iou ia |se iou ni voi mon preu et monneur. |Mais dites moi |quels vostres plaisir seroit. 	se uous ne crancies a faire men plaisir. |Or me dictes |quel uostre plaisir seroit fait le cheualier. 	ce uos ne me creances a faire tout mon plaisir. |uostre plaisir fait il ne uos ferai ie pas |se ie ni uoi mon preu et monor. |et dites moi |quex uostres plaisir est. 	si me non jurades de fazer my plaçer vuestro plazer |dixo el |cauallero |no lo fare sino viere yo |y primero mi honrra mas dezid |que es vuestro plazer 	se vo' non mi giurate a fare tutto un |piacere.—Vostro piacere, disse quelli, non farò io passo, |s’i' non ne veggio mio pro e mio honore;|ma ditemi qual vostro piacere sarebbe. 
939	Certes, fet Hestor, 	Certes fait hector 	Nertes fait |dont hectors	Certes dist hector	Certes fait ħ. 	çierto dixo estor 	— Certo, disse Astor, 
940	se vos me juriés sor sains 	se uous me iuriez sur sains 	se vous me iuries sor |sains 	se uous iures sus saintz 	ce uos me iures sor sains 	si mevos jurades 	se vo' mi giurate sopra i santi 
941	que jamés ne feriés honte a chevalier ne deshonor 	que iames uous ne feriez deshoneur a cheualier 	que vous iamais ne Uferies honte ne a homme |ne a femme de cest castel. 	que iames ne feres honte ne deshenneur a cheualier errant 	que iamais ne ferez honte ne deshonor a cheualier 	que jamas faredes desonrra a Cauallero 	che giamai non farete onta né disinore a cavaliere 
942|943|944	puis que conquis l’avriés, vos feriés mon plaisir; |et d’autre part |se vos me creantiés 	puis que uous lauriez conquis. uous feriez mon plesir. |Et se uous me creancez 	ne a cheualier|puis que uous laueres conquis vous feres ma uolente et mon plaisir |et si vous diroie 	puis que uous lauries cenquis uous feries men plaisir.|Et daultre part |se uous me ceancies 	puis que uos laueriez conquis uos feriez mon plaisir. |et dautre part ce uos me creantes 	desque lo ouieredes |vençido enesto faredes mi plazer |e de mas que me juredes 	poscia che vo l’arete conquiso, |vo' farete mio piacere.|E d’altra parte, se vo mi giurate 
945|946	que jamés ne feriés honte a vos homes de lor filles, |encor le feriès vos miels.	que iamais uous ne ferez honte a uoz hommes de leurs filles |encor le feriez uous mieulx et	dont iou sui. 	que iames ne feres honte a homme de cest chastel de leurs filles encore feries uous mieulx	que iamais ne feres honte ne deshonor a uos homes de lor filles |encor le feriez uos 	que jamas faredes desonrra alos omes deste castillo desus fijas |e enesto no me faredes menos plazer |ca benirme e conbusco e deçiros 	che giamai non farete onta a vostri huomini di loro figliuole, |ancor la fareste vo' meglio.
947|948|949	Et lors m’acorderoie je a vos a et vos diroie |qui je sui |et dont. — 	lors macorderoye ie a uous. |et uous diroye |qui ie suys. 	et series acordes! a moi. 	et uous diroie |qui ie suis. 	miex.et lors macorderoi ge a uous |et uos diroie |qui ie sui 	e donde so y quien dixo el cauallero |e como vos no melo diredes en otra manera 	E allor m’acorderei io a voi |e voi direi |ch’io sono. -
950	Et vos nel diriés pas altrement ? fet cil. — Non voir, fet Hestor. 	Donc ne le direz uous pas autrement fait il. 	Et ne le feres vous autrement fait cil. |Naie uoir fait hector. 	Et denc uous ne le diries|pas aultrement fist celluy/ 	et dont. uos nel dires autrement fait cil. |Non uoir fait .ħ. 	e dixo estor porçierto no |e dixo el cauallero entonçes 	E donque nol direste altrimenti?, disse quelli. 
951	Or sachiés donc, fet cil, 	Non fait hector. or sachez fait il 	Or sachies bien |dont fait cil 	non uoir fist hector. |Or sachies 	Or sachiez |dont fait cil 	pues agora sabed 	— Non vere, disse Astore. — Or sappiate, disse quelli, 
952|953	que jamés a chevalier ne ferai honte devant |que je la vos aie fete. 	que iamais ne feray honte a cheualier |iucqua ce|que ie uous laye faicte. 	que iou ne ferai iamais honte a cheualier |deuant ce que iou le vous aie faite la plus grant |que iou fesisse onques a nul cheualier. 	que iames ne feray honte a chenalier |deuant que ie uous laie faicte fait le cheualier: 	que iamais a cheualier ne ferai honte: |deuant que ie la uos arai faite. 	que no fare desonrra aningund cauallero fasta quela faga primero avos 	che giamai a cavalieri non farò onta davanti |ch’i' la voi abbia fatta». 
954	Lors s’en part d’iluec 	Lors se part dilec 	Lors sen part diluec 	lors se part dilleuc 	Lors sen part diluec 	Como estor corto la cabeza al gran cauallero |e mato alos dos leones 	Immantanente si parti del luogo 
955	et s’en vet armer; 	et se uait armer. 	et sen uait armer. 	et se ua armer. 	et sen ua 	que guardauan ala dueña 	e se ne va ad armare, 
956	et cil	et ceulx 	Et cil 	Et ceulx	armer.et cil 	Conesto se partio el cauallero ende y fuese a armar 	e quelli 
957|958	qui en la place estoient dient a Hestor : « Sire, savés vos |por quoi il vint tos desarmés ? Il vos cuidoit tant faveler de paroles 	qui estoient en la place dient a hector Sire scauez uous |pour quoy il uint tout desarme. Il uous cuidoit deceuoir de paroles 	qui erent en la place dient a hector. Sire saues vous porcoi il vint desarmes. il vous quidoit afoler par paroles 	qui en la plache estoient disrent a hector. Sire saues uous pour|quoy il uint cha desarme/ |pour ce qu il uous cuydoit folloier par parolles 	qui en la place estoient dient a .h̾. Sire sauez uos por coi il uint desarmez. il uos cuidoit tant fauler de paroles 	y aquellos que estauan con estor dixeronle |señor sabedes vos |porque vino el cauallero desatinado |sabed 	che nella piaza erano dicono ad Astore: |«Hal, sire, |or vo guardate di lui, |ché sapiate 
959	que vos feissiés pes a lui 	tant que uous feissez paix a luy 	tant |que vous eussies fait pais a lui. 	de faire paix a luy. 	que uos feissies pais a lui 	que vos cuido tomar por palabras 	che ciò è el più disleale del mondo; |e sapete voi 
							perché elli venne tutto disarmato? 
							E' vo credette tanto favellare di parole 
960|961|962|963	et que vos ostissiés vos armes; |et si tost com vos fuissiés desarmés, il vos feist prendre |et fere tote la honte |que l’en porroit dire de boche: 	et que uous ostassez uos armes. |Et si tost que uous eussez este desarme. il uous eust fait prendre et faire toute la honte |que len scaroit dire de bouche. 	et que vous ostissies voz armes. |Et quant vous fuissies desarmes. il vous fesist prendre |et faire tant de honte |que bouce ne le vous porroit deuiser. 	et que uous ostissies uos armes |et si tost comment uous eussies este desarme il uous eust fait prendre/ |et fait tant de hente |que homme pourroit dire de bouche. 	et|que uos otissiez uos armes |et si tost comuos fussiez desarmez il uos prendit |et uos feist tote la honte |que len porroit dire de boche. 	que si fiziesedes paz conel e que tirasedes vuestras armas |e que tan ayna como fuesedes desarmado 	che vo' faceste pace a llui |e che vo traeste vostre armi. |“E si|tosto come vo' foste disarmato, |e vo facesse prendere e fare tutta l’onta |che l’uomo può dire di bocça: 
964	si a en tel maniere honi maint preudome et maint buen chevalier 	Si a en tel maniere honny maint preudomme. et maint bon cheualier 	Si a en tel maniere honi maint boin cheualier 	Si a en telle maniere honny maint bon cheualier. 	si a en tel maniere honi maint preudome et maint bon cheualier 	que vos fiziese prender |e que vos fiziese tantas desonrras 	si à elli in tale maniera oniti molti produomini e molti buoni cavalieri 
965	qui encore en seront vengié en alcun tens, 	qui encor en seront uengez quel que iour si dieu plaist. 	qui encore en seront uengie en aucun tamps 	Et ce temps 	qui encor an seront uangie. 	quantas se pudiesen dezir 	che ancora e' ne saranno vendicati in alcuno tempo, 
966|967	se Dieu plest. » En ce qu’il parloient, issi li chevaliers de la tor|et fu molt richement armés d’unes armes vermeiltes 	Ainsi quilz parloient issy ung cheualier de la tour moult richement arme dunes armes uermeilles. 	se dieu plaist. |Asi disoient cil de la place a hector. |Et endementres |quil parloient ensi. |si issi li cheualiers de la tor armes moult richement dunes armes uermeilles. 	pendant quilz parloient ainsi/ le cheualier issit de la tour arme monlt richement de unes armes merueilleuses/ 	se dieu plait en aucun tans. En ce |quil parloient ainsi issi li cheualiers de la tor|et fu mout richemet armes dunes armes uermeilles 	por voca de / ome y ellos en quanto esto fablauan salio el cauallero dela torre |muy Ricamente armado devnas armas bermejas 	se Dio piace». |sIn tale maniera dicieno quelli di là entro ad Astor la crudeltà del cavaliere.|E n ciò |ch’elli parlavano insi, |si usci el cavaliere della torre,|e fu molto riccamente armato d’une armi vermiglie, 
968|969|970|971	et ot a son col I escu vermeil |et une tance en son poing; |et la|ou il vit Hestor, 	et eut a son col ung escu uermeil. |et une lance en son poing. |et quant il uoit hector il luy dist Sire cheualier 	et si ot a son col. j. escu uermeil|et vne lance en son poing. |Et la ou il uoit hector 	et auoit a son col ung escu uermeil |et une lance en son poing/ |et quant il uist hector 	et ot a son col son escu uermeil. |et ot une lance en son poing et la |ou il uoit .h̾. 	y vn escudo vermejo al cuello |y vna lança enla mano y vn pendon |y vinose derecho a do estaua estor 	ed ebbe in su' collo uno scudo vermiglio e una lancia in suo pugno; |ce là ove e' vide Astore, 
							si gli disse: 
972	si li dist : « Sire chevaliers, huimés vos devés vos garder de moi, 	mais huy uous deuez uous garder de moy. 	si li dist |quil se gart des ore mais de lui.	si luy dit |quil se gardast de luy/ 	si li dit. Sire cheualiers hui maos uous deues uos garder de moi. 	e dixole |don cauallero guardadvos demy 	«Sire, |oggimai vo vo guardate di me, 
973|974|975|976|977|978	que je ne vos asseur pas. — |Ne ie vos, fet Hestor, |kKar onques ne vi chevalier |que je peuisse tant haïr |com je faz vos. » |Lors entrent en l’arpent 	car ie ne uous asseure pas. |ne ie uous fait hector.|car oncquez ne uy cheualier |que ie peusse autant hair |comme ie fays uous. |Lors entrent en larpent 	quar il ne lasseure mie. |Ne iou vous ensement fait hector. |Car iou ne ui onques cheualier |que iou haisse |tant |com iou fai vous |Lors entrent ambedoi en larpent 	car il ne le asseure pas. |ne moy uous fist hector |lors entrent en lerpent	Car ie ne uos aseur pas nex uos fait .h̾. |Car onques ne ui cheualier |cui ie peusse autretant hair comie fas uos. |et lors entrent en la place 	que desde oy |mas no vos aseguro |ni yo avos dixo estor |ca nunca vi tan mal cauallero como vos sodes |y luego se metieron enla plaza 	ch’i' non voi asicuro mica. |— rNé i’ voi, disse Astore, |ch’unque non vidi cavaliere |cui io potesse tanto odiare |com’io faccio|vois.“Allora entrarono nel rimonito 
979	qui estoit clos, 	qui estoit clos 	qui estoit clos ensi 	qui estoit clos/ 	qui estoit close 	que estaua çerca 	ch’era chiuso, 
980|981|982	si com je vos ai dit, |et laisse corre li uns vers l’autre, les glaives aloigniés, |et s’entrefierent sor les escus si grans cops 	comme ie uous ay dit. |et laissent courre lun a lautre les glayues esloignez. et sentrefierent si gnͣs coups sur les escuz 	com iou vous ai deuise. |et laissent corre li vns as autres. |et sentrefierent de tel force 	puys lessent courre les ungz aux aultres/ |si sentrefierent par telle force sur les escus 	si comie uos ai dit. |Si laisse corre li uns uers lautre le glaiue alongnie. |et sentrefierent a grans cox sor les escuz 	como vos dixe |y luego se dexaron correr el vno contrael |/ otro las lanças so los braços |y dieronse muy grandes golpes enlos escudos de tan grande fuerça 	si come io v’ô detto. |Allora lascia corere l’uno a l’altro, le lance islungate, |e si trafegono sopra gli scudi si gran 
983	que li glaive sont pechoié ; 	que les glayues sont ployez.	que li glaiue pechoient ambedoi 	que les glaiues sont rompuz 	que li glaiue sant pesoict. 	que fizieron bolar las lanças yn piezas 	colpiche-lle lance sono rotte; 
984	si s’entrehurtent des cors et des visages si durement 	et ilz sentrehurteut si fort des corps et des uisaiges 	et sentrencontrerent Pte al si durement 	Et ilz sentreheurtent des escus et des uisaiges si durement 	et sentrehurtent des cors et des uisages. |Si duremet 	y toparonse delos cuerpos y escudos 	“ed e' si trapercuotono di corpi e di visaggi si duramente 
985|986	qu’il se portent des chevals a terre, |si estordi 	quilz se portent des cheuaux a terre si etourdiz 	quil se portent a terre. lez cheualx sor les cors. 	quilz se portent a terre les cheuaux sur le pre. |Si sont tous deux si estonnes 	quil se portent des cheuaus a terre. |si duremet	asi fuer-temente que dieron consigo entierra los cauallos sobrelos cuerpos 	che si portano de cavalli in terra, |si istordito 
987|988|989|990|991|992|993	qu’il n’i a celui |qui tos ne soit estonés. |Mais Hestor se redreça tos premiers |et met la main a l'espee, |et cil refet autretel |qui de grant force estoit; si s’entrecorent sus, les espees drecies contremont, |et s’entredonent par mi les hialmes grans cops 	quil ni a celuy |qui ne soit tout estonne. |Et hector se drece tout le premier et mect la main a lespee. |et cil |qui de grant force estoit le fait tout ainsi |si sentreacourent sus les espees traictes et drecees contremont. |Et sentredonnent si gnͣs coups par les heaumes 	si quil ni ot celui |qui ne soit tous estordis |Mais hector se drece premierement. |et met le main a lespee. |et cil refait autretel |com cil |qui de grant force estoit. |si sentredonnent grans cops desor lez heaumes 	quil ny a celluy |qui ne soit estourdi/ |mes hector |se dreche premier |et mect la main a lespee/ et le cheualier en reffait autant. |Si sentredonnent de grans coups parmy les heaulmes 	quil ni a celui |qui ne soit tous estordis. |mais .h̾. |se redresce premiers |et met la main a lespee. |et ciz refait tout autretel |qui de grant force estoit. |si sentrecorent sus les espees drecies contremont |Si sentredonet tex cos desus les hiaumes 	asi que quedaron anbos muy estordidos |mas estor se leuanto primero |y metio mano asu espada |y el otro cauallero fizo otro tal y era de muy gran fuerça |e dieronse muy grandes golpes sobrelos yelmos 	che no v’à colui |che tutto non sia stornato. Astor si diriza primieri |e mette la mano a la spada|e que’ rifa altretal, |che di gran forza era; |si si tracorrono suso alle spade dirizate incontro a monte |e si tradonano per me' gli elmi si gran colpi 
994|995	si qu’il en font le feu saillir. |Et li oeil lor estincelent es testes au fes des cops 	quilz en font saillir le feu. |et les yeulx leur estincelent es testes. au fays des coups 	si quil en font le fu saillir. et li oel li estincelent en lor testes as fais dez Cops	tant qu ilz en fent le feu saillir/ 	quil en font le feu saillir. |et li oil lor estaincelet an testes au fais des cox 	asi que fuego fazian salir dellos |e cortauanse los çercos dellos 	che-nne fanno el fuoco salire;|e gli occhi loro stancelliscono nella testa al fascio de colpi 
