0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere le filz |et le saint esperit 	0|1
885|886	et je vos herbergerai tot a vostre voloir. » |Et il dist 	et ie uous herbegeray tout a uren uoulente/ il se excuse 	674
887	que si feist il volentiers, 	disant 	675
888	mais il n’en est mie encore tens a. e Par la foi, fet ele, 	que il nest pas encore temps de herbeger/ |par la foy fist elle 	676|677
889	que vos devés a la rien del monde 	que uous deues a la riens du mende 	678
890	que vos plus amés, venés i.» 	que uous plus ames uous y uendres/	679
891	Et il li dit 	et il dist 	680
892|893	que|tant l’a conjuré 	quelle la tant ceniure 	681
894|895	qu’il i ira; |si monte 	que elle len merra auec elle/ 	682
896|897	et aquelt sa voie avec la damoisele; |si vont bien I. lieues englesches, 	lors cheminerent ensemble bien deux lieues englesches 	683
898	et tant qu’il voient un petit chastel el chief d’une mareschiere». « Sire, fet ele, veés la le chastel 	et tant quilz uiennent a ung petit chasteau eu chief de une marchie. Sire fait elle uees la le chastel 	684
899	ou vos girrés anuit.» 	ou nous gerrons ennuyt |sil uous plaist. 	685|686
900|901	Lors sont venu cele part, |si entrent dedense; 	ATant sent uenus au chastel: 	687
902	si les descendi l’en a molt grant joie	et quant ilz sent au maistre pallais |si les dechendist len a monlt grant ioye 	688|689
903|904	et enmenerent amont mon seignor Gauvain; |si le desarment 	et amenerent monsieur gaunain ament	690
905|906	por lui alegier.|Et la damoisele le maine en une chambre jonchiee d’erbe fresche por la chalor 	et le desarmerent/ la damoiselle le maine en une chambre ienchiee de herbe uerte pour la challeur 	691
907	qui assés estoit grans. 	qui estoit grande. 	692
908	Et quant il i ont I. poi sis, uns vaslés entre laiens 	Et quant ilz ont ung petit seiz ung uarlet entra leans 	693
909	et dist a la damoisele: « Dame, mes sires est venus, 	et dit a la damoiselle/ dame monsieur est uenu/ 	694
910	qui amaine avec luiXXX. chevaliers. — Va ten, ret ele, 	qui bien amaine iusques a .xxx. cheualiers. |Uatost fait elle 	695|696
911	si li di 	si luy diz 	697
912	que il viegne a moi,	quil uiengne a moy/ 	698
913	si vera quel oste je li ai amené. »» 	sy uerra |quel hoste ie luy ay amene/ 	699|700
914	Lors demande mesire Gauvain 	lors demande monsieur gau. 	701
915	por quoi il amaine tant de chevaliers. « Sire, fet ele, je le vos dirai. Il est voirs 	pour quoy il amaint tant de cheualiers. Sire fait elle ie le uous diray/ il est uray 	702
916|917	que ci pres, a I. Iieues englesches, |avra demain I. tornoiement feru devant le chastel del Molin, si buen 	que a .ii. lieues prez dicy aura demain ung tonrnoiement feru deuant le chastel du moulin sy bon 	703
918	que de meillor n’oïstes mes pieça parler; 	que de meilleur ne ouyst oncques homme par ler 	704
919	si le fet ferir li rois Narbaoc 	Si le fait ferir le roy marborras	705
920	qui estoit parens Galehout, le fil a la Jaiande; 	qui estoit cousin gallehault le filz a la gayande: 	706
921	et ont establi entr’els 	et ent establi|que cellui 	707|708
922	que cil qui al meillor de tos i sera esleus avra. I. esprevier et I. faucon en reconoissance de victoire. 	qui au meilleur sera esleu aura ung espreuier et ung faucen en recengnoissance de uictoire. 	709
923	Et se il avient 	Et se il aduient 	710
924	qu’il amaint s’amie avec Iui, ele avra le plus riche chapel del monde. 	quil amaine samye auec luy elle aura le plus riche chappel du monde |Et pour ce 	711|712
925|926	Et por ce que mes amis voldroit volentiers conquerre ceste honor, |a il mandé chevaliers de cest païs	que men amy uouldroit uoullentiers cenquerre cest honneur il a mande tous les cheualiers de cest pays 	713
927	qui seront demain o lui, 	qui auec luy serent demain pour ce 	714
928	por ce que uns chevaliers sols ne porroit mie granment fere en si grant tornoiement, 	que ung seul cheualier ne pouroit mie ainsi grant faiz sonstenir	715
929	se il n’estoit de trop haute proesce a : 	se il nestoit de trop grande prouesse. 	716
930	si a ja dit 	Si a dist 	717
931	que il me menra avec lui 	qu il me menera auec luy/ 	718
932	et que j’avrai le chapel, 	et que ie auray le chappel 	719
933	s’il onques puet. 	sil peult:	720
934|935	Si vos pri, mesire Gauvain, |par la foi 	si uous prie monsigneur gau. par la foy 	721
936	que vos devés le roi Artu vostre oncle, 	que uous deues a mensieur uren oncle le roy artus 	722
937	que vos i viengniés demain 	que uous soyes demain 	723
938	et aidiés a mon ami. 	pour aider a men amy. 	724
939	Et je sai bien 	Et ie ose bien dire 	725
940	que, 	que se nous auens uostre aide 	726
941	se vos le volés fere, nos en avrons le victoire et vos l'onor, 	que nous en aurens lonneur et la uictoire. 	727
942|943	lar par vos vaintra mes amis le tornoiement, |se il le vaint. » 	car par uous uaincra mon amy le tournoiement. 	728
944	Et il dist 	Et il dist 	729
945|946	qu’il ira molt volentiers, |puis qu’ele l’em prie; 	quil luy aidera uoulentiers/ 	730
947	et cele l'en mercie molt A ces paroles vint en la chambre li sires de laiens et c'estoit. I. grans chevaliers, bien fes de cors 	et elle len mercie monlt doulcement A Ces parolles uint le sire en la chambre |et cestoit ung cheualier bien fait de corps	731|732
948	et blons comme laine,	et estoit blonc comment laine/ 	733
949	et avoit non Tanaguins li Blons, 	et auoit a nen tanaguis le blent pour ce 	734
950	por ce qu’il estoit L. des plus blons chevaliers de tot le païsa 	qu il estoit ung des blens hommes du monde. 	735
951	Et quant s’amie le voit venir, 	Et|quant samie le uoit uenir 	736|737
952	si se drece encontre lui 	sy se adresche centre luy 	738
953	et li dist : « Veez ci mon seignor Gauvain 	et luy dist. sire uees cy mensigneur gauuain 	739
954|955	qui nos aidera demain al tornoiement. » |Et	qui uous aidera demain au tournoiement.	740
956|957	quant cil l’entent, |si cort a mon seignor Gauvain les bras tendus	Et quant celluy lost si court a mensieur gau. les bras tendus/	741
958	et dist 	et luy dist 	742
959	que bien soit il venus sor tos les chevaliers del monde. 	que bien soit il uenu/ 	743
960	Et lors s’asient, 	et lors se assirent	744
961	si commencent a parler de lor aferes et s’entracointent al miels 	et commencherent a parler de leurs affaires/ |et sentre acoinctent au mieulx	745|746
962	qu’il sevent »; 	qu ilz peuent. 	747
963	Et mesire Gauvain li demande	Et monsieur gauuain luy demande 	748
964	comment il a non 	comment il a a nom 	749
965	et il li dist 	et il se nomme 	750
966	et puis li conte del tornoiement 	puis luy compte du tournoiement 	751
967|968	qui doit estre, |ensi 	qui doibt estre tout ainsi 	752
969|970	com la damoisele li avoit dit,|ne il ne cuidoit pas 	comment la damoiselle luy auoit dist. 	753
971|972	qu’il le seut encore; |puis li requiert	Si luy prie	754
973	qu’il l’en art; 	qu il soit en son aide 	755
974|975	et mesire Gauvain dist |que si fera il volentiers. « Voire, fet cil, en non Dieu, 	et mensieur gauuain lui accorde uoulentiers. Sire fait le cheualier 	756
976	dont ne dot je mie que je n’en aie l’onor, 	denc ne doubte ie pas |que ie naie lenneur du tournoiement 	757|758
977	puis que vos serois en m’aide; 	et si maist dieu ie uous en scay meilleur gre 	759
978	et	que 	760
979|980	si m’aït Diex, ie vos en sai meillor gré |que se vos me donissiés le meillor chastel 	se uous me eussiez donne le meilleur chasteau 	761
981|982	que vostre oncles li rois ait. a » |Atant assistrent al souper, 	qui soit a uostre encle le roy artus. 	762
983	si mengierent molt lieement 		
984|985	et molt furent lié cil de laiens de la pramesse |que mesire Gauvain lor avoit fet, 	MOult furent ioyeux ceulx de leans de la promesse de monseigneur gauuain 	763
986	kar grant fiance avoient en lui de vaintre le tornoiement. A l’endemain, 	car plus grant fiance auoient en lui 	764
987	quant il furent atorné chescuns a sa maniere, 	quilz nauoient en nul des autres 	765
988|989	si fist li chevaliers vestir sa damoisele |et atorner si richement 	Et lendemain fist le cheualier uestir la damoiselle moult richement: 	766
990	que nule ne peust estre plus cointement ne plus bel, 		
991	kar il savoit bien 	car il sauoit bien 	767
992	qu’ele seroit veue de haus homes et de riches barons: 	que elle seroit ueue des haulx et des riches barons. 	768
993|994	et ele estoit sans faille une des plus beles damoiseles de tot le pars. |Et	Et elle estoit sans faulte une des belles damoiselles du monde. 	769
995	lors s’em partirent 	Lors se partirent 	770
996	et errerent tant 	et errerent tant	771
997	qu’il vindrent desus Ie tertre ;		
998	si virent en la valee desos le tornoiement 	quilz uindrent dessus ung tertre |et uirent 	772|773
999	qui estoit ja commenciés en une molt bele praerie 	que le tournoiement estoit ia commence en une moult belle praerie 	774
1000	qui bien duroit II. lieues de long et une de lé. 	qui bien duroit sept lieues de long et une de large. 	775
1001	Et li rois Narbaoc ne portoit pas armes celui jor, 	et le roy marborac ne portoit pas le iour armes 	776
1002	ains avoit fet drecier en mi les pres unes loges de fust 	aincois auoit fait drecer une loge en my les pres/ 	777
1003	ou la roine sa feme et les dames et les damoiseles del pais s’estoient totes alees apoier 	ou la royne sa femme estoit et toutes les dames et les damoiselles du pais 	778
1004	por le tornoiement veoir; 	pour ueoir le tournoiement. 	779
1005	si avoit iluec une niece la roine 	Si y auoit illec la niepce a la royne 	780
1006	qui disoit, oiant totes, 	qui disoit oyans toutes 	781
1007	qu’ele avroit le chapel, 	que elle auroit le chapeau 	782
1008	kar ses amis le faisoit miels que nus 	et que son ami le faisoit mieulx que nul 	783
1009	qui encore fust venus a l’assamblee. 	qui y fut encores uenu, 	784
1010|1011	Mais quant I'amie Tanaguin i fu venue|et ele or̈ la vantance 	et la damoiselle amie de tanaguis ouist la uentance 	785
1012	que la damoisele faisoit, si dist 	que elle auoit faicte |si dit 	786|787
1013	qu’ele ne disoit mie voir. « 	que elle ne disoit pas uerite. 	788
1014|1015	Por quoi ? fet cele. |Por ce, fet l'autre, 	Pour quoy fist elle 	789
1016|1017	qu’il i a meillor chevalier de lui |qui orendroit i est venus. — 	Pour ce quil y aura encores meilleur cheualier que lui. 	790
1018	Et qui est il a fet la damoisele. —	Qui est il fist elle. 	791
1019|1020	Par foi, fet cele, |son non ne savrés vos pas ore, 	Par mon chief dit lamie de tanaguis le nom ne saurez uous ores pas 	792
1021	mes vos le porrois conoistre par tens. » 	mais uous le pourrez cengnoistre par temps. 	793
1022	Lors est cele molt corocie; si dist a la damoisele 	LOrs fut celle moult courroucee/ |si dist a la damoiselle 	794|795
1023	qu’ele s’en viegne apoier delés li, 	que elle se uenist appuier empres elle 	796
1024|1025	si li mosterra le chevalier |qu’ele dist, 	si lui menstrera le cheualier Uoulentiers dit elle. 	797
1026	et cele i vet, 	Si uient 	798
1027|1028	si regarde les chevaliers |qui poignoient amont et aval. 	et uoit poindre les cheualiers ament et aual. 	799
1029|1030	Et mesire Gauvain demande a Tanaguin |de quel part il se voldra torner; 	et messire gauuain demande a tanaguis de quel coste il ueult tournoier. 	800
1031	et il dist 	Et il dit 	801
1032	qu’il velt estre encontre la gent le roi, 	quil uouldroit estre centre les gens du roy. 	802
1033|1034	si se torne devers le conte des Broches, |et cil quens avoit le tornoiement enpris encontre la gent le roi a. 	Or bien soit fait messire gauuain. 	803
1035|1036	Quant il se sont torné de cele part |ou il vuelent, 	Si poingnent pour aider a leurs compaignons 	804
1037|1038	si poignent |por aidier a lor compaignons et mesire Gauvain se met es rens por joster. 	Et messire gauuain sen ua es rens 	805
1039	Et maintenant vint encontre Iui I. chevaliers molt preus; 	Et maintenant uint ung cheualier contre lui 	806
1040	si s’adrecent li uns a l’autre 	si sadrescent lun contre lautre 	807
1041	tant	tant	808
1042|1043	com cheval pueent aler. |Mesire Gauvain abat le chevalier si felenessement 	comme les cheuaulz peuent courir Menseigneut gauuain abatist le cheualier 	809
1044	que al chaoir 	si fellonnessement	810
1045	ot cil brisié le bras senestre. 	que au cheoir eut le bras rompu: 	811
1046	Et il laisse maintenant corre as autres, l’espee nue en la main, 	et il laisse courir erramment aux autres lespee en la main 	812
1047|1048	si fiert |et abat devant lui 	si fiert parmi et par tout	813
1049|1050	quanqu’il ataint, |si trebuche chevaliers et chevals par cops de lance ou d’espee, 	et trebuche deuant lui cheualiers et cheuaulx par coup despee ou de lance. Il ne refuse nul 	814
1051	si point amont 		
1052	et aval ne ne refuse nul		
1053|1054	qui le weille atendre » : |si le fe si bien en totes manieres 	qui a coup le uueille attendre. si le fait si bien 	815
1055	que tuit dient 	que tous dient 	816
1056|1057	qu’il en doit avoir le los et le pris. |Et cele 	quil doit auoir le pris Celle 	817
1058|1059	qui estoit amie Tanaguin dist a la niece le roi: « Damoisele, |ne vos disoie ie voir ? 	qui estoit amie de tanaguis dit a la niepce de la royne. Damoiselle ne uous disoie ie pas bien. 	818
1060	Ce est cil a cel escu blanc 	Cest celui |a cest escu blanc 	819|820
1061	qui tot vaint. — 	qui uaincra tout 	821
1062|1063	En non Dieu, fet cele, vos parlés encore trop tost, |kar par aventure, se il le fet orendroit bien, 	Et elle lui respont. 	822
1064	tels chose puet avenir 	Telle chose pourra auenir 	823
1065|1066	qu’il ne le fera mie sempres si bien: |et 	quil ne fera pas si bien. 	824
1067	por ce n’en devés vos mie tant dire 		
1068|1069	que vos n’i puissiés recovrer |et que vos ne vos en repentois. — Je ne m'en repentirai ja, fet cele, 	et pour ce ne uous en repentissiez ia. Ie ne men repentiray ia dit elle 	825
1070	kar je sai bien 	car ie scay bien 	826
1071|1072	qu’il le fera sempres miels |qu’il ne fet ore; 	quil le fera tousiours de bien en mieulx. 	827
1073|1074	et|si vos le conoissiés ausi bien 	et se uous le congnoissiez aussi bien 	828
1075	comme je fas, 	comme ie faiz uous ne uous en desdiriez ia. En ce 	829
1076	vos nel desdiriés ja. » En ce qu’il parloient issi, 	quilz parloient ainsi 	830
1077|1078	si issirent del chastel bien II. cens chevaliers armés; |si poignent 	si issirent du chasteau iusques a deux cens cheualiers armez 	831
1079	por aidier a la maisnie le roi 	pour aider aux leurs 	832
1080	qui ja defailloit durement, 	qui ia defailloient/	833
1081	kar trop malement les menoit mesire Gauvain. 	car trop malement les menoit menseigneur gauuain. 	834
1082	Et quant il sont venu a l’asamblee, 	Et quanr ilz sont uenus a lassemblee 	835
1083	si le font si bien 	si le font si bien 	836
1084	que avant les fers de lon lances ne remaint chevaliers en sele 	que apres eulx ne demouroet nul en selle 	837
1085|1086	qu’il ne facent voler a terre; |si les destrainent 	quil ne feissent uoller a terre 	838
1087|1088	si que a force covient a la gent le conte guerpir la place, |kar trop sont cil 	Si que aux gens du conte conuint guerpir place 	839
1089	qui encontre els estoient; 		
1090	si s’en fuissent fui tot,	Si se en feussent fuys 	840
1091	quant mesire Gauvain recuevre si bel 	quant menseigneur gauuain les recueure si beau 	841
1092	que tuit se merveillent de sa proesce, 	que tous ceulx de la place sen merueillent. 	842
1093	si s’esforce tant a quelque paine 	Si sefforce tant a quelque peine 	843
1094	que si compaignon sont remis o lui 	que ses compaignons sont demourez auec lui |pour bien faire. 	844|845
1095|1096	Et lors vint a l’assamblee le freres le conte des Broches, |si amena avec lui bien trois cens chevaliers a; 	LOrs uint le frere du conte lequel amena auec lui bien deux cens cheualiers 	846
1097|1098	et|quant il aprocherent 	Et quant ilz approucherent	847
1099	si qu’il n’i ot que del ferir, 	si ny eut que du ferir/ 	848
1100|1101	si vindrent si randoneement |qu’il rechacierent ariere la maisnie le roi 	si qu ilz mainent les cheualier du roy iusques a leurs lisses 	849
1102	jusqu’a lor lices;		
1103|1104	mais iluecques se retindrent comme cil |qui molt estoient preudome, 	mais illec se tindrent ung peu comme preudes hommes/ 	850
1105	s’il ne fuissent si poi, 	si ilz ne ilz ne feussent si peu 	851
1106	si soffrirent une piece cels 	Si souffrirent une grant piece ceulx 	852
1107	qui de pres les enchaçoient. En ce qu’il estoient a si grant meschief », 	qui les enchassoient. 	853
1108	si venoit aval les pres I. chevaliers armés d’unes armes vermeilles 	Ainsi quilz estoient aual les pres ung cheualier arme de unes armes uermeilles 	854
1109|1110	et fu si sols |qu’il ne menoit avec lui escuier ne garçon e; 	et estoit lui seul. 	855
1111	si commença a regarder le tornoiement 	Si commenca a regarder le tournoiement 	856
1112	et vit les gens le conte t 	et uit les gens du cente 	857
1113|1114	qui trop bien se defrendoient, |com a tel meschief. 	qui trop bien le faisoient. 	858
1115	Et li chevaliers se torne maintenant devers les gens le roi, 	Et le cheualier se met deuers les gens du roy |pour les aider 	859|860
1116|1117	et quant li hiraut a le voient, |si commencent a crier: « 	Et quant ceulx de dela le uirent erraument commencerent a crier 	861
1118|1119	Or ça, gentils chevaliers, aide a cels |qui greignor mestier en ont !» 	Or sa gentil cheualier aidez nous aidez nous. 	862
1120	Et il se met tantost es rens encontre cels 	Et il se met tantost en leur aide/ contre ceulx	863
1121	que mesire Gauvain aidoit; 	que monseigneur gauuain aidoit. 	864
1122	si tor laisse corre 	Si leur laisse courre 	865
1123	et abat le premier 	et abat le premier	866
1124	qu’il encontre, 		
1125|1126	et puis le secont,|et puis le tiers ; 	quil encontre et puis le second et le tiers. 	867
1127	si fet tant que d’un glaive en abat Ilil. 	Si fait tant|que de ung glaiue en abat quatre. 	868|869
1128	Et lors met la main a l’espee, 	Et lors mist la main a lespee 	870
1129	si se met en la greignor presse 	et se mist en la greigneure presse 	871
1130	et le fet si bien al premier poindre	et le fait si bien au premier poindre 	872
1131	que il les fet tos resortir plus d’une archiee », 	que tous les fait resortir/ 	873
1132|1133	ne nus nel voit |qui net redot, 	ne nul ne le uoit 	874
1134|1135	lar il n’ataint chevalier a droit cop|a cui il ne face widier les arçons; 	qui ne le doubte. 	875
1136|1137	si haste |si ses enemis 	Si haste ses anemis 	876
1138	que tuit li roial sont recovré par la proesce de lui.	que tous les royaux sent recouuers par sa forche/ 	877
1139	Et cil devers mon seignor Gauvain en sont si esbahi 	et ceulx de deuers mensieur gauuain sent si esbahis 	878
1140|1141	qu’a poi|qu’il ne s’enfuient de la place. 	que a poy qu ilz ne sen fuyent de la place/ 	879
1142	Lors dient cil 	lors dient tous ceux 	880
1143	qui as fenestres estoient des loges 	qui aux fenestres estoient	881
1144	que tot vaint li vermals chevaliers, celui 		
1145|1146	qui porte l’escu vermeil al blanc lion a, |et tant que mesire Gauvain en ot la novele 	que le cheualier uermeil au lyon blanc a tout uaincu/ monsieur gau. en ouyt la nouuelle 	882
1147	qui s’estoit alés aventer hors del tornoiement: si li dist I. garçons 	qui ung pou se estoit alle esuenter. |Si luy dist ung garcon 	883|884
1148	que laiens a I. chevalier, le meillor 	que leans a ung cheualier le meilleur 	885
1149	que l’en veist onques mes, 	quil ueist encques 	886
1150	kar il tos sols a desconfite la gent le conte 	qui tout seul a uaincu le tournoiement. 	887
1151	et par Iui sont recovré li home le roi 	Car par luy sont recouuers les hommes du roy 	888
1152	qui orendroit estoient si au desos 	qui ores estoient au dessoulz. 	889
1153	qu’il erent tuit desconfit. 	Et	890
1154	Quant mesire Gauvain l’entent, 	quant monsieur gauuain lentent 	891
1155	si se merveille molt 	si se merueille 	892
1156|1157	qui il puet estre; |si relace molt tost son hialme 	que ce peult estre sy lache son heaulme 	893
1158	et prent une lance, la plus fort 	et prent une lance la plus forte 	894
1159	qu’il pot trover, 	quil peult trouuer/ 	895
1160	si vient bruiant as rens 	sy uint tout bruyant au tournoiement 	896
1161	et encontre le chevalier vermeil 	et encontre le cheualier uermeil	897
1162	qui avoit lance recovree. 	qui auoit lance recouuerte/ 	898
1163|1164	Et si tost com il s’entrevirent, |si muet li uns vers l’autre, 	si coururent sus lun a lautre 	899
1165|1166	et li cheval furent fort et bien corant,|si vindrent tost. 	et sentrefierent sur leurs escus si durement/ 	900
1167	Et li chevalier furent de grant pooir, 		
1168|1169	si s’entreñerent si durement sor les escus |que les lances volent en pieces; mes ne chaï ne li uns ne li autres, 	que les lances uollerent en pieces mes ne chayt ne lun ne laultre/ 	901
1170|1171	ains s’en passent outre tuit afichié ». |Se mesire Gauvain est dolens de ce 	ains sen passerent oultre/ mensieur gau. fut monlt dollent 	902
1172	qu’il n’a le chevalier abatu, cil est cent tans i plus dolans de ce	quil ne auoit le cheualier abatu/ |encore en fut laultre cent foys plus dollent/ de ce 	903|904
1173	qu’il n’a abatu mon seignor Gauvain; 	quil nauoit abbatu mensieur gau.	905
1174	si en est si honteus 	si en est tant henteux 	906
1175	qu’il ne set 	qu il ne scait 	907
1176	qu’il doie devenir. 	quil doibt faire/	908
1177	Et tuit cil 	et tant que ceulx 	909
1178	qui la joste ont veue dient 	qui la iouste ont ueue/ dient 	910
1179|1180	que molt sont li dui chevalier de grant proesce. |Et il reprenent lances; 	que monlt sont les .ii. cheualiers de grande prouesse. Il reprindrent lances 	911
1181|1182	si s’adrece li uns vers l’autre par mi les rens |qui bien 	et se adrecha lun encentre saultre/ 	912
1183|1184	lors estoient delivre e ; |si se refierent si grans cops 	si sentrefierent si grans coups 	913
1185	qu’il se metent par mi les escus et par mi les haubers les glaives trenchans, 	quilz sentremettent les fers des glaiues parmy les escus/ 	914
1186	mais il n’i a celui 	mes il ny a celluy 	915
1187	qui gaires soit navrés. Il s’entrehurtent des cors et des visages si durement	qui gueres soit naure/ |si sentreheurtent des corps et des uisaiges 	916|917
1188	qu’il n’i a celui 	tant quil ny a celluy 	918
1189	a cui li cervials ne soit si trobles	a qui le ceruel ne soit trouble/ 	919
1190	que a paines se pueent il tenir as arçons; 	si que a paine se peurent tenir es archans/ 	920
1191	mais trop est mains grevés li chevaliers 	mes trop est mains greue le cheualier 	921
1192	que mesire Gauvain, 	que mensieur gau. 	922
1193	si revient tost de l’estordison	Sy uiennent tous de estourdison 	923
1194	et prent une grosse lance, tote la plus forte 	et prent chascun une lance la plus forte 	924
1195	qu’il pot avoir.	quil peult auoir/ 	925
1196	Et autretel fist mesire Gauvain 		
1197	qui encore estoit tos estordis »; 		
1198|1199	si point li uns vers l’autre |por fere la tierce joste 	si poignent lun centre laultre 	926
1200|1201	et se fierent par mi les escus; |si brise mesire Gauvain son glaive. 	si que mensieur gau. brise son glaiue/ 	927
1202	Et li chevaliers le fiert de si grant force 	et le cheualier le fiert de si grant force 	928
1203	que il le porte del cheval a terre tot envers, 	quil le porte du cheual a terre tout enuers/ 	929
1204	puis s’en vient outre 	et puys sen ua oultre 	930
1205	por parfere son poindre. 	pour faire son poindre.	931
1206	si trait l’espee 	Si trait lespee/ 	932
1207	et se fiert entre la gent le conte, 	et se fiert entre les gens au conte/ 	933
1208	si les en maine ferant jusques devant les loges 	si les maine ferant iusques aux loges 	934
1209	ou les dames et les damoiseles estoient apoies. 	ou les danes estoient apuyees: et	935
1210	Et quant il les a amenez tresque la, 	quant il les a menes iusques la/ 	936
1211	si tornent en fuies, 	si tournent en fuyant uers leur repaire/ 	937
1212	kar plus ne pueent mes soffrir.	car plus ne osent estre au tournoiement. 	938
1213	Et lors commence la chace 	Et lors commenca la chasse 	939
1214	qui longuement dura tant que molt en pristrent les gens le roi. 	qui longuement dura/ |car monlt en prindrent les gens du roy. 	940|941
1215	Et quant li vermals chevaliers voit	Et quant le uermeil cheualier uoit 	942
1216|1217	que tuit cil sont desconfit sans recovrer. |si s’en revet tot son chemin 	quil eust tout descenffit sans recouurier/ 	943
1218	et se fiert en la forest 	si se met en la forest 	944
1219	qui pres d’iluec estoit. 	qui pres dillec estoit. 	945
1220	Et		
1221|1222	quant mesire Gauvain fu remontés, |si a si grant duel et si grant honte 	Et mensieur gau. fut remente si a si grant deul et si grant honte: 	946
1223	qu’il n’ose remanoir en la place, 	qu il ne ose demourer en la place/ 	947
1224	ains s’en vet sans congié Prendre aprés le chevalier 	ains sen ua apres le cheualier 	948
1225	qui abatu l’a, 	qui abbatu lauoit 	949
1226	et dist 	et dist 	950
1227	que iamés ne finera tant 	que iamais ne finera	951
1228	que il l’avra ataint, 	deuant quil aura actaint. 	952
1229|1230	et s’il n’est de la maison le |roi, il se combatra a lui 	Et sil nest de la maison du roy artus il se combatra tant a luy 	953
1231	tant que li uns en sera outrés l ou mors, 	quil sera mort et oultre/	954
1232	ne autrement ne puet remanoir. 	car aultrement ne peult estre. 	955
1233|1234	Et|se il seust 	Et se il sceust uraiement 	956
1235	que Lancelos fust vis, il cuidast veraiment 	que lancelot fut uif/ il cuidast bien 	957
1236	que ce fust il; 	que ce feust il/ 	958
1237	mais par ce qu’il croit 	mes pour ce|quil cuydoit 	959|960
1238|1239	qu’il soit mors, |n’en set il 	quil feust mort nen sauoit il 	961
1240	que dire. 	que dire: 	962
1241	Si s’en vet vers la forest, corociés et plains d’ire, 	si sen ua uers la forest grant alleure tout courouchie 	963
1242	et regrete sa mescheance 	et regrette sa mescheance	964
1243	qui ja li est avenue en ceste queste Il. fois En tel duel 	qui ia luy est aduenue en ceste queste par deux foys. EN tel deul 	965
1244	et en tel ire chevalche	et en telle aire cheuaucha mensieur gauuain/ 	966
1245	si qu’il voit tot adés devant lui les esclos al chevaliers et bien set 	et uist iousiours|deuant luy les esclos au cheualier/ 	967|968
1246	qu’il le sieut droitement a ; 	et bien sceust |que cestoit il.	969|970
1247	si a tant alé	Si a tant alle 	971
1248|1249	qu’il vint chiés un forestier |qui estoit herbergiés dejoste I. vivier, 	quil uint chiex ung forestier 	972
1250	et il estoit ja pres de nuit; 	et il estoit ia pres de nuyt/ 	973
1251	si entre en la cort et seriant li saillent a l’estrier 	si entra en la court et les sergans luy saillent a lestrief 	974
1252	por lui descendre, 	pour luy deschendre/ 	975
1253|1254	puis le desarment et l’enmainent laiens en la maison |qui molt estoit grans et bele. 	puys le desarment 	976
1255|1256	Et|quant il i est entrés, 	et le mainent leans. 	977
1257|1258	si trueve Hestor des Mares |qui se seoit en une cochie; 	Et quant il est entre si treuue hector des mares en une couche couche/ 	978
1259	et quant cil le voit, 	et quant celluy le uoit 	979
1260	si li saut al col 	si luy sault au col 	980
1261	et dit 	et dit 	981
1262	que bien soit il venus, 	que bien soit il uenu 	982
1263	et mesire Gauvain li fet greignor samblant de ioie 	Et mensieur gau. luy fait greigneur semblant de ioye 	983
1264	que li cuers ne li aporte.	que son cueur ne luy apporte:	984
1265	Et Hestors li demande 	et hector luy demande/ |de 	985|986
1266	dont il vient a ceste hore et il dist: « D’un tornoiement 	quelle part il uient a celle heure|Et il dit de ung tournoiement 	987|988
1267	qui fu l'issue de ceste forest. 	qui fut a lissue de une forest cy pres/ 	989
1268	Si ai tote jor sievi I. chevalier a unes armes vermeilles 	si ay toute iour suyui ung cheualier a unes armes uermeilles/ 	990
1269	qui trop bien le fist. 	qui trop bien le a fait/ 	991
1270	Mais endroit moi me plaing je molt, 	mes endroit moy ie men plains 	992
1271	kar il m’a fet le greignor honte 	car il ma faite la greigneur uillennie et la gregneur honte 	993
1272	qui onques mes m’avenist. — 	qui iames me aduint. 	994
1273	Comment, sire ? fet Hestor. — 	Comment fait hector/ 	995
1274|1275	Par foi, fet il, nos jostames entre moi|et lui, voiant tos cels de la place, 	par ma foy fait mensieur gau. nous ioustasmes luy et moy: uoyans tous ceulx de la place. ii. foys/ 	996
1276|1277	si ne le poi abatre ne il moi; |mais totes voies me navra il un poi en l’aissele; 	si ne le peulz abbatre ne luy moy/ mes toutesfoys il me naura en lesselle. 	997
1278	si avint a la tierce joste 	Sy aduint a la tierce iouste	998
1279	qu’il me porta del cheval a terre, 	quil me porta du cheual a terre/ 	999
1280	et de ce ai je si grant duel 	et de ce ay ie si grant deul 	1000
1281	que a poi li cuers ne me part el ventre. 	que a poy |que le cueur ne me part du uentre/ 	1001|1002
1282	Et j’ai puis alé tos jors aprés lui, 	et iay puys cheuauche apres lup pource 	1003
1283	por ce que je le i cuidoie trover, 	que ie le cuidoye trouuer/ 	1004
1284	lear il ne puet remanoir 	car il ne peult demourer 	1005
1285	qu’'il ne me conquiere 	quil ne me conquiere/ 	1006
1286	ou je tui. 	ou moy luy par armes. 	1007
1287	Quant Hestors ot ce 	Quant hector ost ce 	1008
1288	que mesire Gauvain dist, 	que mensieur gau. dist/	1009
1289	si en est trop hontos, 	si en est trop honteux/ 	1010
1290	kar il conoist bien 	car il scait bien 	1011
1291	que ce est il 	que cestoit il	1012
1292	qu’il vet querant; 	que il alloit querant/ 	1013
