	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
685|686	que l’espee cola par mi l’espaule a al chevalier, |si que li bras a tote l’espaule chiet desus le pavement. 	que lespee cola parmi lespaule au cheualier. |Si que li bras atout lespee chai seur le pauement. |et cil trebuche a terre 	qui se pasme de langoisse |quil sent. 	car lespee coula parmy lespaule au cheualier |si qui le braz a toute lespaule chey dessus le pauement. |et il trebuche a terre 	si que le bras lui cheut atout lespee sur le pauement. Celui trebucha a terre et se pasma de langoisse 	quele no derribase el braço conla espada en tierra |e el cauallero conel gran dolor |cayo luego en tierra amorteçido 	che-lla spada colò per me' la spalla del cavaliere, |sicché la spalla con tutto il braccio cadde di sopra lo smalto, |ed e' trabocca a terra, 
							si spasima . faceva facevano della angoscia 
							che sente. 
				et se pasme de langoisse 			
				qu il sent. 			
		et se pasme: de langoisse 					
		que il sent. 					
687|688|689|690|691	Et lors sont molt esmaié li autre troi, |si font molt malvés samblant d’els deffendre por le grant cop|qu’il ont veu et por l’espee |que chescuns d’els a ja sentie jusqu’al sanc. |Et Lancelos lor cort sus 	Et lors sont mout esmaiet li autre trois. |Si font mout mauuais sanblant daus desfandre. por le grant cop|quil ont ueu et por lespee |que chascuns daus a sentie iussqua sanc. et lanceloz |qui ne recroit pas lor cor sus. 	Et lors sont moult esmaie li autre troi. |et font moult maluais samblant daus desfendre pour le grant cop |quil ont veu. |et pour lespee |que cascuns de euls a sentue iusques au sanc. |Et lancelot 	et lor sont moult esmayez les autres troys. |si font moult mauuaiz semblant de deffedre pour le grant coup |quilz ont eu. |et pour lespee |que chascun a sentie icquau sanc |Et lancelot |qui oncquez ne recroit leur court sus 	quil sentist. |Lors sont moult esmaiez les autres .iii. |et lancelot leur court sus 	e los otros desque aquel golpe vieron fueron muy desmayados |e fiçieron mal senblante dese defender porlos grandes golpes que façia |e porla espada |que auia sentido cadavno enlas carnes 	Allora sono molto ismagati tutti gli altri tre, |si si fanno malvagio sembianti di difendere per lo gran colpo ch’egli ànno veduto e per la spada |ch’egli ànno sentita insin qua alle carni. |E Lancellotto, 
692|693	et en fiert I. el hialme |si qu’il le fet flatir a terre d’ambesdeus les paumes. 	et en fiert .i. amont el hiaume |si quil le fait flatir a teree. danbedeus les paumes 	qui pas ne se recroit en fiert vn amont sor le heaume. |quil le fait flatir a terre dambes. ij. lez paumes. 	et en fiert lun amont ou heaume |si quil le fait flatir a terre des deux paumes 	et en fiert tellement ung ament le heaume |qu il le fait flatir a terres 	e lançarote no cato mas aquel que derribo ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra 	ch’unque non si rimuove, lor corre suso e ne fiede l’uno a monte ne l’elmo sì gran colpo |ch’elli il fa frattire a terra d’amendune le 
694|695	Et quant li autre dui voient ce, |si tornent en fuies vers l’uis a garison; 	et quant li autre dui uoient ce: |si corret᷑ uers luis |et uiennent a garison. 	Et quant li autre doi voient chou. si tornent en fuies. 	Et quant les autres deux uoyent ce |si tournent uers luys |pour fouir a garison. 	Et quant les autres deux uoient ce |si tournent uers luys a garant. 	e desque los otros esto vieron començaron a foir |por guaresçer e lançarote alcanço 	palme.ME quando gli altri due vidono ciò, |si tornarono inverso per fuggire a guarigione, 
696|697|698|699	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras |si qu’il li trenche le poing et li escus chiet a terre, |et cil torne en fuies 	et lanc̃ uient atangnant et en fiert a grant uue par entre lescu et le bras |si quil li tranche le poing. |et li escus chiet a terre. |et sil torne en fuie 	Et lancelot ataint le daarrain |si le fiert par entre se lescu et le col. |Si quil li trenche le bras|et li escus chiet a terre. |Et cil torne en fuies 	Et lancelot actaint le derrain |si le fiert entre lescu et le braz si|quil luy trenche le poing. |et lescu chiet a terre a cil tourne en fuye 	Et lancelot uient attaignant le derrain par entre lescu et le col |si lui trenche le bras: 	aquel que yua de tras e firiolo asi duramente entre el onbro y el escudo |que tenia enbraçado |que el braço conel escudo le fiço bolar en tierra |e el cauallero fuese fuyendo ansi llagado como estaua e lançarote fuese enpos el otro 	e Lancellotto viene agiugnendo il di dietro, |si l fiede intra lo scudo e l braccio, sicché gli trinca il pugno e lo scudo cade a terra, |e que' torna in fuga 
700|701|702	qui maheignié se sent. |Et Lancelos vient a l’autre |qui ja se relevoit, sel fiert de l’espee si grant cop 	qui afolez ce sent. |et lanc̃ uient a lautre|que ia se releuois. |si le fiert de lespee si grant cop	qui mahaignies se sent. |Et lancelot reuient a lautre |qui ia se releuoit.|si li donne si grant cop 	qui se sent mehaigue |Et lancelot reuient a lautre |qui se releuoit. |si le fiert de lespee si grant coup	et lescu chiet a terre. Lancelot court a lautre|qui ia se releuoit |et le fiert si grant coup 	que auia fincado |e firiolo asi enlo alcançado ençima del yelmo 	che magagnato si sente. |E Lancellotto ritorna a l’altro |che si rilevava, |si l fiede della spada si gran colpo
703	qu’il li fet le hialme voler en la place. 	que le hiaume li fait uoler en pieces. 	que il li fait voler le heaume de la teste en le place. 	quil luy. fait uoler le heaume en la place. 	qu il lui fait uoler le heaume de la teste en la place. 	que selo fiço volar dela cabeza 	che gli fa l’elmo volare nella piaza; 
704	Et quant cil sent son chief nu, 	et quant cis sent son chief nu: 	Et quant il sent son chief descouuert. 	Et quant il sent son chief nu 	Quant celui sent sa teste 	e el cauallero desque vido su cabeça desarmada Con pauor de muerte 	e quando que' sente suo capo ignudo, 
705|706	si cria merci |et dist 	Si crie merci |et dit 	si li crie merci et dist 	si me mercy |et dit 	nue il crie mercy |et dit 	que ovo pidio le merçed |e dixole 	sì grida mercé |e dice 
707	qu’il ne l’ocie pas, 	quil ne locie pas.	quil ne lochie mie	quil ne loccie pas 		ay buen cauallero no me matedes 	che non l’uccida passo, 
708|709|710|711|712	kar il est pres de sa volenté fere. « |Or te covient donc, fet Lancelos, fiancer|que tu le cors mon seignor Galehout conduiras a la Dolerose Garde|et iluec le feras garder |tant que je i viegne; 	Car il est pres de sa uolente faire. sans contredit |Or te couient |dont a fiencier fait lanc̃. |que tu le cors Galeh̾. condiuras a la dolereuse garde. |et illuec le feras garder |tant que ie i uaigne. 	quar il est prest de sa volente faire. |Lors te couuient dont fai lancelot afiancer fait il |que tu le cors monseignor Galeholt conduiras a la ioieuse garde |Et y soies tant |que iou y uiengne. 	car il est prest de faire sa uolente. |Or te conuent donc fiancer |que tu conduyras le corps de monss galehot a la douloreuse garde. |Et ilecquez le feras garder |tant que ie y uiegne.	qu il est prest de faire sa uoulente. Il te conuient denc promettre dit lancelot |que tu conduiras le corps de gallehaut a la douloureuse garde|tant que ie y uiengne/ 	que yo fare toda vuestra voluntad |tu me juraras dixo lançarote que llebes el cuerpo demi señor galeote ala dolorosa guarda |e desque y fueres 	ch’egli è presto di sua volontà fare.vOr ti conviene dunque giurare, disse Lancellotto,|che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia; nel luogo il farai guardare tanto |ch’io vi vegna, 
713|714	et se l’en te demande |qui t’i envoie, 	et se lon te demande |qui ti enuoie: 	Et se on te demande |qui ti envoie. 	Et se len te demande |qui te y enuoye. tu diras cil	et se len te demande |qui te y enuoie 	si te preguntaren quien te ymbia tu les diras 	e se l’uomo ti domanda |chi ve l’arà mandato, 
715|716	si diras « cil qui ot les ames blanches le jor |que li chastials fu conquis. » 	Si diras|que cil qui ot les armes blanches. le ior |que li chastiax fu conquis 	Si di que cil ti envoie |qui ot lez blanches armes le iour |que li castiaus fu conquis 	qui eut les armes blanches le iour |que le chasteau fut conquis.	si dis: celui |qui eut les blanches armes le iour|que le chasteau fut cenquis 	que el cauallero delas armas blancas que el castillo conquisto te ymbia alla 	e tu lor di quelli |ch’ebbe l’armi bianche il giorno |che l castello fu conquiso». 
717|718	Et il li fiance |que tot ensi le fera il. 	et cil li fiance |que tout ainsi le fera il.	Et cil li fiance |que ensi le fera il AN tel maniere 	et il luy fiance |que ainsi le fera il. 	et cefui lui promet. 	e el cauallero selo juro |asi façer |e lançarote se fue luego parala tumba 	»E elli il giura ch’elli insi el farà. 
			com vous oies conquist lancelot le cors Galeholt.				
719|720|721	Lors prent Lancelos la lame par le plus gros chief, |si tire de grant force |qu’a pou qu’il ne se deront tos, 	Lors prent lanc̃. la lemme par le plus gros chief. |si la tire de si grant force |que a pou quil ne se desront tous. 	Et lors y quant il ot au cheualier fait fianchier a faire sa volente. |si prent le lame par le gros chief. |si le tire par si grant force. |que a poi |quil ne sest tous derrompus. 	Lors prent lancelot la lame par le plus gros bout |si tire de si grant force |qua pou quil ne se derompt tout. 	Lors prent lancelot la lame par le gros chief |et la tire de si graut force 	e tomo a manos el cobertor Porel Cabo |que mas hera grueso asi afuerça 	Allor prende Lancellotto la lama per lo più grosso capo, |si tira per si gran forza |che a poco che non si dirompe tutto, 
722|723|724	si que li sans li vole par mi le nes et par mi la boche et li cors li sue d’anguoisse. |Mais por tote la destrece ne remaint|qu’il n’ait la tombe levee en haut à; mes nule dolors 	Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse |mais portoie la destresce ne remaint |que il nait la tombe leuee en haut. 	Si que li sans vole parmi le nes. et parmi la bouche |Et li cors li tressue de langoisse |que il en a. 	si que le sang luy uole par le nes et par la bouche. et le corps luy sue dangoesse. |mais pour toute la destrece ne demeure pas |quil ne leue la tombe en hault. ne nulle douleur 	que a peu |quil ne se derompt tout et tant que le corps lui sue dangoisse/ |mais nulle douleur 	porlo leuantar |quela sangre le quebro porla cabeça |e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente asi que por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado 	e sì che l sangue gli dirompe per me' el naso e per me' la bocca e l corpo gli suda della angoscia, |ma per tutte le distrezze non rimane |che non abbia la tomba levata in alti. |Ma nullo dolore 
725|726|727	qu’il eust onques ne monte rien a cele dolor |qu’il ot, |quant il vit le cors Galehout tot ensi armé com il estoit; 	mais nule dolors que il eust onques ne monte sur rien. A cele |que il ot quant il uit le cors Galehot. |ensi arme con il estoit. 	Mais nulle dolors |quil ait eue ne monte riens a celi|quil ot quant il vit le cors Galeholt arme tout ensi com il estoit. 	quil eut oncquez|mais ne fu rien a celle douleur |quil eut |quant il uu le corps galehot tout ainsi arme comme il estoit. 	quil eust |mais ne monte riens a celle douleur |qu il eust |quant il uist le corps de gallehaut tout arme ainsi |comme il estoit. 	Mas nunca el tal duelo ovo |como estonçe e tal Pesar |quando el vido el cuerpo de Galeote |e estaua armado de todas armas 	ch’elli avesse unque mai non fu nulla inverso quello dolore |quand’e vide il corpo di Galeotto tutto insì armato |com’egli era. 
728	si trova s’espee delés lui 	si troua lespee deles lui 	Si troua lespee deles lui 	si trouua lespee pres de luy 	Si trouua son espee empres lui 	e tenia su espada cabe 	eSi truova sua spada dallato a- llui 
729|730|731	qui molt estoit et bone et clere; |et sans faille de l’espee meesmes se fust il ocis, |se la damoisele ne li eust tolue erraument. 	qui mout estoit bele et bone. et sans faille de lespee meismes ce fust il ocis se la damoisele ne li eust tolue. 	qui tant estoit bele et boine et sans faille de lespee se fust il ocis se la damoisele ne li eust desfendu |quar elle li osta lespee de sez mains. 	qui moult estoit bonne et bele |Et sans faille de lespee mesmes se fust il occis |se la damoiscle ne luy eust tollue erraument. 	qui tant estoit benne et belle. et sans faulte il sen eust occiz |se la damoiselle ne lui eust ostee. 	si que hera muy buena e clara |e sin falta el se ouiera conella muerto |si la donçella |Que del lago auia venido delas manos no sela tirara 	che molto era buona e bella, |e sanza fallo della spada medesima si sarebbe elli ucciso, |se-lla damigella non gliel’avesse tolta, |perciò rimase. 
732|733|734|735	Lors fist Lancelos une biere fere de fust |et la fist covrir des plus riches pailes de laiens, |et|quant il l’ot atornee al plus richement 	Lors fait lanc̃. faire une biere de fust |et la fait courir des plus biax pailes de laiens et|quant il lot atornre au plus richement 	Lors fist lancelot vne biere de fust. |et le fist courir del plus riche paile de laiens |Et quant il lot atorne au plus richement 	Lors fist lancelot faire une litiere de fust. et la fist couurir des plus riches pales de leans. |Et quant il leut atournee au plus richement 	Lors fist lancelot une biere de fust |et la fist couurir du plus riche drap de leans. |Quant il leust apointe le mieulz 	e luego fiço façer lançarote vnas andas |e cobrir de muy Ricos paños |e poner enellas el cuerpo de Galeote 	Allor fece Lancellotto fare una lettiera di legno e le facce coprire del più ricco palio di là entro. |E quand’elli l’ebe aconcia al più riccamente 
736|737|738|739|740	qu’il pot, li chevaliers prisons li dist: « Sire, fet il, |se l’en movoit tot de nuis, ce seroit sens. — |Por quoi ? fet il. — |Por ce|que, se li chevalier de cest païs savoient 	que il pot. Li cheualiers prisons dit |si fait il |se len mouoit tout de nuit se seroit sens. |Por ce fait il |que ce li cheualier de cest pais sauoient 	quil pot. |si li dist li cheualiers |qui le deuoit mener, Sire fait il. che seroit boin. |que nous mouissons de nuit. pourcoi fait lancelot. pour chou fait il |que se li cheualier de chest pais le sauoient 	quil peut. le cheualier prisonnier luy dist. sire fait il |se len mouuoit de nuyt ce seroit grant sens. pour quoy fait il. |par ce que si les cheualiers de ce pays sauoient 	qu il peut le cheualier prisonnier lui dist. Sire il seroit bon de emporter le corps de nuit. |Pour quoy fait lancelot Pource fait il |que se les cheualiers de ce pais sauoient 	e el cauallero Dixo a lançarote señor yo vosloaria |si vos plugiese |que luego Mouiese de aqui conel cuerpo de galeote |Porque dixo lançarote |porque señor dixo el cauallero |porque si los caualleros desta tierra lo supieren 	ch’elli poté, il cavaliere prigione gli disse: «Sire, diss’elli, se l’uomo movesse di notte, ciò sarebe gran |senno.— Perché?, disse Lancellotto.|— Per ciò, diss’elli, |che s’e cavalieri di questo paese sapessono 
741|742	que l’en len deust porter, il feroient gaitier les trespas |si qu’il seroit arestés en alcun lieu ; 	que on le deust laiens porter: il feroient garder les trespas. |si que il seroit arester en aucun lieu. 	que on len deust emporter. il feroient gaitier lez trespas |Si quil seroit arrestes en aucun lieu. 	que len le deust la porter ilz feroient guecter les trepas |si quil seroit arreste en aucun lieu. 	que len le deust emporter ilz feroient garder le trespas. 	que de aqui lo queredes llebar |faran guardar los tres pasos |asi que sera detenido en algund lugar 	che l’uomo ne l dovesse portare, elli farebono guardare intra’ passi, |sicché sarebbe arestato in alcuno luogo. 
743	et por ce vos loeroie je 	et porce loeroie ie 	Et pour chou vous loeroie iou 	et pour ce uous loueroye ie 	Et pour ce uous conseilleroie 	e poresto seria bien 	E perciò vo lodere' io 
744	qu’il meust orendroit, 	que il meust orendroit. 	quil meust orendroit. 	quil meust maintenant 	que on partist 		che vo' movereste oraindiritto, 
745|746	kar il seroit bien eslongiés, |ains qu’il fust jors, XX. lieues englesches.	Car il seroit bien eslongiez .xx. lieues Galesches ains |quil fust iors. 	Car il seroit eslongies. X. lieues ains quil fust iors. 	car il sera bien esloigne auant quil soit iour de uingt lieues anglesches. 	car il seroit bien eslongnie ains qu il feust iour dix lieues anglesches. 	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote 	ché l’uomo sarebbe bene islungato. leghe inanzi che fosse 
747|748|749|750|751|752	Et il s’i acorde bien; |si met la litiere sor Il. palefrois amblans |et enportent ensi Galehout fors de sa region; |si en font li frere grant duel |et molt en sont corocié et dolenta de ce |que l’en l’enporte. 	et il si acorde bien. |Si mestent la biere seur ii cheuaus anblans. |et enportent ainsi Galeh̾. fors de la religion. |Si en font li frere mout grant duel et mout en sont dolent. 	Et il si acorde bien. si fait mettre le litiere sor. ij. palefrois. |Et emportent ensi Galeholt hors de la maison |Si en ont li frere grant doel de ce |que on lemporte. 	Et il si accorde bien. si mect la litierie sur deux palefroys amblans. |et emportent ainsi galehot hors de la religion |si en font les freres grant deul. |et sont moult corroucez et doulans de ce |qui len lemporte. 	Et il se y accorde/ |si met la littiere sur deux pallefrois amblans |et emportent ainsi gallehaut hors de la maison. |Si en ont les freres grant deul |et sont dolens 	e luego fiço poner las andas sobre dos palafrenes muy andadores |e lleuarlo asi |Mas mucho ouieron gran pesar los frailes quando asi lo vieron lleuar 	giorno».VEd e' vi s’acorda bene, |si mette la lettiera sopra due palafreni ambianti, sinne portano Galeotto fuori della religione, |ma molto ne sono e frati di là entro dolenti e crucciati dell’uomo |che ne l porta. 
753	Et Lancelos le convoie grant piece de nuis, plorant et regretant sa proesce et sa valor 	et lanc̃ le conuoie gn̾t piece de nuit plorant|et plangnant et regretant sa proesce. 	Et lancelot le conuoie grant piece de la nuit plaignant et plorant sa valour. 	Et lancelot li conuoye grant piece de nuyt plourant et plaignant et regretant sa prouesce et sa ualeur. 	que on lemportoit. Lancelot le compartie uoie grant piece de la nuit plourant et plaignant|et regrettant sa prouesse et sa ualeur. 	e lançarote fue gran pieça llorando conel cuerpo de Galeote |e diçiendo sus proezas e su valor 	sE Lancellotto l’acompagna gran peza della notte piagnendo e facendo duolo e rigratando sua prodeza e suo valore, 
754	et se ne fust la damoisele 	et se ne fust la damoisele	Et se ne fust la damoisele	et se ne fust la damoisele 	Et se ne feust la damoiselle 	e si no fuese porla donçella 	e se non fosse la damigella 
755|756	qui avec lui estoit molt en eust plus fet|qu’il ne fist, 	qui auec lui estoit mout en eust plus fait |quil ne fist.	qui auec lui estoit. moult en eust plus fait. 	qui auec luy estoit. moult en eust plus fait |quelle ne fist 	qui auec lui estoit moult en eust fait plus |quil ne faisoit: 	que del lago auia venido |Mucho fiziera mayor duelo |mas ella selo estoruaua 	che con esso lui era, molto n’avesse più fatto |che non fece. |Ma e' se ne distornò 
757|758	mais ele l’en detorna, |et il deffendi al chevalier 	mais le le desfandi au cheualier 	mais cele len destorna. |Et il commanda au cheualier 	mais elle len destourna |et il deffendy au cheualier 	mais elle len destourna. |Et lancelot commande au cheualier 	e anteque lançarote del cuerpo se tornase |Dixo al cauallero yo vos defiendo 	quand’e l’à gran peza insì acompagnato, |sì se ne tornò, |ma inanzi difende elli al cavaliere 
759|760	que il nel feist en terre metre devant |que il fust venus. 	que il ne fust enterres deuant|que lanc᷑. i fust uenus. 	quil ne fust enterres deuant chou|quil venist a lui. 	quil ne le fist mectre en terre uicquez a ce que luy mesmes y fust. 	qu il ne feust enterre |deuant quil uenist. 	Que el Cuerpo demi señor galeote no fagades enterrar |fastaque yo mesmo alla vaya |e el Cauallero dixo |que asi lo faria 	che l’uomo nol facesse soppellire nella Gioisosla Guardia |inanzi ch’e' vi fosse venuto, 
761|762	Si se part atant li uns de l’autre |et il retorne a l’abeie, 	Si se partent li un de lautre.|et lanc̃ retorne a labeye 	A tant sen part de lui lancelot et retorne a labbaye 	Si se part atant lun de lautre |et lancelot retourne a labaye 	Si se depart de lui et retourne a la religien se couchier 	entonçe se partio dellos lançarote |e tornose al abadia 	si si parte atanto l’uno da l’altro. Lancellotto ritorna alla badia, 
763|764|765	si se couche, c’onques la nuit ne volt mengier ne boivre por chose |que l’en li deist, |ains plora et dolosa tot adés; 	et se coche |ne onques la nuit ne uot mangier ne boire por chose |que len li deist. |ains plora |et dolosa tout ades. 	si se couche |Ne onques la nuit ne volt mangier ne boire pour chose |que on li deist. |ains ploret dolosa tout ades. 	si si couche ne oncquez la nuit |ne uoult boyre ne manger pour chose |quon luy dist ains pleura et dolousa 	et oncques ne uoulut la boire ne mengier. 	mas en toda aquella noche no quiso comer ni veuer |por cosa que le dixesen |e non fazia sino llorar |e mucho se quexaua 	si si coricò, né unque la notte non volle mangiare né bere per cosa |che l’uomo gli dicesse, |anzi piagne e dolora tutto adesso, 
766	si li anuioit molt li jors 	si li anuia mout li iors 	Si li anoia moult li iors 	si luy ennuyoit moult le iour	si lui ennuya moult le iour 	Porque tanto aquella noche le duraba |e luego Que el dia aparesçio lançarote se leuanto 	si gli anoiava molto il giorno 
767	qui tant demoroit a venir. a Al matin, 	qui tant demora a uenir. Au mation 	qui tant demoroit :|Et au matin 	qui tant demouroit a uenir. Au matin si tost 	qui tant demouroit a uenir. |Et au matin 	e la donzella otrosi |e fueron a oyr misa 	che tanto penava a venire. lsAl mattino, 
768|769|770|771	si tost com li jors aparut, se leva|et oi messe entre lui et la damoisele |et puis s’arma. |Lors » li dist ele les noveles de Boort 	si tost com li iors aparut se lena lanc̃. |et oi messe entre lui et la damoisele. |et puis sarma |et lors dist ele les nouelles de behort. 	si tost com li iors apparut. se leua et oy messe entre lui et la damoisele. |lors li dist elle lez noueles de bohort. 	que le iour apparu se leua lancelot |et ouy misse luy et la damoisele et puis sarma. 	si tost comme le iour apparust se leua|et ouist messe lui et la damoiselle. |Lors elle lui dist nouuelles de boort 	e desque la misa fue aCabada Armose |e despidiose del fraile |e entro ensu camino conla donzella e ellos |asi yendo la donçella |le conto nuebas de boores 	si tosto come il giorno aparve, |si leva Lancellotto |e udi messa intra lui e la damigella |e poscia s’armò. |Allor gli disse la damigella novelle di Boordo 
772|773	et ce |qu’ele en avoit veu devant Honguefort, 	et se|quele en auoit uen deuant le chastel de honguefort. 	comment elle lauoit veu deuant hongrefort 	et lors luy dist elle les nouueles de boort. et ce quelle en auoit ueu deuant hunguefort. 	et que elle lauoit ueu deuant a honguefort 	e de como le contesçiera enel castillo de ongeforte 	e ciò |ch’ella n’avea veduto davanti Unguelforte, 
774	et il en fu molt liés. 	et il en fu mout liez 	et il en fu moult lies. 	et il en fut moult lie 	et comment il le fait. 	e el fue dello muy alegre 	ed e' ne fu molto lieto. 
775|776	Et ele li dist: « Sire, il vos vet querant |ne jamés ne finera tant qu’il vos avra trové. — Damoisele, fet il, 	et ele li dist. Sire il uos ua querant ne ia mais ne finera tant quil uos ait troue. ha; damoisele fait il 	Et elle li dist. Sire il vous ua querant. ne iamais ne finera deuant ce |quil vous aura trouue. Damoisele fait lancelot 	si luy dist. Sire il uous uait querant |ne iamais ne finera iucqua ce quil uous ait trouue. 	et il en fut moult ioyeux. Aprez elle lui dit. Sire il uous ua querant |ne iamais ne finera deuant quil uous aura trouue. Damoiselle fait lancelot 	e ella le dixo sabed señor |que vos a buscado |e nunca jamas quedara fastaque vos falle |Ay donçella dixo lançarote 	Ed ella gli disse: «Sire, e' vo va cheggendo, né giamai non finirà infino a tanto |che voi abbia trovato. |—Hal, damigella, diss’elli, 
777|778|779	se vos le cuidiés trover ains de moi, je vos voldroie proier |que vos feissiés tant por moi |que vos li portissiés ceste espee 	se uus le cuidiez trouer ains de moi. Ie uous uodroie prier |que uous feissiez tant por amor de moie: |que uos li portissiez ceste espee. 	se vous le quidies auant trouuer de moi. iou vous voldroie proier |que vous li portissies ceste espee 	Haa damoistle fait il se uous le cuidiez trouuer auant moy ie uous uoudroye prier |que uous feissez tant pour amour de moy |que uous luy portassee ceste espee	se uous le trouuez auant que moy ie uous uouldroie prier |que uous lui porteissiez ceste espee 	si vos lo cuidades fallar |yo vos querria rrogar |que fiziesedes tanto pormi quele llebasedes esta espada 	se voi il credete trovare anzi di me, i' vo vorrei pregare |che voi faceste tanto, per l’amor di me, |che voi gli portaste questa spada 
780	qui fu mon seignor Galehout, 	qui fu monsignor Gal̾. 	qui fu monseignor Galeholt,	qui fu a messire galehot 	qui fut a mon compaignen gallehaut 	que fue demi señor galeote 	che fu di monsignor Galeotto, 
781|782	et li dites |qu’il la DOrt de par moi, 	et li dires |quil laport de par moi 	Et li dites |quil le port de par moi. 	et luy dices |quil la porte de par moy 	et lui dictes |quil la porte de par moy 	e dezilde quela traiga pormi amor 	e gli dite |che-lla porti da parte di me, 
783|784	que molt est bone. » |Et ele dist 	car mout est bone. |et ele dist 	quar elle est moult bone et moult bele. elle dist 	car moult est bonne. |Et elle dit 	car elle est moult bonne et belle. |Et elle dist	ca mucho es buena e fermosa 	ché molto est |buona».Ed ella dice 
785|786	qu’ele le trovera par tens|et bien fera cest message; 	que ele le trouera par tans. |et que bien fera cest mesaige .	que elle le trouuera bien par tamps |et bien fera ce dist cest message.	quelle le trouuera tantost |et que bien fera ce message. 	que elle le trouuera par temps |et bien fera ce message. 	yo lo fare dixo la donçella de grado Luego se partio el vno del otro 	ch’ella il troverrà per tempo e bene farà questo mesaggio, 
787	si s’en part atant de lui et il s’en vet droit vers le chastel de Floego, 	Atant se part de lanc̃. la damoisele. |et il sen ua tout droit uers le chastel de floego. 	Si sen part atant de lui. |Et il sen vait uers le castel de florega. 	si se part atant de luy. |et il sen ua tout droit. uers le chastel de fleogo	Si se part atant de elle |et sen ua uers le chasteau de florega 	e lançarote se fue contra el castillo de florenga |e andubo tanto 	si si parte atanto di lui. |Ed e' se ne va tutto diritto inverso el castello del Flego, 
788|789|790|791|792	si i vint a hore de prime. |Et il esgarde es pres defors la vile, |si voit molt grant gent entor le feu |ou l’en devoit ardoir la suer Meleagan», |et quant il aperçoit le feu, 	Si i uint a hore de prime et des garde es pres de fors La uille |si auoit mout de gent entor .i. fe. |Et quant il aparsoit le feu	Si y uin entor prime. |Et il regarde en mi lez pres dehors la vile |Si vit moult grant gent entor vn fu. |ou on deuoit ardoir le suer melyagant, CNuant lancelot aperchut le fu 	si y uint a heure de prime. |et il regarde es prez dehors la uille. |si uoit moult grant gent entour ung feu. |Et|quant il aparceut le feu 	si y uint entour prime. |et il regarde es prez hors la uille |si y uist moult grant gent entour ung feu ou len deuoit ardoir la seur de meleagant. |Quant il apperceust le feu	que llego alla ante de prima |e vio ante la villa gran jente alrrededor de vn fuego |e en aquel fuego auian de quemar ala hermanade meliangas 	si vi venne a ora di prima. |Ed e' riguarda nel prato di fuori la villa, |si vi vide molto grande gente intorno uno fuoco, |e quando elli apressima al fuoco, 
793|794|795|796|797|798|799|800|801	si a poor de la damoisele. |Lors broche le cheval |et vint errant cele part |tant com il puet del cheval traire. |Et quant il est venus jusque la, |si esgarde |et voit la damoisele |qui ja estoit amenee al feu por destruire, |si estoit en pure sa chemise et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	si a paor de la damoisele. |et lors broche li cheual et uient corant cele part. |tant comme il puet de cheual traire. |et|quant il uien iusque la si esgarde |et uoit la damoisele |que ia estoit amenee au feu por destruire. |Si estoit en la pure chemisse |si la tenoien .ui. pautenier trois deuant et trois derier. 	si ot moult grant paour de la damoisele |qui y ia estoit menee au fu pour destruire. |Si estoit en vne poure chemise |et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre.	si a paour de la damoisele |qui ia estoit amenee au feu pour destruire. |si estoit en sa pure chemise |et la tenoient six pautonniers dune part |et troys dautre si nactendoient a la gecter 	si eut grant paour de la damoiselle. |Lors frappe le cheual des esperons |et uient celle part. |et quant il uoit la damoiselle |qui ia estoit amenee au feu pour destruire |laquelle estoit en une poure chemise |et la tenoient six pautenniers. trois de une part et trois dautre: 	e lançarote |que aquello vido dio delas espuelas al cauallo |e llego alla ca bien cuidaua |que ya quemauan la donçella |e quando el y llego vio la donçella estar ante el fuego envna muy pobre camisa |e tenianla seis billanos tres dela vna parte e tres dela otra 	si à paura della damigella |che già era menata al fuoco per distrugere.i brocca il cavallo delli isproni |e viene in quelle parti correndo tanto come può del cavallo trarre, |e quand’egli è là venuto, |si vide la damigella |che già era menata al fuoco |per liverarla a |morte.Si era in sua pura camicia |e la tenieno vi. paltonieri, tre d’una parte e tre d’altra, 
802	si n’atendoient a geter le el feu fors le commandement as juges, 	Si natandoient a geter li el feu fort le comandement les menistres. 	Si natendoient a geter le |el fu fors le commandement as iuges 	ou feu fors le commandement des uiges. 	et ne actendent la iecter au feu fors le commandement du iuge 	e no esperauan al sino el mandamiento delos juezes |parala hechar enel fuego 	sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice, 
