	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
					com vous oies conquist lancelot le cors Galeholt.		
995	Lors prent Lancelos la lame par le plus gros chief, 	Lors prent lanc̃. la lemme par le plus gros chief. 	Lors prent lancelot la lame par le plus gros bout 	Lors prent lancelot la lame par le gros chief 	Et lors y quant il ot au cheualier fait fianchier a faire sa volente. |si prent le lame par le gros chief. 	e lançarote se fue luego parala tumba |e tomo a manos el cobertor Porel Cabo 	Allor prende Lancellotto la lama per lo più grosso capo, 
996|997|998|999|1000|1001|1002|1003|1004	si tire de grant force |qu’a pou |qu’il ne se deront tos, |si que li sans li vole par mi le nes et par mi la boche |et li cors li sue d’anguoisse. |Mais por tote la destrece ne remaint |qu’il n’ait la tombe levee en haut à; |mes nule dolors |qu’il eust onques ne monte rien a cele dolor 	si la tire de si grant force|que a pou quil ne se desront tous. |Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse |mais portoie la destresce ne remaint |que il nait la tombe leuee en haut. |mais nule dolors |que il eust onques ne monte sur rien. 	si tire de si grant force qua pou quil ne se derompt tout. |si que le sang luy uole par le nes et par la bouche. |et le corps luy sue dangoesse. |mais pour toute la destrece ne demeure pas |quil ne leue la tombe en hault. |ne nulle douleur |quil eut oncquez |mais ne fu rien a celle douleur 	et la tire de si graut force |que a peu quil ne se derompt tout |et tant que le corps lui sue dangoisse/ mais nulle douleur |quil eust mais ne monte riens a celle douleur 	si le tire par si grant force. |que a poi quil ne sest tous derrompus. |Si que li sans vole parmi le nes. et parmi la bouche |Et li cors li tressue de langoisse |que il en a. |Mais nulle dolors |quil ait eue ne monte riens a celi 	que mas hera grueso |asi afuerça porlo leuantar |quela sangre le quebro porla cabeça |e porlas narizes |quelas açerdas de todo el cuerpo se le estendieron muy fuertemente |asi que por fuerça ovo el cobertor |a leuantar maguer Mucho hera pesado |Mas nunca el tal duelo ovo como estonçe 	si tira per si gran forza |che a poco che non si dirompe tutto, |e sì che l sangue gli dirompe |per me' el naso e per me' la bocca e l corpo gli suda della angoscia, |ma per tutte le distrezze non rimane |che non abbia la tomba levata in alti. |Ma nullo dolore |ch’elli avesse |unque mai non fu nulla inverso quello dolore 
1005	qu’il ot, 	A cele que il ot 	quil eut 	qu il eust 	quil ot 	e tal Pesar 	quand’e vide il corpo di 
1006	quant il vit le cors Galehout tot ensi armé 	quant il uit le cors Galehot. 	quant il uu le corps galehot |tout ainsi arme 	quant il uist le corps de gallehaut tout arme 	quant il vit le cors Galeholt arme tout 	quando el vido el cuerpo de Galeote 	Galeotto tutto insì armato 
1007	com il estoit; 	ensi arme con il estoit. 	comme il estoit. 	ainsi comme il estoit. 	ensi com il estoit. 	e estaua armado de todas armas 	com’egli era. 
1008|1009|1010|1011	si trova s’espee delés lui |qui molt estoit et bone et clere; |et sans faille de l’espee meesmes |se fust il ocis, 	si troua lespee deles lui |qui mout estoit bele et bone. |et sans faille de lespee |meismes ce fust il ocis 	si trouua lespee pres de luy |qui moult estoit bonne et bele |Et sans faille de lespee mesmes |se fust il occis 	Si trouua son espee empres lui |qui tant estoit benne et belle. |et sans faulte il sen eust occiz 	Si troua lespee deles lui |qui tant estoit bele et boine et sans faille de lespee se fust il ocis |se la damoisele ne li eust desfendu 	e tenia su espada cabe |si que hera muy buena e clara |e sin falta el se ouiera conella muerto si la donçella 	eSi truova sua spada dallato a- llui che molto era buona e bella, |e sanza fallo della spada medesima |si sarebbe elli ucciso, 
1012	se la damoisele ne li eust tolue erraument. 	se la damoisele ne li eust tolue. 	se la damoiscle ne luy eust tollue erraument. 	se la damoiselle ne lui eust ostee. 	quar elle li osta lespee de sez mains. 	Que del lago auia venido delas manos no sela tirara 	se-lla damigella non |gliel’avesse tolta, 
1013	Lors fist Lancelos une biere fere de fust 	Lors fait lanc̃. faire une biere de fust 	Lors fist lancelot faire une litiere de fust. 	Lors fist lancelot une biere de fust 	Lors fist lancelot vne biere de fust. 	e luego fiço façer lançarote vnas andas 	perciò rimase. |Allor fece Lancellotto fare una lettiera di legno 
1014	et la fist covrir des plus riches pailes de laiens, 	et la fait courir des plus biax pailes de laiens 	et la fist couurir des plus riches pales de leans. 	et la fist couurir du plus riche drap de leans. 	et le fist courir del plus riche paile de laiens 	e cobrir de muy Ricos paños 	e le facce coprire del più ricco palio di là entro. 
1015|1016|1017|1018|1019|1020|1021|1022|1023|1024	et quant il l’ot atornee al plus richement |qu’il pot, |li chevaliers prisons li dist: « |Sire, |fet il, |se l’en movoit tot de nuis, |ce seroit sens. — |Por quoi ? |fet il. — |Por ce que, se li chevalier de cest païs savoient 	et quant il lot atornre au plus richement |que il pot. |Li cheualiers prisons dit |si fait il se len mouoit |tout de nuit se seroit sens. |Por ce fait il que ce li cheualier de cest pais sauoient 	Et quant il leut atournee au plus richement |quil peut. |le cheualier prisonnier luy dist. |sire fait il se len mouuoit de nuyt ce seroit grant sens. |pour quoy fait il. |par ce que si les cheualiers de ce pays sauoient 	Quant il leust apointe le mieulz |qu il peut le cheualier prisonnier lui dist. |Sire il seroit bon de emporter le corps de nuit. |Pour quoy fait lancelot |Pource fait il |que se les cheualiers de ce pais sauoient 	Et quant il lot atorne au plus richement quil pot. |si li dist li cheualiers |qui le deuoit mener, |Sire fait il. |che seroit boin. |que nous mouissons de nuit. |pourcoi fait lancelot. |pour chou fait il |que se li cheualier de chest pais le sauoient 	e poner enellas el cuerpo de Galeote |e el cauallero Dixo a lançarote |señor yo vosloaria si vos plugiese |que luego Mouiese de aqui conel cuerpo de galeote |Porque dixo lançarote |porque señor dixo el cauallero |porque si los caualleros desta tierra lo supieren 	E quand’elli l’ebe aconcia al più riccamente |ch’elli poté, |il cavaliere prigione gli disse: |«Sire, diss’elli, |se l’uomo movesse di notte, |ciò |sarebe gran senno. |— |Perché?, |disse Lancellotto. |— |Per ciò, diss’elli, |che s’e cavalieri di questo paese 
1025|1026	que l’en len deust porter, |il feroient gaitier les trespas 	que on le deust laiens porter: |il feroient garder les trespas. 	que len le deust la porter ilz feroient guecter les trepas 	que len le deust emporter ilz feroient garder le trespas. 	que on len deust emporter. |il feroient gaitier lez trespas 	que de aqui lo queredes llebar faran guardar los tres pasos 	sapessono che l’uomo ne l dovesse portare, |elli farebono guardare intra’ passi, 
1027	si qu’il seroit arestés en alcun lieu ; 	si que il seroit arester en aucun lieu. 	si quil seroit arreste en aucun lieu. 		Si quil seroit arrestes en aucun lieu. 	asi que sera detenido en algund lugar 	sicché sarebbe arestato in alcuno luogo. 
1028	et por ce vos loeroie je qu’il meust orendroit, 	et porce loeroie |ie que il meust orendroit. 	et pour ce uous loueroye |ie quil meust maintenant 	Et pour ce uous conseilleroie |que on partist 	Et pour chou vous loeroie iou |quil meust orendroit. 		E perciò vo lodere' io che vo' |movereste oraindiritto, 
1029	kar il seroit bien eslongiés, 	Car il seroit bien eslongiez 	car il sera bien esloigne 	car il seroit bien eslongnie 	Car il seroit eslongies. 	e poresto seria bien 	ché l’uomo sarebbe bene islungato. 
1030|1031|1032|1033	ains qu’il fust jors, XX. lieues englesches. |Et il s’i acorde bien; |si met la litiere sor Il. palefrois amblans |et enportent ensi Galehout fors de sa region; 	.xx. lieues Galesches |ains quil fust iors. |et il si acorde bien. |Si mestent la biere seur ii cheuaus anblans. |et enportent ainsi Galeh̾. fors de la religion. 	auant quil soit iour de uingt lieues anglesches. |Et il si accorde bien. |si mect la litierie sur deux palefroys amblans. |et emportent ainsi galehot hors de la religion 	ains qu il feust iour dix lieues anglesches. |Et il se y accorde/ si met la littiere sur deux pallefrois amblans |et emportent ainsi gallehaut hors de la maison. 	X. lieues |ains quil fust iors. |Et il si acorde bien. |si fait mettre le litiere sor. ij. palefrois. |Et emportent ensi Galeholt hors de la maison 	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote |e luego fiço poner las andas sobre dos palafrenes muy andadores 	leghe inanzi che fosse giorno». |VEd e' vi s’acorda bene, |si mette la lettiera sopra due palafreni ambianti, |sinne portano Galeotto fuori della religione, 
1034	si en font li frere grant duel et molt en sont corocié et dolenta 	Si en font li frere mout grant duel |et mout en sont dolent. 	si en font les freres grant deul. |et sont moult corroucez et doulans 	Si en ont les freres grant deul |et sont dolens 	Si en ont li frere grant doel 	e lleuarlo asi |Mas mucho ouieron gran pesar los frailes 	ma molto ne sono e frati di là entro dolenti e crucciati dell’uomo 
1035	de ce que l’en l’enporte. 		de ce qui len lemporte. 	que on lemportoit. 	de ce que on lemporte. 	quando asi lo vieron lleuar 	che ne l porta. 
1036|1037	Et Lancelos le convoie grant piece de nuis, |plorant et regretant sa proesce et sa valor 	et lanc̃ le conuoie gn̾t piece de nuit plorant et plangnant et regretant sa proesce. 	Et lancelot li conuoye grant piece de nuyt plourant et plaignant et regretant sa prouesce et sa ualeur. 	Lancelot le compartie uoie grant piece de la nuit plourant et plaignant|et regrettant sa prouesse et sa ualeur. 	Et lancelot le conuoie grant piece de la nuit plaignant et plorant sa valour. 	e lançarote fue gran pieça |llorando conel cuerpo de Galeote |e diçiendo sus proezas e su valor 	sE Lancellotto l’acompagna gran peza della notte piagnendo e facendo duolo e |rigratando sua prodeza e suo valore, 
1038|1039|1040|1041	et se ne fust la damoisele |qui avec lui estoit molt |en eust plus fet |qu’il ne fist, 	et se ne fust la damoisele |qui auec lui estoit mout en eust plus fait |quil ne fist. 	et se ne fust la damoisele |qui auec luy estoit. |moult en eust plus fait |quelle ne fist 	Et se ne feust la damoiselle |qui auec lui estoit moult en eust fait plus quil ne faisoit: 	Et se ne fust la damoisele |qui auec lui estoit. |moult en eust plus fait. 	e si no fuese porla donçella |que del lago auia venido |Mucho fiziera mayor duelo 	e se non fosse la damigella che con esso lui era, |molto n’avesse più fatto che non fece. |Ma e' se ne distornò |quand’e l’à gran peza insì acompagnato, 
1042|1043	mais ele l’en detorna, |et il deffendi al chevalier 	mais le le desfandi au cheualier 	mais elle len destourna |et il deffendy au cheualier 	mais elle len destourna. |Et lancelot commande au cheualier 	mais cele len destorna. |Et il commanda au cheualier 	mas ella selo estoruaua |e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo |Que el Cuerpo demi señor galeote no fagades enterrar 	sì se ne tornò, |ma inanzi difende elli al cavaliere 
1044|1045	que il nel feist en terre metre |devant que il fust venus. 	que il ne fust enterres deuant |que lanc᷑. i fust uenus. 	quil ne le fist mectre en terre uicquez |a ce que luy mesmes y fust. 	qu il ne feust enterre deuant |quil uenist. 	quil ne fust enterres deuant chou quil venist a lui. 	fastaque yo mesmo alla vaya |e el Cauallero dixo |que asi lo faria 	che l’uomo nol facesse soppellire nella Gioisosla Guardia |inanzi ch’e' vi fosse venuto, 
1046|1047|1048|1049|1050	Si se part atant li uns de l’autre |et il retorne a l’abeie, |si se couche, |c’onques la nuit ne volt mengier ne boivre por chose |que l’en li deist, 	Si se partent li un de lautre. |et lanc̃ retorne a labeye |et se coche |ne onques la nuit ne uot mangier ne boire por chose |que len li deist. 	Si se part atant lun de lautre et lancelot retourne a labaye |si si couche ne oncquez la nuit ne uoult boyre ne manger pour chose |quon luy dist 	Si se depart de lui |et retourne a la religien se couchier |et oncques ne uoulut la boire ne mengier. 	A tant sen part de lui lancelot |et retorne a labbaye |si se couche |Ne onques la nuit ne volt mangier ne boire pour chose |que on li deist. 	entonçe se partio dellos lançarote |e tornose al abadia |mas en toda aquella noche no quiso comer ni veuer |por cosa que le dixesen 	si si parte atanto l’uno da l’altro. |Lancellotto ritorna alla badia, |si si coricò, |né unque la notte non volle mangiare né bere per cosa |che l’uomo gli dicesse, 
1051	ains plora et dolosa tot adés; 	ains plora et dolosa tout ades. 	ains pleura et dolousa 		ains ploret dolosa tout ades. 	e non fazia sino llorar 	anzi piagne e dolora tutto adesso, 
1052	si li anuioit molt li jors 	si li anuia mout li iors 	si luy ennuyoit moult le iour 	si lui ennuya moult le iour 	Si li anoia moult li iors 	e mucho se quexaua 	si gli anoiava molto il giorno 
1053	qui tant demoroit a venir. 	qui tant demora a uenir. 	qui tant demouroit a uenir. 	qui tant demouroit a uenir. 	qui tant demoroit : 	Porque tanto aquella noche le duraba 	che tanto penava a venire. 
1054	a Al matin, 	Au mation 	Au matin si tost 	Et au matin 	Et au matin 	e luego Que el dia aparesçio lançarote se leuanto |e la donzella otrosi 	lsAl mattino, 
1055	si tost com li jors aparut, 	si tost com li iors aparut 	que le iour apparu se leua lancelot 	si tost comme le iour apparust se leua 	si tost com li iors apparut. 	e fueron a oyr misa |e desque la misa fue aCabada Armose 	si tosto come il giorno aparve, 
1056|1057|1058	se leva et oi messe entre lui et la damoisele |et puis s’arma. |Lors » li dist ele les noveles de Boort 	se lena lanc̃. |et oi messe entre lui et la damoisele. |et puis sarma |et lors dist ele les nouelles de behort. 	et ouy misse luy et la damoisele |et puis sarma. |et lors luy dist elle les nouueles de boort. 	et ouist messe lui et la damoiselle. |Lors elle lui dist nouuelles de boort 	se leua et oy messe entre lui et la damoisele. |lors li dist elle lez noueles de bohort. 	e despidiose del fraile |e entro ensu camino conla donzella |e ellos asi yendo la donçella |le conto nuebas de boores 	si leva Lancellotto e udi messa intra lui e la damigella e poscia s’armò. |Allor gli disse la damigella novelle di Boordo 
1059	et ce qu’ele en avoit veu devant Honguefort, 	et se quele en auoit uen deuant le chastel de honguefort. 	et ce quelle en auoit ueu deuant hunguefort. 	et que elle lauoit ueu deuant a honguefort |et comment il le fait. 	comment elle lauoit veu deuant hongrefort 	e de como le contesçiera enel castillo de ongeforte 	e ciò ch’ella n’avea veduto davanti Unguelforte, 
1060	et il en fu molt liés. 	et il en fu mout liez 	et il en fut moult lie 	et il en fut moult ioyeux. 	et il en fu moult lies. 	e el fue dello muy alegre 	ed e' ne fu molto lieto. 
1061|1062|1063	Et ele li dist: « |Sire, |il vos vet querant ne jamés ne finera tant 	et ele li dist. |Sire il uos ua querant ne ia 	si luy dist. |Sire il uous uait querant ne iamais ne finera iucqua 	Aprez elle lui dit. |Sire il uous ua querant ne iamais ne finera deuant 	Et elle li dist. |Sire il vous ua querant. 	e ella le dixo sabed señor |que vos a buscado |e nunca jamas quedara 	Ed ella gli disse: |«Sire, |e' vo va cheggendo, |né giamai non finirà 
1064|1065	qu’il vos avra trové. |— 	mais ne finera 	ce quil uous ait trouue. 	quil uous aura trouue. 	ne iamais ne finera deuant ce quil vous aura trouue. 	fastaque vos falle 	infino a tanto che voi abbia trovato. |—Hal, 
1066|1067|1068	Damoisele, |fet il, |se vos le cuidiés trover ains de moi, 	tant quil uos ait troue. ha; |damoisele fait il se uus le cuidiez trouer |ains de moi. 	Haa damoistle fait il se uous le cuidiez trouuer auant moy 	Damoiselle fait lancelot |se uous le trouuez auant 	Damoisele fait lancelot |se vous le quidies auant trouuer de moi. 	Ay donçella dixo lançarote |si vos lo cuidades fallar 	damigella, diss’elli, |se voi il credete trovare anzi di me, 
1069|1070	je vos voldroie proier |que vos feissiés tant por moi 	Ie uous uodroie prier |que uous feissiez tant por amor de moie: 	ie uous uoudroye prier |que uous feissez tant pour amour de moy 	que moy ie uous uouldroie prier 	iou vous voldroie proier 	yo vos querria rrogar |que fiziesedes tanto 	i' vo vorrei pregare |che voi faceste tanto, |per l’amor di me, 
1071	que vos li portissiés ceste espee 	que uos li portissiez ceste espee. 	que uous luy portassee ceste espee 	que uous lui porteissiez ceste espee 	que vous li portissies ceste espee 	pormi quele llebasedes esta espada 	che voi gli portaste questa spada 
1072	qui fu mon seignor Galehout, 	qui fu monsignor Gal̾. 	qui fu a messire galehot 	qui fut a mon compaignen gallehaut 	qui fu monseignor Galeholt, 	que fue demi señor galeote 	che fu di monsignor Galeotto, 
1073|1074	et li dites |qu’il la DOrt de par moi, 	et li dires |quil laport de par moi 	et luy dices |quil la porte de par moy 	et lui dictes quil la porte de par moy 	Et li dites |quil le port de par moi. 	e dezilde quela traiga pormi amor 	e gli dite |che-lla porti da parte di me, 
1075	que molt est bone. » 	car mout est bone. 	car moult est bonne. 	car elle est moult bonne et belle. 	quar elle est moult bone et moult bele. 	ca mucho es buena e fermosa 	ché molto est buona». 
1076	Et ele dist 	et ele dist 	Et elle dit 	Et elle dist 	elle dist 	yo lo fare 	Ed ella dice 
1077	qu’ele le trovera par tens 	que ele le trouera par tans. 	quelle le trouuera tantost 	que elle le trouuera par temps 	que elle le trouuera bien par tamps 	dixo la donçella de grado 	ch’ella il troverrà per tempo 
1078|1079|1080	et bien fera cest message; |si s’en part atant de lui |et il s’en vet droit vers le chastel de Floego, 	et que bien fera cest mesaige . |Atant se part de lanc̃. la damoisele. |et il sen ua tout droit uers le chastel de floego. 	et que bien fera ce message. |si se part atant de luy. |et il sen ua tout droit. |uers le chastel de fleogo 	et bien fera ce message. |Si se part atant de elle et sen ua uers le chasteau de florega 	et bien fera ce dist cest message. |Si sen part atant de lui. |Et il sen vait uers le castel de florega. 	Luego se partio el vno del otro |e lançarote se fue contra el castillo de florenga 	e bene farà questo mesaggio, |si si parte atanto di lui. |Ed e' se ne va tutto diritto inverso el castello del Flego, 
1081|1082|1083|1084|1085	si i vint a hore de prime. |Et il esgarde es pres defors la vile, |si voit molt grant gent entor le feu |ou l’en devoit ardoir la suer Meleagan», |et quant il aperçoit le feu, 	Si i uint a hore de prime et des garde es pres de fors La uille |si auoit mout de gent entor .i. fe. |Et quant il aparsoit le feu si a paor de la damoisele. 	si y uint a heure de prime. |et il regarde es prez dehors la uille. |si uoit moult grant gent entour ung feu. |Et quant il aparceut le feu 	si y uint entour prime. |et il regarde es prez hors la uille |si y uist moult grant gent entour ung feu |ou len deuoit ardoir la seur de meleagant. |Quant il apperceust le feu 	Si y uin entor prime. |Et il regarde en mi lez pres dehors la vile |Si vit moult grant gent entor vn fu. |ou on deuoit ardoir le suer melyagant, 	e andubo tanto |que llego alla ante de prima |e vio ante la villa gran jente alrrededor de vn fuego |e en aquel fuego auian de quemar ala 	si vi venne a ora di prima. |Ed e' riguarda nel prato di fuori la villa, |si vi vide molto grande gente intorno uno fuoco, |e quando elli apressima al fuoco, si à paura della damigella 
1086|1087|1088	si a poor de la damoisele. Lors broche le cheval |et vint errant cele part |tant com il puet del cheval traire. 	et lors broche li cheual et uient corant cele part. |tant comme il puet de cheual traire. 	si a paour de la damoisele 	si eut grant paour de la damoiselle. |Lors frappe le cheual des esperons |et uient celle part. 	CNuant lancelot aperchut le fu 	hermanade meliangas e lançarote |que aquello vido dio delas espuelas al cauallo |e llego alla |ca bien cuidaua |que ya quemauan la donçella 	che già era menata al fuoco per distrugere. |i brocca il cavallo delli isproni e viene in quelle parti correndo tanto come può del cavallo trarre, 
1089|1090	Et quant il est venus jusque la, |si esgarde et voit la damoisele 	et quant il uien iusque la si esgarde et uoit la damoisele 		et quant il uoit la damoiselle 	si ot moult grant paour de la damoisele 	e quando el y llego vio la donçella estar 	e quand’egli è là venuto, |si vide la damigella 
1091|1092	qui ja estoit amenee al feu por destruire, |si estoit en pure sa chemise 	que ia estoit amenee au feu por destruire. |Si estoit en la pure chemisse si la tenoien 	qui ia estoit amenee au feu pour destruire. |si estoit en sa pure chemise 	qui ia estoit amenee au feu |pour destruire laquelle estoit en une poure chemise 	qui y ia estoit menee au fu pour destruire. |Si estoit en vne poure chemise 	ante el fuego envna muy pobre camisa 	che già era menata al fuoco per liverarla a morte. |Si era in sua pura camicia e la 
1093	et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	.ui. pautenier trois deuant et trois derier. 	et la tenoient six pautonniers dune part et troys dautre 	et la tenoient six pautenniers. |trois de une part et trois dautre: 	et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre. 	e tenianla seis billanos tres dela vna parte e tres dela otra 	tenieno vi. |paltonieri, tre d’una parte e tre d’altra, 
1094|1095	si n’atendoient a geter le el feu |fors le commandement as juges, 	Si natandoient a geter li el feu fort le comandement les menistres. 	si nactendoient a la gecter ou feu |fors le commandement des uiges. 	et ne actendent la iecter au feu |fors le commandement du iuge 	Si natendoient a geter le el fu |fors le commandement as iuges 	e no esperauan al sino el mandamiento |delos juezes parala hechar enel fuego 	sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice, 
1096	et ele ploroit trop durement 	et ele ploroit trop meruilleusement 	Et elle plouroit merueilleusement 	Et elle plouroit moult tendrement 	et elle ploroit moult tendrement 	e la donzella lloraua muy fuertemente 	ooma ella faceva troppo doloroso pianto 
1097	et regretoit Lancelot: « 	et regretoit lanc̾. 	et regretoit lancelot. 	et regrettoit lancelot: 	et regretoit lancelot 	e llamaua a lançarote 	e |rigrattava Lancellotto molto pietosamente, 
1098|1099|1100	Ha, |gentilx chevaliers Lancelos, |kar pleust ore a nostre Salveor 	ha gentil cheualiers lanc̃. |car pleust ore a dieu 	Haa lancelot gentilz cheualier |De celle mesmes matiere. |que pleust ores a nostre |seigneͬ 	en disant. |Haa gentil homme lancelot |car pleust a dieu 	et disoit ha : |gentiex hom lancelot |quar pleust ore a dieu 	e deçia ay mi buen cauallero |e pluguiese agora anuestro señor 	si diceva sovente: |orHal, gentil cavaliere Lancellotto, che or piacesse ora a Nostro Salvatore 
1101|1102	que vos seuissiés ceste novele, |si fuissiés pres de ci a demie lieue! 	que uos seussiez ceste nouelle. |et uos fussiez pres de ci a demi lieue. 	que uous sceussez ceste nouuelle |et que feussez a demye lieue pres de cy. 	que uous feussiez prez de cy a demy lieue 	que vous seussies ceste nouele |et puis vous fuissies |chi a demie lieue. 	que supiesedes estas nuebas |e estubiesedes çerca de aqui media legua 	che vo' sapeste questa dolorosa novella a mio huopo, |per convento che vo' foste presso di qui a meza lega! 
1103|1104	Certes a l’aide de Dieu et de la vostre seroie je encore anuit rescosse malgré tos mes enemis. |Mais vos ne le savés pas a, 	Certes a laide de dieu et ala uostre seroie |ie encore ennuit rescouce maugre mes anemis. |Mais uos ne le sauez pas 	et certes a maide de dieu et de la uostre seroye |ie encor ennnuyt rescousse malgre tous mes ennemys. |et si ne li scauez pas. 	certes a laide de dieu |ie seroie rescous se malgre tous mes ennemis 	Certes a laide de dieu et de la uostre fuisse iou encore anuit rescousse malgre mes anemis 	e conla ayuda de dios |e conla vuestra seria yo aCorrida e librada |e mas vos no lo sabedes 	osCerto, all’aiuto di Dio e al vostro |sarei io ancora |stanotte riscossa a mal grado di tutti miei animici, |ma vo' nol saprete mica, 
1105|1106	si me covendra ore morir |por la vie 	si me couanra morir. |por la uie 	si me conuiendra ores mourir pour la uie 	si me conuendra mourir pour la uie 	si men conuendra ore a morir |pour la vie 	e asi me conuerna a morir 	si me ne converrà ora a morire vilmente |per ciò 
1107	que je vos sauvai emprés Dieu; 	que ie uos sauuai apres dieu. 	que ie uous sauuay. 	que ie uous sauuay aprez dieu 	que iou vous saluai apres dieu. 		ch’io voi salvai la vita apresso Iddio. 
1108|1109	mais certes il ne m’en poise pas tant |por moi 	mais certes il ne men poise pas tant por moi comme por uos. 	mais certes il ne men poist pas tant pour moy 	mais certes dit elle |il ne me poise pas tant pour moy 	Mais il ne me poise mie tant pour moi 	mas no me pesa tanto pormi 	Hal, lassa, come qui à |dolorose novelle a mio huopob. |¡Poscia dice: 
1110|1111	com il fet |por le coros 	por le corrous 	comme il fait pour le corroux. 	comment il fait pour le courroust 	comme il fait pour le corous 	como porel pesar 	«Certo, |e non me ne pesa tanto per me |come fa per lo trascruccio grande 
1112|1113	que vos en avrois, |quant vos le savrois. 	que uos en arrois |quant uos le saurois. 		que uous aurez quant uous le saurez 	que vous en aures |quant vous saures ma mort. 	que vos abredes |Quando lo supieredes 	che voi arete di mia morte, |quando vo' saprete il martidio |che l’uomo m’arà per voi giudicata. 
1114	Mais ce me reconforte molt 	mais ce me reconforte mout. 	Mais ce me reconforte moult. 	mais ce me conforte 	Mais ce me conforte moult 	Mas esto me conorta mucho 	etMa ciò mi riconforta molto, 
1115|1116	que je sai bien |que les damoiseles gaaigneront tant en ma mort 	que ie sai bien |queles damoisele gaangneront tant en ma mort 	car ie scay bien |que les damoiseles |qui queront tant en ma mort 	que ie scay bien |que les damoiselles gaigneront a ma mort 	que les puceles gaaigneront en ma mort. 	que yo se quelas donçellas ganaran mucho enla my muerte 	bel dolze sire, |ch’io so bene che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo. |esSi so bene che lle damigelle guadagnano oggi tanto 
1117	que jamés nule ne vos requerra d’aide 	que iamais nule ne uos requerra a aide. 	que iamais nulle ne uous requerra daide. 	car iamais nulles ne uous requerrent daide 	quar iamais nulle ne vous requerra dayde 	que jamas donzella no vos rrequirira de ayuda 	che giamai non voi ne richiedrà niuna d’aiuto 
1118|1119	que vos li faillois |tant com il vos remenbre de moi, 	que uos li faillois |tant comme il uos membera de moi. 	a qui uous faillez |tant quil uous rememberra de moy. 	que uous ne les aidez tant quil uous souuiengne de moy 	que vous ne li aidies |tant comme il vous sousuiegne de moi. 	que le vos non fagades tanto |que vos acuerde demi 	che vo' le falliate tanto come vo soverrà di me, 
1120|1121	kar vostre cuers est si frans |qu’il ne puet estre sans trop grant merites rendre a totes celes 	Car uostres cuers est si sains quil ne puet estre sans grant merites rendre a totes celes 	Car uostre cuer est si franc |quil ne puet estre |sans trop grant merite rendre a toutes celles 	car uren cueur est ainsi franc. 	Car vostre cuers est si grans |quil ne puet estre |sans grant merite rendre a toutes celes 	ca vos sodes tan noble e tan franco |que siempre dareis buen galardon a todos aquellos 	ché vostro cuore est sì franco |che non può essere sanza troppo grande |merito rendere a 
1122	qui de par moi se reclaiment: 	qui de par moi se reclameront. 	qui de par moy uous reclament. 		qui de par moi vous reclameront 	que demi se lamentaren 	tutte quelle |che da parte di me si richiameranno. 
1123|1124	si m’est avis |qu’il m’est molt miels a m’ame de morir 	Si mest auis |que il est miex a marme de morir 	Si mest adius quil est moult mieulx a ma uie de mourir 	Si mest auiz |quil mest mieulx a lame 	Si mest auis |que il mest moult miex a lame 	e mucho me sera buena al alma esta muerte 	Si m’è aviso |che, per lo profitto che nascerà di mia morte, |ch’egli è il meglio a mia anima di morire 
1125|1126|1127	por loialté fere et por geter de prison |si vaillant home |comme vos 	por la loiaute faire et por oster de prison |si uaillant home comme uos estes ; 	pour si hault affaire et pour gecter de prison |si uaillant homme |comme uous estes 	pour loiaulle faire et pour ietter de peril ung si uaillant homme |comment uous/ 	pour la loiaute faire |et pour geter de prison |si uaillant homme |comme vous estes. 	que Resçibire porque saque de prision atan noble ome |Como vos que vos fuerades muerto 	per lealtà fare e per gittare di |pregione uno si valente huomo come vo' 
1128	que vos fuissiés mors par la desloialté de Meleagan 	que uos fussiez mors par la desloiaute meleagant 	que uous feussez mort par la desleaute de meleagan 	que se uous feussies mort par la desloyaulte melleagant/ 	que vous fuissies mors |pour la desloiaute melyagant 	porla deslealtad de meliangas 	siete che vo' foste morto per la dislealtà di 
1129	qui en prison vos avoit mis par traïson. » 	qui uos auoit mis en prison par traison. 	qui en prison uous auoit mis par traison. 	qui en prison uous auoit mis. 	qui en prison vous auoit mis. 	que en prision vos tenia |por su gran traiçion 	Meleagant che n pregione voi avea messo per sua grande tradigione». 
1130	Ensi disoit la damoisele molt tendrement plorant 	ANsi dissoit la damoisele ml̃t tandrement en plorant. 	Ainsi disoit la damoisele moult tendement plourant. 	AInsi disoit la damoiselle menlt tendrement plourant. 	ANsi disoit la damoisele moult tenrement plorant. 	e esto deçia la donçella llorando muy dolorosamente 	Insi dimentava la damigella molto teneramente piagnendo. 
