micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
		car ie ne uoudroye pas 					
car en la voie de ceste forest ne voi je en nule manniere  que vos en issisiez a : 	Car en la uoie de ceste forest ne uoudroie ge en nule maniere  que uous uous meissiez. 	que uous uous meissez en nulle maniere en la uoye de ceste fourest. 	quar iou ne vous loeroie en nulle maniere  que vous en ceste forest vous meissies. 	car en la uoye de ceste forest ne uouldroye ie pour riens  que uous allissies 	Car en ceste forest ne loeroie ie mie  que uos entresiez. 	y que no entredes enesta floresta perdida 	ché nella via di questa foresta non vorei  che vo metteste, 
car puis Il. anz an an ça i sont bien Il. cens chevalier entré 	quar puis .ii. anz en en ca. i sont bien entre .ii.cc. cheualiers. 	Car puis deux ans en ca y sont bien aller deux cons cheualiers 	quar puis. ij. ans en ens  cha y sont entre plus de. ii. cheualier. 	car puis.ii ans en y sont entrez plus de .ii. C. cheualiers 	Que puis .ii. ans i sont entre plus de .C. cheualiers. 		ché, da due anni in qua, vi sono ben dugento cavalieri andati 
qui tuit me creanterent au departir 	qui tuit me creanterent au departir. 	qui tous me creancerent 	que tout me creanterent a lentrer. 	qui me promidrent au departir	Qui tuit me creanterent	que nunca entro 	che tutti mi giurano al dipartire
que, se Diex lor donnoit eschaper de mort, 	que se diex lor donoit eschaper de mort. 	que si dieu leur donnoit eschaper de mort 	que se diex lor donnast escaper sans essoingne de prison ou de mort	que se dieu leur dennoit grace a chascun deschaper de mort 	que se diex les desfandoit de mort ou de prison 	y cauallero 	che se ldio ne lor donasse a scampare sanza morte, 
qu’il revandroient ci raconter ce 	quil reuendroient ci a conter ce 	quilz uiendroient me raconter 	quil reuendroient par chi  por aconter moi ce 	que ilz me uiendroient raconter ce 	quil me reuenroient ueoir.  Et me diroient 	que jamas tornase 	che ritornerebbono qui a racontare a me ciò 
qu’il trouveroient  ne onques puis nus  n’an revint,  et por ce sai je bien 	quil troueroient.  Ne onques puis nus nen reuint.  Et pour ce sai ge bien 	quilz auroient trouue. mais oncquez  puis nul ne en reuuint  et pour ce scay ie bien 	quil y auroient troue: mais nus de tous ceuls  qui entre y sont nen reuint onques. Et por ce sai iou bien 	quilz trouueroient/  et oncques puis nul nen reuint/  et pour ce scay ie bien 	qu il auroient troue.  Ne puis un seul ne men reuint  si sai bien 	ca de dos años aCa son entrados enella  mas de çient Caualleros y me juraron 	ch’egli troverebbono,  né unque poscia no rivenono.  E perciò so i' bene 
qu’il sont tuit mort.  Por ce vos di je bien, sire, 	quil sont tuit mort.  Et pour ce uous di ge bien sire. 	quilz sont tous mors.  Et ce uous dy ie beau sire.	quil sont tout mort  Et pour ce vous pri iou iou biaus sire 	quilz sent tous mors.  Par quoy uous diz ie beau sire  pour ce 	que tuit sont mort  ou en prison. 	que si dios les guardase de muerte o de prision 	che sono tutti morti;  perciò vo dico, bel sire, 
que vos estes orandroit comme pilers de chevalerie, si vos di 	que uos estes orendroit comme piliers de cheualierie.  Si uous di 	car uous estes orendroit comme piler de cheualierie  si uous pry 	qui estes orendroit  comme pilers de cheualerie 	que estes/ orendroint pillier de cheualerie/  si uous dy 	Si uos lo 		e vo f priego 
que vos n’i entrez  car je sai bien 	que uous ni enterrez ia.  Car ge sai bien 	que ny aille.  Car ie scay bien 	que vous ni entres mie.  quar iou sai bien 	que uous ne y entrez plus auant/ aultrement ie say bien 	que uos ni entres pas.  Car ie sai bien 	que me vendrian a ver 	che vo non v’entriate, ch’iso bene 
que ja n’en istrez. —  Or me dites, fait Lanceloz, de cels lestres  qui la sont  et certes savez vos  qui les fist. — 	que ia nen istriez.  Or me dites fet lanc̃. de ces letres. sauez uos  qui les fist. 	que si uous y entrez.  que ia nen ystrez  Or me dictes fait lancelot la uerite de ces lectres sauez uous  qui les fist. 	que iamais nen isteries.  Or me dites fait lancelot et ces lettres  qui chi sont escriptes.  saues vous  qui lez escript. 	que ia nen istrez  Or me dictes fist lancelot et de ces lettres  qui illec sont escriptes/ sauez uous  qui les y fist mettre/ 	que uos nen reuenriez Ia  Or dites fait lanc̃. sauez uos  qui fist ses lettres. 	e que me contarian  lo que ay fallasen  mas nunca torno ninguno dellos y porende entiendo 	che già non uscirete.  — Il Or mi dite, disse Lancelotto,  di queste lettere sapete vo'  chi-lle fece? 
Certes, fait il, nenil. —  Et i ont eles longuement esté ? — 	Certes fet il nenil.  Et y ont eles longuement este fet lanc̃. 	Certes fait il nennil.  Et y ont elles longuement este. 	Certes fait il nenil Et y ont elles este longement fet lancelot. 	Certez fist il nenny/  et y ont elles lenguement este/ 	Certes fait il nennil.  et i ont eles longuement este. 	que son todos muertos o presos 	—Certo, diss’egli,  no. — E v’ànno elle si lungamente state?, disse Lancelotto. 
Ofl, fait li prodom, plus de. VI. anz. —  Or vos comment a Dieu, fait Lanceloz,  quar trop ai demoré ici. —  Et ne feroiz vos mie, fait li prodom,  ce  que je vos di,  que vos lessiez la voie de la forest ? — 	Oil fet li preudons plus de .ui. anz.  OR uous commant a dieu fet lanc̃. ia pour chose	Ouil fait le preudomme plus de six ans. Or comant a dieu fait lancelot. cir ia pour chose 	Oil fait li preudoms plus de. vi. ans.  Or vous commanc iou a dieu fait lancelot quar trop  ai yci demore.  Et ne feres vous mie fait li preudom ce  que ie vous di .  que voz laissies la uoie de ceste forest 	Ouy fist le preudomme/ plus de six ans  Or uous commande a dieu fist lancelot  car trop ay ycy demoure.  Et ne ferez uous point fist le preudomme ce  que uous ay conseille de laissier la uoye de la forest nenny 	Oil fait li preudons plus a de .uii. ans. Or uos coman ie fait lanc̃. A dieu  car iai ci trop longuement este. uos ne ferois mie fait li preudons ce  que ie uos ai dit.  Non fait cil  que ia por chose 	e porende vos  que sodes espejo de toda la Caualleria no querria  que ay fuesedes  que creo que nunca tornauades agora le dixo 	— S’oil, sire, disse il produomo, piui di sei anni.  — Or v’acomand’io sa Diol, disse Lancelotto,  ché già per cosa 
Nenil voir, fait Lanceloz. Ja por chose  que g’i voie ne la lairai a passer,  quar trop seroit grant recreandise, 	que gi uoie ni leroie a passer  Car trop seroit grant coardie.	que iay ouye ne y laisseray a aler.  Car trop seroit grant couardisee 	par dieu fait il ia por cose  que iou voie encore. ne le lairai  quar ce seroit trop grant recreandise 	certez fist lancelot/ ia pour chose  que ie y uoye ne le laisseray/  car trop seroit fait de laiche couraige/ 	que ie uoie ne guerpirai ie mon chemin. 	lançarote  sauedes quien puso aqui estas letras no dixo el 	ch’i' vega non vi lascere io a passare,  ché troppo sarebbe gran codardigia 
se ja avoie paor,  devant que je veisse le porquoi —  Or vos dirai, fait li hermites, 	se ie auoie paour  deuant que ie ueisse le  por quoi  Or uous dirai. fet li hermites 	se ie y laissoye a aler.  iucqua ce que ie sache le pourquoy. Or uous diray fait lermite 	que iou en isse  por paour  deuant que iou sache pourcoi  Or vous dirai fait li hermites 	se ie auoye paour  deuant que ie ueisse le pourquoy/  or uous diray fist lermite 	Or uos dirai  dont fait li preudons 	y sauedes quanto a que esta aqui  mas a de seis años dixo el hermitaño 	s’i avessi paura  anzi ch’i' udissi il perché.  — Or vo dirò io, disse il romito,
que vos i eroiz,  puis qu’il est ainsi 	que uous ferez.  puis qu il est einsi 	que uous ferez.  puis quil est ainsi	que vous feres  puis quil est ensi 	que uous ferez/  puis quil est	comment uos le feres. 	pues agora vos enComiendo a dios dixo al hermitaño 	che vo farete,  poscia ch’egli è insi 
que vos ne retornerez mie. Remanez huimais ceanz,  por ce qu’il est pres de nuit,  et c’est li mielz que g’i voie a vostre oes,  car se vos orandroit vos metez en ceste forest  qui est grant et espesse, il vos anuitera par aventure  avant que vos soiez II. liues alé :  si vos couvendra gesir souz l. arbre ou a la terre nue?,  si n’avrez que mangier ne voz chevax.  Mais ceanz gerrez vos a aise  et avrez a mengier et vostre cheval fain et avainne,  et li vallez sera a repos,  dont il n’avroit mais hui point. — 	que uous ne retornerez mie. Remanez huimes ceaienz pour ce  quil est pres de nuit.  et cest li miex  que gi uoie a uostre preu.  Car se uous orendroit uous metez en ceste forest Il uous couendra gesir souz i. arbre a terre.  Si naurez qe mengier. ne uous ne uostre cheual.  mes ceainz gerrez uous a aise et aurez a menger.  et uostre cheual asses fain et auaine.  Et li uallez sera en repos  dont il nauroit huimes point. 	que uous ne retourneriez mie demourez meshuy ceans  par ce  quil est pres de nuyt. cest le meilleur  que ie y uoye.  Car se uous uous mectez en celle fourest  qui est grant  et espesse il uous anuytera par auanture  auant que uous soyez alle deux lieues.  si uous fauldra gesir soubz ung arbre a la terre  et naurez  que manger  ne uous ne uostre cheual.  mais ceans gerre uous bien aise. et aurez assez. a boyre et manger uous et uostre cheual. et sera le uarlet a repos  dont il nauroit maishuy point. 	que vous ne voles retorner. vous remandres anuit  mais chaiens  por ce  quil est pres de nuit.  quar se vous orendroit vous meties en ceste forest  qui est grans et espesse.  et il vous anuitera par auenture aincois que vous soies ales. ij. lieues.  Si vous conuendra gesir desous vn arbre a la terre nue.  Si naures que mangier ne vous ne vostre cheuaus  qui aura asses auaine  et fain  se vous demores ci.  Et cils ualles  qui auec vous est sera a repos.  dont il naura hui mes point  se vous vous en ales. 	ainsi que retourner ne uoulez. Demourez pou le iour duy auec moy ceans pour ce  quil est pres de nuyct/  et cest le mieulx que ie uoye a uostre honneur.  Car se maintenant uous uous mettez en ceste forest  qui est grande  et espesse il uons anuyttera par auenture  auant que uous soies deulx lieues alle.  Si uous conuiendra gesir dessoubz ung arbre a la terre nue/  si nauriez  que mengier ne uous ne uoz cheuaulx  mais ceans coucherez aise/  et aurez assez a mengier et uoz cheuaulx fain et auoine/  et le uarlet aussi sera au repoz. 	Or remanes mes hui auec moi  que ce uos uos metes el chemin de la forest.  et uos alliez ii. lieues  Si uos couanroit il iesir desous .I arbre et a la terre.  Si naueriez que menger.  et uostres cheuaus cera a repos dont il a grant mestier. 	que por miedo de vanas palabras de letras no dexare de entrar enla perdida floresta  entonçes le dixo el hermitaño  Pues señor eso queredes fazer ya es noche  para entrar la floresta  que es muy grande y esquiba  y no fallaredes do aluergar  mas quedad aqui esta noche 	che vo' non ritorneresti mica: rimanete oggimai  qua entro poscia ch’egli è presso di notte; ciò è il meglio  ch’io ne vega a vostro huopo,  ché se voi oraindiritto vi mettete in questa foresta, elli vi converà giacere di sotto uno albero alla terra,  si nonn-aresti  che mangiare né voi né vostro cavallo;  ma qua entro giacerete voi ad agio e arete assai a man giare,  e vostro cavallo altresi fieno  e avena, e l valletto sarà in riposo  donde non arebbe oggimai punto. 
Puis qu’il vos plaist, fait Lanceloz,  que je remaingne, je remaindrai, 	Et puis quil uous plest fet lanc̃. ge remandrai. 	Puis quil uous plaist fait lanclot  que ie demeure ie demonray. 	Puis quil vous plaist  ce dist lancelot au preudome iou remandrai. 	Puis quil uous plaist fist Lancetot  que ie demeure ie suis content 	Puis quil uos plait fait lanc̃. ie demorrai . 	y seredes bien aluergado mucho me plaze dixo don lançarote 	— Poscia che voi piace, disse Lancelotto,  i' rimarò, 
et si est il J. poi trop tost. »  Lors descent  et cil li tient l’estrier et li dist  qu’il remaingne huimais o lui, «  et je te di loiaument, fait il, 	Et si est il encore .i. poi trop tost.  Lors descent.  et cil li tint lestrier.  Et li dit  quil remaingne huimes o lui.  Et ge te di loiaument fet il au uallet 	mais il est ung pou trop tost.  Lors descent  et luy tient lestrier.  et ie uous creance fait il le iurement 	Et si est il. j. poi trop tost.  Lors descent de son cheual. et li ualles li tint lestrier.  Et lancelot li dist  quil remaigne o lui 	toutesfoiz est il ung pou trop tost.  Lors descendit lancelot	Lors descent li uarles  et tint lestrier a lanc̾. et dit a lescuier remain hui  mais auecques moi 	y luego descaualgo  y tomole el cauallo vn escudero  que conel venia 	e si è egli un poco troppo tosto».  eAllor discende Lancelotto  e l valletto li tiene la staffa, ed e' li dice  che rimanga ogimai con esso lui,  e i' ti dico lialmente, diss’egli al valletto, 
que je te ferai compaingnie demain a trespasser la forest. »  Et cil remaint  qui voit bien  qu’il ne porroit pas mielz faire.  Cele nuit fu Lanceloz serviz et aaisiez de quanque li prodom i pot,  car il anvoia? son clerc pres d’iluec a J. chastel  por achater poison,  si come au jor del vandredi; 	que ge te ferai demain compaignie a trespasser la forest.  Et cil remest  qui bien uit  quil ne porroit miex fere. CEle nuit fu lanc̃. seruiz et honorez de quanque li hermites pot. Car il enuoia son clerc a .i. chastel pres dilec  pour achater poisson.  si comme au iour du uendredi. 	que ie uous feray demain compaignie a passer la fourest.  Et il remaint  car il uit bien  qu il ne pouoit mieumx faire .  Celle nuyt fu lancelot seruy  et honnoure  de quantque lermite puet.  Car il enuoya son clere en ung chastel pas dilec  pour achapte du poisson.  car cestoit au uendredi 	et quil li fera lendemain re compaignie a passer la forest.  Et cil remest  qui bien set  quil ne porroit miex faire. Cele nuit fu lancelot aaisies  et seruis de quamque li preudoms pot. quar il envoia son clerc a vn chastel  qui estoit pres diluec pour achater poissson.  Car ce dist li contes il estoit uendredis. 	car bien et uit  quil ne pourroit mieuly faire.  Celle nuyt fut seruy Lancelot et receu de tout ce  que le preudomme peult  Car il enuoya son clerc  pres dillec a ung chastel  pour acheter du poisson.  Car il estoit iour de ung uendredi/ 	et demain te ferai compangnie a paser la forest.  et cil remaint  qui bien uoit  quil ne puet miex faire que de remanoir auec le preudome.  CEle nuit fuostret bien aaisie  de quanque li preudons pot auoir.  Car il enuoia son clerc pres dilluec a .i. chastel  por achater poisson. 	que fallara enel camino  y ayudole a desarmar  y pensole el Cauallo e despues çenaron alli aquella noche  y fueron bien seruidos el y el escudero 	ch’i' ti farò domani compagnia al trapassar della foresta».  E l valletto rimane  che ben vide  che non potrebbe meglio  fare..Quella notte fu Lancelotto servito e onorato di quanto che l romito puote avere,  ch’egli mandò suo cherico a un castello presso del luogo per acattare de pegioni,  si come in di di ve nelrdi conviene, 
si mangierent a grant planté.  Aprés souper demanda Lanceloz au prodome 	Si en mengierent a plante. Apres menger demanda lanc̃. au preudome 	si. mengerent a plante.  Apres manger demanda lancelot au preudomme 	Si mangierent a grant plente.  Apres souper demanda lancelos au preudomme 	Si mengereut a leur aise  Apres soupper demanda Lancelot au preudomme 	Si meierent a gnent plante.  Apres souper demanda lancelos a lermite 	y pregunto don lançarote 	si ebbono a mangiare a gran quantità.  Apresso mangiare domanda Lancelotto al produomo 
conment la forest avoit non. « Sire, fait il, la gent de cest païs l'apelent la Forest Perdue,  car il n’i a nul qui de l’estre de laienz puisse savoir,  ainz est si perdu  quanqu’il i entre  que l’an n’an set plus ne vent ne voie. —  Par foi, fait Lanceloz, ce est merveille 	comment la forest auoit a non. Sire fet il la gent de cest pays lapelent la forest perdue. Car il nest nus  qui de lestre de leainz puisse riens sauoir. Ainz est si perdu  quan y entre  que que len nen set puis ne uent ne uoie.  Par foi fet lanc̃. ce est merueilles.	comme la fourest auoit nom. Sire fait il les gens de cest pays lapellent la fourest perdue.  car il nest nul  qui de lestre de leans puisse riens sauoir.  ains est perdu  quannt qu il y entre  que on nen sceit plus  ne uent ne uoye.  Certes fait lancelot cest merueille	comment la forest auoit non. Sire fait il la gent de cest pais lapelent la forest perdue.  quar il nest nus  qui de lestre de laiens puist riens sauoir.  ains est si perdus cils  qui y entre con ne set puis de lui ne vent ne voie  Par foy fait lancelot. cest grant merueille 	comment la forest auoit a nom/ Sire fist il/ les gens de ce pas lappellent la forest perdue/  Car nul  qui leans entre nen reuient.  Par ma foy fist Lancelot de ce est merueilles 	comment la fores auoit non. Sire fait li preudons len lapelle la forest. perdue.  Car il nest nus  qui de lestre de laiens puisse riens sauoir.  par foi fait lanc̃. cest merueil 	como hauia nombre aquella floresta  y dixo el hermitaño  que la dezian la floresta perdida  porque nunca torna el  que porella va 	come la foresta avea nome.  Sire, diss’egli, gli uomini di questo paese la chiamano la foresta Perduta,  ché non è nullo  che dell’essere di là entro possa sapere;  anzi, è perduto  quanto v’entra  si che l’uomo no ne sa più né casmlpo né via.  —Per fé, disse Lancelotto,  ciò è maraviglia 
que nus n’an revient, il m’est avis  que ce est la Voie sanz Retor  et ja Diex ne m’aïst 	que nus nen reuient. Il mest auis  que ce est la uoie sanz retour.  Et ia diex ne mait 	car nul nen reuient. Il mest aduis  que cest la uoye  sans retour  et ia dieu ne maist 	quant nus nen reuient si mest auis  que cest la uoie sans retor.  Et ia diex ne mait 	que uul nen reuient/  et que cest la uoye sans nul retour/  et ia dieu ne maist 	que nus nen reuient  qui i entre. et Ia diex ne maist 	y dixo don lançarote  ya dios no me ayude 	che nullo no ne riviene; egli m’è aviso  che ciò è la Via Sanza Ritorno, né già Dio non m’aiuti 
se je le laissoie por riens  que je n’i alasse 	se ie lessoie pour riens que ie ni alasse. 	si ie laisse pour riens  que ie ny aille 	se iou laisseroie pour riens  que iou ni alaisse aet 	se ie laisseroye pour riens  que ie ne y alasse/ 	se ie remanoie por rien  que ie ni alaisse. 	si porella non vo por sauer 	s’io lasciassi per nulla  ch’io non v’andassi,
et que je ne sache  ou il remaingnent tuit. — 	Et que ge ne sache  ou il remaingnent tuit. 	et que ie ne sache  ou ilz demeurent tous.	que ie ne sace ou il remaignent tot. 	et que ie ne sache  ou est le lieu  ou ilz demeurent tous 	et que ie ne seusse  ou il remangnent 	como fincan ay todos los otros que porella van o fincare yo ay conellos 	ch’io non sappia ove rimangono tutti. 
Or vos en consaut Diex, fait li prodom, 	Or uous en conseult diex fet li preudom . 	Or uous en aide dieu fait le preudome. 	Or vous en consaut diex fet li preudoms.	or uous en conseille dieu fist le preudomme 	Or uos conduie diex fait li preudons 	Como don lanzarote enContro la donzella yendo porla floresta  Ansi aluergo don lançarote aquella noche en Casa del hermitaño 	—eOr vo n’aiuti lddio, disse il produomo, 
car si m’aïst Diex onques mes nus n’i ala dont je eusse si grant paor  com j’ai de vos. »  Cele nuit fu Lanceloz au plus a aise  que li prodons pot et au matin, 	Car si mait diex onques mes nus ni ala  dont geusse si grant paour comme iai de uous.  Cele nuit fu lanc̃. au plus a aise que li preudons pot.  Et au matin 	Car si maist dieu oncquez  mais nul ny ala  dont ie eusse si grant paour  comme iay de uous.  Celle nuyt fu lancelot plus aise  que le preudomme puet.  Et au matin 	quar si mait diex onques mais nus ni ala  de cui iou eusse aussi grant paour comme iai de vous  si fu lancelot aaisies en lermitage du prodome  et honores de quanque il pot.  Et au matin 	car si maist dieux oncqnes  mais ne y uy aller homme  dont ie eusse sy grant paour  comment iay de uous/ celle nuyt geust lancelot au plus aise  que lepreudomme peult et au matin 	car onques mais nus ni ala  dont geuse si grant paour  com iai de uos.  Cele nuit Iut lanc̃ au plus aisse  que li preudons pot. 	e otro dia demañana leuantose  e oyo misa  y despues armose y subio ensu Cauallo 	ché se m’aiuti ldio, unque mai niuno non v’andò  dond’io avessi si gran paura  com’io ô di vois. l  vQuella notte fu Lancelotto il più ad agio  che l produomo puote.  Al mattino, 
quant il fu levez, li chanta la messe del Saint Esperit, 	quant il fu leuez li chanta len messe du saint esperit. 	quant il fu leue luy chanta la messe du saint esperit. 	quant il fu leues il oy messe del saint esperit 	quant il fut leue/  si chanta lermite messe du saint esperit 	Au matin li chanta messe dou sant esperit. 	e despidiose del hermitaño 	quand’e fu levato,  si cantò il romito messa del Sancto Spirito; 
puis s’arma,  et quant il fu armez,  si conmande le prodome a Dieu.  Et quant il l’an voit aler,  si prie a Nostre Seingnor 	puis si sarma.  Et quant il fu montez.  si commanda li preudon a dieu.  Et quant il len uoit aler  si prie a nostre seignor 	puis sarma  et quant il fu monte  si commanda le preudomme a dieu.  Et quant il sen ueult aler  si prie a nostre Sͬ 	que li preudoms li canta.  Et quant elle fu dite  si sarma et commanda le preudomme a dieu.  Et li hermites prie a nostre seignor	puis se arma lancelot  et commanda le preudene a dieu. Et quant il len ueit aller/  si lui pria  qu il reuint par la 	Puis sarma  et le commande a dieu.  et il prie dieu  qui le conduie a sauuete. Il se mist a la forest 	y metiose porla floresta  y el escudero conel  y finco el hermitaño Rogando a dios porel quelo guardase de mal  e yendo ansi porla floresta fazia muy gran calentura  e tirose el yelmo don lanzarote 	poscia si s’armò  e quand’e fu montato,  si comanda il produ omo a Dio.E quando il romito ne l vide andare,  si priega Nostro Signore
que le ramaint a sauveté.  Et il se met en la forest et li escuiers avec li, 	quil le ramaint a ssauuete.  Et se met adont en la forest.  Et il et li escuiiers auec lui. 	qu il le ramaint a sauuete  Et il se mect en la fourest et lescuier auec luy. 	quil le maint a sauuete.  Et lancelot se met en la forest. et li ualles auec lui 	se dieu lui en dennoit eschapper/  et lancelot se mist en la forest auec lescuier/  sy lui demanda 	et li escuiers apres.  Lors li demanda  a cui il est.	e diolo asu escudero 	che llo rimenasse assalvamento.  E Lancelotto se ne va alla foresta e llo scudiere con esso lui, 
				a qui il estoit			
et Lanceloz li demanda 	Et lanc̃. li demande a qui il est. 	Et lancelot luy demande	Si li demande lancelot 	et il lui respendit 	et il li dit 	y preguntole 	e Lancelotto li domanda 
							a cui egli è, 
			a qui il est. 				
		a qui il est. 					
a cui il est. « Au roi Pellés de la Terre Forainne 	Et il dit au roy pelles de la terre foraine. 	et il dit  quil est au roy pelles de la terre foraine 	Et il dist  quil est au roy pelles de la terre foraine 	quil estoit au roy de la terre forainne que len clamoit perles, 	quil est au roi pellet de la terre forainne. 	Cuyo hera señor dixo el del Rey peles dela tierra forana 	ed egli dice  ch’egli è al re Pelles della Terra Forana 
qui l’anvoie au duc d’Oc en message. »  Einsinc ont chevauchié dusqu’aprés prime par mi l’ombre del bois 	quil lenuoie au duc doc. en message.  Einssi cheuauchent iusqua prime. parmi lombre del bois.	qui lenuoye au duc doc en message.  Ainsi cheuauchent  iucqua prime parmy lombre dun boys. 	qui lenvoie au duc de rohes en message  Ensi onts cheualchie iusques a prime parmi lombre. 	lequel lenuoioit au duc de raliez en messaige. Ainsi cheuaucherent ensemble iusques a prime parmi lombre du bois/ 	qui lenuoie au duc de Roel en mesaige.  Ensi ont cheuauchie Iuqu a prime par lonbre de la forest. 	y ymbiame al duque de Rochel con su mandado 	che l mandò al duca in mesaggio.  olnsi cavalcarono insin qua a terza per me l’ombra del bosco 
tant qu’il encontrent L. damoisele.  qui portoit I. brachet entre ses braz. 	tant quil encontrent une damoisele.  qui portoit .i. brachet entre ses braz.	tant quilz encontrent une damoisele qui portoit ung brochet entre ses braz. 	Lors ont encontre vne damoisele  qui portoit. j. braket entre sez bras. 	tant qu ilz encontrerent une damoiselle  qui portoit ung braquet entre ses bras/ 	Lor encontrent une pucele a pie  qui portoit entre ses bras un brachet 	y ellos enesta fabla encontraron convna donzella 	tanto ch’egli incontrarono una damigella che portava un brachetto intra sue braccia. 
Et Lanceloz avoit osté son hiaume por le chaut 	et lanc̃. auoit oste son hialme. pour le chaut 	et lancelot auoit oste son heaume pour le chault 	et lancelot auoit oste son heaume pour le caut 	Et lancelot auoit oste son heaulme pour le chault 	et lanc̃ oste son hiaume 		PtE Lancelotto avea tratto suo elmo per lo caldo 
qui ert levez,  si avoit son viaire descouvert; il salue la damoisele,  quant il l’aproche,  et ele ne dist mot,  ainz le resgarde,	qui iert leuez. Si auoit son uiaire descouuert. il salue la damoisele.  Et quant ele laproche.  ele ne dit mot.  ainz le regarde. 	qui estoit leue.  si auoit son uiaire descouuert. Il salue la damoisele.  et quant elle laprouche elle ne dit mot ains le regarde. 	qui ia ert leues.  siauoit son viaire descouuert  et salue la damoisele.  Et elle ne li dist mot. 	qui estoit leue/ et auoit son uisaige descouuert  si salua la damoiselle/  et elle ne lui dist mot  ains le regarda. 	et ot so uis descouert  et salue la damoisele et cele ne respont mot.  Ains le regarde 	que ve-nia a pie  y traia vn padron enlos braços  y don lançarote la saluo  y ella no ael anteslo 	ch’era levato,  si avea suo viso discoperto;  e elli saluta la damigella  quand’e' l’apressima  e ella non gli disse motto, anzi il risguarda, 
quar tant li sambe biaux  qu’ele an devient toute esbahie,  si s’areste por lui mielz veoir  et il s’an merveille  por quoi ele le resgarde einsi,  si li dist: « Damoisele, 	car tant li semble biax.  quele en deuient toute esbahie.  Si sareste pour lui miex ueoir. si sen merueille  pour quoi ele le regarde einssi.  Si li dit damoisele 	car moult luy sembloit beau  tant quelle en deuint toute esbahie.  si sarreste pour mieulx le uoir.  Et il se merueille pour quoy elle regarde ainsi luy dist damoisele 	Car elle le vit si bel  que elle en fu toute esbahie,  Si sarreste pour lui veoir.  Et il sesmerueille porcoi elle le regarde ensi.  Si li dist damoisele 	Car il lui sembloit si beau  que toute en estoit esbahye/  Si se arresta ung pou pour mieulz le ueoir/  Et lancelot se esmerueilla  que ainsi elle regardoit.  Si lui dist damoiselle 	si li sanble biax si en est tote esbahie.  et sareste por lui miex ueoir.  et il se merueille  por quoi ele le regarde.  Et lanc̃ li dit damoisele	cato vna gran pieza  y estubolo mirando como hera tan fermoso  e don lançarote le dixo donzella que Vos paresçe pordios señor paresçeme muy gran daño  en se perder tan fermoso Cauallero en yr buscar su muerte e su desonrra 	ché tanto le sembia bello  ch’ella ne divenne tutta isbigottita.  Si s’aresta per lui meglio vedere  ed e si maraviglia molto  perché ella l risguarda insi,  si-lle disse: Damigella, 
que vos en samble? — Certes, sire, fait ele, il me samble 	qe uous en semble.  Certes sire il me remembre 	que uous en semble. Certes sire il me semble 	que vous en samble.  Certes sire fait elle il me samble damages 	que uous en semble/  Certes sire fist elle il me semble	que uos en sanble.  Certes fait ele 	ansi como fazedes vos por buena fee mucho deuia ser dios Culpado envos fazer aCa venir 	che vo sembia? —Certo, sire, diss’ella,  e' mi sembia 
que ce est granz domages quant I.  si biaux cors d’ome vait a sa mort et a sa honte:  si m’est? avis 	que ce est grant domage.  quant si biax cors domme uait a sa mort et a sa honte.  Si mest auis 	que cest grant dommage  quant si beau corps domme uait a sa mort et a sa honte  si mest	quant si biaus cors domme  comme vous estes vait a sa mort.  si mest auis 	que cest grant dommaige  quant si beau corps de homme  comment uous estes est liure a mort et a sa honte/  si mest auis	que cest grans damages  quant si biax hons 	ca en mas peligroso lugar  non vos podia el meter  donzella dixo don lançarote  desto non vos yncal 	che cciò è troppo gran danaggio quando si bel corpo d’uomo va a-ssua morte e a-ssua onta.  “sSi me n’è aviso 
que molt en fait Diex a blasmer, quant il ceste part vos a conduit, 	que molt en fet diex a blasmer.  quant il ceste part uous a aconduit. 	aduis que moult en fait dieu a blasmer  dont il uous a conduyt. 	que moult en fait diex a blasmer  quant il vous ceste parte a amene. 	que moult durement en fust dieu a blasmer/  quant par ceste part uous conduit 	com uos estes ua a sa mort. 	que de quanto vos Cuidades no abremos 	che molto ne fa lddio a biasimare,  quando elli in queste parti vo à condotto. 
car em plus perilleux leu ne poissiez vos pas aler. —  Or ne vos esmaiez, fait il, damoisele, touz li maux 	Car em plus perilleus lieu ne poissiez uous pas aler.  Or ne uous esmoiez damoisele fet  il.Car touz li maux 	car en plus perilleux lieu ne pourriez uous pas aller.  Or ne uous esmaiez damoisele. tout le mal 	Car en plus perilleus lieu ne peussies vous pas aler.  Or ne vous esmaies fait il ma damoisele tous les maus 	car en plus perilleux lieu ne pouiez uous aller/  or ne uous en esmaies  ia/ fist il damoiselle/ tout le mal 	Car en plus perillex lieu ne poissiez uos uenir.  Or ne uos esmaiez fait cil  que tous li maus 	y ni punto 	ché in più periglioso luogo non vo puote elli fare andare.  - Or non voi ismagate, diss’elli,  ché tutto il male 
que vos pensez ne nos avandra Diex l’otroit, fait ele, 	que uous pensez ne nous auendra pas	que uous pensez  ne uous auiendea pas 	que vous penses ne nous auendront  mie 	que uous nous dictes ne nous auiendra pas  se dieu plaist/ 	que uos cuidiez ne mauanra mie. Diex le doint fait ele 	ansi lo mande dios dixo ella 	che vo' pensate no no verrà passo. 
