micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
Por ce m’envoia ele ça a grant besoing si vos mande	et porce menuoia la a grant besong si uos mande	Et pour cou menuoia elle a grant besoing cha si uous mande	Et pour ce menuoya elle ca a grant besoing Si uous mande	et pour ce menuoia elle ceste part et uous prie	e poresto me ymbio ella aca a gran priesa	e perciò mi mandò ella qua a gran bisogno i vo manda
que vos laissiés le duel ester qu’il ne vos puet fere se nuire non	que uos laissiez le duel ester Car il ne uous puet aidier de nuire non	que uous laissies che doel ester car il ne uous puet faire se nuire non	que uous lessez ester le deul car il ne uous puet que nuyre	que uous lessies ce deul	e vos manda dexar este duelo e vos Ruega	che voi lasciate el duolo stare ché non voi può fare se nuocer non
et vos prie par la rien	et uos prie par la rien	Et uous prie par la riens	Et uous pry par la riens ou monde	et que pour la riens	por la cosa del mundo	e vo priega per la cosa
que vos plus amés	que uos plus amez en se monde	que vous plus ames	que uous plus amez	que uous plus ames	que mas amades	che vo' più amate in questo mondo
que vos al plus bel que vos porrois vos reconfortés	que uos au plus bel que uus porrois uos reconfortes	que au plus bel que vous poes vous en deportes	que uous uous reconfortez au plus bel	que uous uous reconfortes le plus beau	que vos conortedes lo mejor que pudieredes	che voi al più bello che vo' potete vo vo confortate
				que uous pourres		
et se vos ensi ne le fetes bien sachiés que al premier besoing	Et se uos ainsi nel fasiez bien sachiez que au premier afaire	Et se vous ne le faites ensi bien sachies que a la premiere fois	que uous pourriez Et se uous ne le faictes ainsi sachez bien quelle uous fauldra au premier affaire	et se uous ne le faictes ainsy sachies que au premier affaire	e que si lo no fiçieredes que ella vos tirara el ayuda	E se voi insì nol faceste ben sapiate che nel primaio affare
que vos avrois de li ele vos faudroit	que uos ariez de li ele uos faudroit	que vous aures mestier de li elle vous faudra	que uous aurez besoing delle	que uous aures elle uous fauldra	que della auedes	che voi arete bisogno di lei ella voi fallerebbe
Et il dist qu’il se confortera puis qu’ele le velt Or vos covient fet ele vos armes prendre kar je voi bien qu’il ne le vos en lairont mie en pes porter tant com il le porront deffendre Et il dist qu’il i morroit ançois qu’il ne l’ostast de laiens;	et il dit que ore se confortera il puis que madame le wet OR uos couuient fait ele uos arme prandre Car ie sai bien que cil qui le gardent nel uos la iront pas en pais porter tant comme il le puissent desfandre Et il dit que il i morroit ansois	Et il dist quil sen comfortera puis que elle le veult Or vous commant dont que vous prendes vos armes Car iou sai bien que li cheualier ne vous lairont mie le cors emporter tant comme il le porront desfendre Et il dist quil en morront tuit aincois quil ne lemport de laiens	Et il dit quil se reconfortera puis quelle le ueult Si uous conuient fait elle uoz armes prendre Car ie scay bien quilz ne le uous laisseront pas porter en paix tant quilz le pourront deffendre Et il dit quilz y mourront auant quil ne louste de leans	et il dyt qui se cenfortera puys quelle ueult Or uous cenuient uos armes prendre car le scay bien tant des cheualiers de ceans quilz ne le uous lesserent point emporter tant quilz le puyssent deffendre	asi lo fare dixo lançarote puesque aella plaze agora vos conuiene dixo la donçella de armar ca yo se bien que aquellos caualleros no voslo dexaran llebar en quanto lo pudieren defender o yo morire dixo lançartoe o yo lo tirare donde esta	Ede' dice che si conforterà poscia ch’ella vuole v~Or vo conviene diss’ella vostre armi prendere ch’io so bene che l’uomo non voi lascerebbe mica in pace portare tanto com’elli il potranno difendere Ed e' dice che ne morebbe inanzi che non ve 'l traesse di là entro
	que il lait laiens					
si se vet armer	Si sen ua armer	si se vait armer demaintenant	si se uait armer	si sen ua armer tout maintetenant	E luego se fue armar	si si va ad armare
et la damoisele vient tantost as chevaliers qui gardoient la tombe	et la damoisele uient tandiz as cheualiers qui le gardoient	Et lors sen uient la damoisele as cheualiers qui gardoient la tombe	Et la damoisele uient tandis es cheualiers qui gardoient la tombe	et la damoiselle uient aulx cheualiers qui gardoient la tombe	e la donçella se fue alos caualleros quela tumba guardauan	E la damigella viene tantosto là entro e disse a' cavalieri che guardavano la tomba
si lor dist Seignor fet ele volés vos destorner ce qu’il covient estre a force et demandent por quoi ele le dist Je le di fet ele por le cors	et lor dit Signor fait ele uolez uous destorner ce que il couient auenir par force et il li demandent por coi ele le dit gel di fait ele por cel cors	et lor dist Segnor vous voles vous desfendre de ce quil couuient estre a forche Et iou le vous di por le cors	si leur dist Seigneurs fait elle uoulez uous destourner ce qͥl conuient estre a force Et ilz demandent pour quoy elle le dit et ie le dy fait elle pour ce corps	si leur dist Seigneurs uoulles uous deffendre ce qui cenuient a estre oste a force ie le dys fait elle pour le corps	e dixoles señores queredes vos defender aquello Que conuiene a ser afuerça yo lo digo dixo ella Porel cuerpo	Signori diss’ella volete vo' distornare ciò che conviene essere a forza Ed e' domandarono perch’ella el diceva ¿''l dico diss’ella per questo corpo
que vos gardez	que uos Gardes	que vous gardes	que uous gardez	que uous gardes	que guardades	che vo' guardate
et si savés bien qu’il en sera ostez — Non sera font il que nos puissons — En non Dieu fet ele si iert et bien sachiés fet ele que cil est venus qui l’en ostera	et si sauez bien que il en sera ostes no sera font il que nos puissons par foi fait ele si sera que ciz est uenus qui lostera	Car vous saues bien quil en sera ostes Non sera font cil tant comme nous porrons Enon dieu fait elle si sera quar cil est uenus qui len ostera	et uous scauez bien quil en sera oste Non sera font ilz pas que nous puissons Certes fait elle si sera et bien sachez que cil est uenu qui len oustera	car uous saues bien qu il sera oste car celuy est uenu qui len ostera et se uous centredistes uous en mourres tous Et pour ce uauldroit il mieulx	ca sabed que vos sera tomado non sera dixeron ellos en quanto nos pudieremos Pardios dixo ella si sera que aqui es venido quien voslo tolera	si sapete bene che ne sarà tratto — Non sarà damigella dicono elli tanto come noi possiamo —etA nome di Dio diss’ella si fia ché ben sapiate che colui est venuto che ne l trarà
Et se vos le contredites vos en morrois tuit: por ce vos vendroit il miels que vos le laississiés atant ains que vos vos en façois ocirre Et cil dient que ja tant com il soient vif n’en sera portés Et bien sache font il	et se uos le contredites uos i morres tuit et porte uos uodroit il miex que uos le laissisiez atant Ains que uos uous en laisisiez ocirre et cil dient que ia tant comme il soient uif nen sera portes et bien saichent font il li cheualiers	Et se vous le contredites vous en morres tout Et por chou vous uenist il miex que vous le laississies atant enmener lque uous vous en feissies ocirre Et cill dient que ia tant comme il soient vif : nen sera portes Et bien sache font il li cheualiers	et se uous le contredictes uous en morez tous par ce uauldroit il mieulx que uous le laississez auant que uous faire occire Et ilz dient que ia tant qͥlz soient uifs nen sera il porte Et bien sachez font ilz	que uous le lessies uenir que de uous faire occire Et ceulx dient que tant quilz seront uifz ne le lesront emporter	e si lo quisieredes contradeçir a todos conuiene morir e poresto querria quelo dexasedes anteque vos matasen porende ya enquanto nos fueremos vibos dixeron los caualleros No sera de aqui llebado e bien sepa el cauallero	e se voi gliel contradite voi ne morete tutti perciò vo varebbe elli meglio che voi il lasciaste atanto inanzi che vo' voi facciate uccidere Ed e'rispondono
li chevaliers			que si le cheualier			
qui venus est por avoir le que s’il estoit encore plus preus	qui uenus et por lauoir que cil estoit encore plus preus	qui uenus est pour sauoir quel sil estoit plus preu encore	qui est uenu estoit encor plus preu		que porel es venido que aunque fuese mejor ome	che già tanto come sieno vivi non ne sarà portato ee ben sappiate dicono elli il cavaliere ch’è venuto per lui avere se fosse ancor più pro'
que Lancelos n’est si n’en menra il point — Or verrons fet ele comment il vos en avendra A ces paroles vint laiens Lancelos tos armés	que lanc̃ nest nen manra il point Se uerrez uos fait ele coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃ tous armez	que la lancelot ne soit si ne lenmenroit il point Or uerrois fait elle comment il vous en lauenra ces paroles uient laiens lancelot tous armes	que nest lancelot si ne lemmenera il point Or uerrons fait elle comment il uous en prendra A ces paroles uient leans lancelot tout arme	A ces parolles uint leans lancelot tout arme	que lançarote quelo no moueria de aqui vn punto agora vere dixo la donçella como vos auerna Ellos asi fablando llego ay lançarote Armado de todas armas	che Lancellotto no ne menerà elli punto — Or vedrete diss’ella come voi averra A queste parole entrò là entro Lancellotto tutto armato
et quant li chevalier le voient venir	Et quant li cheualier le uoient uenir	Et quant li cheualier le uoient uenir	et quant les cheualiers le uoyent uenir	Et quant les cheualiers le uoyent uenir	e los caualleros	e quando i cavalieri il vidono venire
si li demandent qu’il velt fere Je vueil fet il avoir le cors	si li demandent que il wet faire ie weil fait il auoir le cors	si li denandent que il ueullt ie ueul fait il auoir le cors	si luy demandent quil ueult faire Ie uueil auoir fait il le corps	si luy demandent que il ueult faire ie uueil auoir fait il le corps	que lo vieron preguntaron Que que queria fazer yo quiero dixo el el cuerpo que alla esta Pordios dixeron ellos vos no lo aueredes	si l domandano che vuol fare to voglio diss’elli avere il corpo
qui laiens est — Par foi	qui saiens est	qui llaiens est	qui est leans	qui leans gist	que ante seremos aqui todos muertos	che là entro est inserrato
font il vos ne l’avrois mie por nient Nos ¡ morrons ançois tuit	Par foi font il uos ne laures pas por noiant donc i morrons ansois tuit	Par foi font il vous ne laures mie pour noient nous y morrons aincois	Certes font ilz uous ne laurez pas pour neant nous y mourrons auant tous	Par ma foy font il uous ne laures point ains y mourrent tous	que vos asi lo lleuar a morir vos conuiene Dixo lançarote	— Per fé dicono elli vo' non l’arete passo per niente noi ci moremo in prima tutti
que vos l’enportois — A morir fet il en estes	que uous lemportoit Au morir fait il estes uos tuit	que vous lenportes Au morir fait il estes vous tout uenu	que uous lemportez Mourir uous en fault	que uous lemportes au mourrir estes uous tous uenus	pues no vos queredes sofrir e luego salieron los Caualleros delos arcos	che voi ne l portiate —Al morire ne siete voi venuti poscia
donc tuit puis que a mains ne vos en volés soffrir Si saut dedens les prones	puis que au mains ne uos en uolez souffrir Lors saut dedens les pronez	puis que a mainz nen voles passer Cil sont dedens les prones	puis qui a moons ne uous en pouez soufrir Si sault dedans les prones	puis que a moins ne uous en uoulles passer Ceulx sont dedens les prosnes	do estauan con miedo de ser Muertos	che a meno non ne potete sofferireb
et il li corent sus kar arrieres le cuident fere sailir por poor de morir; si le fierent par la ou il le pueent ataindre	et cil li corrent sus car arreres le cuident faire flatir por paour de mort si le fierent par la ou il pueent ataindre	et il lor cort sus maintenant Et cil a lui quar arriere le quiderent faire flatir pour paor de morir si le fierent la ou il le porent ataindre	et il luy courent sus Car arriere le cuident faire flatir pour paour de mourir si le fierent par la ou ilz le peuent actaindre	et il leur court sus incentinent et eulx a luy	e començaronlo a ferir por do mas mal lo podian fazer	i salta di dentro les prone ed e' gli corrono suso ch’a terra il credono frattire per paura di morire si 'l fegono per là ov’elli il possono agiugnere
et il ot el poing l’espee nue ; si lor done grans cops	et il ot el poing lespee nue si lor done grant cox	Et il auoit en la main lespee toute nue si lor doune grans cops	et il eut ou poing lespee nue si leur donne grans coups	lancelot tire son espee toute nue	e lançarote metio mano ala espada	Ed elli ebbe impugnata la spada ignuda si lor dona gran colpi
et pesans	et pesans	et pesans	et pesans			e pesanti
et fiert le premier qu’il encontre si durement	et fiert le premier quil puet encontre si durement:	Et fiert si le premier quil encontre que por coiffe ne	Et fiert le premier quil encontre si fort	et frappe sur eulx en telle maniere	e firio al primero que fallo asi duramente	e fiede el primaio si duramente
que por le hialme ne por la coife de fer ne remaint qu’il ne li mete l’espee jusqu’al test;	que por hiaume ne por la coiffe ne remaint que il ne li meste lespee iuscau test	pour heaume ne remainst que il ne li mete lespee iusques au tesstje	car pour le heaume ne pour la coiffe de fer ne demeure quil ni luy mecte lespee iucquau test		que porel yelmo ni Porel almofar no finco quele no metiese la espada porla Cabeça	che per l’elmo né per la cuffia del ferro non rimane
et il le hurte de soi Si l’abat a terre	Si le hurte desor et labat a terre	Et il le hurte si labat a terre	Et il le hurte de soy si labas a terre	que le premier quil attaint il le met par terre	e dio conel en tierra	che non gli metta la spada insin qua alla testa ed elli il percuote di sé medesimo si llo abatte a terra
Et lors saillent molt irieement tuit li autre si depiecent son escu et son hialme et son hauberc	et lors saillent tuit li autre si li deprirent son haubert et son escu et son hiaume	Et li autre as lassalent moult ireement et le fierent sor son heaume et sor son hauberc	Et lors lassaillent moult ireement tous les autres Si luy depecent son escu et son heaume et son haubert	lors le assaillent les aultres moult uigoureusement: mais peu leur prouffite:	e los otros lo començaron a ferir muy rreçia mente porel escudo e porel yelmo e porla loriga asi que selo quebrantaron e Ronpieron	Allor salgono molto adiratamente tutti gli altri si gli dispezano suo scudo e suo elmo
et le blecent en pluisors lieus Mais il ne li chaut de rien qu’il li facent	et le blecerent en plusors lieus Mais il ne len chaut de rien	si quil li derrompent en pluisours lieus Mais il ne li chaut de chose quil li fachent	et le blecent en plusieurs lieux mais il ne luy chault de riens quil luy facent		Por muchos lugares mas el no daua cosa	e suo asbergo gli falsano in più luogora ma e' non gli è a nulla
kar tant est dolens que nus plus;	Car tant est dolens que nus plus ne puet estre	quar tant est dolans que nus plus	car tant est doulent qui plus ne puet	car tant est dolent que nul plus	por aquello quele façian tanto estaua de sañudo	che gli facciano ch’atanto est dolente che nullo più
si lor laisse corre par grant ire et lor done de l’espee si grans cops que tos les fet guenchir avant lui Et lors esgarde celui des IllI	Si lor laisse corre par grant ire et lordone de lespee si grant cox que toz les fait guenchir auant lui Lors esgarde de celui des qͣtre	si lor laisse corre par grant ire lor donne de lespee grans cops si que tous les fait guenchir deuant lui lors esgarde et voit vn dez	si leur laisse courre de grant ire et leur donne de lespee si grans coups que tous les fait guenchir auant luy Lors regarde celuy des quatre	si leur laisse courir par grant ire tant que tous les fait reculer de lui Lors regarde lun des quatre	e dexo de correr aellos Con gran yra e dauales dela espada tales Golpes asi quelos façia de si arredrar e Lançarote Paro mientes en	Si lor lascia corere si gran colpi che tutti gli fa ischencire davanti lui Allora avisa que' de' quatro
qui plus li faisoit mal et cil estoit molt grans	que miex le faissoit a son essianc et cil estoit mout grans cheualiers	iiij qui plus li fait mal a son essient Et il estoit moult grans	qui luy faisoit plus de mal a son adius et il estoit moult grant	qui plus lui faisoit mal a son auiz	aquel que mas mal le façia que hera muy grande	che più gli faceva male a suo aviso e quegli era molto grande
et molt fors;	et mout fors	et moult fors	et moult fort		e muy fuerte	e molto forte
et Lancelos qui le vient ataignant li done par mi le hialme si grant cop qu’il en fet le feu saillir et l’espee glace	et lanc̾ qui le uient atangnant li done parmi le hiaume si grant cop que il en fait le fen saillir et lespee glace	et lancelos qui le vient ataignant li donne sor le heaume tel cop quil en fait le fu saillir et lespee glache	et lancelot lactaint par le heaume si grant coup quil en fait saillir le fer et lespee glace	si lui donne sur son heaume tel coup qu il en fait le feu saillir et lespee glace	e diole asi vn golpe tan grande ençima del yelmo	e Lancellotto che viene agiugnendo si l fiede si gran colpo
qui de droit ne fu pas ferue si descent desus la senestre espaule Li cops fu grans et par ire ferus et bien i parut que l’espee cola par mi l’espaule a al chevalier si que li bras a tote l’espaule chiet desus le pavement	qui droit ne fu pas ferue Si li descent desous la senestre espaule et li cox fu grans et par ire feruset bien i parut que lespee cola parmi lespaule au cheualier Si que li bras atout lespee chai seur le pauement et cil trebuche a terre	qui ne fu mie de droit ferue si descent sor la droite espaulle au cheualier si que li bras kai a tout lespee sor le pauement Et cil trebuche a terre qui se pasme de langoisse quil sent	qui de droit ne fu pas ferue si luy descend dessoubz la senestre espaule le coup fu grant et feru par yre et bien y parut car lespee coula parmy lespaule au cheualier si qui le braz a toute lespaule chey dessus le pauement et il trebuche a terre	si descent sur la destre espaulle du cheualier: si que le bras lui cheut atout lespee sur le pauement Celui trebucha a terre et se pasma de langoisse quil sentist	que el fuego fiço salir del e el golpe desçendio al honbro e Como fue dado de gran fuerça asi que porla loriga no finco quele no derribase el braço conla espada en tierra e el cauallero conel gran dolor cayo luego en tierra amorteçido	che n diritto non fu passo fedito si gli discende sopra la sinistra spalla ll colpo fu grande e per ira fedito e bene aparve che lla spada colò per me' la spalla del cavaliere sicché la spalla con tutto il braccio cadde di sopra lo smalto ed e' trabocca a terra si spasima faceva facevano della angoscia che sente
			et se pasme de langoisse qu il sent			
	et se pasme: de langoisse					
	que il sent					
Et lors sont molt esmaié li autre troi	Et lors sont mout esmaiet li autre trois	Et lors sont moult esmaie li autre troi	et lor sont moult esmayez les autres troys	Lors sont moult esmaiez les autres	e los otros desque aquel golpe vieron fueron muy desmayados	Allora sono molto ismagati tutti gli altri tre
si font molt malvés samblant d’els deffendre por le grant cop qu’il ont veu	Si font mout mauuais sanblant daus desfandre por le grant cop quil ont ueu	et font moult maluais samblant daus desfendre pour le grant cop quil ont veu	si font moult mauuaiz semblant de deffedre pour le grant coup quilz ont eu		e fiçieron mal senblante dese defender porlos grandes golpes que façia	si si fanno malvagio sembianti di difendere per lo gran colpo ch’egli ànno veduto
et por l’espee que chescuns d’els a ja sentie jusqu’al sanc	et por lespee que chascuns daus a sentie iussqua sanc	et pour lespee que cascuns de euls a sentue iusques au sanc	et pour lespee que chascun a sentie icquau sanc	iii	e porla espada que auia sentido cadavno enlas carnes	e per la spada ch’egli ànno sentita insin qua alle carni
Et Lancelos lor cort sus et en fiert I el hialme si qu’il le fet flatir a terre d’ambesdeus les paumes	et lanceloz qui ne recroit pas lor cor sus et en fiert i amont el hiaume si quil le fait flatir a teree danbedeus les paumes	Et lancelot qui pas ne se recroit en fiert vn amont sor le heaume quil le fait flatir a terre dambes ij	Et lancelot qui oncquez ne recroit leur court sus et en fiert lun amont ou heaume si quil le fait flatir a terre des deux paumes	et lancelot leur court sus et en fiert tellement ung ament le heaume qu il le fait flatir a terres	e lançarote no cato mas aquel que derribo ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra	E Lancellotto ch’unque non si rimuove lor corre suso e ne fiede l’uno a monte ne l’elmo sì gran colpo ch’elli il fa frattire a terra d’amendune le palme
		lez paumes				
Et quant li autre dui voient ce	et quant li autre dui uoient ce:	Et quant li autre doi voient chou	Et quant les autres deux uoyent ce	Et quant les autres deux uoient ce	e desque los otros esto vieron començaron a foir	ME quando gli altri due vidono ciò
si tornent en fuies vers l’uis a garison;	si corret᷑ uers luis et uiennent a garison	si tornent en fuies	si tournent uers luys pour fouir a garison	si tournent uers luys a garant	por guaresçer	si tornarono inverso per fuggire a guarigione
et Lancelos vint ataignant le deerrain si le fiert par entre l’escu	et lanc̃ uient atangnant et en fiert a grant uue par entre lescu	Et lancelot ataint le daarrain si le fiert par entre se lescu	Et lancelot actaint le derrain si le fiert entre lescu	Et lancelot uient attaignant le derrain par entre lescu	e lançarote alcanço aquel que yua de tras	e Lancellotto viene agiugnendo il di dietro si l fiede intra lo scudo
et le bras si qu’il li trenche le poing	et le bras si quil li tranche le poing	et le col Si quil li trenche le bras	et le braz si quil luy trenche le poing	et le col si lui trenche le bras:	e firiolo asi duramente entre el onbro	e l braccio sicché gli trinca il pugno
et li escus chiet a terre et cil torne en fuies	et li escus chiet a terre et sil torne en fuie	et li escus chiet a terre Et cil torne en fuies	et lescu chiet a terre a cil tourne en fuye	et lescu chiet a terre	y el escudo	e lo scudo cade a terra e que' torna in fuga
qui maheignié se sent Et Lancelos vient a l’autre	qui afolez ce sent et lanc̃ uient a lautre	qui mahaignies se sent Et lancelot reuient a lautre	qui se sent mehaigue Et lancelot reuient a lautre	Lancelot court a lautre	que tenia enbraçado que el braço conel escudo le fiço bolar en tierra	che magagnato si sente E Lancellotto ritorna a l’altro
qui ja se relevoit	que ia se releuois	qui ia se releuoit	qui se releuoit	qui ia se releuoit	e el cauallero fuese fuyendo	che si rilevava
sel fiert de l’espee	si le fiert de lespee	si li donne	si le fiert de lespee	et le fiert	ansi llagado como estaua	si l fiede della spada
si grant cop qu’il li fet le hialme voler en la place	si grant cop que le hiaume li fait uoler en pieces	si grant cop que il li fait voler le heaume de la teste en le place	si grant coup quil luy fait uoler le heaume en la place	si grant coup qu il lui fait uoler le heaume de la teste en la place	e lançarote fuese enpos el otro que auia fincado	si gran colpo che gli fa l’elmo volare nella piaza
Et quant cil sent son chief nu si cria merci	et quant cis sent son chief nu: Si crie merci	Et quant il sent son chief descouuert si li crie merci	Et quant il sent son chief nu si me mercy	Quant celui sent sa teste nue il crie mercy	e firiolo asi enlo alcançado ençima del yelmo que selo fiço volar dela cabeza	e quando que' sente suo capo ignudo sì grida mercé e dice
et dist qu’il ne l’ocie pas kar il est pres de sa volenté fere	et dit quil ne locie pas Car il est pres de sa uolente faire	et dist quil ne lochie mie quar il est prest de sa volente faire	et dit quil ne loccie pas car il est prest de faire sa uolente	et dit qu il est prest de faire sa uoulente	e el cauallero desque vido su cabeça desarmada Con pauor de muerte que ovo pidio le merçed	che non l’uccida passo ch’egli è presto di sua volontà fare
Or te covient donc fet Lancelos fiancer que tu le cors mon seignor Galehout conduiras a la Dolerose Garde	sans contredit Or te couient dont a fiencier fait lanc̃ que tu le cors Galeh̾ condiuras a la dolereuse garde	Lors te couuient dont fai lancelot afiancer fait il que tu le cors monseignor Galeholt conduiras a la ioieuse garde	Or te conuent donc fiancer que tu conduyras le corps de monss galehot a la douloreuse garde	Il te conuient denc promettre dit lancelot que tu conduiras le corps de gallehaut a la douloureuse garde	e dixole ay buen cauallero no me matedes que yo fare toda vuestra voluntad tu me juraras dixo lançarote que llebes el cuerpo demi señor galeote ala dolorosa guarda	vOr ti conviene dunque giurare disse Lancellotto che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia
et iluec le feras garder tant que je i viegne;	et illuec le feras garder tant que ie i uaigne	Et y soies tant que iou y uiengne	Et ilecquez le feras garder tant que ie y uiegne	tant que ie y uiengne	e desque y fueres	nel luogo il farai guardare tanto ch’io vi vegna
et se l’en te demande qui t’i envoie	et se lon te demande qui ti enuoie:	Et se on te demande qui ti envoie	Et se len te demande qui te y enuoye	et se len te demande qui te y enuoie	si te preguntaren quien te ymbia tu les diras	e se l’uomo ti domanda chi ve l’arà mandato
si diras « cil qui ot les ames blanches le jor	Si diras que cil qui ot les armes blanches le ior	Si di que cil ti envoie qui ot lez blanches armes le iour	tu diras cil qui eut les armes blanches le iour	si dis: celui qui eut les blanches armes le iour	que el cauallero delas armas blancas	e tu lor di quelli ch’ebbe l’armi bianche il giorno
que li chastials fu conquis	que li chastiax fu conquis	que li castiaus fu conquis	que le chasteau fut conquis	que le chasteau fut cenquis	que el castillo conquisto te ymbia alla	che l castello fu conquiso
Et il li fiance que tot ensi le fera il	et cil li fiance que tout ainsi le fera il	Et cil li fiance que ensi le fera il AN tel maniere com vous oies conquist lancelot le cors Galeholt Et lors y	et il luy fiance que ainsi le fera il	et cefui lui promet	e el cauallero selo juro asi façer e lançarote se fue	E elli il giura ch’elli insi el farà
		quant il ot au cheualier fait fianchier a faire sa volente				
Lors prent Lancelos la lame par le plus gros chief	Lors prent lanc̃ la lemme par le plus gros chief	si prent le lame par le gros chief si le tire par	Lors prent lancelot la lame par le plus gros bout	Lors prent lancelot la lame par le gros chief	luego parala tumba e tomo a manos el cobertor Porel Cabo	Allor prende Lancellotto la lama per lo più grosso capo
	si la tire de					
si tire de grant force qu’a pou qu’il ne se deront tos	si grant force que a pou quil ne se desront tous	si grant force que a poi quil ne sest tous derrompus	si tire de si grant force qua pou quil ne se derompt tout	et la tire de si graut force	que mas hera grueso	si tira per si gran forza
si que li sans li vole par mi le nes et par mi la boche	Si que li sans li uole parmi le nes et parmi la boche	Si que li sans vole parmi le nes et parmi la bouche	si que le sang luy uole par le nes et par la bouche	que a peu quil ne se derompt tout et tant	asi afuerça porlo leuantar quela sangre le quebro porla cabeça	che a poco che non si dirompe tutto e sì
et li cors li sue d’anguoisse	et li cors li sue dangoisse	Et li cors li tressue de langoisse	et le corps luy sue dangoesse	que le corps lui sue dangoisse	e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente	che l sangue gli dirompe per me' el naso e per me' la bocca
Mais por tote la destrece ne remaint qu’il n’ait la tombe levee en haut à; mes nule dolors qu’il eust onques ne monte rien a cele dolor qu’il ot	mais portoie la destresce ne remaint que il nait la tombe leuee en haut	que il en a Mais nulle dolors quil ait eue ne monte riens a celi quil ot	mais pour toute la destrece ne demeure pas quil ne leue la tombe en hault ne nulle douleur quil eut oncquez	mais nulle douleur quil eust mais ne monte riens a celle douleur qu il eust	asi que por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado Mas nunca el tal duelo ovo como estonçe	e l corpo gli suda della angoscia ma per tutte le distrezze non rimane che non abbia la tomba levata in alti
					e tal Pesar	
			mais ne fu rien a celle douleur quil eut			
	mais nule dolors					
	que il eust onques ne monte sur rien					
	A cele					
	que il ot					
quant il vit le cors Galehout tot ensi armé com il estoit;	quant il uit le cors Galehot ensi arme con il estoit	quant il vit le cors Galeholt arme tout ensi com il estoit	quant il uu le corps galehot tout ainsi arme comme il estoit	quant il uist le corps de gallehaut tout arme ainsi comme il estoit	quando el vido el cuerpo de Galeote e estaua armado de todas armas	Ma nullo dolore ch’elli avesse unque mai non fu nulla inverso quello dolore quand’e vide il corpo di Galeotto tutto insì armato com’egli era
si trova s’espee delés lui	si troua lespee deles lui	Si troua lespee deles lui	si trouua lespee pres de luy	Si trouua son espee empres lui	e tenia su espada cabe	eSi truova sua spada dallato a llui
qui molt estoit et bone	qui mout estoit bele et bone	qui tant estoit bele	qui moult estoit bonne	qui tant estoit benne	si que hera muy buena	che molto era buona e bella
et clere;		et boine	et bele	et belle	e clara	e sanza fallo della spada medesi
et sans faille de l’espee meesmes se fust il ocis se la damoisele ne li eust tolue erraument	et sans faille de lespee meismes ce fust il ocis se la damoisele ne li eust tolue	et sans faille de lespee se fust il ocis se la damoisele ne li eust desfendu	Et sans faille de lespee mesmes se fust il occis se la damoiscle ne luy eust tollue erraument	et sans faulte il sen eust occiz se la damoiselle ne lui eust ostee	e sin falta el se ouiera conella muerto si la donçella Que del lago auia venido delas manos no sela tirara	ma si sarebbe elli ucciso se lla damigella non gliel’avesse tolta perciò rimase
		quar elle li osta lespee de sez mains				
Lors fist Lancelos une biere fere de fust	Lors fait lanc̃ faire une biere de fust	Lors fist lancelot vne biere de fust	Lors fist lancelot faire une litiere de fust	Lors fist lancelot une biere de fust	e luego fiço façer lançarote vnas andas	Allor fece Lancellotto fare una lettiera di legno
et la fist covrir des plus riches pailes de laiens	et la fait courir des plus biax pailes de laiens	et le fist courir del plus riche paile de laiens	et la fist couurir des plus riches pales de leans	et la fist couurir du plus riche drap de leans	e cobrir de muy Ricos paños	e le facce coprire del più ricco palio di là entro
et quant il l’ot atornee al plus richement qu’il pot li chevaliers prisons li dist Sire fet il se l’en movoit tot de nuis ce seroit sens	et quant il lot atornre au plus richement que il pot Li cheualiers prisons dit si fait il se len mouoit tout de nuit se seroit sens	Et quant il lot atorne au plus richement quil pot si li dist li cheualiers qui le deuoit mener Sire fait il che seroit boin	Et quant il leut atournee au plus richement quil peut le cheualier prisonnier luy dist sire fait il se len mouuoit de nuyt ce seroit grant sens	Quant il leust apointe le mieulz qu il peut le cheualier prisonnier lui dist Sire il seroit bon de emporter le corps de nuit	e poner enellas el cuerpo de Galeote e el cauallero Dixo a lançarote señor yo vosloaria si vos plugiese que luego Mouiese de aqui conel cuerpo de galeote	E quand’elli l’ebe aconcia al più riccamente ch’elli poté il cavaliere prigione gli disse Sire diss’elli se l’uomo movesse di notte ciò sarebe gran senno
