	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
586|587|588|589	kar ele trova en son sort, |si com ele meismes me dist puis, |que si tost com vos troveriés la tombe Galehout, |que vos vos ocirriés de duel, 	Car ele troua en son sort |si com ele me dit |que si tost com uos trouerrez la tombe Gal̾. |que uos uous ocirriez de duel. 	Car ellle trouusa en son sort |si comme elle msa puis dit. |que si tost que vous trouueries la tombe gallehot Ique uous uous ochiries de dolel 	Car elle trouua en son sort sicomme elle mesmes me dist |que si tost que uous trouueriez la tombe galehot |que uous uous occiriez de deul 	car elle trouua en son sort |que si tost comment uous trouueries la tombe de gal. |que uous uous occiries de deul 	porque ella vido ensus suertes segund que me ella dixo |que asi como fallasedes la tumba de Galeote |que luego vos matariades 	ch’ella trovò in sue sorte, |si come ella medesima mi disse poscia, |che sì tosto come vo' trovereste la tomba di Galeotto vo' voi uccidereste di duolo 
590	se vos n’estiés destornez. Por ce m’envoia ele ça a grant besoing, 	se uos nen estiez trestornez |et porce menuoia la a grant besong. si uos mande 	se uous nen esties destournes. |Et pour cou menuoia elle a grant besoing cha. 	se uous nen estiez destourne. |Et pour ce menuoya elle ca a grant besoing. 	et pour ce menuoia elle ceste part 	sino ouiesedes quien vos esforçase 	se vo non ne fosse distornato, |e perciò mi mandò ella qua a gran bisogno. 
591	si vos mande 		si uous mande 	Si uous mande 	et uous prie 	e quien vos estoruase |e poresto me ymbio ella aca a gran priesa 	i vo manda 
592|593	que vos laissiés le duel ester, |qu’il ne vos puet fere se nuire non, 	que uos laissiez le duel ester. |Car il ne uous puet aidier de nuire non. 	que uous laissies che doel ester |car il ne uous puet faire se nuire non. 	que uous lessez ester le deul. |car il ne uous puet que nuyre. 	que uous lessies ce deul 	e vos manda dexar este duelo 	che voi lasciate el duolo stare, |ché non voi può fare se nuocer non, 
594|595|596|597|598	et vos prie par la rien|que vos plus amés |que vos al plus bel |que vos porrois vos reconfortés, |et se vos ensi ne le fetes, bien sachiés 	et uos prie par la rien |que uos plus amez en se monde|que uos au plus bel |que uus porrois uos reconfortes. |Et se uos ainsi nel fasiez bien sachiez 	Et uous prie par la riens |que vous plus ames que au plus bel |que vous poes vous en deportes. |Et se vous ne le faites ensi. bien sachies 	Et uous pry par la riens ou monde |que uous plus amez |que uous uous reconfortez au plus bel |que uous pourriez |Et se uous ne le faictes ainsi sachez bien 	et que pour la riens |que uous plus ames |que uous uous reconfortes le plus beau |que uous pourres. |et se uous ne le faictes ainsy sachies 	e vos Ruega por la cosa del mundo |que mas amades |que vos conortedes lo mejor que pudieredes e que si lo no fiçieredes 	e vo priega per la cosa |che vo' più amate in questo mondo |che voi al più bello |che vo' potete vo vo confortate.|E se voi insì nol faceste, ben sapiate 
599|600	que al premier besoing |que vos avrois de li, ele vos faudroit. » 	que au premier afaire |que uos ariez de li ele uos faudroit.	que a la premiere fois. |que vous aures mestier de li. elle vous faudra. 	quelle uous fauldra au premier affaire |que uous aurez besoing delle. 	que au premier affaire que uous aures elle uous fauldra. 	que ella vos tirara el ayuda 	che nel primaio affare |che voi arete bisogno di lei, ella voi fallerebbe». 
601|602|603|604	Et il dist |qu’il se confortera, |puis qu’ele le velt. « |Or vos covient, fet ele, vos armes prendre, 	et il dit |que ore se confortera il |puis que madame le wet. |OR uos couuient fait ele uos arme prandre. 	Et il dist |quil sen comfortera |puis que elle le veult.|Or vous commant dont |que vous prendes vos armes 	Et il dit |quil se reconfortera |puis quelle le ueult. |Si uous conuient fait elle uoz armes prendre. 	et il dyt |qui se cenfortera puys quelle ueult. |Or uous cenuient uos armes prendre 	que della auedes asi lo fare dixo lançarote |puesque aella plaze agora vos conuiene dixo la donçella de armar 	Ede' dice |che si conforterà, |poscia ch’ella vuole.|v~Or vo conviene, diss’ella, vostre armi prendere, 
605	kar je voi bien	Car ie sai bien 	Car iou sai bien 	Car ie scay bien 	car le scay bien tant des cheualiers de ceans 	ca yo se bien 	ch’io so bene 
606|607|608|609|610|611|612	qu’il ne le vos en lairont mie en pes porter |tant com il le porront deffendre.» |Et il dist |qu’il i morroit ançois |qu’il ne l’ostast de laiens; |si se vet armer |et la damoisele vient tantost as chevaliers 	que cil qui le gardent nel uos la iront pas en pais porter |tant comme il le puissent desfandre. |Et il dit |que il i morroit ansois |que il lait laiens. |Si sen ua armer. et la damoisele uient tandiz as cheualiers 	que li cheualier ne vous lairont mie le cors emporter. |tant comme il le porront desfendre. |Et il dist |quil en morront tuit. |aincois quil ne lemport de laiens. |si se vait armer demaintenant. |Et lors sen uient la damoisele as cheualiers 	quilz ne le uous laisseront pas porter en paix |tant quilz le pourront deffendre. |Et il dit |quilz y mourront auant |quil ne louste de leans. |si se uait armer. |Et la damoisele uient tandis es cheualiers 	quilz ne le uous lesserent point emporter |tant quilz le puyssent deffendre.|si sen ua armer tout maintetenant/ |et la damoiselle uient aulx cheualiers 	que aquellos caualleros no voslo dexaran llebar en quanto lo pudieren defender |o yo morire dixo lançartoe |o yo lo tirare donde esta E luego se fue armar |e la donçella se fue alos caualleros 	che l’uomo non voi lascerebbe mica in pace portare |tanto com’elli il potranno difendere». |Ed e' dice |che ne morebbe inanzi che non ve 'l traesse di là entro, |si si va ad armare. |E la damigella viene tantosto là entro |e disse a' cavalieri 
613|614|615|616|617	qui gardoient la tombe, |si lor dist: « Seignor, fet ele, volés vos destorner ce |qu’il covient estre a force ?»|et demandent |por quoi ele le dist. « Je le di, fet ele, por le cors 	qui le gardoient |et lor dit. Signor fait ele uolez uous destorner ce |que il couient auenir par force |et il li demandent|por coi ele le dit. gel di fait ele por cel cors 	qui gardoient la tombe et lor dist Segnor vous voles vous desfendre de ce |quil couuient estre a forche. |Et iou le vous di por le cors 	qui gardoient la tombe |si leur dist. Seigneurs fait elle uoulez uous destourner ce qͥl conuient estre a force. |Et ilz demandent |pour quoy elle le dit. |et ie le dy fait elle pour ce corps 	qui gardoient la tombe |si leur dist. Seigneurs uoulles uous deffendre ce |qui cenuient a estre oste a force/ ie le dys fait elle pour le corps 	quela tumba guardauan |e dixoles señores queredes vos defender aquello |Que conuiene a ser afuerça |yo lo digo dixo ella Porel cuerpo que guardades ca sabed 	che guardavano la tomba: Signori, diss’ella, volete vo' distornare ciò |che conviene essere a forza?». |Ed e' domandarono |perch’ella el diceva. |¿''l dico, diss’ella, per questo corpo 
618	que vos gardez et si savés bien 	que uos Gardes. |et si sauez bien 	que vous gardes. |Car vous saues bien 	que uous gardez. |et uous scauez bien 	que uous gardes |car uous saues bien 	que vos sera tomado 	che vo' guardate, |si sapete bene
619|620	qu’il en sera ostez. — Non sera, font il, |que nos puissons. — En non Dieu, fet ele, si iert, 	que il en sera ostes. no sera font il |que nos puissons. 	quil en sera ostes. |Non sera font cil tant comme nous porrons. Enon dieu fait elle 	quil en sera oste. |Non sera font ilz pas |que nous puissons. |Certes fait elle si sera 	qu il sera oste 	non sera dixeron ellos |en quanto nos pudieremos Pardios dixo ella |si sera 	che ne sarà tratto. — Non sarà, damigella, dicono elli, |tanto come noi possiamo. |—etA nome di Dio, diss’ella, 
621|622|623|624	et bien sachiés, fet ele, |que cil est venus |qui l’en ostera. |Et se vos le contredites, vos en morrois tuit: 	par foi fait ele si sera. |que ciz est uenus qui lostera |et se uos le contredites uos i morres tuit. 	si sera |quar cil est uenus |qui len ostera |Et se vous le contredites vous en morres tout. 	et bien sachez |que cil est uenu |qui len oustera |et se uous le contredictes uous en morez tous. 	car celuy est uenu |qui len ostera/ |et se uous centredistes uous en mourres tous. 	que aqui es venido quien voslo tolera e si lo quisieredes contradeçir a todos conuiene morir |e poresto querria 	si fia, |ché ben sapiate |che colui est venuto |che ne l trarà, |e se voi gliel contradite, voi ne morete tutti; 
625	por ce vos vendroit il miels 	et porte uos uodroit il miex 	Et por chou vous uenist il miex. 	par ce uauldroit il mieulx 	Et pour ce uauldroit il mieulx 	quelo dexasedes 	perciò vo varebbe elli meglio 
626|627	que vos le laississiés atant, |ains que vos vos en façois ocirre. » 	que uos le laissisiez atant. |Ains que uos uous en laisisiez ocirre. 	que vous le laississies atant enmener lque uous vous en feissies ocirre. 	que uous le laississez auant|que uous faire occire. 	que uous le lessies uenir |que de uous faire occire. 	anteque vos matasen 	che voi il lasciaste atanto |inanzi che vo' voi facciate uccidere». 
628|629|630	Et cil dient |que ja tant com il soient vif n’en sera portés. « |Et bien sache, font il, li chevaliers 	et cil dient |que ia tant comme il soient uif nen sera portes. |et bien saichent font il li cheualiers	Et cill dient |que ia tant comme il soient vif : nen sera portes. |Et bien sache font il li cheualiers 	Et ilz dient |que ia tant qͥlz soient uifs nen sera il porte. |Et bien sachez font ilz 	Et ceulx dient |que tant quilz seront uifz ne le lesront emporter. A ces parolles uint leans lancelot tout arme. 	porende ya enquanto nos fueremos vibos dixeron los caualleros No sera de aqui llebado |e bien sepa el cauallero 	Ed e'rispondono |che già tanto come sieno vivi non ne sarà portato, |ee ben sappiate, dicono elli, il cavaliere 
631	qui venus est por avoir le, 	qui uenus |et por lauoir 	qui uenus est pour sauoir 	que si le cheualier 		que porel es venido 	ch’è venuto per lui avere, 
632|633|634|635|636	que s’il estoit encore plus preus |que Lancelos n’est,|si n’en menra il point. — |Or verrons, fet ele, |comment il vos en avendra. » A ces paroles vint laiens Lancelos tos armés 	que cil estoit encore plus preus |que lanc̃. nest nen manra il point. |Se uerrez uos fait ele coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃. tous armez 	quel sil estoit plus preu encore |que la lancelot ne soit. si ne lenmenroit il point |Or uerrois fait elle |comment il vous en lauenra. ces paroles uient laiens lancelot tous armes 	qui est uenu estoit encor plus preu |que nest lancelot |si ne lemmenera il point. |Or uerrons fait elle |comment il uous en prendra A ces paroles uient leans lancelot tout arme. 		que aunque fuese mejor ome que lançarote |quelo no moueria de aqui vn punto agora vere dixo la donçella como vos auerna Ellos |asi fablando llego ay lançarote Armado de todas armas 	se fosse ancor più pro' |che Lancellotto, no ne menerà elli punto.— |Or vedrete, diss’ella, |come voi averra». A queste parole entrò là entro Lancellotto tutto armato, 
637	et quant li chevalier le voient venir, 	Et quant li cheualier le uoient uenir 	Et quant li cheualier le uoient uenir 	et|quant les cheualiers le uoyent uenir 	Et quant les cheualiers le uoyent uenir 	e los caualleros 	e quando i cavalieri il vidono venire, 
638	si li demandent 	si li demandent 	si li denandent 	si luy demandent 	si luy demandent 	que lo vieron preguntaron 	si l domandano 
639|640	qu’il velt fere. « Je vueil, fet il, avoir le cors |qui laiens est. — 	que il wet faire. ie weil fait il auoir le cors |qui saiens est. 	que il ueullt. ie ueul fait il auoir le cors |qui llaiens est. 	quil ueult faire. Ie uueil auoir fait il le corps |qui est leans. 	que il ueult faire ie uueil auoir fait il le corps |qui leans gist. 	Que que queria fazer yo quiero dixo el el cuerpo 	che vuol fare. |to voglio, diss’elli, avere il corpo |che là entro est inserrato. — 
641	Par foi, font il, vos ne l’avrois mie por nient. Nos ¡ morrons ançois tuit 	Par foi font il uos ne laures pas por noiant. |donc i morrons ansois tuit 	Par foi font il vous ne laures mie pour noient nous y morrons aincois que vous lenportes. 	Certes font ilz uous ne laurez pas pour neant nous y mourrons auant tous 	Par ma foy font il uous ne laures point |ains y mourrent tous 	que alla esta Pordios dixeron ellos vos no lo aueredes |que ante seremos aqui todos muertos 	Per fé, dicono elli, vo' non l’arete passo per niente: noi ci moremo in prima tutti
642	que vos l’enportois. — A morir, fet il, en estes donc tuit, 	que uous lemportoit. Au morir fait il estes uos tuit 	Au morir fait il estes vous tout uenu 	que uous lemportez Mourir uous en fault 	que uous lemportes. au mourrir estes uous tous uenus 	que vos asi lo lleuar a morir vos conuiene Dixo lançarote 	che voi ne l portiate! —Al morire ne siete voi venuti, 
643|644|645	puis que a mains ne vos en volés soffrir !» |Si saut dedens les prones |et il li corent sus, 	puis que au mains |ne uos en uolez souffrir. |Lors saut dedens les pronez. |et cil li corrent sus 	puis que a mainz nen voles passer. |Cil sont dedens les prones. |et il lor cort sus maintenant. |Et cil a lui 	puis qui a moons ne uous en pouez soufrir. |Si sault dedans les prones |et il luy courent sus. 	puis que a moins ne uous en uoulles passer Ceulx sont dedens les prosnes |et il leur court sus incentinent 	pues no vos queredes sofrir |e luego salieron los Caualleros delos arcos 	poscia che a meno non ne potete sofferireb. i salta di dentro les prone, |ed e' gli corrono suso,
646	kar arrieres le cuident fere sailir por poor de morir; 	car arreres le cuident faire flatir por paour de mort 	quar arriere le quiderent faire flatir pour paor de morir. 	Car arriere le cuident faire flatir pour paour de mourir. 		do estauan con miedo de ser Muertos 	ch’a terra il credono frattire per paura di morire, 
647|648|649|650|651|652	si le fierent par la |ou il le pueent ataindre |et il ot el poing l’espee nue ; |si lor done grans cops et pesans |et fiert le premier |qu’il encontre si durement 	si le fierent par la |ou il pueent ataindre |et il ot el poing lespee nue. |si lor done grant cox et pesans |et fiert le premier |quil puet encontre si durement: 	si le fierent la ou il le porent ataindre. |Et il auoit en la main lespee toute nue.|si lor doune grans cops et pesans. |Et fiert si le premier |quil encontre 	si le fierent par la ou ilz le peuent actaindre. |et il eut ou poing lespee nue si leur donne grans coups et pesans |Et fiert le premier |quil encontre si fort. 	et eulx a luy. lancelot tire son espee toute nue |et frappe sur eulx en telle maniere 	e començaronlo a ferir |por do mas mal lo podian fazer |e lançarote metio mano ala espada e firio al primero |que fallo asi duramente 	si 'l fegono per là |ov’elli il possono |agiugnere.Ed elli ebbe impugnata la spada ignuda, |si lor dona gran colpi e pesanti, |e fiede el primaio si duramente 
653|654	que por le hialme ne por la coife de fer ne remaint |qu’il ne li mete l’espee jusqu’al test; 	que por hiaume ne por la coiffe ne remaint |que il ne li meste lespee iuscau test. 	que por coiffe ne pour heaume ne remainst |que il ne li mete lespee iusques au tesstje. 	car pour le heaume ne pour la coiffe de fer ne demeure |quil ni luy mecte lespee iucquau test. 	que le premier 	que porel yelmo ni Porel almofar no finco |quele no metiese la espada porla Cabeça 	che per l’elmo né per la cuffia del ferro non rimane |che non gli metta la spada insin qua alla testa, 
655|656	et il le hurte de soi, |Si l’abat a terre. 	Si le hurte desor et labat a terre. 	Et il le hurte si labat a terre. 	Et il le hurte de soy si labas a terre. 	quil attaint il le met par terre. 	e dio conel en tierra e los otros lo començaron a ferir muy rreçia mente porel escudo 	ed elli il percuote di sé medesimo, |si-llo abatte a terra. 
657|658	Et lors saillent molt irieement tuit li autre, |si depiecent son escu et son hialme et son hauberc 	et lors saillent tuit li autre si li deprirent son haubert et son escu et son hiaume. 	Et li autre as lassalent moult ireement. |et le fierent sor son heaume et sor son hauberc. 	Et lors lassaillent moult ireement tous les autres. |Si luy depecent son escu et son heaume et son haubert 	lors le assaillent les aultres moult uigoureusement: 	e porel yelmo |e porla loriga |asi 	Allor salgono molto adiratamente tutti gli altri, |si gli dispezano suo scudo e suo elmo, 
659	et le blecent en pluisors lieus. 	et le blecerent en plusors lieus. 	si quil li derrompent en pluisours lieus. 	et le blecent en plusieurs lieux. 		que selo quebrantaron e Ronpieron Por muchos lugares 	e suo asbergo gli falsano in più luogora, 
660|661|662	Mais il ne li chaut de rien |qu’il li facent, |kar tant est dolens 	Mais il ne len chaut de rien. |Car tant est dolens 	Mais il ne li chaut de chose |quil li fachent. |quar tant est dolans 	mais il ne luy chault de riens |quil luy facent. |car tant est doulent 	mais peu leur prouffite: |car tant est dolent 	mas el no daua cosa |por aquello quele façian tanto estaua de sañudo 	ma e' non gli è a nulla |che gli facciano, |ch’atanto est dolente 
663|664|665	que nus plus; |si lor laisse corre par grant ire |et lor done de l’espee si grans cops 	que nus plus ne puet estre. |Si lor laisse corre par grant ire. |et lordone de lespee si grant cox 	que nus plus. |si lor laisse corre par grant ire lor donne de lespee grans cops 	qui plus ne puet |si leur laisse courre de grant ire. |et leur donne de lespee si grans coups 	que nul plus. |si leur laisse courir par grant ire tant 	e dexo de correr aellos Con gran yra |e dauales dela espada tales Golpes 	che nullo più. |Si lor lascia corere si gran colpi 
666|667	que tos les fet guenchir avant lui. |Et lors esgarde celui des IllI.	que toz les fait guenchir auant lui. |Lors esgarde de celui des qͣtre	si que tous les fait guenchir deuant lui. |lors esgarde |et voit vn dez. iiij. 	que tous les fait guenchir auant luy |Lors regarde celuy des quatre 	que tous les fait reculer de lui. |Lors regarde lun des quatre 	asi quelos façia de si arredrar e Lançarote Paro mientes en aquel 	che tutti gli fa ischencire davanti lui. |Allora avisa |que' de' quatro 
668|669|670|671|672	qui plus li faisoit mal |et cil estoit molt grans et molt fors; |et Lancelos |qui le vient ataignant li done par mi le hialme si grant cop |qu’il en fet le feu saillir, 	que miex le faissoit a son essianc. |et cil estoit mout grans cheualiers et mout fors. et lanc̾ |qui le uient atangnant li done parmi le hiaume si grant cop.|que il en fait le fen saillir. 	qui plus li fait mal a son essient. |Et il estoit moult grans et moult fors. et lancelos |qui le vient ataignant li donne sor le heaume tel cop |quil en fait le fu saillir. 	qui luy faisoit plus de mal a son adius. |et il estoit moult grant et moult fort. |et lancelot lactaint par le heaume si grant coup |quil en fait saillir le fer. 	qui plus lui faisoit mal a son auiz|si lui donne sur son heaume tel coup |qu il en fait le feu saillir/ 	que mas mal le façia |que hera muy grande e muy fuerte |e diole asi vn golpe tan grande ençima del yelmo |que el fuego fiço salir del 	che più gli faceva male a suo aviso, |e quegli era molto grande e molto forte; |e Lancellotto, |che viene agiugnendo, 
673|674	et l’espee glace |qui de droit ne fu pas ferue. 	et lespee glace |qui droit ne fu pas ferue. 	et lespee glache |qui ne fu mie de droit ferue. 	et lespee glace |qui de droit ne fu pas ferue 	et lespee glace 	e el golpe desçendio al honbro 	si l fiede si gran colpo |che n diritto non fu passo fedito, 
675|676	si descent desus la senestre espaule. Li cops fu grans et par ire ferus, |et bien i parut 	Si li descent desous la senestre espaule. |et li cox fu grans et par ire feruset bien i parut |que lespee cola parmi lespaule au cheualier. |Si que li bras atout lespee chai seur le pauement. 	si descent sor la droite espaulle au cheualier. |si que li bras kai a tout lespee sor le pauement. |Et cil trebuche a terre 	si luy descend dessoubz la senestre espaule le coup fu grant et feru par yre. |et bien y parut. 	si descent sur la destre espaulle du cheualier: 	e Como fue dado de gran fuerça |asi que porla loriga no finco 	si gli discende sopra la sinistra spalla. ll colpo fu grande e per ira fedito e bene aparve
677|678|679	que l’espee cola par mi l’espaule a al chevalier, |si que li bras a tote l’espaule chiet desus le pavement. |Et lors sont molt esmaié li autre troi, 	et cil trebuche a terre |et se pasme: de langoisse |que il sent. |Et lors sont mout esmaiet li autre trois. 	qui se pasme de langoisse |quil sent. |Et lors sont moult esmaie li autre troi. 	car lespee coula parmy lespaule au cheualier |si qui le braz a toute lespaule chey dessus le pauement. |et il trebuche a terre |et se pasme de langoisse |qu il sent. |et lor sont moult esmayez les autres troys. 	si que le bras lui cheut atout lespee sur le pauement. Celui trebucha a terre 	quele no derribase el braço conla espada en tierra e el cauallero conel gran dolor cayo luego en tierra amorteçido |e los otros desque aquel golpe vieron fueron muy desmayados 	che-lla spada colò per me' la spalla del cavaliere, |sicché la spalla con tutto il braccio cadde di sopra lo smalto, |ed e' trabocca a terra, |si spasima . faceva facevano della angoscia |che sente. |Allora sono molto ismagati tutti gli altri tre, 
680	si font molt malvés samblant d’els deffendre por le grant cop 	Si font mout mauuais sanblant daus desfandre. por le grant cop 	et font moult maluais samblant daus desfendre pour le grant cop 	si font moult mauuaiz semblant de deffedre pour le grant coup 		e fiçieron mal senblante dese defender porlos grandes golpes que façia 	si si fanno malvagio sembianti di difendere per lo gran colpo 
681	qu’il ont veu et por l’espee 	quil ont ueu et por lespee	quil ont veu. et pour lespee 	quilz ont eu. |et pour lespee 	et se pasma de langoisse 	e porla espada 	ch’egli ànno veduto e per la spada 
682	que chescuns d’els a ja sentie jusqu’al sanc. 	que chascuns daus a sentie iussqua sanc. 	que cascuns de euls a sentue iusques au sanc. 	que chascun a sentie icquau sanc 	quil sentist. |Lors sont moult esmaiez les autres .iii. 	que auia sentido cadavno enlas carnes 	ch’egli ànno sentita insin qua alle carni. 
683	Et Lancelos lor cort sus 	et lanceloz |qui ne recroit pas lor cor sus. 	Et lancelot 	Et lancelot |qui oncquez ne recroit leur court sus 	et lancelot leur court sus	e lançarote no cato 	E Lancellotto, 
684|685	et en fiert I. el hialme |si qu’il le fet flatir a terre d’ambesdeus les paumes. 	et en fiert .i. amont el hiaume |si quil le fait flatir a teree. danbedeus les paumes 	qui pas ne se recroit en fiert vn amont sor le heaume. |quil le fait flatir a terre dambes. ij. lez paumes. 	et en fiert lun amont ou heaume |si quil le fait flatir a terre des deux paumes 	et en fiert tellement ung ament le heaume |qu il le fait flatir a terres 	mas aquel que derribo ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra 	ch’unque non si rimuove, lor corre suso |e ne fiede l’uno a monte ne l’elmo sì gran colpo |ch’elli il fa frattire a terra d’amendune le 
686|687	Et quant li autre dui voient ce, |si tornent en fuies vers l’uis a garison; 	et quant li autre dui uoient ce: |si corret᷑ uers luis |et uiennent a garison. 	Et quant li autre doi voient chou. |si tornent en fuies. 	Et quant les autres deux uoyent ce |si tournent uers luys |pour fouir a garison. 	Et quant les autres deux uoient ce |si tournent uers luys a garant. 	e desque los otros esto vieron començaron a foir por guaresçer 	palme.ME quando gli altri due vidono ciò, |si tornarono inverso per fuggire a guarigione, 
688|689	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras 	et lanc̃ uient atangnant |et en fiert a grant uue par entre lescu et le bras 	Et lancelot ataint le daarrain |si le fiert par entre se lescu et le col.	Et lancelot actaint le derrain |si le fiert entre lescu et le braz 	Et lancelot uient attaignant le derrain par entre lescu et le col 	e lançarote alcanço aquel |que yua de tras e firiolo asi duramente entre el onbro y el escudo |que tenia enbraçado 	e Lancellotto viene agiugnendo il di dietro, |si l fiede intra lo scudo e l braccio, 
690|691|692|693	si qu’il li trenche le poing |et li escus chiet a terre, |et cil torne en fuies |qui maheignié se sent. 	si quil li tranche le poing. |et li escus chiet a terre. |et sil torne en fuie |qui afolez ce sent. 	Si quil li trenche le bras |et li escus chiet a terre. |Et cil torne en fuies |qui mahaignies se sent. 	si quil luy trenche le poing. |et lescu chiet a terre a cil tourne en fuye |qui se sent mehaigue 	si lui trenche le bras: |et lescu chiet a terre. Lancelot court a lautre |qui ia se releuoit 	que el braço conel escudo le fiço bolar en tierra |e el cauallero fuese fuyendo ansi llagado como estaua 	sicché gli trinca il pugno |e lo scudo cade a terra, |e que' torna in fuga |che magagnato si sente. 
694|695	Et Lancelos vient a l’autre |qui ja se relevoit, sel fiert de l’espee si grant cop 	et lanc̃ uient a lautre|que ia se releuois. |si le fiert de lespee si grant cop 	Et lancelot reuient a lautre |qui ia se releuoit.|si li donne si grant cop 	Et lancelot reuient a lautre |qui se releuoit. |si le fiert de lespee si grant coup	et le fiert si grant coup 	e lançarote fuese enpos el otro |que auia fincado |e firiolo asi enlo alcançado ençima del yelmo 	E Lancellotto ritorna a l’altro |che si rilevava, |si l fiede della spada si gran colpo 
696	qu’il li fet le hialme voler en la place. 	que le hiaume li fait uoler en pieces. 	que il li fait voler le heaume de la teste en le place. 	quil luy. fait uoler le heaume en la place. 	qu il lui fait uoler le heaume de la teste en la place. 	que selo fiço volar dela cabeza 	che gli fa l’elmo volare nella piaza; 
697	Et quant cil sent son chief nu, 	et quant cis sent son chief nu: 	Et quant il sent son chief descouuert. 	Et quant il sent son chief nu 	Quant celui sent sa teste 	e el cauallero desque vido su cabeça desarmada Con pauor de muerte 	e quando que' sente suo capo ignudo, 
698	si cria merci et dist 	Si crie merci|et dit 	si li crie merci|et dist 	si me mercy |et dit 	nue il crie mercy 	que ovo pidio le merçed 	sì grida mercé e dice 
699|700|701|702|703|704	qu’il ne l’ocie pas, |kar il est pres de sa volenté fere. « |Or te covient donc, fet Lancelos, fiancer |que tu le cors mon seignor Galehout conduiras a la Dolerose Garde |et iluec le feras garder |tant que je i viegne; 	quil ne locie pas. |Car il est pres de sa uolente faire. sans contredit |Or te couient |dont a fiencier fait lanc̃. |que tu le cors Galeh̾. condiuras a la dolereuse garde. |et illuec le feras garder |tant que ie i uaigne. 	quil ne lochie mie |quar il est prest de sa volente faire. |Lors te couuient |dont fai lancelot afiancer fait il |que tu le cors monseignor Galeholt conduiras a la ioieuse garde |Et y soies tant |que iou y uiengne. 	quil ne loccie pas |car il est prest de faire sa uolente. |Or te conuent donc fiancer |que tu conduyras le corps de monss galehot a la douloreuse garde. |Et ilecquez le feras garder |tant que ie y uiegne.	et dit |qu il est prest de faire sa uoulente. Il te conuient denc promettre dit lancelot |que tu conduiras le corps de gallehaut a la douloureuse garde |tant que ie y uiengne/ 	e dixole ay buen cauallero no me matedes |que yo fare toda vuestra voluntad tu me juraras dixo lançarote que llebes el cuerpo demi señor galeote ala dolorosa guarda |e desque y fueres 	che non l’uccida passo, |ch’egli è presto di sua volontà |fare.vOr ti conviene dunque giurare, disse Lancellotto, |che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia; nel luogo il farai guardare tanto |ch’io vi vegna, 
705|706|707|708|709	et se l’en te demande |qui t’i envoie, |si diras « cil |qui ot les ames blanches le jor |que li chastials fu conquis. » 	et se lon te demande |qui ti enuoie: |Si diras que cil qui ot les armes blanches. le ior |que li chastiax fu conquis 	Et se on te demande |qui ti envoie. |Si di que cil ti envoie |qui ot lez blanches armes le iour |que li castiaus fu conquis 	Et se len te demande |qui te y enuoye. tu diras cil |qui eut les armes blanches le iour que le chasteau fut conquis. 	et se len te demande |qui te y enuoie |si dis: celui |qui eut les blanches armes le iour |que le chasteau fut cenquis 	si te preguntaren quien te ymbia tu les diras |que el cauallero delas armas blancas |que el castillo conquisto te ymbia alla 	e se l’uomo ti domanda |chi ve l’arà mandato, |e tu lor di quelli |ch’ebbe l’armi bianche il giorno |che l castello fu conquiso». 
710|711	Et il li fiance |que tot ensi le fera il. 	et cil li fiance |que tout ainsi le fera il. 	Et cil li fiance |que ensi le fera il AN tel maniere 	et il luy fiance |que ainsi le fera il. 	et cefui lui promet. 	e el cauallero selo juro asi façer 	»E elli il giura |ch’elli insi el farà. 
			com vous oies conquist lancelot le cors Galeholt.				
712	Lors prent Lancelos la lame par le plus gros chief, 	Lors prent lanc̃. la lemme par le plus gros chief. 	Et lors y quant il ot au cheualier fait fianchier a faire sa volente. |si prent le lame par le gros chief. 	Lors prent lancelot la lame par le plus gros bout 	Lors prent lancelot la lame par le gros chief 	e lançarote se fue luego parala tumba 	Allor prende Lancellotto la lama per lo più grosso capo, 
713	si tire de grant force 	si la tire de si grant force 	si le tire par si grant force.	si tire de si grant force 	et la tire de si graut force 	e tomo a manos el cobertor Porel Cabo 	si tira per si gran forza 
714|715|716	qu’a pou qu’il ne se deront tos, |si que li sans li vole par mi le nes et par mi la boche |et li cors li sue d’anguoisse. 	que a pou |quil ne se desront tous. |Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse 	que a poi |quil ne sest tous derrompus. |Si que li sans vole parmi le nes. et parmi la bouche |Et li cors li tressue de langoisse |que il en a. 	qua pou quil ne se derompt tout. |si que le sang luy uole par le nes et par la bouche. |et le corps luy sue dangoesse. 	que a peu |quil ne se derompt tout et tant que le corps lui sue dangoisse/ 	que mas hera grueso asi afuerça |porlo leuantar |quela sangre le quebro porla cabeça |e porlas narizes |quelas açerdas de todo el cuerpo se le estendieron muy fuertemente 	che a poco che non si dirompe tutto, |e sì che l sangue gli dirompe per me' el naso e per me' la bocca e l corpo gli suda della angoscia, 
