,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
4036,que la grace Nostre Seingnor ne fausist a cest cop tot ausi com ele fist avant ier,que la grace nostre seigneur fausist endroit uous ainsi comme elle fist auant hyer,,que la grace de nostre seignor ne vous fauslsist a cest endroit vous : aussi comme elle fist lautre iour a monsegnor Gauuain,
4037,quant mes sire Gauvain fu çaienz,quant monseigneur gauuain fut ceans,,quant il fu chaiens,
4038,— Biau sire fait Lanceloz il n est mie mestier,Beau sire fist Lancelot il nest pas mestier,,Sire fait lancelot il nest mie mestiers,
4039,que Nostre Sires,que nostre seigneur,,que nostre sires,
4040,qui tant est debonnaires soit toz jorz couroueiez a ses pecheors,qui tant est debonnaire soit courouce contre les poures pecheurs,,qui si est deboinaires soit tous iors courocies a ses pecheours,
,,,,quar malement lor iroit ANsi furent serui laiens par la grace de nostre seignor de tous lez biens,
,,,,que cuers domme porroit deuiser,
,,Apres ces choses,,,
4041,Quant li rois ot mengié par loisir,et quilz eurent mengie tout par loisir,,Et quant li roys ot mangie tout par loisir,
4042,si leverent les napes,ilz leuerent les nappes,,si leuerent lez napes,
4043|4044,et li rois demande a Lancelot qu il li samble del riche vesse!|que la damoisele aporta,Et le roy demanda a lancelot|quil lui sembloit de la damoiselle|qui portoit le riche uaissel,que cobrasen sus Riquezas Entonze lo tomo porla mano y fueronse a sentar envn estrado y el Rey dixo señor,Et li roys demande a lancelot quil li samble de cel riche vaissel|que la damoisele portoit,
4045,Il me samble fet il,il me semble fist il,,Certes sire fait il moult est biaus|& riches,
4046,que de damoisele ne vi je onques,que damoiselle ne uiz ie encques,,Et de la damoisele di iou|que onques,
,,,,mais ne ui,
4047,si bele; de dame ne di je mie,si belle|de dame ne ueulx ie pas dire,,si bele|Mais de dalpasoame ne di iou mie,
4048,Quant li rois entant ceste parole,Quant le roy ouit ceste parolle,,Quant li roys entent cele parole,
4049,si pense tantost a ce qu il ot oï de la roine Genievre,si pensa tantost a ce quil auoit ouy dire de la royne genieure,,si pense maintenant a ce quil auoit oi dire de la royne genieure,
4050,et bien croit,car bien creut,,Et bien croit,
4051,que ce soit voirs,que cestoit uray ce,,que che soit voirs ce,
4052,que l an li ot dit,que len lui en auoit dit,,que la dame li ot dit,
,,,,Et cele auoit a non brisane,
4053,Si vient a Brisane la mestresse sa fille cele,Ei uint abrisanne la maistresse sa fille celle,,?|et estoit maistresse a la bele pucele,
4054,qui devant avoit a lui parlé,qui deuant auoit a luy parle,,qui la fille le roy estoit,
,,et lui compta ce,,,
4055,et li conte ce qu il ot respondu de sa fille,que lancelot auoit respendu|de sa fille,,quant li roys ot entendu le response|que lancelot li auoit fait,
,,,,si nen dist plus aincois se lieue,
4056|4057,Sire fait ele|iel disoie bien,Sire fist elle ie le disoye bien or matendez ung pou icy,,& se part moult cortoisement de lui|Et sen vient a la dame|qui estoit|mais tresse sa fille,
4058,Or m atandez l,,,Et li dist ce|que lancelot li auoit dit,
4059,poi,,,Et elle dist Sire iou le vous disoie bien|Ore matendes vn poi,
4060,et je irai a lui parler,et ie iray parler a lui,,& iou irai a lui parler,
4061,Ele vient a Lancelot,Si uint a lancelot,,Et elle sen uait a lancelot,
4062,et li conmance a demander noveles del roi,et lui commenca a demander nouuelles du roy Artus,,Et li commence a demander noueles del roy artus,
4063,et li dist teles com il les set de la roine,et il les lui dist telles comme il les scauoit,,Et il len dist noueles teles comme il lez sauoit,
4064|4065,Sire fait ele ce ne vos demant je mie qu il n a gueres|que je la vi sainne,de la royne sire fist elle ie nen demande point|Car il na gaires|que ie la uiz saine,como habedes nombre señor dixo el yo he nombre don lançarote del lago,De la royne sire faielle ne di iou mie quil na gaires|que iou le laissai saine,
4066|4067,et joieuse|Et il tressaut touz de joie,et ioieuse|si lui tressaillit tout le cueur de ioye,,et haitie|Et il tressalt tous de ioie,si gli fece molto grande gioia
4068,quant il l oit parler ; se li demande ou ele la vit,quant il en oyt parler|si lui demande ou elle lauoit ueue,,quant il loy parler|Et il li demande ou il lar uit,
4069|4070|4071,Sire fait ele ci pres a Il|liues ou ele gerra anuit|— Dame fait il vos me gabez! —,Sire fist elle cy pres a ii lieues dicy ou elle gerra ennuyt Dame fist il uous me gabez Ainsi maist dieux sire nen fais,,Sire fait elle iou la ui chi pres a|iij|lieues ou elle gerra anuit Dame fait il vous me gabes,
4072,Si m aïst Diex fait ele no fas;,,,Si mait diex sire fait elle non fais,
4073,et por ce,Et affin,,Et pour chou,
4074,que vos m en creoiz mielz venez o moi,que uous men croyez mieulx uenez auec moy,,que vous men crees de miex Venres: vous auec moi sil vous plaist,
4075|4076|4077,et je la vos monsterrai|— Certes dame fait il volentiers|Lors envoie querre ses armes,et ie la uous monstreray|Certes dame fist il tres uoulentiers Lors enuoya Lancelot querre ses armes,,Et iou le vous mousterrai Certes fait il volentiers|ors envoie querre ses armes,
4078|4079,et cele vait|? endementres au roi,et elle retourna ce pendant uers le roy,e dixo el Rey El Rey ban,et sen uait endementres au roy :,
4080,qui l atandoit en la chambre,qui latendoit en la chambre,,,
4081,Il li demande conmant ele a esploitié,si lui demanda comment elle auoit esploite,,si li dist Lcomment elle auoit esploitie,
4082,Faites tost fait ele vostre fille monter,Adonc lui dist faictes incontinent uostre fille monter a cheual,,et li dist faites tost vostre fille monter,
4083,et l anvoiez a la Quasce au plus tost,et lenuoyez le plus tost|que uous pourrez au prochain chastel,,Et lenuoies a la casse: le plus prochain castel,
4084|4085,que vos porrez a|et je irai aprés entre moi,que uous ayez|Et la faictes couchier au plus riche lit|qui y soit|et ie iray aprez moy,que murio Con pesar fue vuestro padre Si señor dixo el pordios dixo el Rey agora so yo muy ledo,que vous aies|Et le faites couchier ou plus riche lit|que len porra faire|et nous cheualcherons entre moi,
4086,et Lancelot,et lancelot,,& lancelot apres,
4087|4088,et li ferai antandant|quant nos serons la,si lui feray entendant,,Et quant nous serons la : Iou li ferai entendre,
4089,que ce est la roine,que ce sera la royne genieure,,que ce est la royne Genieure,
4090|4091,Et je ai aparillié J|tel boivre,et si lui donneray ung tel bro,,Et iou ai vn boire appareilliet,
4092,dont je li donrai,,,que iou li donrai,
4093,et puis qu il en avra beu,et a boire|que incontinent,,Et puis quil en aura beu,
4094,et la force li sera montee el cervel ge ne dout mie qu il ne face ma volenté tote,que la force lui en sera montee au cerueau ie ne doubte poini qu il ne face toute ma uoulente,,& la force len sera montee el ceruel|Iou nen dout mie quil ne face ma volente,
4095,et ansi porra avenir quanque nos alons querant,Et ainsi pourrons aduenir a noz intencions,,Et ensi porra auenir chou|que nous alons querant,
4096|4097,Li rois fait sa fille aparillier|et li baille XX,Si la fist le roy monter a cheual,,Lors fait li roys sa fille appareillier|Si li baille|XX,
4098,chevaliers,puis luy bailla uingt cheualiers,,cheualiers,
4099,qui la conduiront au chastel de la Quasse,qui la conduirent au chastel de la quase,,qui le conduiront el castel de la casse,
4100,Et quant il vindrent la,Et quant ilz y furent arriuez,,Et quant il vindrent la,
4101,et il furent descendu,et descendus:,,& il furent descendu,
4102|4103,si firent faire en une sale le plus riche lit|que l an pot,si lui firent drecer en une salle le plus riche lit quilz peurent,Ca yo se,si firent faire en vne sale le plus riche lit|que len pot,
4104|4105|4106|4107|4108,et s i coucha la damoisele|puis que cil voldrent|qui|? laienz l avoient amenee|Et Lanceloz ot prises ses armes,et y fut la damoiselle couchee par lordonnance des cheualiers|Apres|donc que lancelot eut prinses ses armes monta sur son cheual,que porel y,& y coucha on la damoisele|puis que cil le voldrent|qui illueques lorent amenee|Et lancelot ot prises sez armes,
4109,et monta en son cheval,et se partit du chastel,,& fu montes sor son cheual,
4110|4111,et s em part|et il laisse cele,Et y laissa la damoiselle,,& sen part|et laisse la dame,
4112,qui l i avoit amené,qui lui auoit amene,,qui illuec lot amene,
4113|4114,?|si chevauchent tant entre lui,,,Si cheualcherent tant entre lui,
4115|4116,et Brisanne|que il vindrent au chastel de la Quasse,Et a compaigne de brisanne uindrent au chastel de la quase,,& brisane|quil vindrent au castel de la casse,
4117,Quant il i furent venu,mais estoit ia nuit obscure,,Et quant il furent uenu,
4118,si estoit nuiz oscure ne la lune n ert pas encore levee,et si nestoit mie encores la lune leuee,,si fu nuis obscure|Ne la lune ne fu pas encore leuee,
4119,Il descendent,,,Il descendirent maintenant de lor cheuaus,
4120|4121,et Brisane le moinne en I|chambre ou li chevalier estoient;,Et adonc brisanne le mena en une chambre Ou les cheualiers estoient Lesquelz uoyant lancelot le saluerent en luy disant,,et brisane maine maintenant lancelot en vne cambre ou li cheualier estoient,
4122,et quant il le voient venir,,,Et quant il le voient uenir,
4123,si se drecent encontre lui,,,si se drecent encontre lui,
4124,et dient,,,et li dient,
4125,que bien soit il venuz,que bien fust il arriue,,que bien soit il uenus,
4126|4127,si le desarment|Laienz avoit molt grant clarté,Si le desarmerent leans a moult grant clarte Car bien y auoit iusques a,,Si le desarment|Et laiens auoit moult grant clarte,e elli disse
4128,car il i avoit bien dusqu a XX,xx,,quar il y auoit bien|XX,
4129,cierges alumez,cierges alumez,,cierges alumes,
4130|4131,Et Brisane|qui ot une soue pucele acointie de ce qu ele voloit faire li ot baillies les poisons,Brisanne doncques pensant de paracheuer son entreprinse appella une pucelle,,Et brisane|qui ot vne soie pucele acointie de chou|que elle voloit faire,
,,,,Si li ot bailliet lez puisons,
,,qui leans estoit:,,,
4132,et li dist,et lui bailla le bruuaige,,si li dist,
4133,Quant tu orras,que appareillie auoit pour Lancelot,,Et quant tu orras,
4134,que je demanderai boivre,En lui disant,,que iou demanderai a boire,
4135|4136,si en aporte plainne coupe|et le donne a Lancelot ne nul autre ne li aporte tant com il voille boivre,que quant lancelot uouldroit boire quelle lui baillast dudit bruuaige pleine coupe,,si en aporte plaine cope|& puis le donne a lancelot|& nul autres boire ne li aporte mie deuant ce quil voelle boire,
4137,et ele dist Volentiers,et nom dautre,,Et cele dist volentiers,
,,Sy lui respondit la pucelle quelle la compliroit de bon cueur,,,
4138,Quant Lanceloz fu desarmez,Quant lancelot fut desarme:,,Quant lancelot fu desarmes:,
4139,si ot talant de boivre a ce qu il ot eu chaut a venir:,si demanda a boire pour ce qu il auoit eu chault a uenir,,si ot moult grant talent de boire a chou quil ot eu trop grant chaut au uenir,
4140,si demande ou est sa dame la roine,mais premier demanda ou estoit sa dame la royne,,Si demanda pour sa dame la Toyne,
4141|4142,Sires fait ele ele est en cele chambre|et est ja endormie au mien esciant,Sire fist brisanne elle est en celle chambre|et si est ia endormie ainsi,,Sire fait brisane elle est en cele autre cambre|Et sest ia endormie au Ieesocl mien escient,Sire i' sono venuto a voi
4143,Et il demande le vin,que ie croy,,Et ile demande le vin,
4144,et la damoisele a cui il avoit esté conmandé aporte le boivre,Si lui fut aporte le bruuaige pleine coupe par la pucelle,,Et la damoisele a|qui elle Ot donne le boire :,
4145|4146,qui plus estoit clers|que fontainne,qui plus estoit cler|que eaue de fontaine,,qui plus estoit clers|que fontaine,che voi mi diciate chi l cavaliere est
4147,et de coulor a vin,et de couleur de uin,,et estoit de colour a vin,
4148,La coupe n ert pas grant,,,et la coupe niert pas grant,
4149|4150,si fu toute plainne;|et il ot talant de boivre,Alors commenca a boire comme cellui,,Et il ot talent de boire,
4151|4152|4153,et la dame li dist Sire buvez tout|car il ne vos fera ja se bien non|car je cuit,qui auoit grant soif|Et brisanne lui dist|Sire buuez hardiment tout il ne uous peult faire,por vos saldra a desora esta tierra libre delas estrañas abenturas,Et la dame li dist|Sire beues tout|quar elle ne vous fera se bien non|quar iou quit,
4154|4155,que vos ne beustes onques|mais de tel,que bien,,que vous ne beustes onques|mais de tel,che si be ll à oggi fatto per diverso voi
4156,Et il prant la coupe,Le bruuaige,,Et il prent la coupe,
4157|4158,et la boit toute plainne|et troeve la poison bonne,si lui sembla de ben goust par quoy en demenda encore autant,,& le boit toute plaine|& trueue la puison boine,
4159,et douce,et le beut,,& douce,
4160,si en demande encore autant,Adonc fut plus ioyeulx,,si en demande encore autant,
4161|4162,et cele li aporte|et il boit tout outre,et en parle,,& cele li aporte|& il le boit tout outre,
,,,,Auant lancelot ot beu lez puisons,
4163,Lors est envoisiez,que deuant,,si fu plus enuoisies,
4164|4165,et plus emparlez qu il ne selt;|si dist a Brisane conment il porra veoir sa dame la roine,Si demanda a brisanne comment il pourra ueoir sa dame la royne,,et plus IEcy emparles quil ne sieult|Si demande a brisane comment il porra parler a sa dame la royne,
4166,Ele le resgarde,Et brisanne le regarda,,& elle le regarde,
4167,et voit ja qu il est touz muez,si uit qu il estoit tout mue,,et uoit quil est ia tous mues,
4168,car il ne set ou il est ne conment il vint laienz ainz cuide vraiement estre en la cité de Kamaalot,et ne scauoit ou il estoit ne comment il estoit uenu leans|et cuidoit uraiment estre en la cite de kaamalot,,si quil ne set ou il est ne comment il vint laiens|Ains quide estre uraiement en la cite,
,,,,? de camaalot,
4169,et li est avis qu il parole a une dame,et lui estoit aduis quil parloit a une dame,,Si li sanble quil parolt a vne dame,
4170|4171|4172,qui toz dis faisoit compaingnie a la roine des lors|que la dame de Meloaut fu morte|Et quant ele le voit,qui tousiours estoit auec la royne|puis que la dame de malohault fut morte|Et quant brisanne le uit,que ay bienen noche y dia Como don lançarote vio el palomo,qui tous iours soloit tenir compaignie a la royne|puis que la dame de mallehaut fu morte|Et quant elle le voit,— Bel dolce sire diss elli il re Bando di Maguzo perché l domandate voi
4173|4174,si afolé|et qu ele connoist bien qu il porra estre legierement deceuz,si affolle elle cengneut bien quil pouroit estre legierement deceu,,si afole|& que elle porra bien faire de lui sa volente|Si li dist,
4175,si dist Sire ma dame puet ja bien estre endormie,si lui dist Sire madame peult bien ia estre endormie:,,Sire madame la royne puet bien ia estre endormie,
4176,Que demorez vos,que demourez uous,,que demores vous,
4177|4178,tant que vos n alez a li|? —,tant que uous ne allez a elle parler,,tant que vous nales a lui|Por chou fait il,
4179,Por ce fait il qu ele ne me mande mie n i voil je mie aler :,Pour ce fait il|que elle ne me demande mie ne y uueil pas aller,,que elle ne me mande mie|ni voel iou pas aler,
4180,mais s ele me mandoit je i iroie,Mais se elle me mandoit ie yroye,,Mais se elle me mandoit iou y iroie uolentiers,
4181|4182,— Enon Dieu fait ele vos en orrez|par tans noveles,En nom dieu fist brisanne|Uous en orrez tantost nouuelles,,Enon dieu fait elle vous en orres par tans noueles,
4183,Lors entre en la chambre,Lors entra en la chambre,,Lors entre en vne cambre,
4184,et fait samblant qu ele ait parlé a la roine,et fist semblant de parler a la roine,,et fait samblant|que elle ait parle a la royne,
4185,puis vient a Lancelot,Puis reuint a Lancelot,,puis sen reuint a lancelot,
4186,et li dist Sire ma dame vos atant,et lui dist|Sire cheualier ma dame uous attent,,& dist Sire madame: vous mande,
4187,et vos mande,et uous mande de par moy,,& atent,
4188,que vos ailliez a li parler,que uous ailliez parler a elle,,que vous aillies a lui parler,
,,,,Et il,
,,,,si fait,
4189,Et il se fait maintenant deschaucier,Si fut promptement desabille,,Lors se descauche|& se despoille,
4190|4191,et entre en la chambre em braies|et en chemise,et puis entra en la chambre en chemise,,puis entre en la cambre en braies|& en chemises,
4192|4193|4194,et vient au lit|et se couche avec la damoisele|conme cil,et se coucha auec la damoiselle comment cellui,que traia el ynçensario y la donzella,et sen vint au lit|et se couche auec la damoisele comme cil,
4195|4196,qui cuide|que ce soit la roine,qui cuidoit|que ce fust la royne,que traia el sancto baso Ellos,qui quide|que ce soit sa dame la royne,
4197,Et cele,Et celle,,Et cele,
4198,qui riens ne desirroit fors avoir celui de cui terrienne chevalerie estoit enluminee le reçoit liee,qui riens ne desiroit|fors,,qui riens ne desiroit fors dauoir celui de|qui terriene cheualerie estoit enluminee,
,,,,le rechoit lie,
4199,et joieuse,que a auoir cellui de,,& ioieuse,
4200|4201,et il li faisoit tel joie|et tel feste com il faisoit a sa dame la roine,qui terrienne cheualerie estoit enluminee le receut tresfort ioieuse en lui faisant telle ioye|et semblable acueil comment madame la royne lui faisoit,,Et il li fait autele ioie comme il feist a sa dame la rovne se il la tenist,? — Sire diss elli per ciò
4202|4203|4204,Einsinc sont mis ensemble le millor chevalier|et le plus bel|qui or fust,Ainsi furent mis ensemble le meilleur cheualier|et le plus bel|qui lors fust,ansi fablando entro vna dueña enel palaçio|que hauia,ANsi sont mis ensamble li mieldres cheualiers|& li plus loiaus|qui qa ce tamps fust,ch i' sono giovane huomo
4205|4206,et la plus bele pucele|et de haut lignage,et aussy la plus belle pucelle quiͥ fust en ce temps,mas de çient años,et la plus bele pucele|& del plus haut lingnage,si so ancora poco d arme
4207,qui fust alors;,,,qui fust au tamps de lors,
4208,si se desirrent par diverses entancions,si se desiroient par diuerses intenciens,,si sentredesirent par diuerses entensions,si arei mestieri d acontarme a un
4209|4210|4211,car ele ne le fait mie tant|por la biauté de celui ne|por luxure ne,Car la pucelle ne le faisoit mie tant pour la beaulte de lui ne pour luxure ne pour eschauffement de chair,e fuese al Rey,Car elle ne le fist mie tant pour la biaute de lui ne pour escauffement de char comme elle fist,
4212|4213,por eschaufement de char come ele fait|por le fruit recevoir,comment elle faisoit pour le fruict reconceuoir dent le bien deuoit uenir appertement,,por le fruit recheuoir,si produomo com egli è per ciò
4214,dont toz li païs doit venir a sa premiere biauté,,,dont tous li pais deuoits reuenir en sa premiere biaute,
4215,qui par le dolereux cop de l espee as estranges ranges avoit esté desertez,qui par le douloureulx cop de lespee aux estranges auoit este desherite,,qui par le dolerous cope de lespee auoit este desertes,
4216|4217|4218,et essilliez|si com il devise apertement en la Queste del Graal|Et cil la desirroit tout en autre manniere,et exille sicomme le chapitre le deuise clairement au compte du sang graal|mais lancelot la desiroit tout en autre maniere,e dixole|asi me querria fablar convos y el Rey se leuanto y dexo a lanzarote y mando a todos,& escillies|Si comme li contes a deuise apertement en lystoire del saint Graal|Et cil la desiroit tout en autre maniere,
4219,car por sa biauté ne la couvoitoit il pas,car pour sa beaulte ne la conuoitoit il pas:,,quar por sa biaute ne la conuoitoit il pas,
4220,mais il cuida,mais il cuida,,mais il quidoit,
4221|4222,que ce fust sa dame la roine|et par ce fu il eschaufez qu il la connut ausinc com Adam fist sa fame mes non mie en tel maniere,que ce fust sa dame la royne|Et par ce fut il eschauffe tellement quil la cengneut ainsi comme adam fist sa femme|mais non pas en telle maniere,que se non partiesen del y el fuese conla vieja auna camara y desque se asentaron dixo la vieja al Rey señor,que ce fust sa dame|Et pour ce fu il escauffes|si la connut aussi comme adam fist sa feme,
,,,,Et non mie en tel maniere,
4223,car Adam connut sa famei leaument,car adam cengneut sa femme loyaument:,,quar adam connut sa femme loiaument,
4224,et par le conmandement Nostre Signor;,et par le commandement de nostre seigneur,,& par le commandement nostre seignor,
4225|4226,et cil connut ceste|? em pechié,et cestui cengneut ceste pucelle en pechie,que faremos deste Cauallero,Et il connut ceste en pechie,che me ne nsegnasse per ciò
4227|4228|4229,et en avoutire|et contre Deu|et encontre Sainte Eglyse,et en luxure contre dieu|et contre saincte eglise:,que nos dios aqui traxo no se|que podamos ay fazer saluo tanto quele dare mi fija|que faga della su voluntad Pordios dixo ella yo se,& en auoltire|U't pour ce,ch io amenderei di lui
4230,et neporquant li Sires en,et non pourtant le sire en,que la non querra,que li sires en,
4231|4232,qui tote pitié abite|et qui ne juge mie selon les faiz as pecheors resgarda ceste assamblee selonc le preu a ceus del païs com cil,qui toute pitie abonde|et qui ne iuge mie a la riguer selon le forfait des pecheurs,que el ama tan lealmente ala Reina de bretaña,qui toute pities habite|et qui ne iuge mie tout dis selonc les mesfais as pecheors regarda cele assamblee selonc le preu a ceuls del pais comme cil,
4233|4234|4235,qui ne voloit mie qu il fussent touz dis en essil:|si lor donna tel fruit engendrer|et concevoir,ne uoulut mie quilz fussent tousiours en exil leur denna tel fruict engendrer|et cencepuoir,que se|que el no querra otra muger|que enel mundo sea y porende Conuiene quele demos la donzella tan enCubiertamente quelo el no entienda agora catad dixo el Rey Como lo fagades,qui ne voloit mie quil fussent tous iors en escil|si lor donna tel fruit a engendrer|et a conceuoir,e di sua compagnia
4236,que por la flor de virginité,que pour la fleur de uirginite,ca toda via conbiene,que pour la flor de uirginite,
4237,qui iluec ! fust corrumpue,qui illec fut corumpue,que sea oy Mas callad dixo ella,qui illuec fu corrompue,
4238|4239,et violee fu recouvree une autre flor de cui bien|et de cui tandror mainte terre fu replenie,et uiolee fut conceue une autre fleur de la doulceur de laquelle maintes terres furent peues,ca yo lo cuido muy sesudamente fazer y|luego torno el Rey a don lançarote|ca mucho se pagaba desu compaña y fablaron ambos de muchas Cosas y don lançarote dixo al Rey señor|como hauedes nombre amigo dixo el Rey ami dizen pelas Rey dela tierra forana y ellos,fu restoree vne autre fleur|dont grans biens vint al pais|Car de la douchour|qui de la flour issi fu toute la terre raemplie ¿ ensi comme lestoire del saint Graal le nous a deuise|& fait entendant,
,,,ansi fablando vio don lançarote entrar porvna finiestra el palomo,,
,,et rassasiees,,,
4240,et rasouagie; qu ausinc com l Estoire del saint Graal nos fait antandant de ceste flor perdue fu restorez Galaad li virges li tres bons chevaliers cil,Car|si comme lystoire du saint graal nous racente de ceste fleur pardue fut procree galaad le uierge le tressouuerain cellui,que don galuan viera otra vez y traia enel pico vn muy Rico inçensario y tanto|que fue dentro fue el palaçio cumplido de todos los buenos olores del mundo y,Oue de ceste fleur perdue fu restores Galaad li uirgenes li bons cheualiers|cil,
4241,qui les aventures del saint Graal mist a fin,qui les auentures du saint graal mist a fin,luego Callaron todos y nunca fablo ninguno ninguna palabra antes fincaron todos los inojos y començaron a orar y tanto|que el palomo se fue auna Camara los seruidores se leuantaron y pusieron las mesas y muchos vasos porellas y asentaronse aellas todos los Caualleros,qui lez auentures del saint Graal mist a fin,
,,,ca non se Conuidaron vnos a otros y desto fue marauillado don lançarote Pero el fizo,,
4242|4243,et s asist el perilleus siege de la Table Reonde ou onques chevaliers ne s estoit assis|qui ne fust morz,et se assist au perilleux siege de la table ren de ou oncques chenalier ne se assist droictement qu il ne fust mort,asi como vio alos otros fazer y asentose a par del Rey y|quando el vio,Et sassist el siege perilleus de la table|? roonde ou onques cheualiers ne sassist quil ni fust mors ou mahaignies,—Certo sire disse il re Bando di Maguzo s elli vo conoscesse elli voi arebbe molto caro
,,,que fazian oraçion fizo el otrosi y,,
4244|4245|4246,Et tout ainsi com li nons de Galaad avoit esté perduz en Lancelot par eschaufement de luxure tout|ansi fu recouvrez en cestui par atenance de char :|car il fu virges en volenté,Et tout ainsi comment le nen de galaad auoit este perdu en lancelot par eschaufement de luxure tout ensement fut recouuert en cestui par abstinence de chair|Car il fut uierge en uoulente,luego a poco de ora vio salir dela camara ado entrara el palomo la donzella|que biera con galuan y dixo don lançarote entresi|que verdad heralo quele dixera la dueña|que alli lo traxera quelo mostraria la cosa|mas fermosa del mundo y,Et tout aussi comme li nons de Galaad auoit estes perdus en lancelot par Io escauffement de luxure|tout aussi fu il recoures par cestui par abstinence de char Car il fu uirgenes en volente,
4247|4248,et en oevre jusqu a la mort|si com l estoire le devise,et en euures iusques a la mort|si comme lystoire le deuise,ansi hera|que nunca|mas fermosa Cosa viera saluo a su señora la Reina ginebra y el Cato vn baso,& en oeure iusques a la mort ensi comme lestoire le deuise,ch elli amò molto monsignore vostro padre
4249,Einsine fu recouvree flor pour flor,ainsi fut recouuree fleur pour fleur,que ella traia|e vido,Et enssi fu recouree fleur pour fleur,
4250,car en sa nessance fu flor de pucelage estainte,car se en sa naissance fut fleur de pucellage estaincte,que hera,quar en sa nascence fu fleurs de puselage estainte,
4251,et maumise: cil,et mal mise de,como Caliz y,Et cils,
4252,qui puis fu flor,,que hera la,qui puis fu flors,
4253,et mireor de chevalerie il fu restorez par le conmun assamblement;,puis fut de par lui fleur de cheualerie restauree|par leur commun assemblement,mas Rica cosa|que nunca ome viera y,& mireors de toute cheualerie fu restores par le commun assamblement,
4254,et se virginitez fu empirie en ce qu il fu conceuz bien en fu li mesfaiz amandez en sa vie par sa virginité qu il randi sainne,et se uirginite fut empiree bien en fut le mesfait amende en sa uie par sa uirginite|car il rendit son ame saine,luego creio|que hera Cosa muy sancta y alço las manos contrael çielo y finco los ynojos y començo muy de Corazon a fazer oraçion y,Et se vir ginites fu corrompue par ce quil fu conceus|Bien en fu li mesfais amendes en sa vie par sa virginite quil rendi saine,
4255,et antiere a son Sauveor,et entiere a son sauueur,ansi como la donzella pasaua,& entiere a son salueour,
4256,quant il trespassa del siecle,quant il trespassa de ce siecle,por çerca delas mesas,quant il trespassa de cest siecle,
4257|4258,et par les granz biens qu il fist en sa vie a|Si se taist ores li contes de lui,et par les biens quil fist en sa uie fut le pechie du cenceuement estaint|si se taist ores ataut le compte de lui,ansi fincaron todas Cumplidas delos mejores manjares del mundo y el palaçio hera cumplido detodos los buenos olores del mundo,& por lez grans biens quil fist en sa vie fu li pechies pardones|& estains de son conceuement|Si se taist ore li contes a parler de ce,e vostro padre il riamò molto
4259|4260,et retorne a Lancelot|qui toute la nuit jut o la damoisele ; se li toli le non a cui ele ne pot,et retourne a Lancelot|qui geut toute la nuyt auec la damoiselle|si lui tollit le nen a quoy elle ne peult oncques,asi como si alli fuesen aiuntadas quantas buenas olores y espeçias ay enel mundo y desque la donzella paso vna vez porante las mesas tornose ala camara dedonde saliera y dixo entonzes el Rey a don lanzarote Mucho oue miedo,et retorne a parler de lancelot|qui iut toute la nuit auec la damoisele a|si li toli le non ou elle ne pout plus uraiement recourer,e tanto come nullo huomo può più amare altro
4261,puis vraiement recouvrer,puis retourner,que vos fallesçeria aqui la graçia de dios,,sSi vo dico per vero
4262|4263|4264,car se l an la poïst au soir apeler pucele cil nons li fu i changiez en damoisele a l andemain|Quant li jorz aparut|si s esveilla Lanceloz,car se len lappeloit au soir pucelle cellui nom lui fut changie landemain en damoisele|Quant le iour fut uenu|si sesueilla lancelot,como fallesçio el otro Dia a don galuan señor dixo lançarote mucho mal seria|si jhesu xpisto,Quar len la pooit nomer au soir pucelle|cil nons li fu muez a lendemain en damoisele sanz doute|OR dist li contes|que quant lancelot se fu esueillies au matin,che ceiò sel monsignor Lancelotto di Lac
,,,,que li y iors apparut,
4265,et resgarda entor lui mes il ne vit point de clarté,et incontinent regarda entour luy amis point ne uit de clarte,,si regarda tout entor lui|mais il ne vit point de clarte,
4266,car toutes les fenestres estoient,Car toutes les fenestres de la chambre estoient,,quar toutes lez fenestres estoient,
4267,si estoupees,si fort estouppees,,si estoupees,
4268,que li soulauz n i pooit entrer poi ne grant,que le souleil ny pouoit entrer,,que flij solaus ni pooit entrer poi ne grant,
4269,Lors se mer¬ veille ou il est,Lors se|merueilloit la ou il pouoit estre,,Et lors sesmerueille ou il est,
4270|4271,et taste tout entor lui|et troeve la damoisele; se li demande,Et en tastant entour lui trouua la damoiselle,,& taste tout entour lui|si trueue la damoisele|si demande,—Lancelotto
,,si lui demanda,,,
4272,qui ce est,qui elle estoit,,qui chou est,? disse quelli
4273|4274|4275,et il estoit ja revenuz en son mimoire|car la force de la poison estoit faillie des lors|que il connut la damoisele charnelment,or estoit il reuenu en son memoire|Car la force des poisons estoit saillie depuis quil auoit cengneu la pucelle charnellement,que es de tan buen talante fuese siempre sañudo Contralos pecadores y despues,Et il estoit ia reuenus en son memoire|Car la force de la puison estoit faillie dez lors|que il connut la damoisele carnelment,
4276,Et ele li dist Sire je sui J,Et elle dist,,Et elle li dist|Sire iou sui Vne damoisele,
4277,damoisele fille au roi Pellés de la Terre Foreinne,sire ie suis fille au roy de la terre forainne,,fille au roy pelles de la terre forainne,
4278,Quant il l antant,Quant il entendit cella,,Et quant il entent ceste parole,
4279,si perçoit maintenant comment il a esté deceuz;,si apperceut bien comment il estoit deceu,,si apercoit maintenant s quil a este deceus,
