a	b	c	d	e
3187|3188|3189|3190|3191	et li dist|que bon jor li donnast Diex|et il li randi son salu molt tost;|si dist Sire je vieng prandre congié a vos|por aler as loges del tornoiement	& ll dist|que boin iour li donast diex|Et il li rendi son salut moult tost|Et elle li dist|Sire iou vieng prendre congie a vous|pour ce|que iou voeil aler as loges del tornoiement	e otro dia de gran mañana vino la donzella ael|e dixole señor yo me quiero yr paralas choças antes|que vaian los caualleros	e faceste|tanto che questo maritaggio fosse disfatto|i vo gittere stanotte di questa prigione	Ois luy dist terriquen|sirecheualier ie uous tiẽn mõlt a preudõme
3192|3193	car je ne voil plus demourer|por la presse des chevaux	quar iou ne voel plus demorer|por la presse dez cheuaus	e Ruegovos	e vo donere buon cavallo	car onq̃s mes ne trouuay cheualier
3194|3195|3196|3197|3198	qui ja i sera|si granz|que je n i porroie passer|— Alez a Deu fait il|— Sire fait ele gardez	qui ia y sera|si grans|que iou ni porroie passer : ales a dieu damoisele fait il Sire fait elle gardes	que vos vea yo alla enel torneo|que no yria yo alla|por ver el torneo tanto	e buone armi|— Al nome di Dio|damigella|disse Lancelotto|se vo' ciò volete fare	qui les arcf õs me peult faire uupder|si uous prise plus
3199|3200|3201	que je vos i voie|car si m atst Diex je n iroie ja autrement|Et il dist qu il i ira	que iou vous y uoie|quar si mait diex iou ni entreroie ia au tournoiement se iou quidoie|que vous ni uenissies|Et il dist|que il y sera sans faille	como porvos ver donzella dixo el andad con buena ventura	i' vi giuro|come lial cavaliere|ch io a quel giorno riverei in questo castello	que che ualier q̃ ie dcques mes ueisse
3202	Lors s em part la damoisele de laienz o grant compaingnie de dames	Lors sen part atant la damoiselle de laiens o tout grant compaignie de dames			
3203|3204|3205	et de damoiseles|et quant ele vint es prez|si voit	& de damoiseles|Et quant elle vint es pres|si voit		e farò tanto|ch i' vo diliverò da quel cavaliere	et pour la prou esse
3206|3207	que les loges sont ja toutes plainnes de dames|et de damoiseles	que lez loges sont ia toutes plaines de dames|& de damoiseles	que luego sere yo alla y luego se fue la donzella al torneo con gran compaña de dueñas y de donzellas y estauan esperando alos Caualleros	:	
3208|3209	qui ja estoient montees as fenestres|et atandoient	quis ia estoient montees as fenestres|& atendoient		e arete vostra terra cheta	qui est en uous
3210|3211	tant que li tornoior venissent|Et la fille le roi de Norgales cele	tant que li tornoiemens se commenchast|Et la fille le roy de norgales|cele	que hauian de fazer el torneo y la fija del Rey de norgales	se non v à altro alresto	
3212	que mes sire Gauvain out eue pucele	qui mesires Gauuain ot eue pucele	que hubiera don galuan segund		
3213|3214	si com li contes a devisé estoit illuec venue o grant compaingnie de dames|et de damoiseles	si com li contes a deuise cha en arrieres estoit illuec uenue a grant compaignie de dames|& de damoiseles	que el Cuento lo a deuisado hera con muchas dueñas|e donzellas	che voi m abiate detto	ne uous mettray ie ia en prison se uous de ceans par uostre fiãce ne ps sies sans cõgie
3215|3216	Et quant ele voit venir la fille le roi Bademagu|si vait encontre lui	Et quant elle voit uenir le fille le Roy baudemagus|si li uait a lencontre	e quando llego ay la fija del Rey bandemagnus fue aella	— Certo	
3217	et la reçoit a molt grant joie	et le rechoit a moult grant ioie	e Resçiuiola muy bien		
3218|3219|3220|3221|3222|3223	et la fait lez lui seoir|et conmancerent a parler d unneschoses !|et d autres|et|tant que la fille Baudemagu une damoisele|qui delez lui seoit li dist	si le fist les li asseoir|Si commenchierent a parler dunes coses|& dautres|Et|tant que la fille au roy baudemagus commencha a parler|qui les li seoit li dist	e asentaronse ambas envna choça y començaron a fablar devnas cosas y de otras y la fija del Rey bendemagnus Pregunto qual cauallero lo hauia fecho mejor enel torneo|e dixeronla	diss ella|non v à altro aresto|— eDunque vo giuro lealmente|diss egli	Et il dist quil ne luy fianche ra ia|car il ueult mieulx estre a malaise auec ses cõpaignons
		vns cheualiers			
		que len apeloit Mador			
		Si demanda			
		qui miex lauoit fait a lautre assamblee			
		Et vne damoisele			
3224|3225|3226	que Madors de la Porte I|des chevaliers le roi Artus|et Mordrez li frere mon signor Gauvain avoient tout vaincu	? de la porte vns dez cheualiers de la maison le roy artu|et mordret li freres monseignor Gauuain|Cil doi auoient tout uaincu	que amadon de poraui Cauallero del Rey artur y morderet hermano de don galuan	ch i' questo convenente vo terrò	que auoir tous les biens du mõ de auecq̃s luy
3227|3228|3229|3230|3231|3232	—|Et quels chevaliers est cil Madors|? faît ele|— Par foi fait l autre ce est J|des greingnors chevaliers|que je onques veisse	Et quels cheualiers est chils madors fait elle|Par foy fait lautre cest vns des graindres cheualiers|que iou ueisse onques	e que cauallero es ese amador dixo ella Pordios señora dixo vna donzella|que y estaua es el mejor Cauallero|que yo nunca vi ni	— E vo giuro lealmente|diss ella|ch io stanotte vo trarò di qua entro|Insi asicura l uno a l altro|si si parte atanto la damigella|e Lancelotto rimane lieto|e gioioso di ciò	lors le fait mettre enprison auec les aultres cheualiers|Et quãt il est le|ans
3233|3234	et li mielz feranz de lance|Einsi parloient entr elz des chevaliers	& le miex ferant de lance|Ensi parloient entre elles dez cheualiers	que mejor fiera de lança Como don lançarote vençio todo el torneo y se metio luego enla floresta	ch ella li promette||e que di là entro furono coricati|e dormiti	et ceulx de la maisõ du roy artus le uoi ent uenir
				la damigella apre l uscio della camera	
3235	Et Lanceloz est vestuz	Et lancelot est uestus		e viene a Lancelotto	
3236|3237|3238|3239	et aparilliez|et or messe|et li III|chevalier orent envoié querre lor armes au chastel ou il les orent laissies	& appareillies|et orent oy messe entre lui|& les|iij|cl rè auec lui estoient|il envoierent querre lor armes au chastel de la harpe	por no ser conoçido	e disse||venite apresso mes|E elli|si lieva|e si lla seguita|poscia li dona buone armi|e buono cavallo	si cõmenchẽt a plourer de pitie|Et saigremorle desreeluy dist
				e quand egli è apparecchiato come del montare	
				elli disse alla damigella	
				: eDamigella	
				ditemi di qual torniamento i cavalieri di qua entro parlavano stasera apresso vespro	
				— Sire	
				diss ella	
				volentieri	
				sEgli è vero	
				e ella el mena in una camera di là entro presso d un verzieri	
				Si 'l fa mangiare	
		cheualiers			
		qui leol			
3240	Et li rois Bademaguz lor manda qu il ne venissent au tornoiement devant aprés prime	Et li roys baudemagus lor manda quil ne uenisfy osalsent au tornoiement deuant: prime		che 'l re Bando di Maguzo|e l re di Norgales giurarono un torniamento l uno incontr all altro	
				e di gente incontro a gente	
				Si ànno oggi stati asembiati in una prateria	
				ch è due leghe presso di qui	
				si che quegli di qua entro	
				a cu' vo n udisti parlare	
				ne sono stanotte venuti	
3241|3242|3243|3244	et qu il baillassent a Lancelot couvertures blanches|et ausi a son cheval|et l|escu blanc;	Et il enuoia a lancelot couuertures blanches|et vn escu blanc	Ansi fablando entresi las dueñas y las donzellas Lanzarote se vistio y aguiso	—|e qua'|diss egli	haahector
3245|3246	et il le firent ainsi|Quant vint entor prime qu il erent tuit armé fors de lor hiaumes	Et quant ce uint entor prime|que tout furent arme de lor heaumes	e fue a oyr misa y los tres caualleros ymbiaron al Castillo porsus armas	n ànno il piggiore	ie ne cuidoir iamais uoir leure q̃ ie uous ueisse ce¬ ans
3247|3248	si distrent a Lancelot qu il manjast I|poi pour aler plus seurement;				
3249|3250|3251|3252|3253|3254|3255|3256|3257|3258|3259|3260|3261|3262	mais il dist|que no feroit|et il a monterent maintenant|et se partirent de laienz|et errerent par la forest tant qu il vindrent en la place|Si erent ja assamblé|que d unne part|que d autre plus de XX|mile|et le faisoient bien d ambe JI|parz|mais moult avoit plus grant gent li rois de Norgales|que li rois Bademaguz|Quant Lanceloz vint pres des jostanz	si monterent sor lor cheualx|si sen partirent de laiens|& errerent tant quil vindrent en la place|si estoient bien assamble|que dune part|que dautre plus de|i'j a|& le faisoien moult bien dambes|ij|pars|mais plus auoit de gent li roys de norgales ANsi fu commencies li tornoiemens dune part|et dautre|Et quant lancelos vint pres des ioustans	do las dexaran y el Rey les ymbio a mandar|que diesen adon lançarote armas y cobertor y sobreseñales todas blancas y ellos fizieron su mandado y luego a ora de prima fueron todos armados y caualgaron y entraron en su camino y caminaron tanto|que llegaron al prado donde hera el torneo y fallaronlo ya començado y hera bien devna parte y de otra beinte mill Caualleros y mucho lo fazian bien todos|mas eran muchas|mas las grandezas del Rey de norgales quelas del Rey bandemagnus y lanzarote	diss ella|il re Bando di Maguzo n é stato caciato della piaza|ch egli non avea mica tante genti della metà come il re di Norgales|; ma egli ànno preso termine di ar sembiante giuovedi|E egli non f v avea|che un giorno in mezo|E quando Lancelotto intende|che l re Bando n è stato cacciato del campo|si n è molto dolente	si uoꝰ ap ie bien regrette de|puis que sups ceans en prison|mes pour dieu sauez uous en core nouuelle de lacelot|Haa dieu fistlaultre Seconde tant nous ꝑuns en sa moit: se il fut uif ⁊̃core eussons nous esperãce de issir hors de piison|mes|puis qͥl est moit nous nen istrõs iamaiz|car trop duremẽt est cest aduersaire de grant forche
3263|3264	si se traist a une part lui|et ses compaingnons	si se traist a vne part entre lui|& sez compaignons	quando llego al torneo parose a mirar quales lo fazian mejor	ché ciò è un degli uomini del mondo	et de tel pouoir
3265	et resgardent liquel le font mielz;	& regarde liquel le font le miex		che più gli à fatto d onore	
3266|3267	si voit III|chevaliers par desus le roi de Norgales	Si regarde|iij|cheualiers par deuers le roy de norgales	e vio tres caualleros quelo fazian a marauilla y heran del Rey de norgales	:	
3268|3269	qui trop bien le faisoient|car il donnoient hardement as leur par lor bien faire a:	qui moult le font bien	que por su grande esfuerço fazian quela gente del Rey bandemagus se fazia afuera	si n è molto dolente di ciò|ch egli non v è stato	
3270|3271|3272	si avoient ja tant fet|que la gent Bademagu estoient ja reculé plus d unne archie|Et la fille au roi de Norgales em parole a ses compaignes	Si auoient ia tant fait|que la gent le roy baudemagus: estoient recule plus de|ij|archies|Et la fille au roy de norgales en parole a ses compaignes	mas de dos tiros de vallesta y la fija del Rey de norgales deçia ala fija del Rey y bandemagnus tan alto	ché s egli vi fosse|acciò	que nul ne pourroit lõ guemẽt durer a lup
3273	qui illuec estoient	qui illuec estoient	que todos lo oyan	che ssi sente sano	
3274|3275	et dist oiant toutes Par Dieu moult fust i ancui biaux cist tornoiemenz se cil de la poïssent soffrir les noz|Mais il m est	Et dist oiant toutes|Par foy moult fust anqui bons li tornoiemens se cil de la peussent durer	Por buena fee este torneo seria bueno|si la gente dela otra parte lo pudiese sufrir alos nuestros|mas pareçen	e atato	mes ce lãcclot feustuif il neust ia a lup duree neãt plus q̃ brarados le grant le seigneut de la douloureuse tout
3276|3277|3278|3279	? avis a ce qu il vont reculant qu il seront par tans mis a la fuie;|et ja Diex ne m aïst se molt ne font a prisier|cil IlI|chevalier	mez il mest auis a ce quil vont reculant quil seront par tamps mis a la fuite|Et ia diex ne mait se moult ne font a proisier cil troi cheualier	que aina bolueran las espadas y no me ayude dios	disiderante di portare arme|non crede mica|che l re avesse avuto il piggiore	qui fut frere a cestuy deable|N nom dieu fistlyonnel ie lap huyche remẽt accheteela mort de celluplrara dos
3280|3281	qui par devers les noz sont|car pour aux sont desconfit cil de Gorre	qui par deuers lez nostres sont Car par euls sont desconfit cil de Gorre	si estos tres caualleros denuestra parte no son muy buenos	si com egli à ora|Allor monta in su' cavallo	car quãt ceulx de ceãs sceurẽt
3282|3283	— Damoisele fait la fille Baudemagu|qui sont il cil	Damoisele fait la fille au Roy baudemagus:|qui sont cil troi	ca porello son los de agora desbaratados dueña dixo la fija del Rey bandemagnus quales son estos tres caualleros	e acomanda la damigella a Dio|e ella I priega	que iestoie cousin de lancelot
3284	qui doivent estre prisié	qui tant doiuent estre proisie			ilz me firent despouller
3285|3286	? — Par foi fait ele li uns en est Mordrez li freres mon signor Gauvain a ce vermeil escu|et li autres est Madors de la Porte li graindres chevaliers	Par foy fet elle li e Vvns en est mordres li freres monseignor Gauuain|qui porte cel escu uermel|& li autres est mador de la porte cils graindres de tous	por buena fee dixo ella aquel del escudo bermejo es morderet hermano de don galuan y aquel cauallero grande es amador de parta	che no lla dimentichi del convento	⁊ me ont hatu tant douloureusemẽt de espines pongnãtz
3287|3288|3289	qui ci soit|et li tierz est Galehodin mes nies cil|qui porte cel escu blanc	& li tiers est Galehodins cils|qui porte cel escu blanc	e aquel del escudo blanco es mi sobrino fijo del Rey galeodi y estos tres lo fazen a tanbien	ch ella li à|	q̃ ie me f eusse en mon sang baigne mes se dieu me sauue cellui
3290	Ce sont cil	Ce sont cil		diss elli	
3291|3292|3293|3294|3295|3296|3297	qui mielz le font de toute ceste place|et par cui vostre gent sont desconfit|— Or ne vos esmaiez damoisele fait cele de Gorre|car si m aïst Diex|que se li rois vostre peres ne s anfuit il verra|? ancui donner telz cox|dont il n atandroit I	qui le miex le font de toute ceste place|& par|qui vostre gent sont desconfit|Or ne vous esmaies damoisele fait cele de Gorre|quar si mait diex|que se li roys vostres peres ne fuit il verra encore anuit teuls cops donner|dont il natendroit vn	ca porellos son vençidos los vuestros dueña dixo la fija del Rey bendemagnus no vos Cuitedes de fablar tanto del torneo|ca yo vos fago çierta|que si vuestro padre no fuiere oy veredes vos tales golpes|que no querra el attender vno	non faròs|Si se ne va tanto ed entra in un veriere|; del verziere entrò in una picola prateria|Allor truova uno stretto sentiere|che l mena diritto in una foresta|ov egli truova un padiglione teso davanti a un grande olmo	donc ie me partiz ne a pas troys iours ien seroy uẽge a ma uou lente|et si ne demour ca pas grãment|Ainsp est mis hector en puson auec les aul tres com¬ paignons
3298|3299	por tote sa terre perdre|— He Diex fait ele	por toute sa terre perdre|he : dieus fait lautre	por sauer ganar otro tal Reyno	;	
3300|3301	qui les donra|? — Par foi fait ele veoir le porrez par tans	qui les donra|Par foy fait elle veoir les porres par tans	como el suio	e egli torna in quelle parti in sul cavallo	
3302	car il est venuz	quar il est uenus	que alli veo yo estar	per ciò	
3303|3304	qui tex cox donne|En ce qu eles	qui tels cops donne|Et sacies ke il se combateroit bien contre|XX	el que tales golpes saue dar y ellas	che gente vi crede trovare	
		Et li plus biaus cheualiers dou monde			
		& li plus grasieus a toutes gens			
3305|3306|3307|3308|3309	? parloient einsi|si oïrent le cri lever sor çaux de Gorre|qui s anfuioient|et les aloient prenant cil de Norgales|Et Lanceloz apele cels	des mellours cheualiers dou monde|Et èst estrais de le plus haute lingnie ke on sace el monde queles parloient ensi|si oient le cri leuer sour ceus de Gorre|qui senfuioient|& les aloient prenant cil de norgales|Lors apele lancelot ceuls	ansi fablando oyo lançarote dar gritos y boçes alos de gorre|que querian ya boluer las espaldas y dixo alos tres caualleros	si discende|e all entrata vide di dentro due ceri ardenti|e un gran letto coperto d uno sciamito	Si laisse ores le cõpte a parler de luy|et de ceulx
3310|3311|3312|3313	qui avec lui estoient|et lor dist Sivez moi|car trop avons atandu|Lors laisse corre par mi les rans quanque cheval puet aler	qui auec lui estoient|& lor dist sieues moi :|quar ore auons nous trop atendu|Lors laisse corre parmi les rens quamque cheuaus le puet porter	que estauan conel seguidme|que mucho nos tardamos entonzes se dexo Correr	vE egli viene al letto|ma e'non vi truova né huomo né femina	qui aueclup sont
3314	si fiert	& fiert	por medio delas azes		
3315	si durement le premier qu il encontre qu il porte lui	si le premier quil encontre quil porte lui	quanto el cauallo lo podia lleuar y firio al primero|que fallo tan brauamente		
3316|3317	et le cheval a terre tout en I|mont	& le cheual tout en|j|mont	que ael y al Cauallo todo lo echo	né nel padiglione altresi	et retourne a lancel ot
		& sa lance estoit bone			
		& fort			
3318	et fiert del retor un autre sì qu il li fait la sele vuidier	si fiert' vn autre cheualier|qui li vint a lencontre quill li fait la sele widier	por tierra y luego fue a ferir a otro tan fieramente quelo lleuo dela silla		
3319|3320	Et quant il a son glaive brisié|si met la main a l espee	Et quant il ot son glaiue brisie|si trait lespee	como si fuera vn pajaro y quebro su lança y metio mano ala espada y metiose enla mayor priesa y començo a dar tan grandes golpes	:	
3321|3322	dont il se savoit bien aidier|si conmance a ferir tout entor lui	dont il se sauoit bien aidier|si commence a ferir tout entor lui :	que no hauia ome	e quand	
3323|3324|3325|3326	et a donner granz cox|et point amont|et aval ne n ataint home qu il ne le port a terre|Il esrache escuz des cox	& a donner grans lcops amont|& aual|& point tout outre lez rens|ne il nataint homme quil ne porte ius del cheual a terre|il esrace escus de cols	que alcançase|que no lo derribase atierra y el derriuaba caualleros y cauallos y lleuaualos esCudos delos Cuellos y los yelmos delas cauezas	e vide ciò|si venne al su' cavallo	que lyõnel auoit laisse dormant|Tõmẽt la royne de sorestan
3327|3328|3329	et hiaumes des testes|si fait tant em poi d ore|que touz li tornoiz s areste sor lui	& heaumes de testes|si fait tant en poi deure|que tout sarestent|por lui ueoir	e fizo tanto en poca de ora quelos|mas del torneo estubieron quedos	e gli trae el freno|e lla sella	et morgram fa fee firent emporter lancelot au chasteau de la charette
		quar il naconsieut homme tant soit preus quil ne porte a terre ou mort ou mahaignie			
		Si lont conneu a preu			
		& a uiste cil			
		qui onques ne lauoient ueu			
		Et tant le redoutent			
3330|3331	por veoir les merveilles qu il fet a|qu il n i a	por lez merueilles quil fait|Iytcl quil ni a	por ver las marauillas|que fazia	e l mena a pascere	
3332|3333	mais nul tant soit hardiz|qui a cop l ost atandre:	mais nul tant hardi|qui a cop losast atendre	que no hauia Cauallero quele atendiese su golpe quelo no derribase a tierra muerto o tollido y en poca de ora se fizo conoçer aquien ante no lo conoçia y tantos mato y llago delos de norgales quelos fizo tornar atras	Poscia	et cõment une damoiselle le deli¬ ura de prison
3334	si occist	Si ocist		si disarma	
3335|3336|3337	et mehaingne touz cels de Norgales|tant que a fine force les fait retorner plus de IIl|archies	& mahaigne tant de ceuls de norgales|que a fine force lez fait retorner plus de trois archies	mas de tres tiros de vallesta y tanto fizo lançarote porsu vondad	e mette sua spada a suo capo	et cõment il uainqͥt le tournoie mẽt dẽtre le roy de norgalles
3338	Tant fait par sa proesce	Si fait tant par sa proece			
3339|3340	que tuit en parolent loing|et pres	que tout en parolent loing|& pres	que todos dezian aquel cauallero del Rey bandemagnus	e si	
3341|3342	et dient|que tout vaint li ehevaliers as armes blanches	et dient|que tout vaint li cheualiers as blanches armes	que trae las armas blancas lo benze todo y los tres caualleros		
3343|3344|3345	?;|et li III|compaingnon	& li troi compaignon	que vos dixe|que heran de parte del Rey de norgales	si dispoglia	⁊ le roy bãdema gus
3346|3347|3348|3349	qui devant ce avoient mis cels de Gorre a la voie|et qui estoient issu del tornoiement|por aux reposer I|poi s an merveillent molt	qui deuant auoient mis ceuls de Gorre a la fuite|estoient issi del tornoiement pour euls reposer|i|poi sesmerueillent tout	que heran monderet y amador y galeot|que se hauian salido del torneo|por descansar	e dice	et cõme apies le tournoiemẽt une damoi selle le mena a corbenic|ui
3350|3351|3352|3353	quant il voient lor genz afoïr:|si demandent|que ce est|Que ce est	quant il voient lor gent fuir|Si demandent|que ce est	quando vieron a todos los suyos fuir preguntaron a vn donzel|porque fuian los suios y el les dixo Como vos non bedes las marauillas	che si|si coricherà entro|poscia|che non vi truova anima|Poscia dispegne i ceri per la chiarità|che mal no gli facesse	xx
3354|3355	? fait I|vallez	Coi fait vnz valles	que faze vn cauallero	e si|si corica|e dorme immantanente	i
3356	N avez vos pas veu les merveilles qu il i a	naues vous pas ueu lez meruelles		Appresso ciò|non dimora guari	
3357|3358|3359	? — Quels merveilles i a il|? fait Mordrez|— Par foi il i a l	Et quels merueilles y a il fait mordres|Par foy fait cil|il y a	que creo	che là entro venne un cavaliere|e vid|e ceri spenti|si crede bene	
3360|3361|3362|3363|3364	chevalier a unes blanches armes I|deable L|aversier|qui plus occirroit ancui de gent|que l an ne porroit d omes morz enterrer en Il	i|cheualier a vnes armes blanches|vns deables vns aduersiers|qui plus ocirroit gent anqui|que on ne porroit dommes mors enterrer en|ij	que el diablo y bino a destruir todos los denuestra parte y trae vnas armas blancas y|si el torneo mucho dura	che sua dama fosse indormita|e ch ella avesse|e ceri spenti per la chiarità|'Elli era sanza ispada|e sanza armadura|si fu tosto dispogliato|e si corica tostamente allato a Lancelotto|e si trae apresso di lui	R distle cõpte|que quãt lãcelot fut demaure dormat apies q̃ ly onnel sen fut alle
3365|3366|3367	arpanz de terre|N alez mie cele part se vos ne volez morir|Que ja Diex ne m aïst se encontre s espee puet durer fers ne aciers Lors relacent lor hiaumes li III	arpens de terre|Si vous lo|que vous nales mie cele part se vous ne uoles morir|Que ia diex ne mait se encontre sespee puet durer fers ne achiers|Lors relacent lor healmes li troi compaignon	mas abra muertos	e ll abbraccia|e comincia a T baciare|ch elli crede veramente|che ciò fosse sua femina|csQuando Lancelotto senti quelli	ne demoura pas grã¬ ment
3368|3369|3370|3371|3372|3373|3374|3375	i compaignon|et montent es chevax|et prannent escuz|et lances|et laissent corre a Lancelot devant|que cil de Norgales fuient ainsi comme li lievres devant les chiens|Et Lan¬ celoz ot lance recouvree qu il toli a J|de ceaux	& remontent sor lor cheuaus|& prendent escus|& lances|& laissent corre a lancelot|deuant|qui cil de norgales fuient comme li lieures fait deuant lez chiens|& lancelot ot lance recouree quil ot tolue a vn de ceuls	que biuos|que ante su espada no ay fierro ni azero ni otra arma|que le pueda durar entonçes enlazaron ellos sus yelmos y tomaron sus escudos y sus lanças y dexaronse yr a don lançarote ante quien fuian los de norgales|como quando fuien las liebres deante los galgos y don lançarote tenia vna lança muy fuerte|que tomara avno delos	che nsi l baciava|si salta suso tutto isbigottito|e crede bene|che ciò sia dama o damigella|si 'l piglia alle due braccia|;“e que se n avede tantosto|e crede bene|che ciò sia il liaggiatore di sua femina|si si disviluppa da llui|e l piglia co lle due braccia|e l solprende|si che|'nanzi	que par il lec passoit une helle dame|qui estoit royne de la terre de soiestan|qui marchis soit en la terre de norgalles par deuers sorel¬ lois:|⁊ menoit auec elle plus de xl
3376	qui s anfuioient	qui senfuiscol	que fuian y	che Lancelotto se ne fosse presso guardia	
3377|3378|3379|3380	si s adrece vers l un de cels III|chevaliers|et ce estoit Mordrez|et le fiert	†loient|si sadrece uers mordret|si le fert	quando vio venir contra sy los tres caualleros adereço contra morderet|que fallo primero y firiolo tan fuertemente	l à elli gittato di sotto lui alla terra|||ladro|mal me venisti a fare onta|e mal vo coricaste con esso mia femina in mio padiglione medesimol	cheualiers armes|si portoient
3381|3382|3383	si qu il li met par mi l espaule senestre le fer a tout le fust; il s ampaint bien|et le porte a terre tot anferré|Et li rois Bademaguz	si durement quil li met le fer del glaiue parmi lespaulle senestre|si lenpaint bien|si quil le porte a terre tout enferre|Et li roys baudemagus	que todo el fierro dela lança le metio porla espalda siniestra enguisa|que lo puso dela otra parte y dio conel en tierra y la mitad dela lança finco conel y el Rey bandemagnus	Poscia li dona del pugno nel miluogo de denti|si ch a poco|che no ne li à tratti nella bocca|e l sangue ne salta|si che n à il mento tutto sanguinoso|eQuando Lancelotto	iiii
3384|3385	qui derrier lui estoit li baille I|autre glaive	qui derriere lui estoit li baille i|espiel|& li dist	que yba enpos del le dixo señor tomad esta mi lança y enseñadnos a ferir|como sauedes	si sente|si malmenare|si l piglia per me la gola|e l fa volare per di suso lui	cheualiers ung drap dessus elle sur
3386	et li dist Sire tenez monstrez nos encore conment vos savez lances brisier	Sire tenes|moustres encore comment vous saues lances brisier	ca si dios nos salue muy poco sauemos nos ende	e l fa ferire inn un feristo|che li êl miluogo del padiglione era	
3387|3388	Et il lesse maintenant corre vers Mador de la Porte|et cil li brise son glaive en mi le piz	Et il laisse corre uers mador de la porte|& cil li brise son glaiue en mi le pis	e muy mejor lo sauedes vos quebrar	|ch elli fece	iiii
3389	et Lanceloz	Et lancelot	que non fazer y don lançarote callo	e Lancelotto	fances pour le chault
3390	qui la soue porte bas le fiert	qui le sien porta bas le fiert	que no Respondio cosa conla saña	si rileva|e viene in quelle parti ov'egli ebbe sua spada lasciata	que maf ne luy feĩst
				si la trae del fodero tutta ignuda	
				a luna lucea molto chiaro	
				si che l uomo potea alquanto vedere per me' l padiglione	
				PQuando il cavaliere vide venire Lancelotto la spada tratta	
				si non l osa attendere	
				anzi	
				si torna fuggendo tutto ignudo	
				e si mette inverso la foresta	
				eE Lancelotto il seguita tutto ignudo	
				ch atanto nol vuole mica lasciare	
				:	
				si lo caccia tanto sanza nulla roba	
				che l agiugne	
3391|3392	si qu il li met par mi la cuisse le fer o tout le fust sì porte lui|et le cheval a terre tout en I	si quil li met parmi le cuisse le fer a tout le fust|si porte lui|& le cheual a terre tout en Jesal|i	que tenia y tomo la lança y endereço contra amador de porra y diole tan gran lançada enla Coja dela pierna	si gli dona per me la testa della spada|si ch egli il fende tutto insin qua a' denti|e que cade morto a terra|	Elle regar de le cheual lan
				e si corica	
				e si dorme insino al mattino	
				ma molto	
				si sente brisciato del colpo	
3393|3394	mont|et s em passe outre	mont|puis sen passe outre	que todo el fierro dela lança con gran pieça del asta le puso dela otra parte y dio conel y conel cauallo en tierra y luego metio mano al espada y endereço	che que' li ebbe donato nel miluogo de denti|Allo 'ndomane|si parti di là entro	
				ch eli non seppe passo a quella fiata chi l cavaliere fu	
				ch egli avea morto	
				quando l ugioletti cominciarono a cantare	
				si si leva	
				e vesti	
				e pigliò sue armi	
				e monta in su' cavallo	
				poscia	
3395|3396	et trest l espee|et fiert Galehodin en l escu blanc	& trait lespee|si en fiert Galehodin en lescu blanc	para galeot y fuele ferir porençima del escudo quele derribo todo	|si incontra quattro scudieri|che menavano a destra quatro destrieri tutti bianchi|e avieno catuno bianche coverture	
				Apresso avieno due altri scudieri	
				che porta vano li arnesi dun cavaliere	
3397|3398	si qu il en a abatus I|grant chantel :	si durement quil en abati ius vn grant fe el cantel	quanto alcanço a tierra	asbergo|e elmo|e calze di ferro|e ginochiali	qui pessoit
3399	et l espee descent jus sor le cheval	& lespee descent ius sor le cheual	e desçendio el golpe dela espada de yuso	e cotte d armare di bianco esciamito|e l altro portava uno scudo bianco come neve	
3400	si qu il li coupe le col par devant les espaules	si quil li cope le col par deuant lez espaulles	e corto el cauallo porlas espaldas	eElli saluta lo scudieri|e domanda a cui est quello arnese	
		Si abat le cheualier			
3401|3402|3403|3404	et abat en I|mont chevalier|et cheval|Quant li rois de Norgales	& le cheual tout en|i|mont|Et quant li roys de norgales	ansi que el cauallo y el Cauallero Cayeron en tierra y|quando el Rey de norgales esto viera	|dicon elli|d un cavaliere|che domane vuole essere al torniamento di due re|—E come à nome quel cavalier|?|dice Lancialotto|— Sire|dicono egli	Et pense
				l uomo l apella Galeadino	
				: fu figliuolo di Galeotto il signore de lLontane Isole	
				— usGià cui iuta egli	
				?	
			que estubiera gran pieça mirando las marauillas		
3405|3406	qui ot ja assez resgardé Lancelot|por les merveilles qu il faisoit voit celui cop	qui ia ot moult regarde lancelot pour lez meruelles quil faisoit	que don lanzarote fazia y vio aquel golpe no oso	disse Lancelotto|— Egli aiuta|dison'egli|al re di Norgales	
		voit celui cop			
3407	si ne l ose plus atandre ainz torne en fuie quanque li chevaux pot aler	si ne lose plus atendre : ains torne en fuies quamque li cheuauls le puet porter	mas attender|e començo a fuir	per ciò|che ces aeux est	
3408	Lors conmance la criee trop mervilleuse	Lors commence la criee trop meruelleuse	quanto el cauallo lo podia lleuar entonçes començaron los gritos y las vozes	— E quel torniamento dove sarà	
3409	car tuit cil de Norgales s enfuient	quar tuit cil de norgales senfuioient	que todos los de norgales	?|disse Lancelotto	
3410|3411	et cil de Gorre les anchaucent|et les prannent a lor volenté	& cil de Gorre lez encauchoient|& les prendent a lor volentes	quanto los Cauallos los podian lleuar fuian y los de gorra yban enpos dellos Matando y prendiendo dellos quantos querian y	— Bel sire|disono egli|per una prateria dove voi avete immantenente passato	
3412	Et quant Lanceloz voit qu il sont del tout torné a desconfiture	Et quant lancelot voit quil sont del tout torne a desconfiture	quando don lançarote vio|que todos heran vençidos y	Allora glicosmlanda Lancelotto a Dio|si se ne parte atanto	
