	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
621|622|623|624	por ce que je sui messages vostre dame del Lac. —|Ha, damoisele, fet il, |por Dieu ne vos poist, |certes je ai tant de dolor 	por ce |que ie sui mesage uostre dame del lac. |ha: damoisele fait il |por dieu ne uos poist. |Certes ie ai tantes dolors	que iou sui a ma dame del lac. la vostre dame, Damoisele fet lancelot |or ne vous poist |et ne quidies mie 	que ie suys message de uostre dame du lac. |haa damoisele fait il pour dieu ne uous poise pas. |Certes iay tant de douleurs 	que ie suys a uostre dame du lac. damoiselle fait il ne uous desplaise 	Por quanto yo so mensaxera devuestra señora la donçella del lago |dixo el non vos pese ca no cuidedes 	ch’almeno sono io messaggio di vostra dama di Lacco! —Hal, damigella, per Dio, non vo ne pesil|Certo, i’' ò tanto dolore 
625	que nus for Diex ne me porroit conforter, 	que nus fors dieu ne men porroit reconforter. 	que iou aie iames ioie. 	que nul fors dieu ne men pourroit reconforter; 		que jamas aya yo plazer ni alegria 	che nullo fôrse lddio non mi potrebbe
626|627	ne a ne cuidiés |que jamés aie joie por aventure 	Ne ne cuidiez pas|que ie iamais aie ioe: por auanture 	pour auenture 	ne ne ciudez pas |que iamais iaye ioye pour auanture 	et ne cuidiez pas |que iamaiz iaie ioie pour auanture 	por auentura 	riconfortare, né non credere passo |ch’io giamai abia gioia per aventura |che possa 
628	qui me puist avenir. — En non Dieu, fet ele, 	qui me puit auenir. En non dieu fait ele 	qui me puist auenir. Enon dieu fet elle 	qui me peust aduenir. |Certes fait elle	qui me puisse aduenir. |Eu nen dieu fait elle si aures. 	que me venga |Pordios dixo la donçella 	avenire.—eA nome di |Dio, 
629	si avrois. Escotez 	si aurois. escotes 	Si aures Ore escoutes 	si aurez. escoutez 	Or escoutes 	si aueredes agora sabed 	diss’ella, si |arete. Ascoltate 
630|631	que ma dame vos mande. — |Or dites, fet il. — Ele velt, fet ele, 	que madame uos mande. |Or dites fait il. |Ele wet 	que ma dame vous mande. Elle vous mande 	que madame uous mande. |Or dictes fait il. Elle ueult fait elle 	que ma dame uous mande Elle uous mande 	que mi señora vos ymbia a deçir 	che mia dama vo manda. — |Or dite, |damigella, diss’elli.— Ella vuole, 
632	que vos ostés le cors Galehout de caiens et le fetes porter en litiere en la Dolerose Garde 	que uos ostes le cors Gal̾ de saiens |et len faites porter en litiere. a la dolereuse garde el chastel. 	que vous ostes le cors Galehot de chaiens |et len faites porter a la ioieuse garde. 	que uous ostez le corps galehot de ceans. |et le faictes porter en ce mesmes fiertre 	que uous ostes le corps de gallehault |qui est ceans et le faictes porter dedens le chastel de la douloureuse garde 	que vos tiredes el cuerpo de galeote de aqui |e lo fagades lleuar al castillo dela dolorosa guarda 	diss’ella, |che voi traiate il corpo di Galeotto di qui 
				ou il est ou chastel de la doloreuse garde. 			
633	et iluec soit mis en la tombe meismes 	et illuecques soit mis en terre en la tombe 	et illueques soit mis en la tombe 	et soit mis ilec en la tombe |mesmes	et soit mis en la tombe 	e lo fagades meter en aquella tumba 	e l fate portare, in quello medesimo vasello |ov'egli è, nel castello della Dolorosa Guardia.Nel luogo sia messo nella tomba medesima 
634|635|636|637	ou vos trovastes vostre non escrit; |et ele le velt ensi, |por ce qu’ele set bien |que en cel lieu sera vostre cors enterrez. » 	meismes ou uos trouastes uostre non escrit. |Car ele wet ainsi. |por ce |que ele set bien |que illuec sera uostres cors enterres. 	ou vous trouastes uostre non escrit|Et elle le vseut a ensi pour chou |quele sest bien |que en celui |meisme lieu sera vostres cors enterres. 	ou uous trouuastes uostre nom escript. |et elle le ueult ainsi par|ce |quelle sceit bien qͥ en ce lieu sera uostre corps enterre	ou uous trouuastez son nom en escript |et elle le ueul ainsy pource |quelle scait bien |que en ce mesmes lieu sera uostre corps enterre. 	mesma ado fallastes su cuerpo escripto ca ella lo quiere ansi |Ca el vuestro cuerpo mesmo sera y enterrado conel 	ove vo' trovaste vostro nome |iscritto, |ch’ella il vuole |insi, per ciò |ch’ella sa bene |che n quello luogo sarà vostro corpo sotterrato». 
638|639	Et quant il l’ot, |si en est molt liés 	et quant il ot se si en est mout liez. 	Et quant lancelot entent chou Isi est moult lies. 	Et quant il louy |si en est moult lie 	Et quant il entent ce sy dist 	e quando el esto oyo fue muy alegre 	E quand’e' |l’ode, |sì n’è molto lieto 
640|641|642|643|644|645	et dist |que molt li sont ces noveles plaisans, |kar tot ensi le fera il ; |puis demande |comment sa dame le fet. « |Par foi, fet ele, ele a esté. VIlI. jors deshaitiee trop durement, 	et dit |que mout li sont ses noueles plaisans. |Et tout ainsi le fera il. pius demande|comment sa dame le fait. |Par foi fait ele ele a este .uiii. iorls deshaitie. 	et dist |que moult li sont ches noueles fplaisans |car toutl ensi le fera il. |Puis demande conment|que sa dame le fait. |Par foi fait elle. Madame a estet. viii. iours mallade mout durement. 	et dit|que moult sont les nouuelles plaisans |car tout ainsi le fera il.|puis demande |comment sa dame le fait certes fait elle. elle a este huyt iours trop fort deshaitie. 	que moult luy sent ces nouuelles plaisans |car tout ainsy le fera il/ puys demande |comment sa dane le fait/ |par ma foy elle a este uiii. iours malade durement 	e dixola |que Mucho heran aquellas nuebas plazenteras que asi lo faria |Puesque ella lo ymbiaua a mandar |Por buena fee dixo la donçella vien a ocho dias |Que vuestra señora esta muy triste 	e dice|che molto gli sono queste novelle |piacenti, |ché tutto insì il farà elli. |Poscia domanda come sua dama il fa. |Per fé, |diss’ella, ella à stata otto giorni disatata troppo |duramente, 
646|647	kar ele trova en son sort, |si com ele meismes me dist puis, 	Car ele troua en son sort |si com ele me dit 	Car ellle trouusa en son sort si|comme elle msa puis dit. 	Car elle trouua en son sort sicomme elle mesmes me dist 	car elle trouua en son sort |que si tost 	porque ella vido ensus suertes segund que me ella dixo 	ch’ella trovò in sue sorte,|si come ella medesima mi disse |poscia, 
648|649	que si tost com vos troveriés la tombe Galehout, |que vos vos ocirriés de duel, 	que si tost com uos trouerrez la tombe Gal̾. |que uos uous ocirriez de duel. 	que si tost |que vous trouueries la tombe gallehot |Ique uous uous ochiries de dolel 	que si tost |que uous trouueriez la tombe galehot |que uous uous occiriez de deul 	comment uous trouueries la tombe de gal. |que uous uous occiries de deul 	que asi como fallasedes la tumba de Galeote |que luego vos matariades |sino ouiesedes quien vos esforçase 	che sì tosto come vo' trovereste la tomba di Galeotto vo' voi uccidereste di duolo 
650|651|652	se vos n’estiés destornez. |Por ce m’envoia ele ça a grant besoing, |si vos mande 	se uos nen estiez trestornez |et porce menuoia la a grant besong. |si uos mande 	se uous nen esties destournes. |Et pour cou menuoia elle a grant besoing cha. |si uous mande 	se uous nen estiez destourne. |Et pour ce menuoya elle ca a grant besoing. |Si uous mande 	et pour ce menuoia elle ceste part |et uous prie	e quien vos estoruase |e poresto me ymbio ella aca a gran priesa 	se vo non ne fosse |distornato, |e perciò mi mandò ella qua a gran|bisogno. i vo manda 
653|654|655|656	que vos laissiés le duel ester, |qu’il ne vos puet fere |se nuire non,|et vos prie par la rien 	que uos laissiez le duel ester. |Car il ne uous puet aidier de nuire non. |et uos prie par la rien 	que uous laissies che doel ester |car il ne uous puet faire |se nuire non. |Et uous prie par la riens	que uous lessez ester le deul. |car il ne uous puet|que nuyre. |Et uous pry par la riens ou monde 	que uous lessies ce deul |et que pour la riens 	e vos manda dexar este duelo |e vos Ruega por la cosa del mundo 	che voi lasciate el duolo |stare, |ché non voi può fare se nuocer |non, |e vo priega per la cosa
657|658|659|660	que vos plus amés |que vos al plus bel |que vos porrois vos reconfortés, |et se vos ensi ne le fetes, bien sachiés 	que uos plus amez en se monde|que uos au plus bel |que uus porrois uos reconfortes. |Et se uos ainsi nel fasiez bien sachiez 	que vous plus ames |que au plus bel |que vous poes vous en deportes. |Et se vous ne le faites ensi. bien sachies 	que uous plus amez |que uous uous reconfortez au plus bel |que uous pourriez|Et se uous ne le faictes ainsi sachez bien 	que uous plus ames |que uous uous reconfortes le plus beau |que uous pourres.|et se uous ne le faictes ainsy sachies 	que mas amades |que vos conortedes lo mejor que pudieredes e que si lo no fiçieredes 	che vo' più amate in questo mondo |che voi al più bello|che vo' potete vo vo confortate. |E se voi insì nol|faceste, ben sapiate 
661|662	que al premier besoing |que vos avrois de li, ele vos faudroit. » 	que au premier afaire |que uos ariez |de li ele uos faudroit. 	que a la premiere fois. |que vous aures mestier de li. elle vous faudra. 	quelle uous fauldra au premier affaire |que uous aurez besoing delle. 	que au premier affaire|que uous aures elle uous fauldra. 	que ella vos tirara el ayuda 	che nel primaio affare |che voi arete bisogno di|lei, ella voi fallerebbe». 
663	Et il dist 	et il dit 	Et il dist 	Et il dit 	et il dyt 	que della auedes 	Ede' dice 
664|665	qu’il se confortera,|puis qu’ele le velt. « 	que ore se confortera il |puis que madame le wet. 	quil sen comfortera |puis que elle le veult.	quil se reconfortera |puis quelle le ueult. 	qui se cenfortera puys |quelle ueult. 	asi lo fare dixo lançarote 	che si |conforterà, poscia ch’ella vuole.|v~Or vo 
666|667	Or vos covient, fet ele, vos armes prendre, |kar je voi bien 	OR uos couuient fait ele uos arme prandre. |Car ie sai bien |que cil 	Or vous commant dont |que vous prendes vos armes |Car iou sai bien 	Si uous conuient fait elle uoz armes prendre. |Car ie scay bien 	Or uous cenuient uos armes prendre |car le scay bien tant des cheualiers de ceans 	puesque aella plaze agora vos conuiene dixo la donçella de armar ca yo se bien 	conviene, diss’ella, vostre armi |prendere, |ch’io so bene 
668	qu’il ne le vos en lairont mie en pes porter 	qui le gardent|nel uos la iront pas en pais porter 	que li cheualier ne vous lairont mie le cors emporter. 	quilz ne le uous laisseront pas porter en paix 	quilz ne le uous lesserent point emporter 	que aquellos caualleros no voslo dexaran llebar 	che l’uomo non voi lascerebbe mica in pace portare 
669|670|671	tant com il le porront deffendre.» |Et il dist |qu’il i morroit ançois 	tant comme il le puissent desfandre. |Et il dit |que il i morroit ansois 	tant|comme il le porront desfendre. |Et il dist |quil en morront tuit. aincois 	tant quilz le pourront deffendre. |Et il dit |quilz y mourront auant 	tant quilz le puyssent deffendre. 	en quanto lo pudieren defender |o yo morire dixo lançartoe 	tanto com’elli il potranno difendere».|Ed e' dice |che ne morebbe 
672|673|674	qu’il ne l’ostast de laiens; |si se vet armer |et la damoisele vient tantost as chevaliers 	que il lait laiens. |Si sen ua armer. |et la damoisele uient tandiz as cheualiers 	quil ne lemport de laiens. |si se vait armer demaintenant. |Et|lors sen uient la damoisele as cheualiers 	quil ne louste de leans. |si se uait armer.|Et la damoisele uient tandis es cheualiers 	si sen ua armer tout maintetenant/ et la damoiselle uient aulx cheualiers 	o yo lo tirare donde esta E luego se fue armar |e la donçella se fue alos caualleros 	inanzi che non ve 'l traesse di là |entro, |si si va ad |armare. |E la damigella viene tantosto là entro |e disse a' cavalieri 
675|676	qui gardoient la tombe, |si lor dist: « Seignor, fet ele, volés vos destorner ce	qui le gardoient |et lor dit. Signor fait ele uolez uous destorner ce 	qui gardoient la tombe et lor dist |Segnor vous voles vous desfendre de ce 	qui gardoient la tombe si leur dist. Seigneurs fait elle uoulez uous destourner ce qͥl conuient estre a force. 	qui gardoient la tombe |si leur dist. Seigneurs uoulles uous deffendre ce 	quela tumba guardauan |e dixoles señores queredes vos defender aquello 	che guardavano la tomba:|Signori, |diss’ella, volete vo' distornare ciò 
677|678|679|680	qu’il covient estre a force ?» |et demandent |por quoi ele le dist. « Je le di, fet ele, |por le cors 	que il couient auenir par force |et il li demandent|por coi ele le dit. |gel di fait ele |por cel cors	quil couuient estre a forche. |Et iou le vous di por le cors 	Et ilz demandent |pour quoy elle le dit. |et ie le dy fait elle pour ce corps 	qui cenuient a estre oste a force/ |ie le dys fait elle pour le corps 	Que conuiene a ser afuerça |yo lo digo dixo ella Porel cuerpo que guardades 	che conviene essere a forza?».|Ed e' domandarono perch’ella el diceva. ¿''l |dico, diss’ella, per questo corpo|che vo' 
681	que vos gardez et si savés bien 	que uos Gardes. |et si sauez bien 	que vous gardes. |Car vous saues bien 	que uous gardez. |et uous scauez bien 	que uous gardes|car uous saues bien 	ca sabed que vos sera tomado 	guardate, |si sapete bene 
							che ne sarà 
682|683|684|685|686|687	qu’il en sera ostez. — Non sera, font il, |que nos puissons. — |En non Dieu, fet ele,|si iert, |et bien sachiés, fet ele, |que cil est venus 	que il en sera ostes. no sera font il |que nos puissons. |par foi fait ele si sera. |que ciz est uenus 	quil en sera ostes. |Non sera font cil tant comme nous porrons. Enon dieu fait elle |si sera |quar cil est uenus 	quil en sera oste. |Non sera font ilz pas |que nous puissons. |Certes fait elle |si sera |et bien sachez |que cil est uenu 	qu il sera oste |car celuy est uenu	non sera dixeron ellos |en quanto nos pudieremos |Pardios dixo ella |si sera que aqui es venido 	tratto. — Non sarà, |damigella, dicono elli, |tanto come noi possiamo. |—etA nome di Dio,|diss’ella, |si |fia, |ché ben sapiate |che colui est venuto 
688|689	qui l’en ostera. |Et se vos le contredites, vos en morrois tuit: 	qui lostera |et se uos le contredites uos i morres tuit. 	qui len ostera |Et se vous le contredites vous en morres tout. 	qui len oustera |et se uous le contredictes uous en morez tous. 	qui len ostera/ |et se uous centredistes uous en mourres tous. 	quien voslo tolera e si lo quisieredes contradeçir a todos conuiene morir 	che ne l |trarà, |e se voi gliel |contradite, voi ne morete 
690|691	por ce vos vendroit il miels |que vos le laississiés atant, 	et porte uos uodroit il miex |que uos le laissisiez atant. 	Et por chou vous uenist il miex. |que vous le laississies atant enmener 	par ce uauldroit il mieulx |que uous le laississez auant	Et pour ce uauldroit il mieulx |que uous le lessies uenir 	e poresto querria quelo dexasedes 	tutti; perciò vo varebbe elli meglio |che voi il lasciaste atanto 
692|693|694|695|696	ains que vos vos en façois ocirre. » |Et cil dient |que ja tant|com il soient vif n’en sera portés. « |Et bien sache, font il, li chevaliers 	Ains que uos uous en laisisiez ocirre. |et cil dient |que ia tant comme il soient uif nen sera portes. |et bien saichent font il li cheualiers 	lque uous vous en feissies ocirre. |Et cill dient |que ia tant comme il soient vif : nen sera portes.|Et bien sache font il li cheualiers 	que uous faire occire. |Et ilz dient |que ia tant qͥlz soient uifs nen sera il porte. |Et bien sachez font ilz 	que de uous faire occire. |Et ceulx dient |que tant quilz seront uifz ne le lesront emporter. A ces parolles uint leans lancelot tout arme. 	anteque vos matasen |porende |ya enquanto nos fueremos vibos dixeron los caualleros No sera de aqui llebado e bien sepa el cauallero 	inanzi che vo' voi facciate uccidere». |Ed e'rispondono |che già tanto come sieno vivi non ne sarà |portato, |ee ben |sappiate, dicono elli, il cavaliere 
697	qui venus est por avoir le, 	qui uenus et por lauoir 	qui uenus est pour sauoir	que si le cheualier 		que porel es venido 	ch’è venuto per lui 
698|699|700|701	que s’il estoit encore plus preus |que Lancelos n’est, |si n’en menra il point. —|Or verrons, fet ele, 	que cil estoit encore plus preus |que lanc̃. nest nen manra il point.|Se uerrez uos fait ele 	quel sil estoit plus preu encore |que la lancelot ne soit. |si ne lenmenroit il point |Or uerrois fait elle 	qui est uenu estoit encor plus preu |que nest lancelot|si ne lemmenera il point. |Or uerrons fait elle 	Et	que aunque fuese mejor ome que lançarote |quelo no moueria de aqui vn punto agora vere dixo la donçella como vos auerna Ellos 	avere, se fosse ancor più pro' |che |Lancellotto, no ne menerà elli |punto.— |Or vedrete, 
702|703	comment il vos en avendra. » A ces paroles vint laiens Lancelos tos armés |et quant li chevalier le voient venir, 	coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃. tous armez |Et quant li cheualier le uoient uenir 	comment il vous en lauenra. ces paroles uient laiens lancelot tous armes |Et quant li cheualier le uoient uenir 	comment il uous en prendra A ces paroles uient leans lancelot tout arme. |et|quant les cheualiers le uoyent uenir 	quant les cheualiers le uoyent uenir 	asi fablando llego ay lançarote Armado de todas armas |e los caualleros 	diss’ella, come voi averra». A queste parole entrò là entro Lancellotto tutto |armato, |e quando i cavalieri il vidono|venire, 
704	si li demandent 	si li demandent 	si li denandent 	si luy demandent 	si luy demandent 	que lo vieron preguntaron 	si l domandano 
705|706	qu’il velt fere. « Je vueil, fet il, avoir le cors |qui laiens est. — 	que il wet faire. ie weil fait il auoir le cors |qui saiens est. 	que il ueullt. ie ueul fait il auoir le cors |qui llaiens est. 	quil ueult faire. Ie uueil auoir fait il le corps |qui est leans. 	que il ueult faire ie uueil |auoir fait il le corps |qui leans gist. 	Que que queria fazer yo quiero dixo el el cuerpo 	che vuol |fare. to voglio, diss’elli, avere il corpo |che là entro est |inserrato. — 
707	Par foi, font il, vos ne l’avrois mie por nient. 	Par foi font il uos ne laures pas |por noiant. 	Par foi font il vous ne laures mie 	Certes font ilz uous ne laurez pas 	Par|ma foy font il uous ne laures point 	que alla esta Pordios dixeron ellos |vos no lo aueredes 	Per fé, dicono elli, vo' non l’arete passo per 
708	Nos ¡ morrons ançois tuit 	donc i morrons ansois tuit 	pour noient nous y morrons 	pour neant nous y mourrons 	ains y mourrent tous	que ante seremos aqui todos muertos 	niente: noi ci moremo in prima tutti
709	que vos l’enportois. — A morir, fet il, en estes donc tuit, 	que uous lemportoit. |Au morir fait il estes uos tuit 	aincois que vous lenportes. |Au morir fait il estes vous tout uenu 	auant tous|que uous lemportez Mourir uous en fault 	que uous lemportes. au mourrir estes uous tous uenus 	que vos asi lo lleuar a morir |vos conuiene Dixo lançarote 	che voi ne l portiate! —Al morire ne siete voi |venuti, 
710|711|712|713|714|715|716|717	puis|que a mains ne vos en volés soffrir !» |Si saut dedens les prones |et il li corent sus, |kar arrieres le cuident fere sailir |por poor de morir; |si le fierent par la ou il le pueent ataindre |et il ot el poing l’espee nue ;	puis que au mains |ne uos en uolez souffrir. |Lors saut dedens les pronez. et cil li corrent sus |car arreres le cuident faire flatir |por paour de mort |si le fierent par la |ou il pueent ataindre et il ot el poing lespee nue. 	puis que a mainz nen voles passer. |Cil sont dedens les prones. |et il lor cort sus maintenant. |Et cil a lui |quar arriere le quiderent faire flatir pour paor de morir. |si le fierent la |ou il le porent ataindre. |Et il auoit en la main lespee toute nue.	puis qui a moons ne uous en pouez soufrir. |Si sault dedans les prones |et il luy courent sus. |Car arriere le cuident faire flatir |pour paour de mourir.|si le fierent par la |ou ilz le peuent actaindre. |et il eut ou poing lespee nue 	puis que a moins |ne uous en uoulles passer |Ceulx sont dedens les prosnes et il leur court sus incentinent |et eulx a luy. lancelot tire son espee toute nue 	pues no vos queredes sofrir e luego salieron los Caualleros delos arcos |do estauan con miedo de ser Muertos |e començaronlo a ferir |por do mas mal lo podian fazer 	poscia|che a meno non ne potete sofferireb. i salta di dentro les|prone, |ed e' gli corrono |suso, |ch’a terra il credono frattire per paura di |morire, |si 'l fegono per là |ov’elli il possono |agiugnere.Ed elli ebbe impugnata la spada |ignuda, 
718|719|720	si lor done grans cops et pesans |et fiert le premier |qu’il encontre si durement 	si lor done grant cox et pesans et fiert le premier |quil puet encontre si durement: 	si lor doune grans cops et pesans. |Et fiert |si le premier|quil encontre 	si leur donne grans coups et pesans|Et fiert le premier |quil encontre si fort. 	et frappe sur eulx en telle maniere 	e lançarote metio mano ala espada e firio al primero |que fallo asi duramente 	si lor dona gran colpi e|pesanti, |e fiede el primaio si duramente 
721|722|723	que por le hialme ne por la coife de fer ne remaint |qu’il ne li mete l’espee |jusqu’al test; 	que por hiaume |ne por la coiffe ne remaint |que il ne li meste lespee iuscau test. 	que por coiffe ne pour heaume ne remainst |que il ne li mete lespee iusques au tesstje. 	car pour le heaume ne pour la coiffe de fer ne demeure |quil ni luy mecte lespee iucquau test. 	que le premier 	que porel yelmo ni Porel almofar no finco |quele no metiese la espada porla Cabeça 	che per l’elmo né per la cuffia del ferro non rimane |che non gli metta la spada insin qua alla |testa, 
724|725|726|727	et il le hurte de soi, |Si l’abat a terre. |Et lors saillent molt irieement tuit li autre, |si depiecent son escu et son hialme et son hauberc 	Si le hurte desor et labat a terre. et lors saillent tuit li autre |si li deprirent son haubert et son escu et son hiaume. 	Et il le hurte si labat a terre. |Et li autre as lassalent moult ireement. |et le fierent sor son heaume et sor son hauberc. 	Et il le hurte de soy |si labas a terre. |Et lors lassaillent moult ireement tous les autres. |Si luy depecent son escu et son heaume et son haubert 	quil attaint il le met par terre. |lors le assaillent les aultres moult uigoureusement: 	e dio conel en tierra e los otros lo començaron a ferir muy rreçia mente porel escudo e porel yelmo |e porla loriga 	ed elli il percuote di sé |medesimo, |si-llo abatte a terra. |Allor salgono molto adiratamente tutti gli |altri, |si gli dispezano suo scudo e suo |elmo, e suo asbergo gli falsano in più 
728	et le blecent en pluisors lieus. 	et le blecerent en plusors lieus. 	si quil li derrompent en pluisours lieus. 	et le blecent en plusieurs lieux. 		asi que selo quebrantaron e Ronpieron Por muchos lugares 	luogora, 
729|730|731	Mais il ne li chaut de rien |qu’il li facent, |kar tant est dolens 	Mais il ne len chaut de rien. |Car tant est dolens 	Mais il ne li chaut de chose |quil li fachent. |quar tant est dolans 	mais il ne luy chault de riens |quil luy facent.|car tant est doulent 	mais peu leur prouffite: |car tant est dolent 	mas el no daua cosa |por aquello quele façian tanto estaua de sañudo 	ma e' non gli è a nulla |che gli facciano,|ch’atanto est dolente 
732|733|734	que nus plus; |si lor laisse corre par grant ire |et lor done de l’espee si grans cops 	que nus plus ne puet estre. |Si lor laisse corre par grant ire. |et lordone de lespee si grant cox 	que nus plus. |si lor laisse corre par grant ire lor donne de lespee grans cops 	qui plus ne puet |si leur laisse courre de grant ire. |et leur donne de lespee si grans coups 	que nul plus. |si leur laisse courir par grant ire tant 	e dexo de correr aellos Con gran yra |e dauales dela espada tales Golpes 	che nullo |più. |Si lor lascia corere si gran colpi 
735|736	que tos les fet guenchir avant lui.|Et lors esgarde celui des IllI. 	que toz les fait guenchir auant lui.|Lors esgarde de celui des qͣtre |que miex le faissoit a son essianc. 	si que tous les fait guenchir deuant lui. |lors esgarde |et voit vn dez. iiij.	que tous les fait guenchir auant luy |Lors regarde celuy des quatre	que tous les fait reculer de lui. |Lors regarde lun des quatre 	asi quelos façia de si arredrar e Lançarote Paro mientes en aquel 	che tutti gli fa ischencire davanti lui. |Allora avisa |que' de' quatro 
							che più gli faceva male a suo 
737|738|739	qui plus li faisoit mal et cil estoit molt grans et molt fors; |et Lancelos |qui le vient ataignant li done par mi le hialme si grant cop 	et cil estoit mout grans cheualiers et mout fors. et lanc̾|qui le uient atangnant li done parmi le hiaume si grant cop.	qui plus li fait mal a son essient. |Et il estoit moult grans et moult fors. et lancelos |qui le vient ataignant li donne sor le heaume tel cop 	qui luy faisoit plus de mal a son adius. |et il estoit moult grant et moult fort. |et lancelot lactaint par le heaume si grant coup 	qui plus lui faisoit mal a son auiz |si lui donne sur son heaume tel coup 	que mas mal le façia |que hera muy grande e muy fuerte |e diole asi vn golpe tan grande ençima del yelmo 	aviso, |e quegli era molto grande e molto |forte; e Lancellotto, |che viene 
740|741|742	qu’il en fet le feu saillir, |et l’espee glace |qui de droit ne fu pas ferue. 	que il en fait le fen saillir. et lespee glace |qui droit ne fu pas ferue. 	quil en fait le fu saillir. et lespee glache |qui ne fu mie de droit ferue. 	quil en fait saillir le fer. |et lespee glace |qui de droit ne fu pas ferue 	qu il en fait le feu saillir/ |et lespee glace	que el fuego fiço salir del |e el golpe desçendio al honbro 	agiugnendo, si l fiede si gran colpo |che n diritto non fu passo |fedito, 
743|744|745|746	si descent desus la senestre espaule. |Li cops fu grans et par ire ferus, |et bien i parut |que l’espee cola par mi l’espaule a al chevalier, 	Si li descent desous la senestre espaule. |et li cox fu grans |et par ire feruset bien i parut |que lespee cola parmi lespaule au cheualier. 	si descent sor la droite espaulle au cheualier. |si que li bras kai a tout lespee sor le pauement. |Et cil trebuche a terre |qui se pasme de langoisse 	si luy descend dessoubz la senestre espaule le coup fu grant |et feru par yre. et bien y parut. |car lespee coula parmy lespaule au cheualier |si qui le braz a toute lespaule chey dessus le pauement. |et il trebuche a terre 	si descent sur la destre espaulle du cheualier: 	e Como fue dado de gran fuerça |asi que porla loriga no finco 	si gli discende sopra la sinistra |spalla. ll colpo fu grande e per ira fedito e bene aparve |che-lla spada colò per me' la spalla del |cavaliere, sicché la spalla con tutto il braccio cadde di sopra lo 
							smalto, 
747|748	si que li bras a tote l’espaule chiet desus le pavement. |Et lors sont molt esmaié li autre troi, 	Si que li bras atout lespee chai seur le pauement. |et cil trebuche a terre |et se pasme: de langoisse |que il sent. |Et lors sont mout esmaiet li autre trois. 	quil sent. |Et lors sont moult esmaie li autre troi. 	et se pasme de langoisse |qu il sent. |et lor sont moult esmayez les autres troys. 	si que le bras lui cheut atout lespee sur le pauement. Celui trebucha a terre 	quele no derribase el braço conla espada en tierra |e el cauallero conel gran dolor cayo luego en tierra amorteçido |e los otros desque aquel golpe vieron fueron muy desmayados 	ed e' trabocca a |terra, si spasima . faceva facevano della angoscia |che |sente. |Allora sono molto ismagati tutti gli altri|tre, 
749|750	si font molt malvés samblant d’els deffendre por le grant cop|qu’il ont veu et por l’espee 	Si font mout mauuais sanblant daus desfandre. |por le grant cop|quil ont ueu et por lespee 	et font moult maluais samblant daus desfendre pour le grant cop |quil ont veu. |et pour lespee 	si font moult mauuaiz semblant de deffedre pour le grant coup |quilz ont eu. et pour lespee 	et se pasma de langoisse 	e fiçieron mal senblante dese defender porlos grandes golpes que façia e porla espada 	si si fanno malvagio sembianti di difendere per lo gran colpo|ch’egli ànno veduto e per la spada 
751	que chescuns d’els a ja sentie jusqu’al sanc. 	que chascuns daus a sentie iussqua sanc. et lanceloz 	que cascuns de euls a sentue iusques au sanc. 	que chascun a sentie icquau sanc 	quil sentist. |Lors sont moult esmaiez les autres .iii. 	que auia sentido cadavno enlas carnes 	ch’egli ànno sentita insin qua alle carni. 
752	Et Lancelos lor cort sus 	qui ne recroit pas lor cor sus. 	Et lancelot 	Et lancelot |qui oncquez ne recroit leur court sus 	et lancelot leur court sus 	e lançarote no cato 	E Lancellotto, 
753|754|755|756|757	et en fiert I. el hialme |si qu’il le fet flatir a terre d’ambesdeus les paumes. |Et|quant li autre dui voient ce, |si tornent en fuies vers l’uis a garison; 	et en fiert .i. amont el hiaume |si quil le fait flatir a teree. danbedeus les paumes |et quant li autre dui uoient ce: |si corret᷑ uers luis |et uiennent a garison. 	qui pas ne se recroit en fiert vn amont sor le heaume. |quil le fait flatir a terre dambes. ij. lez paumes. |Et quant li autre doi voient chou. |si tornent en fuies. 	et en fiert lun amont ou heaume |si quil le fait flatir a terre des deux paumes |Et quant les autres deux uoyent ce |si tournent uers luys |pour fouir a garison. 	et en fiert tellement ung ament le heaume |qu il le fait flatir a terres |Et quant les autres deux uoient ce |si tournent uers luys a garant. 	mas aquel que derribo ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra |e desque los otros esto vieron començaron a foir por guaresçer 	ch’unque non si |rimuove, lor corre suso e ne fiede l’uno a monte ne l’elmo sì gran colpo |ch’elli il fa frattire a terra d’amendune le |palme.ME quando gli altri due vidono|ciò, |si tornarono inverso |per fuggire a 
758|759	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras 	et lanc̃ uient atangnant et en fiert a grant uue par entre lescu et le bras 	Et lancelot ataint le daarrain |si le fiert par entre se lescu et le col. 	Et lancelot actaint le derrain |si le fiert entre lescu et le braz si	Et lancelot uient attaignant le derrain par entre lescu et le col 	e lançarote alcanço aquel que yua de tras e firiolo asi duramente entre el onbro y el escudo 	guarigione, |e Lancellotto viene agiugnendo il di |dietro, |si l fiede intra lo scudo e l braccio,
760	si qu’il li trenche le poing 	si quil li tranche le poing. 	Si quil li trenche le bras	quil luy trenche le poing. 	si lui trenche le bras: 	que tenia enbraçado 	sicché gli trinca il pugno 
