micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
car je cuit 	qui auoit grant soif. 	car ie cuide 	et Ie cuit 	quar ge cuit 	quar iou quit 	que fue marauilla 	
que vos ne beustes onques mais de tel. »  Et il prant la coupe et la boit toute plainne 	Et brisanne lui dist. Sire buuez hardiment tout il ne uous peult faire 	que uous nen beustes oncquez de tel.  et il print la coupe et la boyt toute plaine 	que uous ne beustes onques mais de tel.  et il prant la coupe  si la boit tote plainne a ce 	que uous ne beustes onques mes de tel.  Et il prent la coupe 	que vous ne beustes onques mais de tel.  Et il prent la coupe  et le boit toute plaine. 	y demando mas y traxole otra copa la donzella 	
et troeve la poison bonne et douce,  si en demande encore autant  et cele li aporte  et il boit tout outre.	que bien. Le bruuaige si lui sembla de ben goust  par quoy en demenda encore autant  et le beut. 	et treuue la poison bonne et doulce  si en demande encor autant.  et elle luy apporte  et il boyt tout. 	quil auoit soif.  et il la trueue douce et delitable. 	et la boit toute plaine. et trueue la poison bone et douce.  Si en demande encore autant.  et cele li aporte.  Et il boit tout outre. 	et trueue la puison boine et douce  si en demande encore autant  et cele li aporte  et il le boit tout outre. 	y su hermana le dixo señor beued que prouecho vos fara  y es muy bueno  y el lo bebio 	
Lors est envoisiez et plus emparlez 	Adonc fut plus ioyeulx/ 	Lors est enuoise et plus emparle 	Lors est plus enuoisiez et plus enparles 	Lors est enuoisiez et puis emparlez 	Auant lancelot ot beu lez puisons  si fu plus enuoisies et plus emparles 	y fue muy mas alegre 	
qu’il ne selt;  si dist a Brisane 	et en parle que deuant.  Si demanda a brisanne 	quil ne souloit. si dist a brisance 	quil ne suet. s demande a brisanne 	que il ne seult.  Si dist a brisane 	quil ne sieult.  Si demande a brisane 	que deantes hera entonçes pregunto a brisaina 	
conment il porra veoir sa dame la roine.  Ele le resgarde et voit ja  qu’il est touz muez, 	comment il pourra ueoir sa dame la royne.  Et brisanne le regarda  si uit  qu il estoit tout mue/ 	comment il pourra uoir sa dame la royne. elle le regarde  et uoit qu il est ia tout mue 	comment il porroit parler a Sa dame la roinee.  et ele le regarde si uoit  qu il est Si muez 	comment il porroit parler a sa dame la royne.  Et ele le regarde et uoit  quil iert ia muez. 	comment il porra parler a sa dame la royne. et elle le regarde.  et uoit  quil est ia tous mues.  si	ado es mi señora y ella lo cato  y violo fuera desu juiçio 	
car il ne set ou il est  ne conment il vint laienz, 	et ne scauoit  ou il estoit  ne  comment il estoit uenu leans/ 	qu il ne sceit  ou il est.  ne  comment il uint leans 	qu il ne set  comment il uint laiens 	Car il ne set  ou il est. ne  comment il uint laienz. 	quil ne set  ou il est ne  comment il vint laiens. 	que el no sauia 	
ainz cuide vraiement estre en la cité de Kamaalot 	et cuidoit uraiment estre en la cite de kaamalot/ 	ains cuide urayement estre en la cite de kamaalot. 	ne ou il est ains cuide uraiement estre en la cite de kamaalot. 	ainz cuide uraiement estre en la cite de kamaalot. 	Ains quide estre uraiement en la cite de camaalot. 	do hera pero bien Cuidaua  que hera en camalot 	
et li est avis  qu’il parole a une dame 	et lui estoit aduis quil parloit a une dame 	et luy est aduis  quil parle a une dale	et li est auis  quil parot a une dame 	Et li est auis quil parole a une dame 	Si li sanble  quil parolt a vne dame 	y que fablaua con vna dueña 	
qui toz dis faisoit compaingnie a la roine, 	qui tousiours estoit auec la royne/ 	qui faisoit compaignie a la royne des lors 	qui tous iors faisoit compangnie a sa dame la roine. 	qui fesoit ades compaignie a la royne. des le iour 	qui tous iours soloit tenir compaignie a la royne 	que sabia mucho desu façienda y dela Reina  mas que otra ninguna 	
des lors que la dame de Meloaut fu morte. 	puis que la dame de malohault fut morte. 	que la dame de malohant fu morte. 	Puis que la dame de malahaut fu morte. 	que la dame de melloan fu morte. 	puis que la dame de mallehaut fu morte. 	desque muerta la dueña de malagud 	
Et quant ele le voit si afolé  et qu’ele connoist bien  qu’il porra estre legierement deceuz,  si dist: « Sire, ma dame puet ja bien estre endormie. 	Et quant brisanne le uit si affolle elle cengneut bien  quil pouroit estre legierement deceu  si lui dist Sire madame peult bien ia estre endormie: 	Et quant elle le uoit si afole  et quelle cognoist bien  quil pourra estre legierement deceu  si dit Sire madame puet bien estre ia endormye. 	et quant la dame le uoit si afole  qu il porra estre legierement deseus  si li dit.  SIre madame puet la bien estre endormie 	Et quant ele le uoit si afole.  Et ele uoit  quil porra legerement estre de ceuz.  Si li dit. Sire madame puet bien ia estre endormie. 	Et quant elle le voit si afole  et que elle porra bien faire de lui sa volente.  Si li dist. Sire madame la royne puet bien ia estre endormie. 	y ella le dixo  que durmia ya muy bien 	
Que demorez vos tant  que vos n’alez a li ? —  Por ce, fait il,	que demourez uous tant que uous ne allez a elle parler.  Pour ce fait il 	que demourez uous tant  que uous nalez a le.  par ce fait il 	que demores uos tant  que uos nales O li couchier Pource fait il 	que demorez uous tant que uous nalez a li.  por ce fet il. 	que demores vous tant  que vous nales a lui.  Por chou fait il 	Porque vos tardades  que non vos ydes a echar conella  pordios dixo el  eso faria yo 	
qu’ele ne me mande mie,  n’i voil je mie aler :  mais s’ele me mandoit, je i iroie. — Enon Dieu, fait ele, vos en orrez. par tans noveles. » 	que elle ne me demande  mie ne y uueil pas aller.  Mais se elle me mandoit ie yroye/  En nom dieu fist brisanne.  Uous en orrez tantost nouuelles. 	qu elle ne me mande pas ie ny uueil pas aler.  mes selle me mandoit ie y yroie.  Certes dist elle uous en orrez tantost nouuelles . 	quele ne me mande mie  ni ueil ie pas aler.  Mais ce ele me mandoit Ie iroi.  En non dieu fait ele uos en roes par tans nouelles. 	qu ele ne me demande mie ni ueul ge pas aler  Mes sele me mande ge iroie. En non dieu fet ele. uous en orrez par tens noueles. 	que elle ne me mande mie.  ni voel iou pas aler  Mais se elle me mandoit iou y iroie uolentiers. Enon dieu fait elle vous en orres par tans noueles. 	si ella melo mandase otra manera  non Pordios  dixo ella  esto  sabredes vos ayna 	
Lors entre en la chambre et fait samblant 	Lors entra en la chambre 	Lors enta en une chambre 	Lors sen ua brisanne et fait sanblant 	Lors entre en la chambre.  et fet semblant 	Lors entre en vne cambre.  et fait samblant 	que yo selo yre a preguntar y luego ella se fue  y fizo semblante 	
qu’ele ait parlé a la roine, 	et fist semblant de parler a la roine 	et fait semblant de parler a la royne. 	quele ait parli a li. 	quele parole a la royne	que elle ait parle a la royne	que yba a fablar conla Reyna 	
puis vient a Lancelot	Puis reuint a Lancelot 	puis uient a lancelot 	Puis reuient a lanc̃. 	puis reuient a lanc̃. 	puis sen reuint a lancelot 	e luego se torno 	
et li dist: « Sire, ma dame vos atant et vos mande	et lui dist. Sire cheualier ma dame uous attent/  et uous mande de par moy 	et luy dist. sire madame uous actend  et uous mande 	si li dit. Sire madame uos atant  et uos mande 	et li dit. Sire madame uous atent  et uous mande 	et dist Sire madame: vous mande et atent 	y dixole  mi señora la Reyna vos manda 	
que vos ailliez a li parler. »  Et il se fait maintenant deschaucier  et entre en la chambre em braies et en chemise et vient au lit 	que uous ailliez parler a elle  Si fut promptement desabille/  et puis entra en la chambre en chemise/ 	que uous aillez parler a lie.  Et lors il se fist deschausser et entre en la chambre en brayes et en chemise 	que uos ales parler a li.  et il se fait maintenant deschaucier  et entre en la chambre  nus fors en chemisse et en braies 	que uous ailliez a li parler.  Et il se fet maintenant deschaucier  et entre en la chambre.  o brisane embraies 	que vous aillies a lui parler.  Et il si fait.  Lors se descauche  et se despoille  puis entre en la cambre en braies et en chemises  et sen vint au lit 	que vos vaiades luego paraella y el se leuanto luego  y fuese ala Cama  ado estaua la donzella 	
				et en chemise. 			
et se couche avec la damoisele. conme cil 	et se coucha auec la damoiselle  comment cellui	et uient au lit.  et se couche o la damoisele comme cil 	et uient. au lit  et se couche tous nus auec la damoisele comme cil 	Et uient au lit.  et se couche o la damoisele comme cil 	et se couche auec la damoisele comme cil 	y echose enel lecho conella 	
qui cuide 	qui cuidoit 	qui cuide 	qui uraiement cuidoit 	qui cuide 	qui quide 	que bien cuidaua 	
que ce soit la roine.  Et cele 	que ce fust la royne/  Et celle 	que ce soit la royne.  Et celle 	que ce fust la Roine sa dame 	que ce soit la royne.  Et cele 	que ce soit sa dame la royne.  Et cele 	que se echaua conla Reina  y aquella que no deseaua enel munco  tanto como tenerlo en su poder 	
	qui riens ne desiroit/ 						
qui riens ne desirroit fors avoir celui de cui terrienne chevalerie estoit enluminee le reçoit liee et joieuse  et il li faisoit tel joie 	fors  que a auoir cellui de qui terrienne cheualerie estoit enluminee le receut tresfort ioieuse  en lui faisant telle ioye/ 	qui ne desire fors celuy de qui terrienne cheualerie estoit enluminee le recoit lie et ioyeuse.  Et il luy fait telle feste 	Ansi sont ensanble mis li plus biax cheualiers et li muedres 	qui riens ne desirroit.  fors auoir celui de qui terrienne cheualierie. estoit enluminee.  si le recoit lie et ioieuse  et il li fesoit tel ioie. 	qui riens ne desiroit fors dauoir celui de qui terriene cheualerie estoit enluminee. le rechoit lie et ioieuse.  Et il li fait autele ioie 	aquel porquien toda la Caballeria del mundo hera alumbrada  y Resçiuiolo muy alegremente 	
et tel feste com il faisoit a sa dame la roine.  Einsinc sont mis ensemble le millor chevalier et le plus bel  qui or fust et la plus bele pucele et de haut lignage  qui fust alors;  si se desirrent par diverses entancions, 	et semblable acueil comment madame la royne lui faisoit.  Ainsi furent mis ensemble le meilleur cheualier et le plus bel  qui lors fust  et aussy la plus belle pucelle quiͥ fust en ce temps  si se desiroient par diuerses intenciens. 	et tel ioye  comme il faisoit a sa dme la royne  Ainsi furent mis ensemble le plus brau cheualier et le meilleur  qui lors fust. et la plus belle pucelle et du plus hault lignage  qui lors fust.  si acomplirent leurs entencions. 	qui lor fust. et la plus bele damoisele  que len poist trouer  Si sentredesirent par diuerses entancions. 	et tel feste.  comme il fesoit a sa dame la royne.  Einssi sont mis ensemble li meileur cheualier. et le plus bel  qui lors fust. Et la plus bele pucele et del plus hault lingnage  qui fust a celui tens.  si se desirrent par diuers entencions. 	comme il feist a sa dame la rovne  se il la tenist.  ANsi sont mis ensamble li mieldres cheualiers et li plus loiaus  qui qa ce tamps fust. et la plus bele pucele et del plus haut lingnage.  qui fust au tamps de lors. si sentredesirent par diuerses entensions. 	y el fue alegre conella  como solia ser conla Reina  y ansi fueron ayuntados el mejor cauallero  y el mas fermoso del mundo  conla mas hermosa donzella  y de mayor guisa  que enel mundo hauia mas ellos se amaban por desemejadas guisas  ca el amaba ala Reina  pensando que hera ella  y ella amaba ael 	
car ele ne le fait mie tant por la biauté de celui  ne por luxure ne por eschaufement de char come ele fait por le fruit recevoir 	Car la pucelle ne le faisoit mie tant pour la beaulte de lui ne pour luxure ne pour eschauffement de chair/ 	Et elle ne le faisoit partant pour la beaute de luy ne pour luxure ne pour eschaufement  comme elle faisoit  pour receuoir fruit 	Car ele nel fait mie  por la biate de lui ne por luxure ne por eschaufement de char:  comme ele fait por le fruit 	Car ele ne le ferait mie tant pour la biaute de celui.  ne pour la luxure.  ne pour leschauffement  comme. ele fet pour le frius receuoir. 	Car elle ne le fist mie tant pour la biaute de lui ne pour escauffement de char  comme elle fist por le fruit recheuoir 	non tanto  porla codiçia dela Carne  aunque el hera el mas fermoso ome del mundo  como por hauer fruto del 	
						porel qual cuidaba ser tornada la tierra en su estado 	
dont toz li païs doit venir a sa premiere biauté,  qui par le dolereux cop de l’espee as estranges ranges avoit esté desertez et essilliez, 	comment elle faisoit pour le fruict reconceuoir  dent le bien deuoit uenir appertement  qui par le douloureulx cop de lespee aux estranges 	dont le pays doit reuenir a sa premiere beaite  qui par le douloureux coup de lespee aux estranges renges auoit este deserte 	quele doit resoiure  dont li pais doit reuenir en sa bone eurre  qui par le dolereus cop de lespee as estranges ranges auoit este deseurres. et essilez. 	dont tout le pays doit uenir a sa premiere loiaute.  qui par le doulereus cop del lespee as estranges renges auoit este desertee et essilliee.	dont tous li pais deuoits reuenir en sa premiere biaute  qui par le dolerous cope de lespee auoit este desertes et escillies. 	bien  como de primero  que porel doloroso golpe  que el cauallero delas dos espadas fizo fue tornada en pobreza y en lloro 	che atutti conoscere, 
si com il devise apertement en la Queste del Graal.  Et cil la desirroit tout en autre manniere, 	auoit este desherite et exille sicomme le chapitre le deuise clairement au compte du sang graal mais lancelot la desiroit tout en autre maniere 	et essille sicomme le comte deuise apertement en la queste du greal  Et cil la desiroit tout autrement. 	Si comme il deuisse en la queste dou saint gͣal il la desiroit tant en autre 	si comme il deuise apertement en la queste del saint graal.  Et cil le desirroit tout en autre maniere. 	Si comme li contes a deuise apertement en lystoire del saint Graal.  Et cil la desiroit tout en autre maniere. 	ansi como la gran historia del sancto greal lo deuisa Cumplidamente  y mucho lo desamo don lançarote despues 	
car por sa biauté ne la couvoitoit il pas, 	car pour sa beaulte ne la conuoitoit il pas: 	car pour sa beaute ne la couuoitoit il pas. 	maniere.Car por li ne por sa biaute ne la couoitoit il pas 	que pour sa biaute ne la couoitoit il pas. 	quar por sa biaute ne la conuoitoit il pas. 	ca por toda su beldad non la quisiera el  si supiera el quien hera 	
mais il cuida 	mais il cuida 	mais il cuidoit 	ne ne uoloit.  Ains cuidoit uraiement 	mes il cuida 	mais il quidoit 	mas Cuidaua el 	
que ce fust sa dame la roine 	que ce fust sa dame la royne 	que ce fust sa dame la royne. 	que ce est sa dame la roine. 	que ce fust sa dame la royne. 	que ce fust sa dame. 	que hera la Reina ginebra 	
et par ce fu il eschaufez  qu’il la connut ausinc  com Adam fist sa fame,  mes non mie en tel maniere, 	Et par ce fut il eschauffe tellement  quil la cengneut ainsi  comme adam fist sa femme  mais non pas en telle maniere/ 	et par ce fut il eschaufe  qui la cogneut aussi  comme adam fist eue loyaument, 	et por ce quil laquenuit  si comme adans fist sa fame  et ne mie en tel maniere. 	Et par ce fu il eschauffez.  quil la connut  comme	Et pour ce fu il escauffes.  si la connut aussi  comme adam fist sa feme.  Et non mie en tel maniere.	Ca poreso fizo ella  lo que fizo 	
car Adam connut sa famei leaument et par le conmandement Nostre Signor;  et cil connut ceste ? em pechié et en avoutire et contre Deu et encontre Sainte Eglyse,  et neporquant li Sires  en  qui tote pitié abite  et qui ne juge mie selon les faiz as pecheors resgarda ceste assamblee 	car adam cengneut sa femme loyaument: et par le commandement de nostre seigneur  et cestui cengneut ceste pucelle en pechie et en luxure contre dieu/ et contre saincte eglise:  et non pourtant le sire en qui toute pitie abonde/  et 	et cil cogneut estre en auoutiere  et en peche contre dieu et contre sainte eglise.  Et toutefoiz nostre siͬ. en qui toute pitie habonde tousiours selon les faiz des pecheurs regarde ceste assemblee 	Car il la quenut laiaument par leo̶ mandement nr̃e signor. et il conut ceste en pichie et en auoture et contre dieu et sainte eglisse.  Et non por quant li sires a cui toute pites abite  et qui ne iuge mie tous iours celonc les mesfais as picheors. regarda ceste assanblee selonc le preu dou pais. 	adam fist sa fame tot aussi loiaument.et par le commandement nostre seignor. Et cil connut a estre empechie.  et en auoltire. et contre dieu. et encontre sainte eglyse.  Et ne pour quant. li sires en qui toute pitie habonde toziorz.  et qui selonc le fet des pecheors. regarda ceste asemblee. 	quar adam connut sa femme loiaument. et par le commandement nostre seignor. Et il connut ceste en pechie et en auoltire.  Et pour ce que li sires  en  qui toute pities habite  et  qui ne iuge mie tout dis selonc les mesfais as pecheors regarda cele assamblee selonc le preu a ceuls del pais 	Porel señor enquien toda piedad cabe  y que non juzga todos pecadores  toda via  segund sus mereçimientos quiso  que este ayuntamiento fuese  por pro de todos los dela tierra 	
selonc le preu a ceus del païs com cil  qui ne voloit mie 	qui ne iuge mie a la riguer selon le forfait des pecheurs/ ne uoulut mie 	pour le preu a ceulx du pays  comme cil  qui ne uouloit pas 	commens  qui ne uoloit mie 	selonc le preu a ceus del pays.  comme cil.  qui ne uoloit mie 	comme cil  qui ne voloit mie	que toda via fuesen en probeza y en dolor  y quiso 	
qu’il fussent touz dis en essil:  si lor donna tel fruit engendrer et concevoir 	quilz fussent tousiours en exil leur denna tel fruict engendrer et cencepuoir 	quilz fussent tousiours en exil.  si leur donna engendrer et conceuoir tel fruit. 	quil fusssent tous iors en pais en essil et en pourete lor dona tel fruit engendrer et conceuoir 	quil fussent touziors en essil.  Si lor dona tel fruit engendrer et conceuoir. 	quil fussent tous iors en escil.  si lor donna tel fruit a engendrer et a conceuoir. 	que aquella dueña Conçibiese tal fruto 	
que por la flor de virginité 	que pour la fleur de uirginite 	car pour la fleur de uirginite 	que por la flour de uirginite 	que pour la flor de uirginite 	que pour la flor de uirginite. 	porque la flor dela donzella 	
qui iluec ! fust corrumpue  et violee fu recouvree une autre flor  de cui bien et de cui tandror » mainte terre fu replenie et rasouagie;  qu’ausinc com l’Estoire del saint Graal nos fait antandant,  de ceste flor perdue fu restorez Galaad, li virges, li tres bons chevaliers, 	qui illec fut corumpue/  et uiolee fut conceue une autre fleur de la doulceur de laquelle maintes terres furent peues et rassasiees. Car si comme lystoire du saint graal nous racente de ceste fleur pardue fut procree galaad le uierge le tressouuerain cellui 	qui ilec fu corrumpue et uiolee. fu recouuree une fleur de la doulceur de  laquelle mainte terre fu remplie et assouagee  Car aussi comme listoire du saint greal nous fait entendre. De ceste fleur perdue fu restore galaad le uirge le tresbon cheualier cil	qui illuec fu corrompue: fu recouures Galaad li tres bons chrs 	qui il leur fu corrompue et uiolee. fu recouree une flor.  de  qui bien et de qui douceur mainte terre fu replanie et assouagiee.  quar einssi comme lestoire del saint graal. nous fet entendant de ceste flor perdue. fu restorez Galaad. li uierges li tres bons cheualiers. 	qui illuec fu corrompue. fu restoree vne autre fleur.  dont grans biens vint al pais.  Car de la douchour  qui de la flour issi fu toute la terre raemplie ensi  comme lestoire del saint Graal le nous a deuise  et fait entendant.  Oue de ceste fleur perdue fu restores Galaad li uirgenes li bons cheualiers. 	que se perdia fuese porella Cobrada otra flor  Porque aquella tierra y otras muchas que entonçes heran en amargura  y en gran lloro fuesen tornadas en alegria y en gran plazer  y ansi como la historia del sancto greal noslo testimonia  que porla perdida de aquella flor fue cobrado don galas 	
cil  qui les aventures del saint Graal mist a fin  et s’asist el perilleus siege de la Table Reonde	qui les auentures du saint graal mist a fin  et se assist au perilleux siege de la table ren de 	qui mist a fin les auantures du saint greal mist a fin et sasseist ou perilleux siege de la table ronde 	qui les hautes auantures del saint Graal mist a fin et sacist el perilleus lieu de la table ronde. 	Cil qui les auenture del saint graal mist as fin.  Et sassist el perilleus lieu de la table reonde 	cil  qui lez auentures del saint Graal mist a fin.  Et sassist el siege perilleus de la table roonde	El muy noble cauallero  aquel que se asento enla silla Peligrosa dela sancta tabla de josep abarymatia 	
ou onques chevaliers ne s’estoit assis  qui ne fust morz.  Et tout ainsi com li nons de Galaad avoit esté perduz en Lancelot par eschaufement de luxure,  tout ansi fu recouvrez en cestui par atenance de char : 	ou oncques chenalier ne se assist droictement qu il ne fust mort  Et tout ainsi  comment le nen de galaad  auoit este perdu en lancelot par eschaufement de luxure tout ensement fut recouuert en cestui par abstinence de chair. 	ou oncquez cheualier ne sestoit assis  qui ne fust mort.  Et tout ainsi  comme le nom galaad  auoit este perdu en lancelot par eschaufement de luxure. tout ainsi fu recouuree en cestuy par abstinence de char 	Ou onques cheualiers ne sacist quiͥl nen fust mors:  et tout ausi com li nons Galaad auoit este perdus en lanc̃. par eschaufement de luxure ;  ensi fu il recourez par abstinance de char en lui. 	ou onques cheualiers. ne sestoit assis.  qui ne fust morz.  Et tout ausi li nons de galaad auoit este perduz en lanc̃. par eschauffement de luxure. tout aussi fu en cestui recouurez par absstenance de char. 	ou onques cheualiers ne sassist  quil ni fust mors ou mahaignies  Et tout aussi comme li nons de Galaad  auoit estes perdus en lancelot par escauffement de luxure.  tout aussi fu il recoures par cestui par abstinence de char 	enla qual no se asento Caballero  que muerto o tullido no fuese donde no escapase  y poreste don galas hubieron çima todas las hauenturas del sancto greal  e ansi como el nombre de galas fue perdido en don lanzarote  porel pecado de su padre  asi fue Cobrado eneste  porla muy sancta uida desu madre 	
car il fu virges en volenté et en oevre jusqu’a la mort,  si com l’estoire le devise.  Einsine fu recouvree flor pour flor, 	Car il fut uierge en uoulente et en euures iusques a la mort  si comme lystoire le deuise/  ainsi fut recouuree fleur pour fleur/ 	Car il fu uierge en uoulente et en euure  iucqua la mort  come listoire le deuise.  Ainsi fu recouuree fleur pour fleur. 	Car il fu uirges e ̃uolente et en oeures iusqu a la mort.  ENsi fu recoure. .C.  Si com lestoire le deuisse. flor por flor. 	Car il fu uierges en uolente. et en oeure iusqua la mort.  si comme lestoire le deuise.  Einssi fu recouree flor pour flor. 	Car il fu uirgenes en volente et en oeure iusques a la mort ensi  comme lestoire le deuise.  Et enssi fu recouree fleur pour fleur 	y della el fue siempre virgen ansi en corazon como en obra segund su historia lo deuisa  y ansi fue cobrada flor por flor 	
car en sa nessance fu flor de pucelage estainte et maumise: cil 	car se en sa naissance fut fleur de pucellage estaincte/ 	Car en sa naissance fut estainte fleur de pucelage  et malmise a cil 	Car en sa naissance fu flors De pucele corrompue et mal mise. Il 	Car en sa naissance. fu flor de pucelaige estainte. et maumise. 	quar en sa nascence fu fleurs de puselage estainte.  Et cils 	ca ensu conçibimiento fue la flor dela donzella perdida 	
qui puis fu flor et mireor de chevalerie, il fu restorez par le conmun assamblement;  et se virginitez fu empirie en ce 	et mal mise de puis fut de par lui fleur de cheualerie restauree/ par leur commun assemblement et se uirginite fut empiree 	qui plus fut fleur de cheualerie. Il fu restore par le commun assemblement et sa uirginite fu empiree en ce 	qui puis fu flours et mirois de cherrie fu restores par le suen assanblement.  et sa uirginites fu enpirie et uiolee en ce 	qui puis fu flor de cheualerie. il fu restorez par le commun assemblement.  Et se uierginitez fu empoiriee en ce 	qui puis fu flors et mireors de toute cheualerie fu restores par le commun assamblement.  Et se vir ginites fu corrompue par ce 	mas porella fue cobrada otra flor que fue flor dela caualleria  e si alli fue flor perdida 	
qu’il fu conceuz, bien en fu li mesfaiz amandez en sa vie par sa virginité 	bien en fut le mesfait amende en sa uie par sa uirginite 	qu il fut conceu.  bien fu le meffait amande en sa uie par sa uirginite 	quil fu conceus.  BIen en fu amendes li mesfais en sa uie 	qui fu conceuz bien en fu li mesfez amendez en sa uie.  par sa uierginitez. 	quil fu conceus.  Bien en fu li mesfais amendes en sa vie par sa virginite 	mucho bien fue cobrado  ca el fue tal entoda su vida 	
qu’il randi sainne  et antiere a son Sauveor, 	car il rendit son ame saine/  et entiere a son sauueur 	quil rendy saine et entiere a son sauueur 	par si urginite.  Car il mena uie sainte et honeste.  et rendi same au sauueour del monde 	qu il rendi saine et entiere a son sauueor 	quil rendi saine et entiere a son salueour. 	que porlos bienes  que el fizo ensu vida fue ende el pecado perdonado 	
quant il trespassa del siecle,  et par les granz biens 	quant il trespassa de ce siecle/  et par les biens 	quant il trepassa de ce siecle.  et par les grans biens 	quant il trespassa de cet siecle par les grans biens 	quant il trespassa de cest siecle.  Et par les granz biens 	quant il trespassa de cest siecle  et por lez grans biens	Como don lançarote quiso matar ala fija del Rey peles 	
qu’il fist en sa vie, 	quil fist en sa uie fut le pechie du cenceuement estaint	quil fist en sa uie sont aucques estains les pechez.	quil auoit fais en sa uie por les pichicz de son conceuement souffri uie amere.  Si en furent auques li pichie estaint. 	quil fist en sa uie. sont auques estaint li pechie. 	quil fist en sa vie fu li pechies pardones et estains de son conceuement. 	porque lo hauia engañado 	
Si se taist ores li contes de lui 	si se taist ores ataut le compte de lui 	Mais cy  si taist ores le comte 	Si se tait ore atant li conces de lui. 	Si se test ore li contes de lui 	Si se taist ore li contes a parler de ce.	y el la perdono  Agora dize el quento 	
et retorne a Lancelot  qui toute la nuit jut o la damoisele ;  se li toli le non 	et retourne a Lancelot  qui geut toute la nuyt auec la damoiselle/  si lui tollit le nen 	a parler de luy et retourne a lancelot  qui toute. nuyt ieut o la damoisele  qui luy tollu le nom 	Si retorne a lanc̃. qui Iut tote nuit auec la pucele.  Si li toli le non	et retorne a lanc̃.  qui toute la nuit iut o la damoisele  Si li toli le non 	et retorne a parler de lancelot  qui iut toute la nuit auec la damoisele a si li toli le non 	que don lançarote yugo toda aquella noche con aquella(noche con aquella) donzella  y fizole perder vn tal nombre 	
a cui ele ne pot puis vraiement recouvrer,  car se l’an la poïst au soir apeler pucele,  cil nons li fu i changiez en damoisele a l’andemain. 	a quoy elle ne peult oncques puis retourner  car se len lappeloit au soir pucelle  cellui nom lui fut changie landemain en damoisele. 	a quoy elle ne peut plus recouurer.  Car si len lapelloit au soir pucelle son nom luy fu le landemain change en damoisele lancelot du lac regarda entour luy 	quele ne pot puis recourer.  Car lan la pooit au soir nomer pucede.  Ciz nons li fu mues au landemain en damoisele. 	a quoi ele ne pot puis recouurer.  Car len la pooit au soir apeler pucele. si li fu ses nons changiez a la damoisele. lendemans. 	ou elle ne pout plus uraiement recourer.  Quar len la pooit nomer au soir pucelle. cil nons li fu muez a lendemain en damoisele sanz doute. 	qual nunca despues lo cobro  enquanto se echo hera donzella  y enla mañana fallose dueña y alli le fue cambiado el nombre de donzella en nombre de dueña 	
		et ne uit point de clarte. 					
Quant » li jorz aparut,  si s’esveilla Lanceloz  et resgarda entor lui,  mes il ne vit point de clarté,  car toutes les fenestres estoient si estoupees 	Quant le iour fut uenu/  si sesueilla lancelot  et incontinent regarda entour luy amis point ne uit de clarte/  Car toutes les fenestres de la chambre estoient si fort estouppees 	Quant le iour apparu  si se leua lancelot du lac. et regarda entour luy  mais il ne uit point de clarte  car toutes les fenestres estoient si estoupees 	quant li Iors aparut grans si sesuilla lanc̃.  Mais il ne uit poins de clarte. Il regarda tout entor soi.  Mais les fenestres de la chambre estoient si estopees 	Quant li iors apparut.  si se leua lanc̃.  et regarda entour lui.  Mes il ni uit point de clarte.  Car toutes les fenestres estoient si estopees. 	OR dist li contes  que quant lancelot se fu esueillies au matin  que li y iors apparut  si regarda tout entor lui.  mais il ne vit point de clarte  quar toutes lez fenestres estoient si estoupees 	y otro dia demañana  quando don lançarote desperto cato alRededor desi  y no pudo ver ny punto porque todas las finiestras heran çerradas 	
que li soulauz n’i pooit entrer poi ne grant. 	que le souleil ny pouoit entrer. 	quil ny pouoit entier ne pou ne gͣnt de souleil. 	que li solax ni pooit entrer pou ne grant.	quil ni pooit soleil entrer ne poi ne grant. 	que li solaus  ni pooit entrer poi ne grant 	y fue marauillado ado hera  ca el hera ya en su seso 	
Lors se merveille  ou il est et taste tout entor lui 	Lors se. merueilloit la  ou il pouoit estre 	Lors se merueille  ou il est et taste tout entour luy 	et Lors sesmerueille il mout  ou il est.  Si taste tout entor lui 	Lors se merueille ou il est.  et taste tout entour lui. 	Et lors sesmerueille  ou il est et taste tout entour lui. 	y atento çerca desi conla mano 	
et troeve la damoisele; 	Et en tastant entour lui trouua la damoiselle/ 	et trouua la damoisele 	si trueue la damoisele 	et trueue la damoisele. 	si trueue la damoisele. 	y fallo la dueña 	
se li demande  qui ce est, 	si lui demanda  qui elle estoit/ 	si luy demanda  qui cest.	si demande  qui set. 	Si li demande  qui ce est. 	si demande qui chou est. 	y dixole amiga quien sodes vos señor 	
et il estoit ja revenuz en son mimoire,  car la force de la poison estoit faillie, 	or estoit il reuenu en son memoire/  Car la force des poisons estoit saillie 	et il estoit ia reuenu en son memoire.  car la force de sa poison estoit faillie. 	et il estoit reuenus en son memoire.  Car la force des puisons estoit faillie. 	Et il estoit isi reuenuz en son memoire.  Car la force de la poison estoit failliee des lors 	Et il estoit ia reuenus en son memoire.  Car la force de la puison estoit faillie dez 	dixo ella 	
