0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	Insi fu Lancelotto tre giorni là entro si adolorato 	0
712	qu’il s’en estoit tornez en tel manniere»	che se n’era andato in tal maniera |ch’elli non sarebbe mica trovato, 	753|754
713	qu’il ne set 	si è si dolente 	755
714	qu’il doie dire ne faire, 	che non sa che fare |né che dire: 	756|757
715|716	et dist |que voirement est il li plus maleurez hom 	”ché veramente est elli il più maraguroso cavaliere 	758
717	qui onques fust, 	che unque fosse, 	759
718	quant il avoit ore o soi le meillor chevalier dou monde 	quand’egli avea con esso seco ora il miglior cavaliere del mondo 	760
719|720	qui il deust faire joie |et feste 	e che li dovesse far gioia e festa, 	761
721|722	et ore l’a perdu par sa mauvestié. |Et Galehodin	or l’à perduto per sua malvagità. Galigandyn, 	762
723	que Lanceloz ot abatu fu remontez 	che Lancelotto ebbe abattuto, fu rimontato 	763
724	si com il pot 	si come puote 	764
725	et vient au roi Baudemagu 	e viene al re Bando da Maguzo 	765
726	et se fait connoistre a lui; 	e si fa a-lluiconoscere. 	766
727	et quant il le connoist, 	eE quand’egli il conobbe, 	767
728	si li fait molt grant joie 	si gli fece molto grande gioia 	768
729	et li dist: « Sire, je sui venuz a vos, 	e elli disse: «Sire, i' sono venuto a voi, 	769
730	que vos me diez 	che voi mi diciate 	770
731	qui li chevaliers est 	chi l cavaliere est 	771
732	qui si bien l'a hui fait par deça. — Biaux douz sire, fet Baudemaguz, 	che si be-ll’à oggi fatto per diverso voi. |— Bel dolce sire, diss’elli il re Bando di Maguzo, 	772|773
733	por quoi le me demandez vos ? — Sire, fait il, 	perché l domandate voi? |— Sire, diss’elli, 	774|775
734	por ce que je sui jones hom 	per ciò ch’i' sono giovane huomo, 	776
735	et sai encore poi des ames: 	si so ancora poco d’arme, 	777
736|737	si avroie mestier d’acointier moi d’.l. |si prodome	si arei mestieri d’acontarme a un si produomo 	778
738	com il est, 	com’egli è, 	779
739	por ce qu’il m’en apreist 	per ciò che me ne nsegnasse, 	780
740	et por ce que j’en amanderoie de lui et de sa compaingnie. — 	per ciò ch’io amenderei di lui e di sua compagnia.	781
741	Certes, sire, 	—Certo, sire, disse il re Bando di Maguzo, 	782
742	s’il vos quenoissoit, il vos avroit molt chier, 	s’elli vo conoscesse, elli voi arebbe molto caro, 	783
743|744	car il ama molt mon signor vostre oncle? |et vostre oncle? le rama molt, 	ch’elli amò molto monsignore vostro padre e vostro padre il riamò molto, 	784
745	que onques hom n’ama plus autre. 	e tanto come nullo huomo può più amare altro. 	785
746	Si vos di por voir 	sSi vo dico per vero 	786
747	que ce est mes sires Lanceloz del Lac. — Lanceloz ? fait il. 	che ceiò sel monsignor Lancelotto di Lac. |—Lancelotto?, disse quelli. 	787|788
748	Ne cuidoie je mie vraiement 	I'credea veracemente 	789
749	qu’il fust morz? 	ch’elli fosse morto, 	790
750	Mais puis qu’il est vis, je creant a Dieu 	ma poscia ch’egli è vivo, |e giuro a dDio 	791|792
751	que jamais ne finerai de chevauchier, 	che giamai non finirò di cavalcare, 	793
752|753	se morz ou pris|ou malades ne sui, 	se morto o preso o malato non sono, 	794
754	tant que je l’avrai trové. 	tanto ch’io l’avrò trovato. 	795
755	Et quant je le verrai, 	E quand’i' l’avrò, 	796
756	si li prierai por l’amor de mon oncle 	si 'l pregherò |che per l’amore di mi' padre Galeotto, 	797|798
757	qu’il tant ama 	ch’elli tanto amò, 	799
758	qu’il me retiengne avec lui 	ch’elli mi ritegna con esso lui 	800
759	et me lest aler par les estranges terres cerchier les estranges aventures o lui. 	e mi lasci andare per le strane terre |e cercare le strane aventure con esso lui. 	801|802
760	Et se il ce ne velt, totes voies m’aidera il mielz a conseillier 	eEs’elli ciò non vuol fare. |tuttavia m’aiuterà elli meglio a consigliare 	803|804
761	que uns autres ne feroit. » 	che nullo altro non farebbe». 	805
762	Atant s’em part del roi Baudemagu 	Atanto si parte Galogandyn dal re Bando di Maguzo 	806
763	et s’en vaît ainsi armez 	e se ne va insi armato 	807
764|765	com il estoit |qu’il nel fait savoir a cestui ne a cest autre, 	com’egli era, ch’elli nol fece assapere a questo né a questo altro, 	808
766	ne n’anmainne avec lui escuier ne garçon; 	né non mena con esso lui scudieri né garzoni. 	809
767	si se fiert en la forest aprés Lancelot 	Si si fiede nella foresta apresso Lancelotto 	810
768	et chevauche toute jor ajornee 	e cavalca tutto giorno a giornata 	811
769	qu’il n’ancontre home ne fame 	ch’egli none incontra huomo né femina 	812
770	qui noveles li die de ce 	che novelle ne-lle dica di ciò 	813
771	qu’il quiert.	ch’elli chiede.	814
