micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
qui ses filz estoit,  et ele estoit granz a merveilles 	qui son filz estoit/  et estoit grande a merueilles de son aage comme celle 	qui trop biax estoit.  et estoit ses  fiz.et estoit grant a merueilles 	qui sez fils estoit.  Et elle estoit trop grant a merueille de son age 	qui son filz estoit.  et il iert grans a merueilles de son aaige.  comme cele 	qui estoit son filz 	que tenia vna dueña en braços 	che suo figliuolo era.  eEgli era grande a maraviglia di suo agio,  come colui 
et n’avoit mie plus de XV. anz. Et quant li rois la volt occirre,  si sailli avant. I. chevaliers qui lonc tans l’avoit servi  et li demanda la damoisele  et li rois li donna  et? tot le païs  et li laissa gent a puepler la terre.  EtI li jovenciaux crut  si que,  quant il ot XIlll. anz,  qu’il fu greindres  que hom de cest païs. 	qui ne auoit que quinze ans/  et quant il leut prinse  et il la uoulut occire  si saillit ung sien cheualier  qui lauoit tousiours serui  et lui demanda la damoiselle en guerredon de son seruice  et le roy lui denna  et tout ce pays/  puis fut la  tant  quil leut espousee  et luy laissa grant gent a peupler ce pays  si fut la  tant quil leut et en fist ces nopces  et la dame nourrist son filz le petit geyandel  tant quil uint en laage de quinze ans plus grant  sans comparaison que cheualier  qui fust en ce pays en aage parfait domme/	et nauoit pas plus de .ii. ans.  et quant li rois li uot ocirre  si sailli auant .I. cheualiers  qui lontans lauoit serui  et li demerada la damoisele  et li rois li dona et tout le pais.  et laissa gent a puepler la terre. La dame morut.  et li Iaians crut. Si que quant il ot .xiiii. ans il fu graindes  que hons de cest pais. 	et si nauoit mie plus de. XV . ans.  Et quant li roys le uolt ocirre. si sailli auant vns cheualiers  qui lonc tans lauoit serui.  Et li demanda la damoisele.  et li roys li donna  et tout le pais  et y laissa de sa gent a puepler la terre.  Et li iouenenciaus  qui fils estoit a la damoisele crut tous iours.  si que quant il ot. Xiiij. ans il fu graindres  que nuls homs de cest pais. 	qui nauoit encore que .xu. anz.  Et quant il lot prise et il la uolt ocire si sailli auant .i. cheualier.  qui lauoit serui.  et li demanda la damoisele en gerredon de son seruise.  et li rois li dona.  et tout cest pays aueuc.  et fu la tant quil lot espousee.  et li lessa grant gent apueplier cest pays. et la dame norri son filz le petit iaiantel.  si comme chascuue mere norrist le sien.  et il crut et embarni  tant quil fu en laage de .xu. auz graindres que cheualier de cest pays. 	et nauoit pas plus de xu. ans. Et quant le roy la ueult occire  si sailly  auant ung escuier qui long temps lauoit seruy  et luy demanda la damoisele.  et le roy luy donna tout le pays  et luy laissa la gent a paupler la terre La dame mourut  et le iuuenceau creut  si que quant il eut xiiii ans  si fu plus grant que homme de ce pays 	e mandaualo matar e demandoselo vn cauallero en enmienda del seruiçio  que le hauia fecho  y el Rey porle fazer merçed diole ala madre y al fijo con toda su tierra y el cauallero caso conella  e quando el niño ouo quatro años fue maior  que ningund Cauallero de toda la tierra  e quando llego alos ocho años fizolo el padrastro Cauallero porsu mal ca lo mato devna cuchillada quele dio  y la muger con Rauia del marido 	che non avea ancora  che X. anni.  sE quand’e l’ebbe presa  e elli la volea uccidere,  si sali davanti un cavaliere  che l’avea molto lungamente servito elli domandò la damigella in guiderdone di suo servigio:  ee l re liel donò  e tutto questo paese,  e ffu là tanto  come l’ebbe sposata,  e li lasciò gran gente a popolare questo paese.  Erlla dama notricò suo figliuolo si come ciascuna madre notrica il suo. ll  E elli crebbe  ed enbarni  tanto che fu ne l’agio de Xv. anni,  ed era più grande di tutti i cavalieri di questo paese. 
Quant vient a XV. anz,  si le fist ses parrastres chevalier 	et quant il eut dishuyt ans  si le fist son pere cheualier cest assauoir cellui cheualier 	quant il fu a .xu. ans  si le fist ses peres cheualier. 	Quant li enfes ot. XV. ans  si le fist sez parastres cheualier 	Et quant. il ot .xuiii. anz  si le fist parrastres cheualiers. 	et quant il uint a xu. ans  si le fist son pairastre cheualier. 	que vio ansi muerto trauo de su fijo 	E quand’egli ebbe. xviiï. anni,  si l fece su' patrigno cavaliere, 
et cil fu de tel force 	qui auoit espousee sa mere il lapelloit son pere/  mais il estoit son parastre 	et cil fu de tel force 	Et il fu de tel force 	et il iert de tel force. 	et il fu de telle force 	y el fijo con saña 	e elli era di tal forza 
qu’il ne trouvoit chevalier armé? si pesant  qu’il ne troussast sor son col si legierement 	et estoit le geant de telle forme  quil ne trouuoit cheualier si puissant  quil ne trousast sut son col ainsi 	quil ne trouast cheualier arme si poissant  qu il ne trossat sor son col ausi legierement 	quil ne trouoit cheualier arme  quil ne trossast sour son col aussi legierement 	quil ne trouast cheualier. si poissant  quil ne troussast en son col. aussi comme .i. enfant.  Et tant que ses parrastres s̶e̶s̶  se correca .i. iour a lui. 	quil meust trousse a son coul aussi legierement 	que hubo della saco el espada 	che non trovasse già cavaliere si possente  che nol torsasse sopra su' collo altresi come un fanciullo. 
com l’an feist I. petit anfant. I. jor se correça ses parrastres a lui et le feri,  et cil l’ocist.  Quant la mere vit ce, 	comment ung enfant.  Si aduint  que son parastre se courrouca ung iour a lui ne scay par quelle achoison incontinent  si le frapa le geant/  et quant la mere uit ce 	comme uns hons feist .i. petit enfant.  Un Ior ce corresa ses parrastres a lui  et le feri  et il locit.  quant sa mere le uit 	comme il feist vn enfant.  j.  iour se coroucha sez parastres a lui  si le feri  et cil locist maintenant  Et quant la mere vit chou 	ne sai par quel achaison.  et cil le feri  et ocist maintenant.  Et quant la mere uit ce 	comme feroit ung homme ung petit enfant. ung iour 	e Cortole la Caueza 	eEssuo patrigno si crucciò un giorno a llui, non ssoj io per quale cagione,  e quelli il fedi e l’uccise immantenente.  E quando la madre vide ciò, 
si courut sus a son fil  et il trest s’espee, 	quil auoit fait si courut sus a son enfant/  et le geant estoit alors fort courouce tira son espee 	si corut sus a son fil  et il trait sespee 	si corut sus a son fil et il traist lespee 	si corut sus a son filz.  et cil  qui estoit desuez et plainz de rage. trest maintenant lespee 	si corrouca son parrastre 	e fincole ael toda la tierra 	si corse suso a suo figliuolo  e que',  ch’era scaldato e pien di rabbia, trasse immantanente la spada 
si occist sa mere  et li remest la terre en tel manniere. 	si occist promptemeut sa mere  comment enrage  quil estoit hors du sens.  Si luy demoura la terre en telle maniere/	et ocit sa mere. 	si ocists sa mere. 	et ocist sa mere. si li remest la terre en tel maniere.  et quant cil de cest pays sorent 	et il uint et loccist si luy demoura la terre en telle maniere 	e quando los dela tierra oyeron esto ouieron miedo 	e uccise sua  madre.E quando quelli di questo paese seppono  ch’egli avea ciò fatto, 
Quant cil de cest païs virent ce,	et quant ceulx de ce pays sceurent  quil auoit ce fait: 	quant cis de cest pais uirent ce	Et quant cil de cest pais virent chou 	quil ot ce fet .  Si orent paor 	Quant ceulx de ce pays uirent ce 	quelos matase 	si ebbono gran paura  che no- lli uccidesse, 
				quil nes ocesist. 			
si firent homage a lui  por estre plus aseur; 	si eurent grant paour de lui  quil ne les occist  si lui firent hommaige pour ce  quilz uoulloient estre de lui asseurez. 	si li firrent homage  por estre plus asseur. 	si li firent homage  pour estre plus asseur. 	si li firent homages  pour estre asseur 	si luy firent hommage  pour estre asseur. 	e fizieronle omenaje de toda la tierra 	si gli rifeciono omaggio  per essere assicuri. 
et quant il fu au desus d’els,  si les mist a servage 	et quant il fut au dessus deulx  et quilz furent soubz son obeissance:  si leurs fut si fel et si cruel  quil les mist tous en seruaige	Et quant il fu au desus deus  si les mist tous a seruage. 	Et quant il fu au dessus deuls  si les mist tous en seruage	et quant il fu au desus dels.  si lor fu si fel et si criels quil les mist en seruage. 	Et quant il fu au dessus deulx  si les mist a seruage 	e desque se vio muy señor de todas las fortalezas 	E quand’e fu al di susso di loro,  si lor fu si folle e si crudele  che l mise in servaggio, 
et prenoit les damoiseles a force; 	si en print les franches dames/ et les damoiselles a force. et	et prenoit les damoiseles a force. 	et prendroit lez damoiseles a force. 	et prenoit les franches dames et les damoiseles.  et gisoit o eles a force. 	et prenoit les damoiseles a force. 	fueles muy brauo 	e prendea le franche dame elle damigelle  e giacea con esso loro a 
et quant aucuns em parloit,  si les occioit. Grant piece mena tel vie par ceste terre 	quant aucun en parloit  si loccisoit. Grant piece mena le geant telle dou leur par ceste terre 	et quant aucuns en parloit  si locioit sans contredit GRant piece mena ceste uie par ceste terre. 	Et quant aucuns en parloit  Si les ocioit  et metoit a mort. Grant piece demena tel vie en cest pais. 	et quant aucuns en parloit si locioit. Grant piece mena li iaianz tel douleur par ceste terre.	et quant ilz en parloient il les occioit. Grant piece mena telle uie par ceste terre 	e muy esquibo e desonrrauales las fijas e las mugeres 	fforza.E quando alcuno ne parlava,  si l’uccidea. Gran peza menò il giogante tale dolore per questa terra, 
et s’an fussent la gent alé en estrange païs,  se ne fust une aventure 	que les gens dillec sen fussent tous fouyz en estranges terres  se ce ne fust une auenture 	et en fussent ale en estranges  pais ce ne fust une auenture 	et sen fuissent la gent ale en vn estrange pais Se ne fust vne auenture 	si sen fussent tuit foi en estranges terres.  se ne fust une auenture 	et sen feussent les gens fouiz  se ne fust une auanture 	e duroles este dolor gran tiempo fastaque les auino vna auentura 	si si fossono tutti fuggiti in istrane terre,  se non fosse una aventura 
qui lor avint or a un an: 	qui leur aduint ny a mie ung an/  et uous diray 	qui lor auint bien a .I. an. 	qui y auint ore a vn an.	qui li auint or a .i. an. 	qui leur aduint il a ung an. 	y dire vos qual ansi fue 	che gli avenne  or à un anno, 
si vos dirai quele. Il chevauchoit un jor par mi une forest 	quelle elle fut. Le geyant cheuauchoit ung iour parmi une forest  qui est prez dicy	si uos dirai quele. Il cheuauchoit parmi une forest ci pres. 	Si vous dirai  quele. Il cheuauchoit vn iour parmi ceste forest. 	Et si uous dirai quele. il cheuauchoit .i. iour par une forest 	si uous diray  quelle. Il cheuanchoit ung iour pres de cy par une fourest 	que andaua vn dia por vna floresta 	si vo dirò quale.  eEgli cavalcava un giorno per una foresta 
ci pres tant qu’il encontra I. dame, la plus bele  que je onques veisse,  et avec li chevauchoit I. chevalier qui espousee l’avoit; 	tant quil encontra une damoiselle la plus belle et plus saige  qui oncques feust ueue saulue la beaulte a la royne genieure/  et cheuauchoit en sa compaignie ung cheualier et deux escuiers.  Et quant le geant la uid  si la couuoita moult pour la grant beaulte  quil uid en elle/  et la uoulut prendre.  Et quant celui  qui lauoit espousee uid cella 	tant quil encontra une mout bele damoisele la plus bele que ie onques ueisse.  et auec li cheuauchoit uns cheualiers  qui esposee lauoit. 	tant que il encontra une bele dame  et auec lui cheualchoit vns cheualiers qui espousee lauoit 	qui ci pres est tant quil encontra par auent᷑e une damoisele la plus bele  que ie onques ueisse.  sauue la biaute la royne geniere.  et auec lui. cheuauchoit. i. cheualier  qui espousee lauoit. et .ii. escuiiers.  Et quant li iaianz la uit. 	tant quil encontra la plus belle dame  que ie ueisse oncquez  et auec luy cheuauchoit ung cheualier  qui lauoit espousee 	e encontro vna dueña muy fermosa  y traia consigo vn cauallero e vn escudero y el jaian 	che qui presso est tanto  ch’egli incontrò per aventura una damigella, la più bella  ch’io unque vedessi, salva la biltà della reina Ginevra.  VE con esso lei cavalcava un cavaliere  che sposata l’avea e due scudieri.  eE quando il giogante la vide,  si lo smosse molto per la gran biltà  che vide in lei:  si-lla prese per lo freno, 
si se merla au jaiant 	si saillit  pour la deffendre. 	Si ce mella au Iaient. 	si se mella au iaiant. 	si la couoita molt. por la grant biaute  quil uit en li. 	qui se mesla au grant. 	quando la vio pagose della 	ch’ella converebbe venire con esso lui.  E quando colui 
				Si la prist par le frain. 			
et li jaianz l’ot tantost occis, 	Et se mesla auec le geant tout desarme/ 	et il locit tantost. 	Et li iaians lot tantost ocis. 	et li dist  quil len couenoit uenir 	et le geant leut tantost occis. 	y trauo della  y el cauallero quisola defender 	che sposata l’avea vide ciò,  si s’avanti per lei difendere 
							e-ssi combatté al gigante tutto disarmato: 
							ma e' l’uccise e'due scudieri. 
puis prist la dame  et l’anmena a I. chastel 	mais prestement leust le geant occis/  et les deux escuiers aussi.  Et quant il eut cella fait/  si print la dame	puis prist la dame  et lamena au chastel 	puis prist la dame  et lenmena en. i. castel 	et quant cil quespousee lauoit uit ce. si sailli auant pour le desfendre.  et se mesla au iaiant touz desarmez. Mes il lot tantost ocis.  Nes .ii. escuiiers aussi.  Et quant il ot ce fet 	puis print la dame  et lemmena en ung chastel 	y el le mato muy ayna y al escudero 	E quand’egli ebbe ciò fatto,  si prese la dama e ne la porta in suo castello là suso  che-ll’uomo chiama il castello del Poggio. Ella fece discendere  e molto l’onorò  e congioi, 
				si prent la dame 			
que l'an apele le Chastel del Tertre; 	et len porta en son chastel du tertre.  Et la honnoura moult	com apelle le chastel de la terre. 	que len apela le castel del tertre. 	et lemporta en cel chastel lasus. que len apele le chastel del tertre. 	que len apelle le chastel du tertre 	e tomola e lleuola al castillo del otero  que esta aca desuso 	e la richiese d’amore  come colui 
si la fist descendre et moult l’annora et la requist d’amors. 	en lui faisant grant chiere.  Si la requist damours 	Si la fist dessendre  et mout lonora. 	si le fist descendre  et lonnora moult. 	et la fist descendre.  et molt lonora et conioi. 	si la fist descendre  et moult lonnoura 	y fizola quanta onrra y plazer pudo  y Rogole quele fiziese amor 	che tanto l’amava  come cuore d’uomo puote mai amare femina. 
					et la requist damours 		
				et la requist damours comme cil 			
				qui tant lamoit comme cuer domme porroit mielz auer fame. 			
			Tant quil le requist damors. 				
		et li requist damors.					
Et ele dist 	comment celui  qui lamoit autant 	et ele dit 	et elle dist 	Et ele li dist	et elle dist 	y dixole 	eE ella li disse 
	comment cueur de homme pourroit plus amer femme. 						
qu’ele ne l’ameroit ja	Et elle lui deist  que ia ne lameroit/ 	que ia ne lemmeroit tant 	que elle ne lameroit ia tant 	quele ne lameroit ia tant  comme il fust si crieux. 	quelle ne lameroit ia tant 	yo vos no amare 	ch’ella non l’amerebbe già tanto come fosse si crudele,  ch’i' ò, diss’ella, udito dire a molti huomini di questo paese 
tant com il fust si cruex 	tant comment il feust si cruel/ Car iay fist elle 	comme il fust si crueus. 	comme il fust si crueus. 	Car iai fet ele oi dire a maintes gens de cest pays.  que uous ne faites fors homes occirre. et honir puceles. 	comme il fust si cruel. 	fastaque me otorguedes vn don qual yo vos demandare 	che vol non faceste forse  che huomini uccidere e unire pulcelles. 
	ouy dire a maint homme de ce pays						
	que uous ne feistes oncques fors 						
et il dist 	que hommes occire/ et deshonnourer pucelles. Et tant quil dist quel que chose 	et il dit 	Et il dist 	Et il dist  que	et il luy dist 	y el selo otorgo 	Ed e' le disse 
que qu’il avoit fait ça i arrieres, il l’amanderoit de ci en avant; 	quil eust fait en arriere/ il se amenderoit doresenauant/  et feroit ce 	que  quil auoit fait deuant sa mauuaities si lamenderoit il dor en auant. 	que quil en eust fait cha en arriere. il samenderoit dore en auant.	quil eust fet cha en arriere. il samenderoit dore en auant . et feroit ce 	quil amanderoit uoulentiers ce  qu il auoit fait deuant. 	e lo juro sobrelos sanctos Euangelios 	che ciò  ch’egli avesse fatto qua in adietro elli amenderebbe da ora in avanti 
				quele uoldroit. 			
	quelle uouldroit. 						
et ele li demanda 	Et elle lui demanda 	et ele li demanda 	Et elle li demanda 	Et ele li demanda 	Et elle luy demande 	agora vos demando 	e farebbe ciò ch’ella volesse. Ella li domandò 
conment ele l’an creroit. « Je vos jurerai, fait il, sor sainz 	comment elle le croiroit. Ie le uous iure fist il sur les saincts.  Se uous me uoullez fist elle promettre 	comment ele len croiroit. Ie le uos iurrai fait il sor sains.  Se uos me uoles fait ele fiencier 	comment elle le creroit.  Iou le vous iurerai fait il sour sains . 	comment ele len croiroit.  Ge le uous iurerai 	comment elle len croyeroit Ie le uous iureray fait il sur sains 	dixo ella 	come ne lli crederebbe:  «l''l vo giurerò, diss’elli, sopra i santi. 
				fet il seur sainz. 			
			Si uous me uolez fiancer 				
que jamais a home ne à fame de cest païs ne mesferai. —  Ne de cest chastel n’istroiz,  se n’est por vostre honte vengier. — Je ferai ce  que vos voldroiz. » 	que iamais a homme ne a femme uous ne mesferez/  ne de ce chastel ne ystrez/  se ce nest pour uostre honte uengier/ Ie feray dist elle ce  que uous uouldrez.  Et elle lui disoit ainsi 	que uos ia mais a home na fame de cest pais  ne de cest chastel ni terois  ce  se nest por uanger uostre honte. Ie ferai ce  que uos uores 	que iamais a femme ne a homme de cest pais ne mesferez ne de cest chastel fait elle nisteres  se ce nest pour uostre honte uengier. Et lors adont ferai iou ce  que vous voldres 	Se uous me uolez fiancier fist ele.  que iames a home ne a fame ne mesferez  ne de cest chastel nistrez  se pour uostre honte uenger nest. Ie ferai ce  que uous uoudroiz.  Et ele li disoit einssi por la paor  quele auoit de morir 	que iamais a homme na femme de ce pays  ne mefferay ne nistray de ce chastel si non pour uenger uostre honte  et ie feray ce  que uous uoudrez	que non fagades tuerto a ome ni a muger  e que deste castillo non salgades  si no por vengar vuestra desonrra 	— e vol mi volete, diss’ella, giurare che giamai a uomo né a femina no misfarete,  né di questo castello non uscirete  se cciò non è per vostra onta vendicare, i' farò ciò  che vo'  vorete».E ella li dicea insi per la paura ch’ella avea di morire,  e elli ne l’asicura 
					si uous le me fiancez. 		
	pour la paour						
Et il li fiance,  si remest el chastel par tel manniere 	que elle auoit de mourir  et il lui pormist  puis iura tenir tout ce  que elle auoit demande.  si demoura au chastel en telle maniere 	et cil li fiensa.  Si remest es chastel en cel maniere conques 	et il li fiancha erranment  et li iura sour sains.  ENsi remest li iaians el chastel. par tel maniere 	Et il li fianca.  et iura sor sainz ce  quele auoit deuise.  Si remest el chastel en tel maniere 	et il luy fiance.  Si demoura ou chastel en telle maniere 	y el ansi selo otorgo 	e li giurò sopra i sancti ciò  ch’ella li avea divisato:  si rimase nel castello in tal maniera 
que onques puis n’en issi.  Quant il i ot esté bien demi an, 	que oncqnes puis ne sen yssit  et quant longuemet y eut este il lui ennuya fort pour ce 	puis nen issi.  quant il i ot este bien demi an 	que onques puis nen Lissi  Et quant il ot este ensi demi an 	que onques puis nen issi.  Et quant il y ot este demi .an. 	que oncquez puis nen issy  Quant il y eut bien este demy an 	y luego otro dia se enojo de estar alli 	che unque poscia non usci.  E quand’e v’ebe stato un mezo anno, 
se li anuia moult: 	quil ne pouoit plus faire les maulx et detractions  quil auoit a coustume 	si li anuia mout. 	si li anuia moult. 	si li anuia molt 	si luy ennuya moult. 	y pesole mucho delo que jurara 	si lli invidia molto per ciò  che non se n’uscia nulle volte: 
				quil ne sen issoit nule foiz.			
si quiert art et angin  comment il eust achoison d’issir fors 	si quist art et engin  comment il pourroit trouuer achaison de yssir dehors du chastel. 	et quist art et engien  comment il en essist hors. 	si quist art et engien  comment il eust ocoison dissir hors. 	Si quist art et enging  comment il porroit issir hors 	si quist art et enging de ystre hoes. 	e luego penso como podria ende salir 	si chiese arte e ingegno  com’elli potrebbe trovare cagione d’uscire fuori, 
et fist pendre cel escu a cel arbre  que vos veistes 	Si fist pendre cel escu en cel arbre/ 	et fist pandre son escu a larbre  que uos ueistes 	si fist pendre cel escu  que vous ueistes a cel arbre 	et fist pendre cel escu a cel arbre  que uous ueistes. 	Lors fist prendre cel escu  et pendre a larbre  que uous ueistes 	entonçes fizo colgar su escudo devn arbol  e fizo meter su yelmo y su espada enla tienda  ansi como vistes porque si algund Cauallero derribase su escudo 	e fece apiccare quello scudo a quello abbero 
et fist aporter son hiaume  et s’espee en cel pavillon	et fist mettre son heaulme et son espee au pauillon 	et fist aporter sespee et son hiaume en sonr pauillon. 	et fist aporter son heaume et sespee en cel pauellon 	et aporter son hialme et sespee es paueillons 	et fist aporter son heaume et sespee en ces paueillons 	y tomase su yelmo e su espada dela tienda 	che vo vedeste e apportare suo elmo e sua spada nel padiglione 
que vos veistes  et pansa  que  se li escuz estoit abatuz par chevalier, il s’em porroit bien issir 	ou uous entrastes  si se pensa  que se il estoit abatu par nul cheualier il pourroit bien yssir de leans pour bataillier a lui 	et pansa  que ce li escus estoit abaust par cheualier. il sen porroit bien issie  sans pariurer soi;  Ou se aucuns enportoit sespee  ou son hiaume ensi ceroit il deliures 	que vous ueistes  et pensa  que se li escus estoit abatus par nul cheualier.  quil sen porroit adont bien issir 	que uous entrastes.  et penca  que se li escuz estoit abatuz par cheualiers. il porroit bien issir de laienz. et sanz pariurer soi. 	que uous ueistes  et pensa  que si lescu estoit abatu par cheualier  qu il sen pourroit bien issir 	ansi como vistes  que podria el entonçes salir de alli sin perjurarse 	ove voi intraste.  E si pensò  che, se lo scudo fosse abattuto per cavaliere,  e elli potrebbe bene uscire fuori di là entro sanza ispergiurarse:
							e s’alcuno ne portasse la spada o l’elmo, 
				Et se aucuns emportoit lespee ou le hialme			
sanz parjurer soi. 	et aussi pareillement 	et ne len porroit nus rester. 	sans lui pariurer 	et einssi seroit il deliures. 	sans soy pariurer.	porque abria de vengar su desonrra 	o elli abatesse lo scudo,  insi sarebbe elli diliverato. 
Quant cil de cest païs virent ce 	se aucun emportoit le heaulme ou lespee/  lors scauroit il bien 	quant cil de cest pais uirent ce 	Quant cil del pais uirent 	Et quant cil de cest pays sorent	Quant ceulx de ce pays uirent ce 	y quando los dela tierra supieron aqueste engaño metieron aquellas donzellas 	sE quando quegli di questo paese seppono
qu’il avoit fait, 	quil seroit deliure/  et quant ceulx du pays sceurent la besongne 	que il auoit fait 	quil auoit ce fait. 	qil auoit ce fet. 		que vistes 	ch’elli ebe ciò fatto, 
si i mistrent XII. damoiseles qui desfandoient as chevaliers erranz 	si y midrent . xii. damoiselles/ pour deffendre aux cheualiers errans 	Si firrent mestre .xii. damoiseles es pauillons  qui desfandoient as cheualiers errans 	si y misent. xij. damoiseles  qui desfendoient as cheualiers erans 	si i mist .xii. damoiseles  pour desfendre as cheualiers erranz 	si y mistrent .xii. damoiseles qui defendoient aux cheualiers errans 	porque Rogasen alos caualleros 	si misono. xii. damigelle  per difendere a' cavalieri erranti 
qu’il n’i touchassent  et ce estoient celes	quilz ny atouchassent  et cestoient celles a	qui ni chochas  et cestoient celes	quil ne touchaissent a ces choses.  Et chestoient celes 	quil ni touchassent.  Et ce estoient celes 	qu ilz ny touchassent.  et cestoient celles	que por ay pasasen 	che nol tocassono,  e'cciò era coloro a 
a cui vos veistes faire le duel. 	qui uous ueistes faire le grant dueil 	que uos oistes faire le duel. 	que vous ueistes faire le duel. 	que uous ueistes fere le grant duel. 	a qui uous ueistes faire le deul. 	que non pusiesen las manos ni tirasen de alli donde estauan aquellas armas del jaian 	cui vo vedesti fare ll gran duolo. 
Or sera li jaianz delivrez, si tost com il verra ceste novelle  et istra fors,  ne ja puis a ne trovera home  qu’il n’ocie: 	Mais en est ainsi aduenu que par uostre moyen Le geyant sera deliure par lescu  que uous auez abatu  si tost comment il en orra la nouuelle  et ystra de prison  si courra parmi ce pays  comme fouldre et tempeste/ ne ia puis ne encontrera homme  quil ne occise: 	Or sera li Iaias deliures si tost comme il orra ceste nouelle  et istra hors  ne ia puis ne trouera home  quil nocie. 	Or sera li iaians deliures.  ne ne trouera homme  quil nochie. 	mes or est einssi auenu.  que li iaianz sera deliures. par lescu  que uous auez abatu.  si tost comme il en orra la nouele.  Si istra hors de prison  et corra par cest pays comme foudre  Ne ia puis nenconterra home  quil nocie. ainz fermeront des or mes 	Ores sera le iayant deliure si tost qu il orra ceste nouuelle ne nistra homme  hors  quil noccie. 	ca luego saldria el jaian muy bien armado  y matara a quantos omes e mugeres fallare  e poresto fazian las donzellas aquel duelo çierto dixo don yban mucho me pesa  y el ome bueno le cato el escudo  e conoçio  que hera el del jaian  e dixole 	eMa ora est si avenuto  che 'l giogante sarà diliverato per lo scudo  che vo' avete insi abattuto:  si tosto come n’udirà le novelle, uscirà fuori di prigione  e correrà come folgore per questo paese,  né già poscia none inconterrà huomo  che non uccida. 
si fermeront or li chevalier lor chastiaux i  et seront si quoi 	si fermeront ceulx de ce pays leurs chasteaulx desormais et leurs maisons/  si seront si coys que ia ne se remueront  ne ia si bien garder 	Si fermeront li cheualier des or  mais lor chastiax.  et ceront  si qoi 	si fremeront ore li cheualier lor chastiaus  et se tenront si coi 	cil de cest pays lor chastiaus  et lor mesons.  et seront si quoi. 	si fermeront ores les cheualiers leurs chasteaux.  et seront si quoys	señor si vos de aqui a adelante pasades coneste esCudo yo vos digo 	Anzi tremeranno oggimai quelli di questo paese  e fermeranno lor castelli e lor magioni,  e saranno si cheti 
que ja ne se remueront. Or avez oi  por quor les damoiseles plouroient 	ne se sauront  quilz ne sorent honnis et mis a destruction par ce mauldit homme.  Or aues ouy  pour quoy les damoiselles font tel dueil. et que lescu signifie 	que ia puis ne ce remueront. Or aues oi  por quoi les damoiseles ploroient. 	que ia ne se remoueront.  ore aues oy porcoi ches damoiseles pleurent. 	que ia ne se remueront.  ne ia si ne si sauront garder.  quil ne soient honni et mis a destruiction.  OR auez oi pour quoi les damoiseles font duel. 	qu ilz ne se remueront.  Or auez ouy  pour quoy les damoiseles en plouroient 	que seredes muerto 	che già non si moveranno,  né già se non si sapranno guardare  che non sieno vinti e messi a distruzione.  Or avete udito  perché le damigelle facevano il duolo 
et quelz maux en vendra a cest païs. »  Et mes sire Yvain dist que de cels del païs li poise il, 	et quelz maulx il en uendra a ceulx de ce pays  Et a uous mesmes  se il uous peult attaindre  qui son escu auez abatu/  et messire yuain lui respondit  que de ceulx du pays lui poise moult 	et quex max en uanra en cest pais.  et messires .y. dit 	et quel mal il en auendra en cest pais.  Et mesire ywain li dist  que de ceuls del pais li poise. 	et que li escuz senefie.  et quiex max en auendra a cels de cest pays.  et a uous meismes  se cil uous puet ataindre 	et quel mal en uiendra en ce pays.  Et messire yuain dit  que de ceulx de ce pays luy poise il. 	Porel señor dixo don yban 	e che lo scudo significa,  e qual male n’averà a que di questo paese e a voi medesimo,  se quelli voi puote agiugnere  a cui lo scudo  cu voi avete abattuto esto.  E monsignor Yvano li risponde  che di quelli del paese li pesa elli molto, 
qu’il ne l’ont pas deservi  que maux  lor an deust venir. 	car ilz ne lui auoient riens mesfait. Mais que sil pouoit par quelque moyen il les en garderoit bien a laide de dieu: 	que de ciax del pass li poise il ql nont pas deserui  qex max lor en deust uenir. 	quar il ni ont pas deserui  que maus leur en deust auenir  ne tant ne quant. 	qui escu uous auez abatu.  Et misire .y. respont  que de cels del pays li poise.  quar il ni ont riens forfet.  Et sil puet il les en destornera. 	car ilz nont pas desseruy  que mal leur en uiegne. 	non dixo  lo que sera 	ché non ànno nulla forfatto,  e s’elli unque puote, elli ne lli trarrà. 
Cele nuit fu mes sire Yvain assez a aise. Au matin,  quant il ot oïe messe,  si prist ses armes 	si coucha leans celle nuyt assez aise  et landemain  quant il eut ouy messe  si print ses armes/ 	Cele nuit fu laiens si a aise. Au matin  quant il ot pris ses armes. 	Cele nuit fu mesire ywain asses a aise. et au matin oi messe  puis prist sez armes 	si iut laienz cele nuit assez a aise. Lendemain quant il ot oi messe.  si prist ses armes. 	Celle nuyt fu messire yuain assez aise  et au matin  quant il eut ouy messe si print ses armes. 	mas el escudo non canbiare 	eSi giacque là entro quella notte assai ad agio. A lo ndomane,  quando elli ebbe udito messa,  si prese sue armi, 
et quant il est montez, li prodom resgarde  et voit l’escu au jaiant: e 	et qnant il fut arme il prent lescu  quil auoit despendu  et le preudomme le regarde  si congneut bien 	et il ot messe oie  si est montes.  et li preudons regarde 	Et quant il fu montes li preudomz le regarda  et uoit lescu au iaiant 	et quant il fu armez.  si prent lescu  et li preudom le regarde.  et connoist	et quant il fu monte le preudomme uit lescu au iayant 	Como el Cauallero que vençio don yban lo ymbio conel mensaje al jaian 	e quand’e fu armato,  si prende lo scudo.  E l produomo il riguarda  e conosce 
