	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
608|609	Et il ne li dit mot, |ains se lance outre 	Parles a moi fait ele |et il ne dit mot |ains se lance outre. 	Et il ne respont nul mot. |ains se lance outre 	et il ne luy dit mot. |ains se lance oultre 	Parles a moy fait elle |et il ne luy respent mot |ains se lance oultre si	e el no le rrespondio palabra 	—Parlate a me!, disse ella», |ed e non le fa motto, |anzi |si lancia oltre 
610	si qu’il li eschape des mains. 	si quil li eschape del mains.	si quil li escape des mains 	si quil luy eschape des mains.	que il luy eschappe des mains 	antese escapo dela mano |e se fue 	si che-lle ismuccia delle mani.
611|612|613|614	Et quant ele l’en vit aler, |si li crie: « Je vos deffent, |fet ele, par la rien |que vos plus amez en cest monde 	Et quant ele len uoit aler |si li escrie. Ie uous desfan fait ele par la riens |que uos plus amez en monde; 	Et quant elle len voit ainsi aler. |Si dist. Sire iou vous desfent par la riens |que vous plus ames en chest siecle.	Et quant elle len uoit aller |si luy crie. Ie uous deffens fait elle par la riens ou monde |que uous plus amez on monde 	et quant elle le uoit ainsy aller si dist. Sire ie uous deffens de par la riens |que plus aimes 	e quando la donçella esto vido dixole |señor yo vos defiendo porla cosa del mundo 	Equand’ella ne l vide andare, |si-llo grida: |«d’ vo difendo, diss’ella, |per la cosa |che vo' più amate nel mondo, 
615|616	que vos n’ailliés avant tant |que vos aiés parlé a moi. » 	que uos nales auant iusqu atant que uos aiez parle a moi. 	que vous nales auant deuant que vous aies parle a moi. 	que uous naillez plus auant |iucquez a ce que ayez parle a moy. 	que uous ne alles en auant premier |que aies parle a moy/ 	que mas amades |que no vaiades mas adelante |fastaque fabledes conmigo 	che vo non andiate più avanti |infino a tanto che vo' non avete parlato a meb.
617|618	Et il s’areste, |si la regarde 	Lors sareste |si la regarde 	Et il sareste |et le regarde 	Et il se arreste |si la regarde. 	et il sarreste |si la regarde. 	e lançarote se detubo luego 	Ed e' s’aresta, |si-lla risguarda, 
619|620	et quant il la conut, |si li dist	et quant il la quenoit |si li dit	et le connoist |et li a dit 	Et quant il la congnoist |si luy dist 	Et il la congnoit il dist 	e la cato tanto |que la conoçio e dixole 	e quand’e' la conosce, |si dice
621	que bien soit ele venue. « En non Dieu, fet ele, vos me deuissiés fere plus bele chiere 	que bien soit ele uenue. |En non dienu fait ele uos me deussiez Sire mout plus bele chiere 	que bien soit elle venue |En Non dieu sire fait elle vous me deussies faire plus bele chiere. 	que bien soit elle uenue De celle mesmes matiere susdicte En nom dieu fait elle uous me deussez faire plus belle chiere 	que bien soit elle uenue. |Eu nen dieu fait elle uous me deussies faire plus belle chere 	donçella vien seades venida Pardios |dixo ella 	che bene sia ella venuta. |A nome di Dio, diss'ella, vo mi dovreste fare più bella cera 
622|623|624|625|626|627|628|629	que vos ne me fetes, |al mains |por ce que je sui messages vostre dame del Lac. —|Ha, damoisele, fet il, |por Dieu ne vos poist, |certes je ai tant de dolor |que nus for Diex ne me porroit conforter, ne a ne cuidiés |que jamés aie joie por aventure 	que uos ne faites au mains|por ce |que ie sui mesage uostre dame del lac. |ha: damoisele fait il |por dieu ne uos poist. |Certes ie ai tantes dolors|que nus fors dieu ne men porroit reconforter. |Ne ne cuidiez pas|que ie iamais aie ioe: por auanture 	que vous ne faites. Au mains |pour ce |que iou sui a ma dame del lac. la vostre dame, Damoisele fet lancelot |or ne vous poist |et ne|quidies mie |que iou aie iames ioie. pour auenture 	que uous ne faictes au moins pour ce |que ie suys message de uostre dame du lac. |haa damoisele fait il pour dieu ne uous poise pas. |Certes iay tant de douleurs |que nul fors dieu ne men pourroit reconforter; |ne ne ciudez pas |que iamais iaye ioye pour auanture 	que uons ne faictes au moins pource |que ie suys a uostre dame du lac. damoiselle fait il ne uous desplaise |et ne cuidiez pas |que iamaiz iaie ioie pour auanture 	vos deuedes fazer |mas alegre cara de Quanto façedes |Por quanto yo so mensaxera devuestra señora la donçella del lago |dixo el |non vos pese ca no cuidedes |que jamas aya yo plazer ni alegria por auentura 	che vo' non fate, |ch’almeno sono io messaggio di vostra dama di Lacco! |—Hal, damigella, per Dio, non vo ne pesil |Certo, i’' ò tanto dolore |che nullo fôrse lddio non mi potrebbe riconfortare, né non credere passo |ch’io giamai abia gioia per aventura 
630|631	qui me puist avenir. — En non Dieu, fet ele, |si avrois. Escotez 	qui me puit auenir. En non dieu fait ele si aurois. escotes 	qui me puist auenir. Enon dieu fet elle |Si aures Ore escoutes 	qui me peust aduenir. |Certes fait elle|si aurez. escoutez 	qui me puisse aduenir. |Eu nen dieu fait elle si aures. |Or escoutes 	que me venga |Pordios dixo la donçella |si aueredes agora sabed 	che possa avenire. |—eA nome di Dio, diss’ella, |si arete. Ascoltate 
632|633	que ma dame vos mande. — |Or dites, fet il. — Ele velt, fet ele, 	que madame uos mande. |Or dites fait il. |Ele wet 	que ma dame vous mande. |Elle vous mande 	que madame uous mande. |Or dictes fait il. Elle ueult fait elle 	que ma dame uous mande Elle uous mande |que uous ostes le corps de gallehault |qui est ceans 	que mi señora vos ymbia a deçir 	che mia dama vo manda. |— Or dite, damigella, diss’elli. — Ella vuole, diss’ella, |che voi traiate il corpo di Galeotto di
634	que vos ostés le cors Galehout de caiens et le fetes porter en litiere en la Dolerose Garde 	que uos ostes le cors Gal̾ de saiens |et len faites porter en litiere. a la dolereuse garde el chastel. 	que vous ostes le cors Galehot de chaiens 	que uous ostez le corps galehot de ceans. et le faictes porter en ce mesmes fiertre |ou il est ou chastel de la doloreuse garde. 	et le faictes porter dedens le chastel de la douloureuse garde 	que vos tiredes el cuerpo de galeote de aqui |e lo fagades lleuar al castillo dela dolorosa guarda 	qui e l fate portare, in quello medesimo vasello |ov'egli è, nel castello della Dolorosa Guardia. 
635|636|637	et iluec soit mis en la tombe meismes |ou vos trovastes vostre non escrit; |et ele le velt ensi, 	et illuecques soit mis en terre en la tombe meismes ou uos trouastes uostre non escrit. |Car ele wet ainsi. 	et len faites porter a la ioieuse garde. et illueques soit mis en la tombe |ou vous trouastes uostre non escrit|Et elle le vseut a ensi pour chou 	et soit mis ilec en la tombe mesmes|ou uous trouuastes uostre nom escript. |et elle le ueult ainsi par	et soit mis en la tombe |ou uous trouuastez son nom en escript |et elle le ueul ainsy pource 	e lo fagades meter en aquella tumba mesma |ado fallastes su cuerpo escripto ca ella lo quiere ansi 	Nel luogo sia messo nella tomba medesima ove vo' trovaste vostro nome iscritto, |ch’ella il vuole insi, 
638|639	por ce qu’ele set bien |que en cel lieu sera vostre cors enterrez. » 	por ce que ele set bien |que illuec sera uostres cors enterres. 	quele sest bien |que en celui meisme lieu sera vostres cors enterres. 	ce |quelle sceit bien qͥ en ce lieu |sera uostre corps enterre	quelle scait bien |que en ce mesmes lieu sera uostre corps enterre. 	Ca el vuestro cuerpo mesmo sera y enterrado conel 	per ciò|ch’ella sa bene |che n quello luogo sarà vostro corpo sotterrato». 
640|641	Et quant il l’ot, |si en est molt liés 	et quant il|ot se |si en est mout liez. 	Et quant lancelot entent chou Isi est moult lies. 	Et quant il louy |si en est moult lie 	Et quant il entent ce sy dist 	e quando el esto oyo fue muy alegre 	E quand’e' l’ode, |sì n’è molto lieto 
642|643|644|645|646|647	et dist |que molt li sont ces noveles plaisans, |kar tot ensi le fera il ; |puis demande |comment sa dame le fet. « |Par foi, fet ele, ele a esté. VIlI. jors deshaitiee trop durement, 	et dit |que mout li sont ses noueles plaisans. |Et tout ainsi le fera il. |pius demande|comment sa dame le fait. |Par foi fait ele ele a este .uiii. iorls deshaitie. 	et dist |que moult li sont ches noueles fplaisans |car toutl ensi le fera il. |Puis demande conment|que sa dame le fait. |Par foi fait elle. Madame a estet. viii. iours mallade mout durement. 	et dit|que moult sont les nouuelles plaisans |car tout ainsi le fera il.|puis demande |comment sa dame le fait certes fait elle. elle a este huyt iours trop fort deshaitie. 	que moult luy sent ces nouuelles plaisans |car tout ainsy le fera il/ puys demande |comment sa dane le fait/ |par ma foy elle a este uiii. iours malade durement 	e dixola |que Mucho heran aquellas nuebas plazenteras que asi lo faria |Puesque ella lo ymbiaua a mandar |Por buena fee dixo la donçella 	e dice |che molto gli sono queste novelle piacenti, |ché tutto insì il farà elli. |Poscia domanda come sua dama il fa. |Per fé, diss’ella, ella à stata otto giorni disatata troppo duramente, 
648|649	kar ele trova en son sort, |si com ele meismes me dist 	Car ele troua en son sort |si com ele me dit 	Car ellle trouusa en son sort |si|comme elle msa puis dit. 	Car elle trouua en son sort sicomme elle mesmes me dist 	car elle trouua en son sort 	vien a ocho dias |Que vuestra señora esta muy triste 	ch’ella trovò in sue sorte, |si come ella medesima mi disse 
650|651|652	puis, |que si tost com vos troveriés la tombe Galehout, |que vos vos ocirriés de duel, 	que si tost com uos trouerrez la tombe Gal̾. |que uos uous ocirriez de duel. 	que si tost que vous trouueries la tombe gallehot |Ique uous uous ochiries de dolel 	que |si tost que uous trouueriez la tombe galehot |que uous uous occiriez de deul 	que si tost comment uous trouueries la tombe de gal. |que uous uous occiries de deul 	porque ella vido ensus suertes segund que me ella dixo |que asi como fallasedes la tumba de Galeote |que luego vos matariades |sino ouiesedes 	poscia, |che sì tosto come vo' trovereste la tomba di Galeotto vo' voi uccidereste di duolo 
653|654|655	se vos n’estiés destornez. |Por ce m’envoia ele ça a grant besoing, |si vos mande 	se uos nen estiez trestornez |et porce menuoia la a grant besong. |si uos mande 	se uous nen esties destournes. |Et pour cou menuoia elle a grant besoing cha. |si uous mande 	se uous nen estiez destourne. |Et pour ce menuoya elle ca a grant besoing. |Si uous mande 	et pour ce menuoia elle ceste part |et uous prie	quien vos esforçase |e quien vos estoruase |e poresto me ymbio ella aca a gran priesa 	se vo non ne fosse distornato,|e perciò mi mandò ella qua a gran bisogno. |i vo manda
656|657	que vos laissiés le duel ester, |qu’il ne vos puet fere se nuire non,	que uos laissiez le duel ester. |Car il ne uous puet aidier de nuire non. 	que uous laissies che doel ester |car il ne uous puet faire se nuire non. 	que uous lessez ester le deul. |car il ne uous puet|que nuyre. 	que uous lessies ce deul 	e vos manda dexar este duelo 	che voi lasciate el duolo stare, |ché non voi può fare |se nuocer non, 
658|659	et vos prie par la rien |que vos plus amés 	et uos prie par la rien |que uos plus amez en se monde	Et uous prie par la riens|que vous plus ames 	Et uous pry par la riens ou monde |que uous plus amez 	et que pour la riens |que uous plus ames 	e vos Ruega por la cosa del mundo 	e vo priega per la cosa |che vo' più amate in questo mondo 
660|661|662	que vos al plus bel |que vos porrois vos reconfortés, |et se vos ensi ne le fetes, bien sachiés 	que uos au plus bel |que uus porrois uos reconfortes. |Et se uos ainsi nel fasiez bien sachiez 	que au plus bel |que vous poes vous en deportes. |Et se vous ne le faites ensi. bien sachies 	que uous uous reconfortez au plus bel |que uous pourriez|Et se uous ne le faictes ainsi sachez bien 	que uous uous reconfortes le plus beau |que uous pourres.|et se uous ne le faictes ainsy sachies 	que mas amades |que vos conortedes lo mejor que pudieredes e que si lo no fiçieredes 	che voi al più bello |che vo' potete vo vo confortate. |E se voi insì nol faceste, ben sapiate 
663|664	que al premier besoing |que vos avrois de li, ele vos faudroit. » 	que au premier afaire |que uos ariez |de li ele uos faudroit. 	que a la premiere fois. |que vous aures mestier de li. elle vous faudra. 	quelle uous fauldra au premier affaire |que uous aurez besoing delle. 	que au premier affaire|que uous aures elle uous fauldra. 	que ella vos tirara el ayuda 	che nel primaio affare |che voi arete bisogno di lei, ella voi fallerebbe».
665	Et il dist 	et il dit 	Et il dist 	Et il dit 	et il dyt 	que della auedes 	Ede' dice 
666|667|668	qu’il se confortera,|puis qu’ele le velt. « |Or vos covient, fet ele, vos armes prendre, 	que ore se confortera il |puis que madame le wet. |OR uos couuient fait ele uos arme prandre. 	quil sen comfortera |puis que elle le veult.|Or vous commant dont |que vous prendes vos armes 	quil se reconfortera |puis quelle le ueult. |Si uous conuient fait elle uoz armes prendre. 	qui se cenfortera puys quelle ueult. |Or uous cenuient uos armes prendre 	asi lo fare dixo lançarote |puesque aella plaze agora vos conuiene 	che si conforterà, |poscia ch’ella vuole. |v~Or vo conviene, diss’ella, vostre armi prendere, 
669	kar je voi bien 	Car ie sai bien 	Car iou sai bien 	Car ie scay bien 	car le scay bien tant des cheualiers de ceans 	dixo la donçella de armar ca yo se bien 	ch’io so bene 
670	qu’il ne le vos en lairont mie en pes porter 	que cil |qui le gardent nel uos la iront pas en pais porter 	que li cheualier ne vous lairont mie le cors emporter. 	quilz ne le uous laisseront pas porter en paix 	quilz ne le uous lesserent point emporter 	que aquellos caualleros no voslo dexaran llebar 	che l’uomo non voi lascerebbe mica in pace portare 
671|672|673|674	tant com il le porront deffendre.» |Et il dist |qu’il i morroit ançois |qu’il ne l’ostast de laiens; 	tant comme il le puissent desfandre. |Et il dit |que il i morroit ansois |que il lait laiens. 	tant|comme il le porront desfendre. |Et il dist |quil en morront tuit. aincois |quil ne lemport de laiens. 	tant quilz le pourront deffendre. |Et il dit |quilz y mourront auant quil ne louste de leans. 	tant quilz le puyssent deffendre. 	en quanto lo pudieren defender |o yo morire dixo lançartoe |o yo lo tirare donde esta 	tanto com’elli il potranno difendere». |Ed e' dice |che ne morebbe |inanzi che non ve 'l traesse di là entro, 
675|676	si se vet armer |et la damoisele vient tantost as chevaliers 	Si sen ua armer. |et la damoisele uient tandiz as cheualiers 	si se vait armer demaintenant. |Et|lors sen uient la damoisele as cheualiers 	si se uait armer.|Et la damoisele uient tandis es cheualiers 	si sen ua armer tout maintetenant/ et la damoiselle uient aulx cheualiers 	E luego se fue armar |e la donçella se fue alos caualleros 	si|si va ad armare. |E la damigella viene tantosto là entro|e disse a' cavalieri 
677	qui gardoient la tombe, 	qui le gardoient 	qui gardoient la tombe et lor dist 	qui gardoient la tombe si leur dist. 	qui gardoient la tombe 	quela tumba guardauan 	che guardavano la tomba: 
678|679|680|681|682|683	si lor dist: « Seignor, fet ele, volés vos destorner ce|qu’il covient estre a force ?» |et demandent |por quoi ele le dist. « Je le di, fet ele, |por le cors |que vos gardez et si savés bien 	et lor dit. Signor fait ele uolez uous destorner ce |que il couient auenir par force |et il li demandent|por coi ele le dit. |gel di fait ele |por cel cors|que uos Gardes. |et si sauez bien 	Segnor vous voles vous desfendre de ce |quil couuient estre a forche. |Et iou le vous di por le cors |que vous gardes. |Car vous saues bien 	Seigneurs fait elle uoulez uous destourner ce qͥl conuient estre a force. |Et ilz demandent |pour quoy elle le dit. |et ie le dy fait elle pour ce corps |que uous gardez. |et uous scauez bien 	si leur dist. Seigneurs uoulles uous deffendre ce |qui cenuient a estre oste a force/ ie le dys fait elle pour le corps |que uous gardes|car uous saues bien 	e dixoles |señores queredes vos defender aquello |Que conuiene a ser afuerça |yo lo digo |dixo ella Porel cuerpo |que guardades |ca sabed 	Signori, diss’ella, |volete vo' distornare ciò |che conviene essere a forza?». |Ed e' domandarono perch’ella el diceva. |¿''l dico, diss’ella, per questo corpo |che vo' guardate, |si sapete bene 
							che ne sarà tratto. 
684|685|686	qu’il en sera ostez. — Non sera, font il, |que nos puissons. — |En non Dieu, fet ele,	que il en sera ostes. no sera font il |que nos puissons. 	quil en sera ostes. |Non sera font cil tant comme nous porrons. Enon dieu fait elle 	quil en sera oste. |Non sera font ilz pas |que nous puissons. |Certes fait elle 	qu il sera oste 	que vos sera tomado |non sera dixeron ellos |en quanto nos pudieremos |Pardios dixo ella 	— Non sarà, damigella, dicono elli, tanto come noi possiamo. |—etA nome di Dio, diss’ella, 
687|688|689	si iert, |et bien sachiés, fet ele, |que cil est venus 	par foi fait ele si sera. |que ciz est uenus 	si sera |quar cil est uenus 	si sera |et bien sachez |que cil est uenu 	car celuy est uenu	si sera |que aqui es venido 	si fia, |ché ben sapiate |che colui est venuto 
690|691|692	qui l’en ostera. |Et se vos le contredites, |vos en morrois tuit: 	qui lostera |et se uos le contredites uos i morres tuit. 	qui len ostera |Et se vous le contredites vous en morres tout. 	qui len oustera |et se uous le contredictes uous en morez tous. 	qui len ostera/ |et se uous centredistes uous en mourres tous. 	quien voslo tolera e si lo quisieredes contradeçir a todos conuiene morir |e poresto querria 	che ne l trarà, |e se voi gliel contradite, |voi ne morete tutti; 
693	por ce vos vendroit il miels 	et porte uos uodroit il miex 	Et por chou vous uenist il miex. 	par ce uauldroit il mieulx 	Et pour ce uauldroit il mieulx 	quelo dexasedes 	perciò vo varebbe elli meglio
694	que vos le laississiés atant, 	que uos le laissisiez atant. 	que vous le laississies atant enmener 	que uous le laississez auant	que uous le lessies uenir 	anteque vos matasen 	che voi il lasciaste atanto 
695|696|697|698|699	ains que vos vos en façois ocirre. » |Et cil dient |que ja tant|com il soient vif n’en sera portés. « |Et bien sache, font il, li chevaliers 	Ains que uos uous en laisisiez ocirre. |et cil dient |que ia tant comme il soient uif nen sera portes. |et bien saichent font il li cheualiers 	lque uous vous en feissies ocirre. |Et cill dient |que ia tant |comme il soient vif : nen sera portes.|Et bien sache font il li cheualiers 	que uous faire occire. |Et ilz dient |que ia tant qͥlz soient uifs nen sera il porte. |Et bien sachez font ilz 	que de uous faire occire. |Et ceulx dient |que tant quilz seront uifz ne le lesront emporter. A ces parolles uint leans lancelot tout arme. 	porende ya enquanto nos fueremos vibos dixeron los caualleros |No sera de aqui llebado |e bien sepa el cauallero 	inanzi che vo' voi facciate uccidere». |Ed|e'rispondono |che già tanto come sieno vivi non ne sarà portato, |ee ben sappiate, dicono elli, il cavaliere 
700|701|702|703|704|705	qui venus est |por avoir le, |que s’il estoit encore plus preus |que Lancelos n’est, |si n’en menra il point. —|Or verrons, fet ele, 	qui uenus et por lauoir |que cil estoit encore plus preus |que lanc̃. nest nen manra il point.|Se uerrez uos fait |ele 	qui uenus est pour sauoir|quel sil estoit plus preu encore |que la lancelot ne soit. |si ne lenmenroit il point |Or uerrois fait elle 	que si le cheualier |qui est uenu estoit encor plus preu |que nest lancelot|si ne lemmenera il point. |Or uerrons fait elle 	Et|quant les cheualiers le uoyent uenir |si luy demandent 	que porel es venido |que aunque fuese mejor ome que lançarote |quelo no moueria de aqui vn punto agora |vere dixo la donçella 	ch’è venuto per lui avere, |se fosse ancor più pro' |che Lancellotto, no ne menerà elli punto. — Or vedrete, diss’ella, 
706|707	comment il vos en avendra. » A ces paroles vint laiens Lancelos tos armés |et quant li chevalier le voient venir, 	coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃. tous armez |Et quant li cheualier le uoient uenir 	comment il vous en lauenra. |ces paroles uient laiens lancelot tous armes |Et quant li cheualier le uoient uenir 	comment il uous en prendra A ces paroles uient leans lancelot tout arme. |et|quant les cheualiers le uoyent uenir 	que il ueult faire ie uueil 	como vos auerna |Ellos asi fablando llego ay lançarote Armado de todas armas |e los caualleros |que lo vieron preguntaron 	come voi averra». |A queste parole entrò là entro Lancellotto tutto armato, |e quando i cavalieri il vidono venire, 
708|709	si li demandent |qu’il velt fere. « Je vueil, fet il, avoir le cors 	si li demandent |que il wet faire. ie weil fait il auoir le cors 	si li denandent |que il ueullt. ie ueul fait il auoir le cors 	si luy demandent |quil ueult faire. Ie uueil auoir fait il le corps 	auoir fait il le corps 	Que que queria fazer |yo quiero dixo el el cuerpo que alla esta Pordios 	si l domandano |che vuol fare. |to voglio, diss’elli, avere il corpo
710	qui laiens est. — 	qui saiens est. 	qui llaiens est. 	qui est leans. 	qui leans gist. 	dixeron ellos 	che là entro est inserrato. 
711	Par foi, font il, vos ne l’avrois mie por nient. Nos ¡ morrons ançois tuit 	Par foi font il uos ne laures pas por noiant. |donc i morrons ansois tuit 	Par foi font il vous ne laures mie |pour noient nous y morrons 	Certes font ilz uous ne laurez pas |pour neant nous y mourrons auant tous	Par ma foy font il uous ne laures point |ains y mourrent tous	vos no lo aueredes |que ante seremos aqui todos muertos 	— Per fé, dicono elli, vo' non l’arete passo per niente: noi ci moremo in prima tutti 
712	que vos l’enportois. — A morir, fet il, en estes donc tuit, 	que uous lemportoit. Au morir fait il estes uos tuit 	aincois que vous lenportes. |Au morir fait il estes vous tout uenu 	que uous lemportez Mourir uous en fault 	que uous lemportes. au mourrir estes uous tous uenus 	que vos asi lo lleuar a morir |vos conuiene Dixo lançarote 	che voi ne l portiate! |—Al morire ne siete voi venuti, 
713|714|715|716|717|718	puis|que a mains ne vos en volés soffrir !» |Si saut dedens les prones |et il li corent sus, |kar arrieres le cuident fere sailir |por poor de morir; 	puis que au mains ne uos en uolez souffrir. |Lors saut dedens les pronez. et cil li corrent sus |car arreres le cuident faire flatir |por paour de mort 	puis que a mainz nen voles passer. |Cil sont dedens les prones. |et il lor cort sus maintenant. |Et cil a lui |quar arriere le quiderent faire flatir pour paor de morir. 	puis qui a moons ne uous en pouez soufrir. |Si sault dedans les prones |et il luy courent sus. |Car arriere le cuident faire flatir pour paour de mourir.	puis que a moins |ne uous en uoulles passer |Ceulx sont dedens les prosnes et il leur court sus incentinent 	pues no vos queredes sofrir |e luego salieron los Caualleros delos arcos |do estauan con miedo de ser Muertos 	poscia che a meno non ne potete sofferireb. |i salta di dentro les prone, |ed|e' gli corrono suso, |ch’a terra il credono frattire per paura di morire, 
719|720	si le fierent par la ou il le pueent ataindre |et il ot el poing l’espee nue ;	si le fierent par la |ou il pueent ataindre et il ot el poing lespee nue. 	si le fierent la |ou il le porent ataindre. |Et il auoit en la main lespee toute nue.	si le fierent par la |ou ilz le peuent actaindre. |et il eut ou poing lespee nue 	et eulx a luy. lancelot tire son espee toute nue 	e començaronlo a ferir 	si 'l fegono per là |ov’elli il possono agiugnere. |Ed elli ebbe impugnata la spada ignuda, 
721	si lor done grans cops et pesans 	si lor done grant cox et pesans 	si lor doune grans cops et pesans. 	si leur donne grans coups et pesans		por do mas mal lo podian fazer 	si lor dona gran colpi |e pesanti, 
722|723	et fiert le premier |qu’il encontre si durement 	et fiert le premier |quil puet encontre si durement: 	Et fiert si le premier|quil encontre 	Et fiert le premier |quil encontre si fort. 	et frappe sur eulx en telle maniere 	e lançarote metio mano ala espada e firio al primero |que fallo asi duramente 	e fiede el primaio si duramente 
724|725|726	que por le hialme ne por la coife de fer ne remaint |qu’il ne li mete l’espee |jusqu’al test; 	que por hiaume ne |por la coiffe ne remaint |que il ne li meste lespee iuscau test. 	que por coiffe ne pour heaume ne remainst |que il ne li mete lespee iusques au tesstje. 	car pour le heaume ne pour la coiffe de fer ne demeure |quil ni luy mecte lespee |iucquau test. 	que le premier 	que porel yelmo ni Porel almofar no finco |quele no metiese la espada porla Cabeça 	che per l’elmo né per la cuffia del ferro non rimane |che non gli metta la spada insin qua alla testa, 
727|728|729|730	et il le hurte de soi, |Si l’abat a terre. |Et lors saillent molt irieement tuit li autre, |si depiecent son escu et son hialme et son hauberc 	Si le hurte desor et labat a terre. et lors saillent tuit li autre |si li deprirent son haubert et son escu et son hiaume. 	Et il le hurte si labat a terre. |Et li autre as lassalent moult ireement. |et le fierent sor son heaume et sor son hauberc. 	Et il le hurte de soy |si labas a terre. |Et lors lassaillent moult ireement tous les autres. |Si luy depecent son escu et son heaume et son haubert 	quil attaint il le met par terre. |lors le assaillent les aultres moult uigoureusement: 	e dio conel en tierra e los otros lo començaron a ferir muy rreçia mente |porel escudo e porel yelmo |e porla loriga |asi que selo quebrantaron 	ed elli il percuote di sé medesimo, |si-llo abatte a terra. |Allor salgono molto adiratamente tutti gli altri, |si gli dispezano suo scudo e suo elmo, 
731	et le blecent en pluisors lieus. 	et le blecerent en plusors lieus. 	si quil li derrompent en pluisours lieus. 	et le blecent en plusieurs lieux. 		e Ronpieron Por muchos lugares 	e suo asbergo gli falsano in più luogora, 
732|733|734|735	Mais il ne li chaut de rien |qu’il li facent, |kar tant est dolens |que nus plus; 	Mais il ne len chaut de rien. |Car tant est dolens |que nus plus ne puet estre. 	Mais il ne li chaut de chose |quil li fachent. |quar tant est dolans que nus plus. 	mais il ne luy chault de riens |quil luy facent.|car tant est doulent |qui plus ne puet 	mais peu leur prouffite: |car tant est dolent |que nul plus. 	mas el no daua cosa por aquello quele façian |tanto estaua de sañudo 	ma e' non gli è a nulla |che gli facciano, ch’atanto est dolente |che nullo più. 
736|737	si lor laisse corre par grant ire |et lor done de l’espee si grans cops 	Si lor laisse corre par grant ire. |et lordone de lespee si grant cox 	si lor laisse corre par grant ire lor donne de lespee grans cops 	si leur laisse courre de grant ire. |et leur donne de lespee si grans coups 	si leur laisse courir par grant ire tant que tous les fait reculer de lui. 	e dexo de correr aellos |Con gran yra |e dauales dela espada tales Golpes 	Si lor lascia corere si gran colpi 
738|739	que tos les fet guenchir avant lui.|Et lors esgarde celui des IllI. 	que toz les fait guenchir auant lui.|Lors esgarde de celui des qͣtre |que miex le faissoit a son essianc. 	si que tous les fait guenchir deuant lui. |lors esgarde |et voit vn dez. iiij.	que tous les fait guenchir auant luy |Lors regarde celuy des quatre	Lors regarde lun des quatre 	asi quelos façia de si arredrar e Lançarote Paro mientes en aquel 	che tutti gli fa ischencire davanti lui. |Allora avisa |que' de' quatro 
740|741|742|743|744|745	qui plus li faisoit mal et cil estoit molt grans et molt fors; |et Lancelos |qui le vient ataignant li done par mi le hialme si grant cop |qu’il en fet le feu saillir, |et l’espee glace |qui de droit ne fu pas ferue. 	et cil estoit mout grans cheualiers et mout fors. et lanc̾|qui le uient atangnant li done parmi le hiaume si grant cop.|que il en fait le fen saillir. et lespee glace |qui droit ne fu pas ferue. 	qui plus li fait mal a son essient. |Et il estoit moult grans et moult fors. et lancelos |qui le vient ataignant li donne sor le heaume tel cop |quil en fait le fu saillir. et lespee glache |qui ne fu mie de droit ferue. 	qui luy faisoit plus de mal a son adius. |et il estoit moult grant et moult fort. |et lancelot lactaint par le heaume si grant coup |quil en fait saillir le fer. |et lespee glace |qui de droit ne fu pas ferue 	qui plus lui faisoit mal a son auiz |si lui donne sur son heaume tel coup |qu il en fait le feu saillir/ |et lespee glace	que mas mal le façia |que hera muy grande e muy fuerte |e diole asi vn golpe tan grande ençima del yelmo |que el fuego fiço salir del |e el golpe desçendio al honbro 	che più gli faceva male a suo aviso, |e quegli era molto grande e molto forte; |e Lancellotto, |che viene agiugnendo, |si l fiede si gran colpo |che n diritto non fu passo fedito, 
746|747	si descent desus la senestre espaule. |Li cops fu grans et par ire ferus, 	Si li descent desous la senestre espaule. |et li cox fu grans 	si descent sor la droite espaulle au cheualier. |si que li bras kai a tout lespee sor le pauement. 	si luy descend dessoubz la senestre espaule le coup fu grant 	si descent sur la destre espaulle du cheualier: 	e Como fue dado de gran fuerça 	si gli discende sopra la sinistra spalla. ll colpo fu grande e per ira fedito e bene aparve 
748|749	et bien i parut |que l’espee cola par mi l’espaule a al chevalier, 	et par ire feruset bien i parut |que lespee cola parmi lespaule au cheualier. 	Et cil trebuche a terre |qui se pasme de langoisse 	et feru par yre. et bien y parut. |car lespee coula parmy lespaule au cheualier |si qui le braz a toute lespaule chey dessus le pauement. |et il trebuche a terre 		asi que porla loriga no finco 	che-lla spada colò per me' la spalla del cavaliere, 
750	si que li bras a tote l’espaule chiet desus le pavement. 	Si que li bras atout lespee chai seur le pauement. |et cil trebuche a terre 	quil sent. 	et se pasme de langoisse |qu il sent. 	si que le bras lui cheut atout lespee sur le pauement. 	quele no derribase el braço conla espada en tierra 	sicché la spalla con tutto il braccio cadde di sopra lo smalto, |ed e' trabocca a terra, 
							si spasima . faceva facevano della angoscia 
		et se pasme: de langoisse 					
		que il sent. 					
