0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
813	et por ce vos loeroie je 	et porce loeroie ie 	786
814	qu’il meust orendroit, 	que il meust orendroit. 	787
815	kar il seroit bien eslongiés, 	Car il seroit bien eslongiez .xx. lieues Galesches 	788
816	ains qu’il fust jors, XX. lieues englesches.	ains quil fust iors. 	789
817	Et il s’i acorde bien; 	et il |si acorde bien. 	790|791
818	si met la litiere sor Il. palefrois amblans 	Si mestent la biere seur ii cheuaus anblans. 	792
819	et enportent ensi Galehout fors de sa region; 	et enportent ainsi Galeh̾. fors de la religion. 	793
820	si en font li frere grant duel 	Si en font li frere mout grant duel 	794
821|822	et molt en sont corocié et dolenta de ce |que l’en l’enporte. 	et mout en sont dolent. 	795
823	Et Lancelos le convoie grant piece de nuis, plorant et regretant sa proesce et sa valor 	et lanc̃ le conuoie gn̾t piece de nuit plorant|et plangnant et regretant sa proesce. 	796|797
824	et se ne fust la damoisele 	et se ne fust la damoisele	798
825	qui avec lui estoit molt en eust plus fet	qui auec lui estoit mout en eust plus fait 	799
826	qu’il ne fist, 	quil ne fist.	800
827|828	mais ele l’en detorna, |et il deffendi al chevalier 	mais le le desfandi au cheualier 	801
829	que il nel feist en terre metre devant 	que il ne fust enterres deuant	802
830	que il fust venus. 	que lanc᷑. i fust uenus. 	803
831	Si se part atant li uns de l’autre 	Si se partent li un de lautre.	804
832	et il retorne a l’abeie, 	et lanc̃ retorne a labeye 	805
833	si se couche, 	et se coche 	806
834|835	c’onques la nuit |ne volt mengier ne boivre por chose 	ne onques la nuit ne uot mangier ne boire por chose 	807
836	que l’en li deist, 	que len li deist. 	808
837	ains plora 	ains plora 	809
838	et dolosa tot adés; 	et dolosa tout ades. 	810
839	si li anuioit molt li jors 	si li anuia mout li iors 	811
840	qui tant demoroit a venir. a Al matin, 	qui tant demora a uenir. Au mation 	812
841	si tost com li jors aparut, se leva	si tost com li iors aparut se lena lanc̃. 	813
842	et oi messe entre lui et la damoisele 	et oi messe entre lui et la damoisele. et	814
843	et puis s’arma. 	puis sarma 	815
844	Lors » li dist ele les noveles de Boort 	et lors dist ele les nouelles de behort. |et se	816|817
845	et ce qu’ele en avoit veu devant Honguefort, 	quele en auoit uen deuant le chastel de honguefort. 	818
846	et il en fu molt liés. 	et il en fu mout liez 	819
847|848	Et ele li dist: « Sire, il vos vet querant |ne jamés ne finera	et ele li dist. Sire il uos ua querant ne ia mais ne finera 	820
849	tant qu’il vos avra trové. — Damoisele, fet il, 	tant quil uos ait troue. |ha; damoisele fait il 	821|822
850	se vos le cuidiés trover ains de moi, je vos voldroie proier 	se uus le cuidiez trouer ains de moi. Ie uous uodroie prier 	823
851	que vos feissiés tant por moi 	que uous feissiez tant por amor de moie: 	824
852	que vos li portissiés ceste espee 	que uos li portissiez ceste espee. 	825
853	qui fu mon seignor Galehout, 	qui fu monsignor Gal̾. 	826
854	et li dites 	et li dires 	827
855	qu’il la DOrt de par moi, 	quil laport de par moi 	828
856	que molt est bone. » 	car mout est bone. 	829
857	Et ele dist 	et ele dist 	830
858	qu’ele le trovera par tens	que ele le trouera par tans. 	831
859	et bien fera cest message; 	et que bien fera cest mesaige .	832
860	si s’en part atant de lui et il s’en vet droit vers le chastel de Floego, 	Atant se part de lanc̃. la damoisele. |et il sen ua tout droit uers le chastel de floego. 	833|834
861|862	si i vint a hore de prime. |Et il esgarde es pres defors la vile, 	Si i uint a hore de prime et des garde es pres de fors La uille 	835
863	si voit molt grant gent entor le feu 	si auoit mout de gent entor .i. fe. 	836
864	ou l’en devoit ardoir la suer Meleagan», 		
865	et quant il aperçoit le feu, 	Et quant il aparsoit le feu	837
866	si a poor de la damoisele. 	si a paor de la damoisele. 	838
867|868	Lors broche le cheval |et vint errant cele part 	et lors broche li cheual et uient corant cele part. 	839
869	tant com il puet del cheval traire. 	tant comme il puet de cheual traire. 	840
870	Et quant il est venus jusque la, 	et|quant il uien iusque la 	841|842
871	si esgarde 	si esgarde 	843
872	et voit la damoisele 	et uoit la damoisele 	844
873	qui ja estoit amenee al feu 	que ia estoit amenee au feu 	845
874	por destruire, 	por destruire. 	846
875	si estoit en pure sa chemise et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	Si estoit en la pure chemisse |si la tenoien .ui. pautenier trois deuant et trois derier. 	847|848
876|877	si n’atendoient a geter le el feu fors le commandement as juges, |et ele ploroit trop durement 	Si natandoient a geter li el feu fort le comandement les menistres. et ele ploroit trop meruilleusement 	849
878|879	et regretoit Lancelot: « |Ha, gentilx chevaliers Lancelos,	et regretoit lanc̾. ha gentil cheualiers lanc̃. 	850
880	kar pleust ore a nostre Salveor 	car pleust ore a dieu 	851
881	que vos seuissiés ceste novele, 	que uos seussiez ceste nouelle. 	852
882	si fuissiés pres de ci a demie lieue! 	et uos fussiez pres de ci a demi lieue. 	853
883	Certes a l’aide de Dieu	Certes a laide de dieu et	854
884	et de la vostre seroie je encore anuit rescosse malgré tos mes enemis. 	ala uostre seroie ie encore ennuit rescouce maugre mes anemis. 	855
885	Mais vos ne le savés pas a, 	Mais uos ne le sauez pas 	856
886	si me covendra ore morir por la vie 	si me couanra morir. por la uie 	857
887	que je vos sauvai emprés Dieu; 	que ie uos sauuai apres dieu. 	858
888|889	mais certes il ne m’en poise pas tant |por moi 	mais certes il ne men poise pas tant por moi comme por uos. por le corrous 	859
890	com il fet por le coros 		
891	que vos en avrois, 	que uos en arrois 	860
892	quant vos le savrois. 	quant uos le saurois. 	861
893	Mais ce me reconforte molt 	mais ce me reconforte mout. 	862
894	que je sai bien 	que ie sai bien 	863
895	que les damoiseles gaaigneront tant en ma mort 	queles damoisele gaangneront tant en ma mort 	864
896	que jamés nule ne vos requerra d’aide 	que iamais nule ne uos requerra a aide. 	865
897	que vos li faillois tant com il vos remenbre de moi, 	que uos li faillois |tant comme il uos membera de moi. 	866|867
898	kar vostre cuers est si frans 	Car uostres cuers est si sains 	868
899	qu’il ne puet estre sans trop grant merites rendre a totes celes 	quil ne puet estre sans grant merites rendre a totes celes 	869
900	qui de par moi se reclaiment: 	qui de par moi se reclameront. 	870
901	si m’est avis	Si mest auis 	871
902|903	qu’il m’est molt miels a m’ame de morir |por loialté fere et por geter de prison si vaillant home comme vos 	que il est miex a marme de morir por la loiaute faire et por oster de prison si uaillant home 	872
		comme uos estes ; 	873
904	que vos fuissiés mors par la desloialté de Meleagan 	que uos fussiez mors par la desloiaute meleagant 	874
905	qui en prison vos avoit mis par traïson. » 	qui uos auoit mis en prison par traison. 	875
906	Ensi disoit la damoisele molt tendrement plorant et lors vint Lancelos poignant cele part 	ANsi dissoit la damoisele ml̃t tandrement en plorant. |et lors uint lanc̃. cele part	876|877
907	ou il la vit: 	ou il la uit. 	878
908	si dist a cels 	et dit a ciax 	879
909	qui le tenoient: « Laissiés la damoisele! — 	qui la renoient Laissiez la damoisele. 	880
910	Por quoi, sire, fet J. chevaliers armés 	Por qoi sire fait uns cheualiers 	881
911	qui avant saut, le lairons nos ? — 	qui auant saut por quoi la lairons nous. 	882
912	Por ce, fet il, 	Por ce fait il 	883
913	que vos n’avés droit en li por fere mal. — 	que uous ni auez droit en li faire morir. 	884
914	Si avons, fet cil, si grant 	Si auons fait cil 	885
915	que nos l’avons atainte de murdre 	que nos lauons atainte do mudre 	886
916	dont je l’apelai, 	que nos li meciens sus. 	887
917	et ele s’en offri a deffendre,	et ele sen offri a desfandre. 	888
918	mais ele ne trova onques 	Mais ele ne troua onques. cheualier 	889
919|920	qui |por li en prist escu 	qui por li enprrist escu. 	890
921	et ce n’est pas merveille, 	et se nest pas m̾ueille 	891
922	que chescuns set bien 	que chascuns set bien 	892
923|924	quele en a desloialment ovré. — |De quoi ? fet Lancelos. — 	comment ele en a erer de coi fait lanc̃. 	893
925	De ce, fet il,	Decce fat cil 	894
926	qu’ele delivra Lancelot por Meleagan ocirre, son frere. — 	que ele deliura lanc̃. |por ocirre meleagan son frere. 	895|896
927|928	Se vos, fet Lancelos, |osiés mostrer 	Ce uos fait lanc̃. le uoliez mostrer 	897
929	qu’ele eust fet traïson ne murdre, je seroie pres del deffendre. — 	que ele fist traison ne murdre: Ie seroie pret del desfandre 	898
930	Qui estes vos? fet cil. — Uns chevaliers sui, fet Lancelos, 	Qui estes uos fait cil. uns cheualiers sui fait cil. 	899
931	qui vieng ceste part 	Qui|uing ceste part 	900|901
932	por ceste damoisele deffendre. —	por li desfendre. 	902
933	Par foi, fet cil, 	Par foi fait cil. 	903
934	se je voloie, il ne m’en covendroit ja combatre, 	Ce ie uoloie il ne men conuanroit ia conbatre. 	904
935	kar des ier en est ! ele atainte, 	Car des ier eu est ele ia atainte. 	905
936	puis qu’ele ne pot trover 	puis que ele ne post trouer 	906
937	qui la deffendist, 	qui la desfandist.	907
938	mais je sent ma querele a si loial et si droituriere 	mais ie sen ma querele si aloial. et si a droituriere; 	908
939	qu’il n’a chevalier el monde 	quil na cheualier el monde uers 	909
940	vers cui je ne l’osaise bien prover au ? grant droit 	cui ie ne lo fasse bien prouer au grant droit 	910
941|942	que je i ai. — En non Dieu, fet Lancelos, |or i parra, 	que gi ai. EN non dieu fait lanc̃. or i parra. 	911
943	que je sui pres que je la desfende vers vos. — Voire, fet cil, par mon chief, 	car ie sui pres que ie la deffande uers uos. Uoire fait cil. par mon chief 	912
944	et vos en morrois comme traitres et desloials. »	et uos en morrois comme traites et desloiax. 	913
945|946	Lors traient la damoisele loins del feu |et li chevalier s’entreslongent li uns de l’autre, 	Lors traient la damoisele ensus del feu et li cheualier sentͤa longuet li uns de lautre. 	914
947	si s’entrevienent 	Si sentreuienuent nent 	915
948	si tost com li cheval pueent aler	si tost conli cheuaus lor pueent aler. 	916
949	et s’entrefierent des glaives si durement 	Si sentrefierent des glaiues si durement 	917
950	qu’il les font voler en pieces;	quil les font uoler en pieces. 	918
951	puis s’entrehurtent si des cors et des visages 	puis sentrehurtent des cors et des uisages. |Si	919|920
952	qu’il n’i a celui	que il ni a celui 	921
953	qui tos ne soit estordis et desconreez. 	qui tous ne soit estordis et desconrares.	922
954	Mais li chevaliers par est si estonés 	mais li cheualiers est Si estordis 	923
955	qu’il ne se puet tenir en sele, 	quil ne se puet tenir en sele 	924
956	ains vole jus del cheval 	ains bale a terre. 	925
957	et al parchaoir feri li quins del hialme en la terre, 	et au parcheoir feri li coins en cͣre del hiame. 	926
958|959	si qu’a bien pou qu’il n’a le col brisié. |Et	Si qua bien pou que cil na le col brisie. s 	927
960	quant Lancelos a fet son tour, 	quant lanc̃. a fait son cor 	928
961	si descent, 	si descent 	929
962	kar honte li seroit de requerre a cheval celui 	Car honte li fust de requerre a cheual celui 	930
963	qui est a pié; 	qui estoit a pie. 	931
964	si trait l’espee	Si trait lespee 	932
965	et cort sus a celui 	et cort sus celui 	933
966	qui ja se relevoit, 	qui ia ce releuoit. 	934
967	si li done par mi le hialme tel cop 	Si li done si grant cop parmi le hiaume 	935
968	qu’il le fet a terre flatir des paumes et des genols ; 	quil le fait uoler a terre des paumes et des ienos. 	936
969|970	puis recuevre I. autre cop |et le fiert 	Si quil recueure un autre cop	937
971	si qu’il le fet tot parchaoir 	si quil le fait tout parcheoir. 	938
972|973	et le prent par le hialme, |si le traine jusqu’al feu 	et lors le prent par le hiaume et le traine iuscau feu. et le gecte dedens. et ciz estoit 	939
974|975	et le gete dedens.|Et cil estoit si estordis 	si estordiz 	940
976	et tant avoit perdue la force del cors 	et tant auoit perdu la force dou cors 	941
977	que relever ne se pot, 	que releuer ne se puet. 	942
978	si le covint remanoir el feu	si le couint remanoir 	943
979	et morir en tel maniere. 	et morir en tel maniere. 	944
980	Et lors vienent avant cil 	Lors uiennent auant cil 	945
981	qui le champ gardoient, 	qui le feu gardoient. 	946
982	si dient a Lancelot 	Si dient a lanc̃. 	947
983	qu’il en a assés fet et li rendent la damoisele saine et haitiee, 	quil auoit assez fait. |et li rendent la damoisele sainne et haitie. 	948|949
984|985	et il la fet vestir,|puis li demande 	et il la fait uestir. pus Li demande 	950
986	qu’ele velt 	que ele uet	951
987	qu’il face mes. « Sire, fet ele,	que il face mais. |SIre fait ele 	952|953
988	que vos me menés a salveté a mon chastel. » 	que uos me remenez a mon chastel. 	954
989	Et il dist 	et il dit 	955
990	que volentiers: 	si fera il. 	956
991	si le fet monter 	Si la fait monter	957
992	et le conduit jusqu’al chastel	et la conduit iuscau chastel 	958
993|994	ou ele l’ot gardé maint jor. |Li chastials avoit non Galefort	oue ele lauoit garde maint ior. Ciz chastiax auoit non Balefort 	959
995	et seoit sor une petite riviere, 	et seoit sor une petite riuiere. 	960
996	si estoit molt aaisiés de totes choses 	Si estoit mout aisiez de totes choses: 	961
997	et fors a merveille, 	et fors a merueillens. 	962
998	Et quant Lancelos vint la, il ne fet pas a demander 	et quant lanc̃.|uint la il ne fait pas a demander cil en fist ioie.	963|964
999	se l’en li fist joie, 		
1000	kar cil del chastel savoient ja bien 	Car cil del chastel sauoien ia bien 	965
1001	que lor dame estoit delivree par I. chevalier	commen lor dame estoit deliuree par .i. cheualier 	966
1002	qui o li venoit. 	qui o li uenoit 	967
1003	Et quant il le virent, 	et quant il le uirent	968
1004	si le reçurent a si grant joie 	Si le resurent a si grant ioie 	969
1005	com se ce fust Damedieu meismes 	comme ce fudt diex meismes.	970
1006	et s’agenoillent tuit devant lui 	et sagenoillent deuant lui par la 	971
		ou il uenoit. 	972
1007	et crioient a une vois tuit ensamble : « Sire, sor tos cels del monde soiés vos bien venus, 	Et crioient a|une uois tuit ensanble. Sire sor tous ciax dou monde soiez uous li bien uenus. 	973|974
1008	qui nostre grant duel avés torné en grant joie !» A tel feste ont laiens Lancelot receu 	Car nostre grant duel auez atorne a ioie. a tous iors mais. A tel Ioie out lanc̃. receut. 	975
1009	et quant il ont la damoisele descendue devant son mestre palés, 	Et quant il ot la damoisele descendue deuant son palais 	976
1010	si s’en volt aler maintenant, 	Si sen uoloit aler maintenant.	977
1011	kar il n’estoit mie encore plus de tierce. 	Car il niert encore plus de tierce. 	978
1012	Mais ele le prist al frain 	mais ele le print au franc 	979
1013|1014	et le fist descendre a fine force a |et dist: « 	et le fist descendre a fine force. 	980
1015	Par Sainte Crois. vos ne m’eschaperois mie ensi. » 	et li dist. Par foi sire cheualiers |ainsi ne meschaperes uos mie. 	981|982
1016	Lors le commande a desarmer et vaslet saillent avant 	et lors li comande a desarmer. |et uarles saillent 	983|984
1017	por fere son commandement a; 	por faire son coumandement. 	985
1018	et tantost 		
1019|1020	com il ot son hialme osté |et ele le conut, 	et tantost comme il a oste son hiamre ele le quenoit. 	986
1021	si li cort les bras tendus 	Si li cort les bras tandus 	987
1022	et le volt baisier en la boche, 	et le uet baisier a force en la boche. 	988
1023	quant il li guenchist, 	quant il li guenchit 	989
1024	et ele li baise la face et le col et le menton, 	ele li baise la boche et le col et le menton. 	990
1025	puis que autre chose n’em puet avoir ; 	puis que autre chose nen puet auoir. 	991
1026	si plore de pitié 	Si pleure de pitie 	992
1027	et li dist: « 	et dit 	993
1028	Ha, gentilx chevaliers, 	ha: gentiz cheualiers 	994
1029	tant vos avoie desirré a veoir 	tant uos auoie desire a ueoir.	995
1030|1031	ains |que je moreuisse! 	ains que ie morisse. 	996
1032	Mais comment l’avez vos puis fet?,	Mais coment lauez uos puis fait 	997
		que ie ne uos ui. 	998
1033	Et il li dist : « Bien, Dieu merci. — 	et il dit mout bien la dieu merci. 	999
1034	Et ceste part, fet ele, 	Et ceste part fait ele 	1000
1035	comment venistes vos, 	comment uenistes uos 	1001
1036	qui avant ier vos en partistes ? — 	qui auant ier uos en partites. 	1002
1037	Par foi, fet il, une grant acheison. m’i amena. »	Par foi fait il une grant ocoisons mi amena. 	1003
1038|1039	Si li conte |comment. I. chevalier o unes armes vermeilles l’avoit apelé de traïson a la cort le roi Artu por la mort de Meleagan; 	Puis li conte coment uns cheualiers a unes armes uermeilles lauoit apele de traisson a la cort le roi artu. por la mort de meleagͣ. 	1004
1040	si l’en covient a deffendre en la cort le roi Baudemagu. « 	Si li couient a desfandre en la cort le roi bademagu de gorre.	1005
1041	Ha, fet ele, je sai bien 	Ha; fait ele ie sas bien 	1006
1042	qui il est. 	qui il est. 	1007
1043	C’est Argodras li Ros et li chevaliers 	Cest agodras li rous. et li cheualiers 	1008
1044	que vos avés hui ocis et ars estoit ses freres; 	cui uos auez ocis |et ars hui en cest ior. estoit ses freres. 	1009|1010
1045	si ne sai 	Si ne sai 	1011
1046	que vos puissiés fere, 	que uos en puissiez faire. 	1012
1047|1048	kar se mes peres |set 	Car ce mes peres cest 	1013
1049	que vos aiés ocis Meleagan, je criem	que uos auez ocis mel̾. mon frere ie crien 	1014
1050	qu’il ne vos face ocirre por le grant duel 	que il ne uos face ocirre |por le grant duel 	1015|1016
1051	qu’il avra des noveles. — 	que il en auoi. 	1017
1052	Coment ? fet Lancelos, 	Coument fait lanc̃. 	1018
1053	nel set il mie encore ? — 	ne le cest il encore pas. 	1019
1054	Certes, sire, nenil; 	Si maist diex fait ele nenil. 	1020
1055	si est Meleagans en cest païs aportés plus a de XV. jors 	Si est mell. aporte en cest pais bien a .xu. iors. 	1021
1056	et est el chastel des Illl. Pierres et le gardent iluec si celeement 	et est el chastel de .iiii. pierres. |et le gardent la si celeement 	1022|1023
1057	que li rois n’en set encore riens:	que li rois nen cest encore riens. 	1024
1058	si en covendra esploitier al plus sagement que vos porrois. 	si uos en couenra esploitier au plus saigement 	1025
1059	Mes a	que uos porrois 	1026
1060|1061	quant est li jors |que vos vos en devés deffendre? » 	Et quant est li iors que uos nous en deuez desfandre. 	1027
1062	Et il dist 	et il dit 	1028
1063	que c’est le jor de la Magdalaine. « 	que cest le ior de la magelainne. 	1029
1064	Or vos en conseut Diex, fet ele. 	Or uas en consaut fait ele diex. 	1030
1065	kar j’ai grant poor 	que iai grant paour 	1031
1066	que Argodras ne vos face anui par traïson. — 	que agodras ne uous face anui par traison. 	1032
1067	De ce, fet il, n’aiés ja garde! Tot son pooir en face, 	De ce fait il naiez ia garde tout son pooir en face 	1033
1068|1069	que je n’en avrai ja poor. » |Assés parlerent cele nuit de maintes choses a 	que ie ne le dout pas. Assez parleren cele nuit de maintes chosez. 	1034
1070	et molt firent cil del chastel grant joie de lor dame 	et mout firrent cil del chastel grant Ioie de lor dame 	1035
1071	qu’il cuidoient avoir perdue, 	que il cuidoient auoir perdue. 	1036
1072	et or l’ont saine et haîtie 	et orlat sainne et haitie. 	1037
1073	Et al matin, 	Et au matin 	1038
1074	si tost	quant li iors aparut biax	1039
1075	com li jors parut cler, se leva Lancelos 	et clers se leua lautre de son lit 	1040
1076	et se parti de la damoisele, 	et se parti de la damoisele 	1041
1077|1078	quant il fu armés; |et ele le commande molt a Dieu 	Quant il fu armez la damoisele comande a 	1042
1079	et li pria 	dieu.et li prie 	1043
1080	qu’il s’en revenist par li al repairier; 	que il sen reuenist par li au repairier. 	1044
1081	et il dist 	et il dit	1045
1082	que si feroit il, 	que si feroit il 	1046
1083	s’il pooit. 	se il puet. 	1047
1084	Si se remet en son chemin 	et il se remest en son chemin. 	1048
1085	et eirre tot le jor jusqu’al vespre 	et erre iuscau uespre. 	1049
1086	et lors aproche d’une riviere 	et lors aproche une riuiere 	1050
1087	que l’en apeloit Aglonde, 	que len apele aglode. 	1051
1088|1089	si en estoit l’eve molt parfonde|et molt noire. 	et si en estoit leue parfonde et mout noire.	1052
1090	Et quant il vint pres de l’eve, 	et quant il uint pres de leue 	1053
1091	si vit trois paveillons tendus pres de la rive; 	si uit .iii. pauillons. tandus delez la riuiere. 	1054
1092|1093	si en estoit li uns grans et bials |et li autre dui estoient moien. 	et en estoit li uns grans et biax. et li autres estoient 	1055
1094	Et lors issi del greignor paveillon I. chevaliers tos desarmés 	moien.et lors issi de lun des pauilons uns cheualiers tous armez 	1056
1095	qui li dist 	qui li dit 	1057
1096	que bien soit il venus, 	que bien soit il uenus. 	1058
1097	et il li rent maintenant son salu. «	et il li rent tout maintenant son salu. 	1059
1098	Ha, sire, fet il, vos me samblés chevaliers errans 	ha: Sire uos me sanblez cheualiers errans 	1060
1099	et je aim tos cels 	et ie ain tous seus 	1061
1100	qui en tel mestier usent lor vie, 	qui en tel maniere ussent lor uie. 	1062
1101	kar je meismes sui chevaliers errans 	Et ie meismes sui cheualiers errans 	1063
1102	et por ce vos vueil je proier 	Si uos uoroie prier. 	1064
1103	que vos herbergiés anuit mes o moi; 	que uos herberresiez hui |mais auec moi ennuit. 	1065|1066
1104	kar se vos passés avant de ci, vos ne troverois 	Car ce uos passez de	1067
1105	se forest non, si salvages 	ci uos ne trouerois ce fores non si sauuages: 	1068
1106	que vos i porrois tost desvoier. 	que uos i porrois moutost desuoier. 	1069
1107	Et il est bien tens de herbergier, 	et il est bien tans de herbreger. 	1070
1108	ce veés vos bien : 	ce ueez uus. 	1071
1109	por ce vos lo 	Por ce uos loie 	1072
1110|1111	que vos remanois et vos avrois ostel bel |et buen tot a vostre voloir. — 	que uus remenois et uos aurois ostel et bel et bon au ren chois 	1073
1112	Bials sire, fet Lancelos, 	Biax sire fait lanc̃ des	1074
1113	puis qu’il vos plest, je remaindrai et por vostre proiere et	que il uos plait ie remendrai |por uostre proiere 	1075|1076
1114	por ce 	et por ce	1077
1115	que vos dites 	que uos me dites 	1078
1116	que vos estes chevaliers errans. a,	que uos estes cheualiers errans 	1079
1117	Lors descent et vaslés saillent des autres paveillons, 	com ie sui Ices descent lancel. |et uarles saillent des autres pauillons. 	1080|1081
1118	si le desarment et li aportent I. mantel de samit legier a afubler por le chaut	si le desarment|et li portent un mantel de samis uermeil legier 	1082|1083
		por le chaut	1084
1119	qui grans estoit ; 	qui grans estoit 	1085
1120	si le mainent el grant paveillon avec l’autre chevalier. 	si le mainnent el grant pauillon entre lui et le cheualier. 	1086
1121	Et lors parlerent ensamble 	et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. 	1087
1122	et s’entracointierent 	et satracointent. 	1088
1123	et demanda li uns a l’autre de son estre ». 	et demande li uns a lautre de son estre. 	1089
1124	Li chevaliers enquiert a Lancelot 	Si demande li cheualiers 	1090
1125	dont il vient 	don il uient 	1091
1126	et ou il vet 	et don il ua.	1092
1127|1128	et quele aventure le maine |si sol,	et quel auanture le mainne si seul. 	1093
1129	et il li conte une partie de son estre 	et il li conte une partie de son estre 	1094
1130	et autre l’en çoile e; 	et une partie len soile. 	1095
1131	et totes voies li dist 	et totesuoie li dit 	1096
1132	que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier 	que a la cort bademagu: uodroit estre. |por soi desfandre uers un cheualier. 	1097|1098
1133	qui l’a apelé de traïson. 	qui apelela de traison. EN ce 	1099
1134	En ce qu’il parloient ensi, orent li escuier mise la table, 	quil parloient ensamble. si ont li escuier misses les tables. 	1100
1135	si vont laver; 	Si ont laue. 	1101
1136	si s’asiet Lancelos et li chevaliers et une damoisele 	Si ont assis lanc̃. et le cheualier et une damoisele 	1102
1137|1138	qui molt ert bele |et estoit amie al seignor de laiens; 	qui mout estoit bele. et estoit amie au signor de Laiens. 	1103
1139	si mengierent tuit troi ensamble. 	Si mengerent cui troi ensenble 	1104
1140	mes cele 	mais cele 	1105
1141	qui Lancelot esgarde ne se puet saoler de lui veoir, 	qui lanc̃ esgarde ne se puet saouler de lui esgarder. 	1106
1142	Kar tant li samble bials 	Car tant li sanble biax: 	1107
1143	qu’ele ne prisa onques mes bialté d’ome envers cesti : 	que ele ne prisa onques mais biaute a ome enuers la soie nule rieu. 	1108
1144	si l’esgarde si viselment 	Si le regarde si uiseument 	1109
1145	que tot en laisse le mengier n’a autre chose n’entent. fors a lui remirer. 	que tout en laisse le mengier. |Na autre chose nentant fors a lui remirer. 	1110|1111
1146	Si ont li escuier osté le premier mes de sor la table 	Si ont li escuier oste le premier mes desus la table	1112
1147	c’onques la damoisele n’en tasta, 	que onques la damoisele nen tata. 	1113
1148	ains pensa totes voies.	ains pance totesuoies . 	1114
1149	Et en cel pensé li descent el cuer une si grant amor	et en se panser li dessent une si tresgrant amor 	1115
1150	qu’ele aime Lancelot outre ce 	que ele aimme lautͣ. outre ce 	1116
1151	que feme n’ama mes home; 	que fame nemma mais home. 	1117
1152	si li est avis 	Si li est bien auis	1118
1153	que s’il l’amoit 	que ce il lenmoit 	1119
1154	qu'ele seroit beneuree. 	que ele seroit bone euree. 	1120
1155	Mais ci endroit n’em parole plus li contes, 	mais ci endroit nen parole plus li contes. 	1121
1156	kar ça avant le devisera 	Mais sa auant en la deuine page le uos deuisera il bien. 	1122
1157	et comment ele l’ama merveillosement 	et coment ele lenma meruilleusement 	1123
1158	et comment ele le proia et la merveille 	et coment ele le |proia.et la merueille 	1124|1125
1159	que ses amis en fist, 	que ses amis en fist 	1126
1160	quant il sot 	quant il sot 	1127
1161	qu’ele l’amoit, 	que ele lemmoit. 	1128
1162	et comment cele morut	et coument ele morust porce 	1129
1163	por ce qu’il la refusa, 	que il la refasa. 	1130
1164	tot ce vos trespassera li contes ci endroit 	Tout ce nos trespasera li contes ci endroit. 	1131
1165	por deviser une aventure 	por deuiser une auanture 	1132
1166|1167	qu’il lor avint el paveillon |ou il estoient. 	qui lor auint el pauillon. 	1133
1168	Ci dist li contes 	OR dit li contes 	1134
1169|1170	que, |quant il orent le secont mes eu, es vos un chevalier armé d’unes armes vermeilles 	que quant il orrent le secont mes eu. E uous un cheualier arme a unes armes uermeilles. 	1135
1171	qui vint corant par devant le paveillon o grant compaignie de chevaliers. 	et uuit acorant par deuant le pauillon o grant compangnie de cheualiers. 	1136
1172	Et cil as armes vermeilles 	et ciz as armes uermeilles 	1137
1173	qui devant venoit entre el paveillon a et voit. I. escuier 	qui deuant uenoit: entra el pauillon. |et uoit un escuier 	1138|1139
1174	qui servoit a la table, 	qui seruoit a la table. 	1140
1175	si estoit freres al chevalier de laiens. 	et estoit freres au cheualier de laiens. 	1141
1176	Et il cort maintenant cele part, 	et il cort maintenant cele part	1142
1177	si le prent par les espaules 	et le prant as espaules 	1143
1178	et le lieve devant lui sor l’arçon de la sele, si s’en torne a tot. 	et le trait deuant lui sor larson de sa cele. |Si sen torne atant 	1144|1145
1179	Et quant cil del paveillon voit ce. 	et quant cil del pauillon uoit ce: 	1146
1180|1181	si crie a Lancelot: « |Ha, bials sire, je sui mors, 	Si crie a lanc̾. a biax sire ie sui mors	1147
1182	se cil enporte ensi mon frere, 	ce ciz en porte mon frere. 	1148
1183	kar il l’ocirra, 	Car il locirra ia. 	1149
1184	s’il n’est secors: 	ce i nest cecorus. 	1150
1185	si vos pri por Dieu 	Si uous pri por dieu 	1151
1186	que vos i metés paine. » 	que uos metes painne en lui rauoir. 	1152
1187	Et Lancelos saut de la table 	Et lanc̃ saut de la table 	1153
1188	et demande ses armes, 	et demande ses armes.	1154
1189	et I. escuiers vint avant,	et uns escuiers saut auaut 	1155
1190	si li dist : « 	si li dist. 	1156
1191	Par foi, sire, vos armes et vostre cheval enmainent il ! — 	Par foi sire et uos armes 	1157
1192|1193	Voire, fet il. par mon chief, ja|por ce ne remaindra 	et uostre cheual enmainnent il. uoire fait cil: par mon chief iaporte ne remandra 	1158
1194	que je nes sieve.» 	que ie nes sieue. 	1159
1195|1196	Lors vient fors del paveillon |et li chevaliers o lui 	Lors uient fors del pauillon et li cheualiers o lui 	1160
1197	et il esgarde cels 	et regardent cex 	1161
1198	qui s’en vont 	qui sen uont.	1162
1199	qui ja avoient passé l’eve par J. pont de fust;	qui ia auoiet passe leue par .i. poncel de fust. 	1163
1200	et Lancelos demande al chevalier 	et lanc̃. demande au cheualier 	1164
1201	s’il remaindra. « Sire, fet il, nenil,	ce il remaindra. Sire fait cil non. 	1165
1202	ains vos ferai compaignie 	ains uos ferai compangnie. 	1166
