a	b	c	d	e
674	et si savés bien qu il en sera ostez	Car vous saues bien quil en sera ostes	ca sabed	si sapete bene|che ne sarà tratto	
675|676|677	— Non sera font il|que nos puissons|— En non Dieu fet ele	Non sera font cil tant comme nous porrons|Enon dieu fait elle	que vos sera tomado non sera dixeron ellos en|quanto nos pudieremos Pardios dixo ella	— Non sarà|damigella|dicono elli|tanto come noi possiamo|—etA nome di Dio|diss ella	ie le dys fait elle pour le corps q̃ uous gardes
678|679	si iert|et bien sachiés fet ele	si sera	si sera	si fia|ché ben sapiate	car uous saues bien qͥl sera oste
680|681	que cil est venus|qui l en ostera	quar cil est uenus|qui len ostera	que aqui es venido quien voslo tolera	che colui est venuto|che ne l trarà	car celuy est uenu|qui len ostera
682	Et se vos le contredites vos en morrois tuit:	Et se vous le contredites vous en morres tout	e si lo quisieredes contradeçir a todos conuiene morir	e se voi gliel contradite|voi ne morete tutti	et se uous cõ tredistes uous en mourres tous
683	por ce vos vendroit il miels	Et por chou Ivlous uenist il miex		; perciò vo varebbe elli meglio	Et pour ce uauldroit il miculo
684|685	que vos le laississiés atant ains|que vos vos en façois ocirre	que vous llel: laississies atant e mener lque uouls vous en feissies ocirre		che voi il lasciaste atanto inanzi|che vo' voi facciate uccidere	que uous le lessies uenir|que de uous faire occire
686|687	Et cil dient|que ja tant com il soient vif n en sera portés	Et cill dient|que ia tant comme til soienl vif : nen sera porstes	e poresto querria quelo dexasedes anteque vos matasen porende ya enquanto nos fueremos vibos dixeron los caualleros No sera de aqui llebado	Ed e'rispondono|che già tanto come sieno vivi non ne sarà portato	Et ceulx dient q̃ tãt quilz seront uifz ne le lesront empoiter
688	Et bien sache font il li chevaliers	Et bien sache font il li fcheualiers	e bien sepa el cauallero	ee ben sappiate|dicono elli	
				il cavaliere	
689|690	qui venus est|por avoir le	qui ulenus est pour|? llauoir	que porel es venido	ch è venuto per lui avere	
691	que s il estoit encore plus preus	quel sil estoit plus preu encore	que aunque fuese mejor ome	se fosse ancor più pro'	
692|693|694	que Lancelos n est|si n en menra il point|— Or verrons fet ele comment il vos en avendra	que la lancelot ne soit|si ne lenmenroit il point Or uerrois fait elle comment il vous en lauenra	que lançarote quelo no moueria de aqui vn punto agora vere dixo la donçella|como vos auerna Ellos	che Lancellotto|no ne menerà elli punto|— Or vedrete|diss ella	
				come voi averra	
695	A ces paroles vint laiens Lancelos tos armés	ces paroles uie lnt laiens lancelot tous armes	asi fablando llego ay lançarote Armado de todas armas	A queste parole entrò là entro Lancellotto tutto armato	A ces parolles uint leans lancelot tout arme
696	et quant li chevalier le voient venir	Et quant li cheualier le uoient uenir	e los caualleros|que lo vieron preguntaron	e quando i cavalieri il vidono venire	Et quãt les cheualiers le uoyent uenir
697|698	si li demandent qu il velt fere|Je vueil fet il avoir le cors	si li denandent|que il ueullt|ie ueul fait il auoir le colrs	Que que queria fazer yo quiero dixo el el cuerpo	si l domandano|che vuol fare||diss elli|avere il corpo	si luy demandent|que il ueult faire ie uueil auoir fait il le corps
699|700|701|702	qui laiens est|— Par foi font il vos ne l avrois mie|por nient|Nos ¡ morrons ançois tuit	qui llaiens est|Par foi font il vous fne laures mie pour noient nous y morrons aincois	que alla esta Pordios dixeron ellos vos no lo aueredes|que ante seremos aqui todos muertos	che là entro est inserrato|— Per fé|dicono elli|vo' non l arete passo per niente|: noi ci moremo in prima tutti	qui leans gist|Par ma foy font il uous ne laures point ains ꝑ mourrõt tous q̃ uous lemportes
703|704|705|706|707	que vos l enportois|— A morir fet il en estes|donc tuit|puis que a mains ne vos en volés soffrir|Si saut dedens les prones	que vous lenportes|Au morir fait il estes vous tout uenu|puis que a mainz nen voles passer|Cil sont dedens les prones	que vos|asi lo lleuar a morir vos conuiene Dixo lançarote pues no vos queredes sofrir	che voi ne l portiate|! —Al morire ne siete voi venuti|poscia|che a meno non ne potete sofferireb|i salta di dentro les prone	au mourrir estes uous tous uenus|puis que a moins ne uous en uoulles passer Ceulx sont de dẽs les presnes
708|709|710|711|712	et il li corent sus|kar arrieres le cuident fere sailir|por poor de morir;|si le fierent par la ou il le pueent ataindre|et il ot el poing l espee nue ;	et il lor cort sus maintenant|Et cil a lui|quar arriere le quiderent faire flatir pour paor de morir|si le fierent la ou il le porent ataindre|Et il auoit en la main lespee toute nue	e luego salieron los Caualleros delos arcos|do estauan con miedo de ser Muertos|e començaronlo a ferir|por do	ed e' gli corrono suso|ch a terra il credono frattire per paura di morire|si 'l fegono per là ov elli il possono agiugnere|Ed elli ebbe impugnata la spada ignuda	⁊ il leur court sus incõtinent|⁊ eulx a luy|lãcelot tire son espee toute nue
713|714	si lor done grans cops|et pesans	si lor doune grans cops|et pesans	mas mal lo podian fazer|e lançarote metio mano ala espada	si lor dona gran colpi|e pesanti	et frappe sur eulx en telle maniere
715|716|717|718	et fiert le premier qu il encontre|si durement|que por le hialme ne|por la coife de fer ne remaint qu il ne li mete l espee jusqu al test;	Et fiert|si le premier quil encontre|que por coiffe ne pour heaume ne remainst|que il ne li mete lespee iusques au tesstje	e firio al primero|que fallo|asi duramente|que porel yelmo ni Porel almofar no finco quele no metiese la espada porla Cabeça	e fiede el primaio|si duramente|che per l elmo né per la cuffia del ferro non rimane|che non gli metta la spada insin qua alla testa	que le premier quil attaint il le met par terre
719|720	et il le hurte de soi|Si l abat a terre	Et il le hurte|si labat a terre	e dio conel en tierra	ed elli il percuote di sé medesimo|si llo abatte a terra	
721|722|723	Et lors saillent molt irieement tuit li autre|si depiecent son escu|et son hialme	Et li autre as lassalent moult ireement|et le fierent sor son heaume	e los otros lo començaron a ferir muy rreçia mente porel escudo|e porel yelmo	Allor salgono molto adiratamente tutti gli altri|si gli dispezano suo scudo|e suo elmo	lors le assaillent les aultres moult uigoureusement:
724|725	et son hauberc|et le blecent en pluisors lieus	& sor son hauberc|si quil li derrompent en pluisours lieus	e porla loriga|asi que selo quebrantaron|e Ronpieron|Por muchos lugares	e suo asbergo gli falsano in più luogora	
726	Mais il ne li chaut de rien qu il li facent	Mais il ne li chaut de chose quil li fachent	mas el no daua cosa	ma e' non gli è a nulla|che gli facciano	mais peu leur y rouffite:
727|728	kar tant est dolens|que nus plus;	quar tant est dolans|que nus plus	por aquello quele façian tanto estaua de sañudo	ch atanto est dolente|che nullo più	car tant est dolent|que nul plus
729|730|731|732	si lor laisse corre par grant ire|et lor done de l espee|si grans cops|que tos les fet guenchir avant lui	si lor laisse corre par grant ire lor donne de lespee grans cops|si que tous les fait guenchir deuant lui	e dexo de correr aellos Con gran yra|e dauales dela espada tales Golpes|asi quelos façia de|si arredrar	Si lor lascia corere|si gran colpi|che tutti gli fa ischencire davanti lui	si leur laisse cou rir par grant ire|tant que tous les fait reculer de lui
733	Et lors esgarde celui des IllI	lors esgarde|et voit vn dez	e Lançarote Paro mientes en	Allora avisa que' de' quatro	Lois regarde lun des quatre
		iiij			
734|735	qui plus li faisoit mal|et cil estoit molt grans	qui plus li fait mal a son essient|Et il estoit moult grans	aquel que mas mal le façia|que hera muy grande	che più gli faceva male a suo aviso|e quegli era molto grande	qui plus lui faisoit mal a son auiz
736	et molt fors;	& moult fors	e muy fuerte	e molto forte|;	
737	et Lancelos	et lancelos	e diole	e Lancellotto	
738|739|740	qui le vient ataignant li done par mi le hialme|si grant cop qu il en fet le feu saillir|et l espee glace	qui le vient ataignant li donne sor le heaume tel cop quil en fait le fu saillir|& lespee glache	asi vn golpe tan grande ençima del yelmo	che viene agiugnendo|si l fiede|si gran colpo	si lui donne sur son heaume tel coup qͥl en faĩt le feu saillir|⁊ lespee glace
741|742|743|744|745|746|747	qui de droit ne fu pas ferue|si descent desus la senestre espaule|Li cops fu grans|et par ire ferus|et bien i parut|que l espee cola par mi l espaule a al chevalier|si que li bras a tote l espaule chiet desus le pavement	qui ne fu mie de droit ferue|si descent sor la droite espaulle au cheualier|si que li bras kai a tout lespee sor le pauement|Et cil trebuche a terre|qui se pasme de langoisse quil sent	que el fuego fiço salir del|e el golpe desçendio al honbro|e Como fue dado de gran fuerça|asi que porla loriga no finco quele no derribase el braço conla espada en tierra	che n diritto non fu passo fedito|si gli discende sopra la sinistra spalla||e per ira fedito|e bene aparve|che lla spada colò per me' la spalla del cavaliere|sicché la spalla con tutto il braccio cadde di sopra lo smalto|ed e' trabocca a terra	si descẽt sur la destre espaulle du che ualier:|si q̃ lebras lui cheut atout lespee sur le pauement|Celui trebucha a terre|⁊ se pasma de langoisse quil sentist
				si spasima	
				faceva facevano della angoscia	
				che sente	
748	Et lors sont molt esmaié li autre troi	Et lors sont moult esmaie li autre troi	e el cauallero conel gran dolor cayo luego en tierra amorteçido|e los otros desque aquel golpe vieron fueron muy desmayados	Allora sono molto ismagati tutti gli altri tre	Lors sont moult esmaiez les autres
749|750	si font molt malvés samblant d els deffendre|por le grant cop qu il ont veu	et font moult maluais samblant daus desfendre pour le grant cop quil ont veu	e fiçieron mal senblante dese defender porlos grandes golpes|que façia	si si fanno malvagio sembianti di difendere per lo gran colpo|ch egli ànno veduto	
751|752	et por l espee|que chescuns d els a ja sentie jusqu al sanc	et pour lespee|que cascuns de euls a sentue iusques au sanc	e porla espada|que auia sentido cadavno enlas carnes	e per la spada|ch egli ànno sentita insin qua alle carni	iii
753	Et Lancelos lor cort sus	Et lancelot	e lançarote no cato	E Lancellotto|ch unque non	⁊ lancelot leur court sus
754|755|756	et en fiert I|el hialme|si qu il le fet flatir a terre d ambesdeus les paumes	qui pas ne se recroit en fiert vn amont sor le heaume|quil le fait flatir a terre dambes|ij	mas aquel|que derribo ante dio al otro vn tal golpe|por çima del yelmo quele fiço dar con anbas manos en tierra	si rimuove|lor corre suso|e ne fiede l uno a monte ne l elmo sì gran colpo|ch elli il fa frattire a terra d amendune le palme	⁊ en fiert tellemẽt ung amõt le heaume qͥl le fait flatir a terresEt
		lez paumes			
757	Et quant li autre dui voient ce	Et quant li autre doi voient chou	e desque los otros esto vieron començaron a foir	ME quando gli altri due vidono ciò	quant les autres deux uoient ce
758	si tornent en fuies vers l uis a garison;	si tornent en fuies	por guaresçer	si tornarono inverso per fuggire a guarigione	si tournent uers fuys a garant
759|760	et Lancelos vint ataignant le deerrain|si le fiert par entre l escu	Et lancelot ataint le daarrain|si le fiert par entre se lescu	e lançarote alcanço|aquel que yua de tras	e Lancellotto viene agiugnendo il di dietro|si l fiede intra lo scudo	Et fancelot uient astaignant le derrain par entre lescu
761	et le bras	et le col	e firiolo	e l braccio	⁊ le col
762|763	si qu il li trenche le poing|et li escus chiet a terre	Si quil li trenche le bras|et li escus chiet a terre	asi duramente entre el onbro y el escudo	sicché gli trinca il pugno|e lo scudo cade a terra	si lui trenche le bras:|⁊ lescu chiet a terre
764	et cil torne en fuies	Et cil torne en fuies		e que' torna in fuga	
765|766	qui maheignié se sent|Et Lancelos vient a l autre	qui mahaignies se sent|Et lancelot reuient a lautre	que tenia enbraçado|que el braço conel escudo le fiço bolar en tierra|e el cauallero fuese fuyendo	che magagnato|si sente|E Lancellotto ritorna a l altro	Lancelot court a laulre qͥia se releuoit
767	qui ja se relevoit sel fiert de l espee	qui ia se releuoit|si li donne	ansi llagado|como estaua	che si rilevava|si l fiede della spada	⁊ le fiert
768	si grant cop qu il li fet le hialme voler en la place	si grant cop|que il li fait voler le heaume de la teste en le place	e lançarote fuese enpos el otro|que auia fincado	si gran colpo|che gli fa l elmo volare nella piaza	si grant coup qu il lui fait uoler le he aume de la teste en la place
			e firiolo		
			asi enlo alcançado ençima del yelmo		
769|770	Et quant cil sent son chief nu|si cria merci	Et quant il sent son chief descouuert|si li crie merci	que selo fiço volar dela cabeza|e el cauallero desque vido su cabeça desarmada Con pauor de muerte|que ovo pidio le merçed	;|e quando que' sente suo capo ignudo|sì grida mercé	Quant celui sẽt sa tesie nue il crie mercp
771|772|773	et dist qu il ne l ocie pas|kar il est pres de sa volenté fere|Or te covient donc fet Lancelos fiancer	et dist quil ne lochie mie|quar il est presstl de sa volente faire|Lors te couuient|dont fai lancelot afiancer fait il	e dixole ay buen cauallero no me matedes|que yo fare toda vuestra voluntad tu me juraras dixo lançarote	e dice|che non l uccida passo|ch egli è presto di sua volontà fare|vOr ti conviene dunque giurare|disse Lancellotto	⁊ dit qͥl est prest de fai re sa uoulẽte
774|775	que tu le cors mon seignor Galehout conduiras a la Dolerose Garde|et iluec le feras garder	que tu le cors monseignor Galeholt conduiras a la ioieuse garde|Et y soies	que llebes el cuerpo demi señor galeote ala dolorosa guarda|e desque y fueres	che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia|; nel luogo il farai guardare tanto	Il ie conuient dõc promettredit lancel ot q̃ tu conduiras le corps de gallehaut a la doulouteuse garde fant q̃ ie y uiengne
776|777|778	tant que je i viegne;|et se l en te demande|qui t i envoie	tant que iou y uiengne|Et se on te demande|qui ti envoie	si te preguntaren quien te ymbia tu les diras	ch io vi vegna|e se l uomo ti domanda chi ve l arà mandato	et se len te demande quite ꝑ enuoie|si dis: celui qͥ eut les blãches an es fe iour q̃ le chasteau fut cõquis
779	si diras « cil	Si di|que cil ti envoie		e tu lor di quelli	⁊ cefui lui ꝓmet
780|781	qui ot les ames blanches le jor|que li chastials fu conquis	qui ot lez blanches armes le iour|que li castiaus fu conquis	que el cauallero delas armas blancas|que el castillo conquisto te ymbia alla	ch ebbe l armi bianche il giorno|che l castello fu conquiso	Lors prentlancelat la same par le gros chief
782	Et il li fiance	Et cil li fiance	e el cauallero selo juro	E elli il giura	⁊ la tire de
783|784	que tot ensi le fera il|	que ensi le fera il AN tel maniere com vous olsiles conquist lancelot le cors Galeholt|Et lors y|quant il ot au cheualier fait fianchier a faire sa volente|si prent le lame par le gros chief	asi façer|e lançarote se fue luego parala tumba|e tomo a manos el cobertor Porel Cabo	ch elli insi el farà|Allor prende Lancellotto la lama per lo più grosso capo	si graut for ce
		si le tire par			
785|786|787|788	si tire de grant force qu a pou qu il ne se deront tos|si que li sans li vole par mi le nes|et par mi la boche|et li cors li sue d anguoisse	si grant force|que a poi quil ne sest tous derrompus|Si que li sans vole parmi le nes|et parmi la bouche|Et li cors li tressue de langoisse	que mas hera grueso|asi afuerça porlo leuantar quela sangre le quebro porla cabeça|e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente|asi que	si tira per|si gran forza|e sì|che l sangue gli dirompe per me' el naso|e per me' la bocca|e l corpo gli suda della angoscia	que a peu quil ne se derompt tout|⁊ tant q̃ le corps lui sue dangoisse
				che a poco	
				che non	
				si dirompe tutto	
789	Mais por tote la destrece ne remaint qu il n ait la tombe levee en haut à; mes nule dolors qu il eust onques ne monte rien a cele dolor qu il ot	que il en a|Mais nulle dolors quil ait eue ne monte riens a celi quil ot	por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado Mas nunca el tal duelo ovo|como estonçe	ma per tutte le distrezze non rimane|che non abbia la tomba levata in alti	mais nulle douleur quil eust|mais ne monte riens a celle douleur qͥl eust quãt il uistle corps de gallehaut tout arme ainsi cõme il estoit
					
				ch elli avesse unque mai non fu nulla inverso quello dolore quand	
			e tal Pesar		
790	quant il vit le cors Galehout tot ensi armé com il estoit;	quant il vit le cors Galeholt arme tout ensi com il estoit	quando el vido el cuerpo de Galeote|e estaua armado de todas armas	e vide il corpo di Galeotto tutto insì armato com egli era	
791	si trova s espee delés lui	Si troua lespee deles lui	e tenia su espada cabe	eSi truova sua spada dallato a llui	Si trouua son espee empres lui
792|793|794	qui molt estoit|et bone|et clere;	qui tant estoit bele|et boine	si que hera muy buena|e clara	che molto era buona|e bella|e sanza fallo della spada medesima|si sarebbe elli ucciso	qui tant estoit bõne|⁊ belle
795	et sans faille de l espee meesmes se fust il ocis se la damoisele ne li eust tolue erraument	& sans faille de lespee se fust il ocis se la damoisele ne li eust desfendu	e sin falta el se ouiera conella muerto|si la donçella	se lla damigella non gliel avesse tolta|perciò rimase	⁊ sans faulte il sen eust occiz se la damoiselle ne lui eust ostee
796		quar elle li osta lespee de sez mains|Lors fist lancelot vne biere de fust	Que del lago auia venido delas manos no sela tirara|e luego fiço façer lançarote vnas andas	Allor fece Lancellotto fare una lettiera di legno	Cors fist lancelot une biere de fust
797	et la fist covrir des plus riches pailes de laiens	et le fist courir del plus riche paile de laiens	e cobrir de muy Ricos paños	e le facce coprire del più ricco palio di là entro	⁊ sa fist couurir du plus riche drap de leans
798	et quant il l ot atornee al plus richement qu il pot li chevaliers prisons li dist Sire fet il se l en movoit tot de nuis ce seroit sens	Et quant il lot atorne au plus richement quil pot|si li dist li cheualiers	e poner enellas el cuerpo de Galeote|e el cauallero Dixo a lançarote señor yo vosloaria	E quand elli l ebe aconcia al più riccamente|ch elli poté	Quãt il leust apointe le mieulz qͥl peut le che ualier prisonnier lui dist
				il cavaliere prigione gli disse	
				Sire	
				diss elli	
				se l uomo movesse di notte	
				ciò sarebe gran senno	
799|800|801	—|Por quoi|? fet il	qui le deuoit mener Sire fait il|che seroit boin	si vos plugiese|que luego Mouiese de aqui conel cuerpo de galeote|Porque dixo lançarote	— Perché|?|disse Lancellotto	Gire il seroit bon de emporter le corps de nuit|Pour quop fait lãce lot Põurce fait il
802	—	que nous mouissons de nuit|pourcoi fait lancelot	porque señor dixo el cauallero	— Per ciò|diss elli	
803|804	Por ce que se li chevalier de cest païs savoient|que l en len deust porter il feroient gaitier les trespas	|que se li cheualier de chest pais le sauoient|que on len deust emporter|il feroient gaitier lez trespas	porque si los caualleros desta tierra lo supieren|que de aqui lo queredes llebar faran guardar los tres pasos	che s|e cavalieri di questo paese sapessono|che l uomo ne l dovesse portare|elli farebono guardare intra passi	que st les cheuatiers de ce pais sauoient q̃ len le deust ẽportet ilz feroiẽt garder le trespas
805	si qu il seroit arestés en alcun lieu ;	Si quil seroit arrestes en aucun lieu	asi que sera detenido en algund lugar	sicché sarebbe arestato in alcuno luogo	
806	et por ce vos loeroie je qu il meust orendroit	Et pour chou vous loeroie iou quil meust orendroit	e poresto seria bien	E perciò vo lodere' io|che vo' movereste oraindiritto	Et pour ce uous conseille|roie q̃ on partist
807|808	kar il seroit bien eslongiés ains qu il fust jors XX|lieues englesches	Car il seroit eslongies|X|lieues ains quil fust iors	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote	ché l uomo sarebbe bene islungato|leghe inanzi|che fosse giorno	car il seioit bien eslongnir aĩs qͥl feust iour dix lieues anglesches
809	Et il s i acorde bien;	Et il|si acorde bien		VEd e' vi s acorda bene	Et il se p accorde
810|811	si met la litiere sor Il|palefrois amblans	si fait mettre le litiere sor|ij|palefrois	e luego fiço poner las andas sobre dos palafrenes muy andadores	si mette la lettiera sopra due palafreni ambianti	si met lalittiere sur deux pallefrois amblans
812|813	et enportent ensi Galehout fors de sa region;|si en font li frere grant duel	Et emportent ensi Galeholt hors de la maison|Si en ont li frere grant doel de ce	e lleuarlo	sinne portano Galeotto fuori della religione	⁊ emportẽt ainsi gallehauthors de fa maison|Ei en ont les freres grant deul
814|815	et molt en sont corocié|et dolenta de ce		asi Mas mucho ouieron gran pesar los frailes	ma molto ne sono|e frati di là entro dolenti|e crucciati dell uomo	et sont dolens
816	que l en l enporte	que on lemporte	quando asi lo vieron lleuar	che ne l porta	que on lemportoit
817	Et Lancelos le convoie grant piece de nuis plorant	Et lancelot le conuoie grant piece de la nuit plaignant	e lançarote fue gran pieça llorando conel cuerpo de Galeote	sE Lancellotto l acompagna gran peza della notte piagnendo	Lancelotlecs Partie uoie grãt piece de la nuit plourant|⁊ plaignãt
818|819	et regretant sa proesce|et sa valor	& plorant sa valour	e diçiendo sus proezas|e su valor	e facendo duolo|e rigratando sua prodeza|e suo valore	⁊ regretiant sa prouesse|⁊ sa ualeur
820	et se ne fust la damoisele	Et se ne fust la damoisele	e si no fuese porla donçella	e se non fosse la damigella	Et se ne feust la damoiselle
821	qui avec lui estoit molt en eust plus fet qu il ne fist	qui auec lui estoit|moult en eust plus fait	que del lago auia venido Mucho fiziera mayor duelo	che con esso lui era|molto n avesse più fatto	qui auec lui estoit moult en eust fait plus quil ne faisoit:
822	mais ele l en detorna	mais cele len destorna	mas ella selo estoruaua	che non fece|	mais elle len destourna
				e l à gran peza insì acompagnato	
				sì se ne tornò	
823|824	et il deffendi al chevalier|que il nel feist en terre metre devant	Et il commanda au cheualier quil ne fust enterres deuant chou quil venist a lui	e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo|Que el Cuerpo demi señor galeote no fagades enterrar fastaque yo mesmo alla vaya	ma inanzi difende elli al cavaliere|che l uomo nol facesse soppellire nella Gioisosla Guardia inanzi	Et lãcelot commãde au cheualier qͥl ne feust enterre deuant quil uenist
825|826	que il fust venus|Si se part atant li uns de l autre	A tant sen part de lui lancelot	e el Cauallero dixo|que asi lo faria entonçe se partio dellos lançarote	ch e' vi fosse venuto|si si parte atanto l uno da l altro	Sise depart de lui
827|828|829	et il retorne a l abeie|si se couche c onques la nuit ne volt mengier ne boivre|por chose	& retorne a labbaye|si se cosulche Ne onques la nuit ne volt mangier ne boire pour chose	e tornose al abadia|mas en toda aquella noche no quiso comer ni veuer|por cosa	Lancellotto ritorna alla badia|si si coricò|né unque la notte non volle mangiare né bere per cosa	⁊ retourne a la religiq̃ se couchier
830|831	que l en li deist ains plora|et dolosa tot adés;	que on li deist|ains plor& dolosa tout ades	que le dixesen|e non fazia sino llorar|e mucho se quexaua	che l uomo gli dicesse|anzi piagne|e dolora tutto adesso	et oncq̃s ne uoulut la boire ne mengier
832|833	si li anuioit molt li jors|qui tant demoroit a venir	Si li anoia moult li iors|qui tant demoroit :	Porque tanto aquella noche le duraba	si gli anoiava molto il giorno|che tanto penava a venire	silui ẽnupa moult le iour|qui tant demouroit a ue nir
834	a Al matin	Et au matin	e luego	lsAl mattino	Et au matin
835|836	si tost com li jors aparut se leva|et oi messe entre lui	si tost com li iors apparut|se leua|et oy messe entre lui	Que el dia aparesçio lançarote se leuanto	si tosto come il giorno aparve|si leva Lancellotto|e udi messa intra lui	si tostcomme le iour apparust se leua|⁊ ouist messe lui
837	et la damoisele	et la damoisele	e la donzella otrosi	e la damigella	⁊ la damoiselle
838|839	et puis s arma|Lors li dist ele les noveles de Boort	lors li dist elle lez noueles de bohort	e fueron a oyr misa|e desque la misa fue aCabada Armose|e despidiose del fraile	e poscia s armò|Allor gli disse la damigella novelle di Boordo	Lors ellelui dist nouuelles de booit
			e entro ensu camino conla donzella		
			e ellos		
			asi yendo la donçella le conto nuebas de boores		
840	et ce qu ele en avoit veu devant Honguefort	comment elle lauoit veu deuant hongrefort	e de|como le contesçiera enel castillo de ongeforte	e ciò|ch ella n avea veduto davanti Unguelforte	⁊ que elle lauoit ueudeuant a honguefort
					et commẽt il le fait
841	et il en fu molt liés	et il en fu moult lies	e el fue dello muy alegre	ed e' ne fu molto lieto	⁊ il en fut moult ioyeux
				Ed ella gli disse	
				Sire	
				e' vo va cheggendo	
			e ella le dixo sabed señor		
		Et elle li dist			
842	Et ele li dist Sire il vos vet querant ne jamés ne finera tant qu il vos avra trové	Sire il vous ua querant|ne iamais ne finera deuant ce quil vous asulra trouue	que vos a buscado|e nunca jamas quedara fastaque vos falle Ay donçella dixo lançarote	né giamai non finirà infino a|tanto che voi abbia trovato	Aprez elle lui dit|Sire il uous ua q̃rant ne iamais ne fine ra deuant quil uous aura trouue
				—Hal	
				damigella	
				diss elli	
843|844|845|846	— Damoisele fet il se vos le cuidiés trover ains de moi je vos voldroie proier|que vos feissiés tant|por moi|que vos li portissiés ceste espee	|iou vous voldroie proier|que vous li portissies ceste espee	si vos lo cuidades fallar yo vos querria rrogar|que fiziesedes tanto pormi quele llebasedes esta espada	se voi il credete trovare anzi di me|i' vo vorrei pregare|che voi faceste tanto|per l amor di me|che voi gli portaste questa spada	Damoisel le fait lãcel ot se uous le trouuez auãt q̃ moy ie uous uoul droie prier q̃ uous lui porteissiez ceste espee
847	qui fu mon seignor Galehout	qui fu monseignor Galeholt	que fue demi señor galeote	che fu di monsignor Galeotto	qui fut a mon cõpaignõ galleh aut
848	et li dites qu il la DOrt de par moi	Et li dites quil le port de par moi	e dezilde quela traiga pormi amor	e gli dite|che lla porti da parte di me	⁊ lui dictes quil la porte depar moy
849	que molt est bone	quar elle est moult bone	ca mucho es buena	ché molto est buona	car elle est moult bonne|⁊ belle
		et moult bele			
850|851	Et ele dist qu ele le trovera par tens|et bien fera cest message;	|que elle le trouuera bien par tamps|& bien fera ce dist cest message	e fermosa yo lo fare dixo la donçella de grado Luego se partio el vno del otro	Ed ella dice|ch ella il troverrà per tempo|e bene farà questo mesaggio	Et elle dist q̃ elle le tiou uera par temps|et bien fera ce message
852|853	si s en part atant de lui|et il s en vet droit vers le chastel de Floego	Si sen part atant de lui|Et il sen vait uers le castel de florega¬	e lançarote se fue contra el castillo de florenga	si si parte atanto di lui|Ed e' se ne va tutto diritto inverso el castello del Flego	Si se part atant de elle|⁊ sen ua uers le chasteau de florega
			e andubo tanto		
854	si i vint a hore de prime	Si y uin entor prime	que llego alla ante de prima	si vi venne a ora di prima	si y uint entour prime
855|856	Et il esgarde es pres defors la vile|si voit molt grant gent entor le feu ou l en devoit ardoir la suer Meleagan	Et il regarde en mi lez pres dehors la vile	e vio ante la villa gran jente alrrededor de vn fuego	Ed e' riguarda nel prato di fuori la villa|si vi vide molto grande gente intorno uno fuoco	⁊ il regarde es prez hors la uille|si p uist moult grant gẽt en tour ung feu ou len deuoit ardoir la seur de mel eagant
857|858|859	et quant il aperçoit le feu|si a poor de la damoisele|Lors broche le cheval	Si vit moult grant gent entor vn fu	e en aquel fuego auian de quemar ala hermanade meliangas|e lançarote	e quando elli apressima al fuoco|si à paura della damigella|che già era menata al fuoco per distrugere|i brocca il cavallo delli isproni	Quant il apperceust le feu|si eut grant paour dela damoiselle|Lors srappe le cheual des esperons
860|861	et vint errant cele part tant com il puet del cheval traire|Et quant il est venus jusque la	ou on deuoit ardoir le suer melyagant CNuant lancelot aperchut le fu	que aquello vido dio delas espuelas al cauallo|e llego alla	e viene in quelle parti correndo tanto come può del cavallo trarre|e quand egli è là venuto	⁊ uient celle part
862|863	si esgarde|et voit la damoisele	si ot moult grant paour de la damoisele	ca bien cuidaua	si vide la damigella	⁊ quãt il uoit la damoiselle
864|865	qui ja estoit amenee al feu|por destruire	qui y ia estoit menee au fu pour destruire	que ya quemauan la donçella	che già era menata al fuoco per liverarla a morte	qui ia estoit amenee au feu pour destruire laquelle estoit en une poure chemise
866|867|868|869	si estoit en pure sa chemise|et le tenoient|VI|pautonier trois d une part	Si estoit en vne poure chemise|& le tenoient|vi|dune part|&	e quando el y llego vio la donçella estar ante el fuego envna muy pobre camisa|e tenianla seis billanos tres dela vna parte	Si era in sua pura camicia|e la tenieno vi|paltonieri|tre d una parte	⁊ la tenoient six pautõniers|trois de une part
		pautonnier			
		iij			
870	et trois d autre;	iij|dautre	e tres dela otra	e tre d altra	et trois dautre:
871	si n atendoient a geter le el feu fors le commandement as juges	Si natendoient a geter le el fu fors le commandement as iuges	e no esperauan al sino el mandamiento delos juezes parala hechar enel fuego	sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice	⁊ ne actẽdẽt la iecter au feu fors le commandemẽt du iuge
872	et ele ploroit trop durement	et elle ploroit moult tendrement	e la donzella lloraua muy fuertemente	ooma ella faceva troppo doloroso pianto	Et elle plouroit moult tendrement
				e rigrattava Lancellotto molto pietosamente	
				si diceva sovente	
873	et regretoit Lancelot Ha gentilx chevaliers Lancelos	et regretoit lancelot|et disoit ha : gentiex hom lancelot	e llamaua a lançarote	: orHal|gentil cavaliere Lancellotto	⁊ regrettoitlance lot: en disant|Haa gentil homme lãcelot
